time, timezone, temperature, strength
2020/10/15 09:44 +0200, GMT+02, 11.6, 
2020/10/15 10:02 +0200, GMT+02, 9.56, 
2020/10/15 10:22 +0200, GMT+02, 16.6, 
2020/10/15 10:42 +0200, GMT+02, 16, 
2020/10/15 11:02 +0200, GMT+02, 16.6, 
2020/10/15 11:22 +0200, GMT+02, 16.6, 
2020/10/15 11:42 +0200, GMT+02, 16.6, 
2020/10/15 12:02 +0200, GMT+02, 16.6, 
2020/10/15 12:22 +0200, GMT+02, 16.5, 
2020/10/15 12:42 +0200, GMT+02, 16.5, 0
2020/10/15 13:02 +0200, GMT+02, 16.5, 0
2020/10/15 13:22 +0200, GMT+02, 16.4, 0
2020/10/15 13:42 +0200, GMT+02, 16.3, 0
2020/10/15 14:02 +0200, GMT+02, 16.3, 0
2020/10/15 14:22 +0200, GMT+02, 16.3, 0
2020/10/15 14:42 +0200, GMT+02, 16.3, 0
2020/10/15 15:02 +0200, GMT+02, 16.3, 0
2020/10/15 15:22 +0200, GMT+02, 16.3, 0
2020/10/15 15:42 +0200, GMT+02, 16.3, 0
2020/10/15 16:02 +0200, GMT+02, 16.2, 0
2020/10/15 16:22 +0200, GMT+02, 16.2, 0
2020/10/15 16:42 +0200, GMT+02, 16.2, 0
2020/10/15 17:02 +0200, GMT+02, 16.3, 0
2020/10/15 17:22 +0200, GMT+02, 16.3, 0
2020/10/15 17:42 +0200, GMT+02, 16.3, 0
2020/10/15 18:02 +0200, GMT+02, 16.4, 0
2020/10/15 18:22 +0200, GMT+02, 16.5, 0
2020/10/15 18:42 +0200, GMT+02, 16.6, 0
2020/10/15 19:02 +0200, GMT+02, 16.7, 0
2020/10/15 19:22 +0200, GMT+02, 16.8, 0
2020/10/15 19:42 +0200, GMT+02, 17, 0
2020/10/15 20:02 +0200, GMT+02, 17.1, 0
2020/10/15 20:22 +0200, GMT+02, 17.3, 0
2020/10/15 20:42 +0200, GMT+02, 17.5, 0
2020/10/15 21:02 +0200, GMT+02, 17.6, 0
2020/10/15 21:22 +0200, GMT+02, 17.9, 0
2020/10/15 21:42 +0200, GMT+02, 18.1, 0
2020/10/15 22:02 +0200, GMT+02, 18.4, 0
2020/10/15 22:22 +0200, GMT+02, 18.6, 0
2020/10/15 22:42 +0200, GMT+02, 19, 0
2020/10/15 23:02 +0200, GMT+02, 19.3, 0
2020/10/15 23:22 +0200, GMT+02, 19.6, 0
2020/10/15 23:42 +0200, GMT+02, 20, 0
2020/10/16 00:02 +0200, GMT+02, 20.4, 0
2020/10/16 00:22 +0200, GMT+02, 20.8, 0
2020/10/16 00:42 +0200, GMT+02, 21.3, 0
2020/10/16 01:02 +0200, GMT+02, 21.6, 0
2020/10/16 01:22 +0200, GMT+02, 22, 0
2020/10/16 01:42 +0200, GMT+02, 22.3, 0
2020/10/16 02:02 +0200, GMT+02, 22.6, 0
