time, timezone, temperature, strength
2022/01/28 16:47 +0100, GMT+01, 10.6, 0
2022/01/28 17:06 +0100, GMT+01, 12.8, 0
2022/01/28 17:26 +0100, GMT+01, 12.5, 0
2022/01/28 17:46 +0100, GMT+01, 12.5, 0
2022/01/28 18:06 +0100, GMT+01, 12.5, 0
2022/01/28 18:26 +0100, GMT+01, 12.4, 0
2022/01/28 18:46 +0100, GMT+01, 12.4, 0
2022/01/28 19:06 +0100, GMT+01, 12.4, 0
2022/01/28 19:26 +0100, GMT+01, 12.4, 0
2022/01/28 19:46 +0100, GMT+01, 12.4, 0
2022/01/28 20:06 +0100, GMT+01, 12.3, 0
2022/01/28 20:26 +0100, GMT+01, 12.3, 0
2022/01/28 20:46 +0100, GMT+01, 12.3, 0
2022/01/28 21:06 +0100, GMT+01, 12.3, 0
2022/01/28 21:26 +0100, GMT+01, 12.3, 0
2022/01/28 21:46 +0100, GMT+01, 12.3, 0
2022/01/28 22:06 +0100, GMT+01, 12.3, 0
2022/01/28 22:26 +0100, GMT+01, 12.3, 0
2022/01/28 22:46 +0100, GMT+01, 12.2, 0
2022/01/28 23:06 +0100, GMT+01, 12.2, 0
2022/01/28 23:26 +0100, GMT+01, 12.2, 0
2022/01/28 23:46 +0100, GMT+01, 12.2, 0
2022/01/29 00:06 +0100, GMT+01, 12.2, 0
2022/01/29 00:26 +0100, GMT+01, 12.2, 0
2022/01/29 00:46 +0100, GMT+01, 12.3, 0
2022/01/29 01:06 +0100, GMT+01, 12.3, 0
2022/01/29 01:26 +0100, GMT+01, 12.3, 0
2022/01/29 01:46 +0100, GMT+01, 12.3, 0
2022/01/29 02:06 +0100, GMT+01, 12.3, 0
2022/01/29 02:26 +0100, GMT+01, 12.4, 0
2022/01/29 02:46 +0100, GMT+01, 12.5, 0
2022/01/29 03:06 +0100, GMT+01, 12.5, 0
2022/01/29 03:26 +0100, GMT+01, 12.6, 0
2022/01/29 03:46 +0100, GMT+01, 12.7, 0
2022/01/29 04:06 +0100, GMT+01, 12.8, 0
2022/01/29 04:26 +0100, GMT+01, 12.9, 0
2022/01/29 04:46 +0100, GMT+01, 13, 0
2022/01/29 05:06 +0100, GMT+01, 13.1, 0
2022/01/29 05:26 +0100, GMT+01, 13.2, 0
2022/01/29 05:46 +0100, GMT+01, 13.4, 0
2022/01/29 06:06 +0100, GMT+01, 13.6, 0
2022/01/29 06:26 +0100, GMT+01, 13.7, 0
2022/01/29 06:46 +0100, GMT+01, 13.9, 0
2022/01/29 07:06 +0100, GMT+01, 14.1, 0
2022/01/29 07:26 +0100, GMT+01, 14.3, 0
2022/01/29 07:46 +0100, GMT+01, 14.5, 0
2022/01/29 08:06 +0100, GMT+01, 14.7, 0
2022/01/29 08:26 +0100, GMT+01, 14.9, 0
2022/01/29 08:46 +0100, GMT+01, 15.1, 0
2022/01/29 09:06 +0100, GMT+01, 15.4, 0
2022/01/29 09:26 +0100, GMT+01, 15.6, 0
2022/01/29 09:46 +0100, GMT+01, 15.8, 0
2022/01/29 10:06 +0100, GMT+01, 16.1, 0
2022/01/29 10:26 +0100, GMT+01, 16.4, 0
2022/01/29 10:46 +0100, GMT+01, 16.6, 0
2022/01/29 11:06 +0100, GMT+01, 17, 0
2022/01/29 11:26 +0100, GMT+01, 17.3, 0
2022/01/29 11:46 +0100, GMT+01, 17.6, 0
2022/01/29 12:06 +0100, GMT+01, 18, 0
2022/01/29 12:26 +0100, GMT+01, 18.3, 0
2022/01/29 12:46 +0100, GMT+01, 18.8, 0
2022/01/29 13:06 +0100, GMT+01, 19.3, 0
2022/01/29 13:26 +0100, GMT+01, 19.7, 0
2022/01/29 13:46 +0100, GMT+01, 20, 0
2022/01/29 14:06 +0100, GMT+01, 20.4, 0.13203
2022/01/29 14:26 +0100, GMT+01, 20.6, 0.55174
2022/01/29 14:46 +0100, GMT+01, 20.9, 0.96766
2022/01/29 15:06 +0100, GMT+01, 21.1, 1.37987
2022/01/29 15:26 +0100, GMT+01, 21.3, 1.78737
2022/01/29 15:46 +0100, GMT+01, 21.5, 2.19029
2022/01/29 16:06 +0100, GMT+01, 21.6, 2.5877
2022/01/29 16:26 +0100, GMT+01, 21.7, 2.97876
2022/01/29 16:46 +0100, GMT+01, 21.9, 3.36471
2022/01/29 17:06 +0100, GMT+01, 22, 3.7457
2022/01/29 17:26 +0100, GMT+01, 22.1, 4.12091
2022/01/29 17:46 +0100, GMT+01, 22.2, 4.49053
2022/01/29 18:06 +0100, GMT+01, 22.3, 4.85475
2022/01/29 18:26 +0100, GMT+01, 22.4, 5.21405
2022/01/29 18:46 +0100, GMT+01, 22.5, 5.56799
2022/01/29 19:06 +0100, GMT+01, 22.6, 5.91705
2022/01/29 19:26 +0100, GMT+01, 22.6, 6.26048
2022/01/29 19:46 +0100, GMT+01, 22.6, 6.59762
2022/01/29 20:06 +0100, GMT+01, 22.7, 6.92954
2022/01/29 20:26 +0100, GMT+01, 22.6, 7.25558
2022/01/29 20:46 +0100, GMT+01, 22.6, 7.57511
2022/01/29 21:06 +0100, GMT+01, 22.6, 7.88919
2022/01/29 21:26 +0100, GMT+01, 22.6, 8.1584
2022/01/29 21:46 +0100, GMT+01, 22.6, 8.40137
2022/01/29 22:06 +0100, GMT+01, 22.5, 8.63977
2022/01/29 22:26 +0100, GMT+01, 22.5, 8.87377
2022/01/29 22:46 +0100, GMT+01, 22.5, 9.10411
2022/01/29 23:06 +0100, GMT+01, 22.4, 9.33031
2022/01/29 23:26 +0100, GMT+01, 22.3, 9.55194
2022/01/29 23:46 +0100, GMT+01, 22.2, 9.76916
2022/01/30 00:06 +0100, GMT+01, 22.1, 9.9821
2022/01/30 00:26 +0100, GMT+01, 22, 10.19091
2022/01/30 00:46 +0100, GMT+01, 22, 10.39627
2022/01/30 01:06 +0100, GMT+01, 21.8, 10.59774
2022/01/30 01:26 +0100, GMT+01, 21.8, 10.79545
2022/01/30 01:46 +0100, GMT+01, 21.6, 10.98951
2022/01/30 02:06 +0100, GMT+01, 21.6, 11.18004
2022/01/30 02:26 +0100, GMT+01, 21.5, 11.36764
2022/01/30 02:46 +0100, GMT+01, 21.3, 11.55141
2022/01/30 03:06 +0100, GMT+01, 21.2, 11.73161
2022/01/30 03:26 +0100, GMT+01, 21.1, 11.90854
2022/01/30 03:46 +0100, GMT+01, 21, 12.08244
2022/01/30 04:06 +0100, GMT+01, 20.9, 12.25338
2022/01/30 04:26 +0100, GMT+01, 20.8, 12.42145
2022/01/30 04:46 +0100, GMT+01, 20.6, 12.58628
2022/01/30 05:06 +0100, GMT+01, 20.5, 12.74796
2022/01/30 05:26 +0100, GMT+01, 20.3, 12.90658
2022/01/30 05:46 +0100, GMT+01, 20.2, 13.06222
2022/01/30 06:06 +0100, GMT+01, 20.1, 13.2154
2022/01/30 06:26 +0100, GMT+01, 20, 13.36616
2022/01/30 06:46 +0100, GMT+01, 19.8, 13.51416
2022/01/30 07:06 +0100, GMT+01, 19.6, 13.65906
2022/01/30 07:26 +0100, GMT+01, 19.5, 13.80135
2022/01/30 07:46 +0100, GMT+01, 19.4, 13.9415
2022/01/30 08:06 +0100, GMT+01, 19.2, 14.07915
2022/01/30 08:26 +0100, GMT+01, 19.1, 14.21438
2022/01/30 08:46 +0100, GMT+01, 18.9, 14.34724
2022/01/30 09:06 +0100, GMT+01, 18.8, 14.47779
2022/01/30 09:26 +0100, GMT+01, 18.6, 14.60608
2022/01/30 09:46 +0100, GMT+01, 18.5, 14.73218
2022/01/30 10:06 +0100, GMT+01, 18.3, 14.85612
2022/01/30 10:26 +0100, GMT+01, 18.1, 14.97761
2022/01/30 10:46 +0100, GMT+01, 18, 15.09705
2022/01/30 11:06 +0100, GMT+01, 17.8, 15.2146
2022/01/30 11:26 +0100, GMT+01, 17.7, 15.33008
2022/01/30 11:46 +0100, GMT+01, 17.6, 15.444
2022/01/30 12:06 +0100, GMT+01, 17.5, 15.55637
2022/01/30 12:26 +0100, GMT+01, 17.3, 15.6669
2022/01/30 12:46 +0100, GMT+01, 17.3, 15.77595
2022/01/30 13:06 +0100, GMT+01, 17.2, 15.88387
2022/01/30 13:26 +0100, GMT+01, 17.2, 15.99069
2022/01/30 13:46 +0100, GMT+01, 17.1, 16.09642
2022/01/30 14:06 +0100, GMT+01, 17.1, 16.20108
2022/01/30 14:26 +0100, GMT+01, 17, 16.30469
2022/01/30 14:46 +0100, GMT+01, 17, 16.40726
2022/01/30 15:06 +0100, GMT+01, 16.9, 16.50882
2022/01/30 15:26 +0100, GMT+01, 16.8, 16.60907
2022/01/30 15:46 +0100, GMT+01, 16.7, 16.70804
2022/01/30 16:06 +0100, GMT+01, 16.6, 16.80575
2022/01/30 16:26 +0100, GMT+01, 16.5, 16.90222
2022/01/30 16:46 +0100, GMT+01, 16.4, 16.99748
2022/01/30 17:06 +0100, GMT+01, 16.3, 17.09155
2022/01/30 17:26 +0100, GMT+01, 16.1, 17.18416
2022/01/30 17:46 +0100, GMT+01, 16.1, 17.27562
2022/01/30 18:06 +0100, GMT+01, 16, 17.36623
2022/01/30 18:26 +0100, GMT+01, 15.8, 17.45545
2022/01/30 18:46 +0100, GMT+01, 15.8, 17.54358
2022/01/30 19:06 +0100, GMT+01, 15.6, 17.63063
2022/01/30 19:26 +0100, GMT+01, 15.5, 17.71636
2022/01/30 19:46 +0100, GMT+01, 15.4, 17.80112
2022/01/30 20:06 +0100, GMT+01, 15.3, 17.8848
2022/01/30 20:26 +0100, GMT+01, 15.2, 17.96747
2022/01/30 20:46 +0100, GMT+01, 15.1, 18.04916
2022/01/30 21:06 +0100, GMT+01, 15, 18.12988
2022/01/30 21:26 +0100, GMT+01, 14.9, 18.20964
2022/01/30 21:46 +0100, GMT+01, 14.8, 18.28846
2022/01/30 22:06 +0100, GMT+01, 14.6, 18.3661
2022/01/30 22:26 +0100, GMT+01, 14.5, 18.44259
2022/01/30 22:46 +0100, GMT+01, 14.5, 18.51843
2022/01/30 23:06 +0100, GMT+01, 14.3, 18.59339
2022/01/30 23:26 +0100, GMT+01, 14.3, 18.66748
2022/01/30 23:46 +0100, GMT+01, 14.1, 18.74072
2022/01/31 00:06 +0100, GMT+01, 14.1, 18.81311
2022/01/31 00:26 +0100, GMT+01, 14, 18.88491
2022/01/31 00:46 +0100, GMT+01, 13.9, 18.95588
2022/01/31 01:06 +0100, GMT+01, 13.8, 19.02605
2022/01/31 01:26 +0100, GMT+01, 13.8, 19.09565
2022/01/31 01:46 +0100, GMT+01, 13.7, 19.16469
2022/01/31 02:06 +0100, GMT+01, 13.6, 19.23295
2022/01/31 02:26 +0100, GMT+01, 13.6, 19.30066
2022/01/31 02:46 +0100, GMT+01, 13.5, 19.36784
2022/01/31 03:06 +0100, GMT+01, 13.5, 19.43448
2022/01/31 03:26 +0100, GMT+01, 13.4, 19.50061
2022/01/31 03:46 +0100, GMT+01, 13.3, 19.56599
