time, timezone, temperature, strength
2021/12/07 11:42 +0100, GMT+01, 6, 
2021/12/07 12:02 +0100, GMT+01, 6.5, 
2021/12/07 12:22 +0100, GMT+01, 7.1, 
2021/12/07 12:42 +0100, GMT+01, 6.4, 
2021/12/07 13:02 +0100, GMT+01, 6.3, 
2021/12/07 13:22 +0100, GMT+01, 6.3, 
2021/12/07 13:42 +0100, GMT+01, 6.5, 
2021/12/07 14:02 +0100, GMT+01, 6.6, 
2021/12/07 14:22 +0100, GMT+01, 6.7, 
2021/12/07 14:42 +0100, GMT+01, 6.8, 0
2021/12/07 15:02 +0100, GMT+01, 11.6, 0
2021/12/07 15:22 +0100, GMT+01, 11.6, 0
2021/12/07 15:42 +0100, GMT+01, 11.6, 0
2021/12/07 16:02 +0100, GMT+01, 11.4, 0
2021/12/07 16:22 +0100, GMT+01, 11.2, 0
2021/12/07 16:42 +0100, GMT+01, 11, 0
2021/12/07 17:02 +0100, GMT+01, 10.8, 0
2021/12/07 17:22 +0100, GMT+01, 10.6, 0
2021/12/07 17:42 +0100, GMT+01, 10.4, 0
2021/12/07 18:02 +0100, GMT+01, 10.2, 0
2021/12/07 18:22 +0100, GMT+01, 10.1, 0
2021/12/07 18:42 +0100, GMT+01, 10, 0
2021/12/07 19:02 +0100, GMT+01, 10, 0
2021/12/07 19:22 +0100, GMT+01, 9.8, 0
2021/12/07 19:42 +0100, GMT+01, 9.8, 0
2021/12/07 20:02 +0100, GMT+01, 9.7, 0
2021/12/07 20:22 +0100, GMT+01, 9.6, 0
2021/12/07 20:42 +0100, GMT+01, 9.6, 0
2021/12/07 21:02 +0100, GMT+01, 9.5, 0
2021/12/07 21:22 +0100, GMT+01, 9.5, 0
2021/12/07 21:42 +0100, GMT+01, 9.5, 0
2021/12/07 22:02 +0100, GMT+01, 9.4, 0
2021/12/07 22:22 +0100, GMT+01, 9.3, 0
2021/12/07 22:42 +0100, GMT+01, 9.3, 0
2021/12/07 23:02 +0100, GMT+01, 9.2, 0
2021/12/07 23:22 +0100, GMT+01, 9.2, 0
2021/12/07 23:42 +0100, GMT+01, 9.1, 0
2021/12/08 00:02 +0100, GMT+01, 9.1, 0
2021/12/08 00:22 +0100, GMT+01, 9, 0
2021/12/08 00:42 +0100, GMT+01, 9, 0
2021/12/08 01:02 +0100, GMT+01, 9, 0
2021/12/08 01:22 +0100, GMT+01, 8.9, 0
2021/12/08 01:42 +0100, GMT+01, 8.9, 0
2021/12/08 02:02 +0100, GMT+01, 8.8, 0
2021/12/08 02:22 +0100, GMT+01, 8.8, 0
2021/12/08 02:42 +0100, GMT+01, 8.8, 0
2021/12/08 03:02 +0100, GMT+01, 8.8, 0
2021/12/08 03:22 +0100, GMT+01, 8.8, 0
2021/12/08 03:42 +0100, GMT+01, 8.8, 0
2021/12/08 04:02 +0100, GMT+01, 8.8, 0
2021/12/08 04:22 +0100, GMT+01, 8.8, 0
2021/12/08 04:42 +0100, GMT+01, 8.8, 0
2021/12/08 05:02 +0100, GMT+01, 8.9, 0
2021/12/08 05:22 +0100, GMT+01, 9, 0
2021/12/08 05:42 +0100, GMT+01, 9, 0
2021/12/08 06:02 +0100, GMT+01, 9.1, 0
2021/12/08 06:22 +0100, GMT+01, 9.1, 0
2021/12/08 06:42 +0100, GMT+01, 9.3, 0
2021/12/08 07:02 +0100, GMT+01, 9.3, 0
2021/12/08 07:22 +0100, GMT+01, 9.4, 0
2021/12/08 07:42 +0100, GMT+01, 9.5, 0
2021/12/08 08:02 +0100, GMT+01, 9.6, 0
2021/12/08 08:22 +0100, GMT+01, 9.6, 0
2021/12/08 08:42 +0100, GMT+01, 9.7, 0
2021/12/08 09:02 +0100, GMT+01, 9.8, 0
2021/12/08 09:22 +0100, GMT+01, 9.8, 0
2021/12/08 09:42 +0100, GMT+01, 10, 0
2021/12/08 10:02 +0100, GMT+01, 10.1, 0
2021/12/08 10:22 +0100, GMT+01, 10.2, 0
2021/12/08 10:42 +0100, GMT+01, 10.4, 0
2021/12/08 11:02 +0100, GMT+01, 10.5, 0
2021/12/08 11:22 +0100, GMT+01, 10.7, 0
2021/12/08 11:42 +0100, GMT+01, 10.9, 0
2021/12/08 12:02 +0100, GMT+01, 11, 0
2021/12/08 12:22 +0100, GMT+01, 11.5, 0
2021/12/08 12:42 +0100, GMT+01, 12, 0
2021/12/08 13:02 +0100, GMT+01, 12.3, 0
2021/12/08 13:22 +0100, GMT+01, 12.5, 0
2021/12/08 13:42 +0100, GMT+01, 12.5, 0
2021/12/08 14:02 +0100, GMT+01, 12.6, 0
2021/12/08 14:22 +0100, GMT+01, 12.6, 0
2021/12/08 14:42 +0100, GMT+01, 12.8, 0
2021/12/08 15:02 +0100, GMT+01, 12.8, 0
2021/12/08 15:22 +0100, GMT+01, 12.9, 0
2021/12/08 15:42 +0100, GMT+01, 12.9, 0
2021/12/08 16:02 +0100, GMT+01, 13, 0
2021/12/08 16:22 +0100, GMT+01, 13, 0
2021/12/08 16:42 +0100, GMT+01, 13, 0
2021/12/08 17:02 +0100, GMT+01, 13, 0
2021/12/08 17:22 +0100, GMT+01, 12.9, 0
2021/12/08 17:42 +0100, GMT+01, 12.8, 0
2021/12/08 18:02 +0100, GMT+01, 12.8, 0
2021/12/08 18:22 +0100, GMT+01, 12.6, 0.14463
2021/12/08 18:42 +0100, GMT+01, 12.5, 0.40238
2021/12/08 19:02 +0100, GMT+01, 12.5, 0.65568
2021/12/08 19:22 +0100, GMT+01, 12.3, 0.9038
2021/12/08 19:42 +0100, GMT+01, 12.3, 1.14691
2021/12/08 20:02 +0100, GMT+01, 12.2, 1.38601
2021/12/08 20:22 +0100, GMT+01, 12.1, 1.62038
2021/12/08 20:42 +0100, GMT+01, 12, 1.85017
2021/12/08 21:02 +0100, GMT+01, 12, 2.07632
2021/12/08 21:22 +0100, GMT+01, 11.8, 2.29814
2021/12/08 21:42 +0100, GMT+01, 11.8, 2.51576
2021/12/08 22:02 +0100, GMT+01, 11.6, 2.7293
2021/12/08 22:22 +0100, GMT+01, 11.6, 2.93887
2021/12/08 22:42 +0100, GMT+01, 11.5, 3.14551
2021/12/08 23:02 +0100, GMT+01, 11.5, 3.34895
2021/12/08 23:22 +0100, GMT+01, 11.4, 3.54944
2021/12/08 23:42 +0100, GMT+01, 11.3, 3.74632
2021/12/09 00:02 +0100, GMT+01, 11.3, 3.94042
2021/12/09 00:22 +0100, GMT+01, 11.2, 4.13179
2021/12/09 00:42 +0100, GMT+01, 11.1, 4.31981
2021/12/09 01:02 +0100, GMT+01, 11.1, 4.50524
2021/12/09 01:22 +0100, GMT+01, 11.1, 4.68883
2021/12/09 01:42 +0100, GMT+01, 11, 4.86993
2021/12/09 02:02 +0100, GMT+01, 11, 5.04861
2021/12/09 02:22 +0100, GMT+01, 11, 5.22556
2021/12/09 02:42 +0100, GMT+01, 10.9, 5.40019
2021/12/09 03:02 +0100, GMT+01, 10.9, 5.57254
2021/12/09 03:22 +0100, GMT+01, 10.8, 5.74265
2021/12/09 03:42 +0100, GMT+01, 10.8, 5.91058
2021/12/09 04:02 +0100, GMT+01, 10.7, 6.07638
2021/12/09 04:22 +0100, GMT+01, 10.6, 6.23947
2021/12/09 04:42 +0100, GMT+01, 10.5, 6.39992
2021/12/09 05:02 +0100, GMT+01, 10.5, 6.55839
2021/12/09 05:22 +0100, GMT+01, 10.4, 6.71492
2021/12/09 05:42 +0100, GMT+01, 10.3, 6.86896
2021/12/09 06:02 +0100, GMT+01, 10.3, 7.02114
2021/12/09 06:22 +0100, GMT+01, 10.2, 7.17151
2021/12/09 06:42 +0100, GMT+01, 10.1, 7.31964
2021/12/09 07:02 +0100, GMT+01, 10, 7.46536
2021/12/09 07:22 +0100, GMT+01, 10, 7.60938
2021/12/09 07:42 +0100, GMT+01, 9.8, 7.75118
2021/12/09 08:02 +0100, GMT+01, 9.8, 7.89082
2021/12/09 08:22 +0100, GMT+01, 9.6, 8.02267
2021/12/09 08:42 +0100, GMT+01, 9.6, 8.13103
2021/12/09 09:02 +0100, GMT+01, 9.5, 8.23817
2021/12/09 09:22 +0100, GMT+01, 9.5, 8.34413
2021/12/09 09:42 +0100, GMT+01, 9.4, 8.44892
2021/12/09 10:02 +0100, GMT+01, 9.3, 8.55215
2021/12/09 10:22 +0100, GMT+01, 9.3, 8.65426
2021/12/09 10:42 +0100, GMT+01, 9.3, 8.75567
