time, timezone, temperature, strength
2022/01/07 16:45 +0100, GMT+01, 9.5, 
2022/01/07 17:04 +0100, GMT+01, 5.1, 
2022/01/07 17:24 +0100, GMT+01, 5, 
2022/01/07 17:44 +0100, GMT+01, 4.9, 
2022/01/07 18:04 +0100, GMT+01, 4.6, 
2022/01/07 18:24 +0100, GMT+01, 4.4, 
2022/01/07 18:44 +0100, GMT+01, 4, 
2022/01/07 19:04 +0100, GMT+01, 3.8, 
2022/01/07 19:24 +0100, GMT+01, 3.5, 
2022/01/07 19:44 +0100, GMT+01, 3.3, 
2022/01/07 20:04 +0100, GMT+01, 3, 
2022/01/07 20:24 +0100, GMT+01, 2.8, 
2022/01/07 20:44 +0100, GMT+01, 2.5, 
2022/01/07 21:04 +0100, GMT+01, 2.5, 
2022/01/07 21:24 +0100, GMT+01, 2.3, 
2022/01/07 21:44 +0100, GMT+01, 2.3, 
2022/01/07 22:04 +0100, GMT+01, 2.2, 
2022/01/07 22:24 +0100, GMT+01, 2.1, 
2022/01/07 22:44 +0100, GMT+01, 2.1, 
2022/01/07 23:04 +0100, GMT+01, 2.1, 
2022/01/07 23:24 +0100, GMT+01, 1.8, 
2022/01/07 23:44 +0100, GMT+01, 1.9, 
2022/01/08 00:04 +0100, GMT+01, 1.9, 
2022/01/08 00:24 +0100, GMT+01, 2, 
2022/01/08 00:44 +0100, GMT+01, 1.7, 
2022/01/08 01:04 +0100, GMT+01, 1.8, 
2022/01/08 01:24 +0100, GMT+01, 1.6, 
2022/01/08 01:44 +0100, GMT+01, 1.6, 
2022/01/08 02:04 +0100, GMT+01, 1.8, 
2022/01/08 02:24 +0100, GMT+01, 1.9, 
2022/01/08 02:44 +0100, GMT+01, 2, 
2022/01/08 03:04 +0100, GMT+01, 2.1, 
2022/01/08 03:24 +0100, GMT+01, 2.2, 
2022/01/08 03:44 +0100, GMT+01, 2.3, 
2022/01/08 04:04 +0100, GMT+01, 2.6, 
2022/01/08 04:25 +0100, GMT+01, 2.6, 
2022/01/08 04:45 +0100, GMT+01, 2.7, 
2022/01/08 05:05 +0100, GMT+01, 2.8, 
2022/01/08 05:25 +0100, GMT+01, 3, 
2022/01/08 05:45 +0100, GMT+01, 3.2, 
2022/01/08 06:05 +0100, GMT+01, 3.3, 
2022/01/08 06:25 +0100, GMT+01, 3.5, 
2022/01/08 06:45 +0100, GMT+01, 4, 
2022/01/08 07:05 +0100, GMT+01, 4, 
2022/01/08 07:25 +0100, GMT+01, 4.2, 
2022/01/08 07:45 +0100, GMT+01, 4.3, 
2022/01/08 08:05 +0100, GMT+01, 4.5, 
2022/01/08 08:25 +0100, GMT+01, 4.6, 
2022/01/08 08:45 +0100, GMT+01, 4.8, 
2022/01/08 09:05 +0100, GMT+01, 5, 
2022/01/08 09:25 +0100, GMT+01, 5.3, 
2022/01/08 09:45 +0100, GMT+01, 5.5, 
2022/01/08 10:05 +0100, GMT+01, 5.8, 
2022/01/08 10:25 +0100, GMT+01, 6.1, 
2022/01/08 10:45 +0100, GMT+01, 6.3, 
2022/01/08 11:05 +0100, GMT+01, 6.7, 
2022/01/08 11:25 +0100, GMT+01, 6.9, 
2022/01/08 11:45 +0100, GMT+01, 13.8, 0
2022/01/08 12:05 +0100, GMT+01, 13.8, 0
2022/01/08 12:25 +0100, GMT+01, 13.8, 0
2022/01/08 12:45 +0100, GMT+01, 13.8, 0
2022/01/08 13:05 +0100, GMT+01, 13.7, 0
2022/01/08 13:25 +0100, GMT+01, 13.6, 0
2022/01/08 13:45 +0100, GMT+01, 13.5, 0
2022/01/08 14:05 +0100, GMT+01, 13.4, 0
2022/01/08 14:25 +0100, GMT+01, 13.3, 0
2022/01/08 14:45 +0100, GMT+01, 13.3, 0
2022/01/08 15:05 +0100, GMT+01, 13.2, 0
2022/01/08 15:25 +0100, GMT+01, 13.2, 0
2022/01/08 15:45 +0100, GMT+01, 13.1, 0
2022/01/08 16:05 +0100, GMT+01, 13.1, 0
2022/01/08 16:25 +0100, GMT+01, 13.1, 0
2022/01/08 16:45 +0100, GMT+01, 13, 0
2022/01/08 17:05 +0100, GMT+01, 13, 0
2022/01/08 17:25 +0100, GMT+01, 13, 0
2022/01/08 17:45 +0100, GMT+01, 13, 0
2022/01/08 18:05 +0100, GMT+01, 13, 0
2022/01/08 18:25 +0100, GMT+01, 13, 0
2022/01/08 18:45 +0100, GMT+01, 13, 0
2022/01/08 19:05 +0100, GMT+01, 13, 0
2022/01/08 19:25 +0100, GMT+01, 13, 0
2022/01/08 19:45 +0100, GMT+01, 13, 0
2022/01/08 20:05 +0100, GMT+01, 13, 0
2022/01/08 20:25 +0100, GMT+01, 13.1, 0
2022/01/08 20:45 +0100, GMT+01, 13.1, 0
2022/01/08 21:05 +0100, GMT+01, 13.1, 0
2022/01/08 21:25 +0100, GMT+01, 13.1, 0
2022/01/08 21:45 +0100, GMT+01, 13.2, 0
2022/01/08 22:05 +0100, GMT+01, 13.3, 0
2022/01/08 22:25 +0100, GMT+01, 13.3, 0
2022/01/08 22:45 +0100, GMT+01, 13.3, 0
2022/01/08 23:05 +0100, GMT+01, 13.5, 0
