time, timezone, temperature, strength
2021/10/16 12:38 +0200, GMT+02, 13.4, 
2021/10/16 12:58 +0200, GMT+02, 12.7, 
2021/10/16 13:18 +0200, GMT+02, 14.3, 
2021/10/16 13:38 +0200, GMT+02, 19.5, 0
2021/10/16 13:58 +0200, GMT+02, 19.5, 0
2021/10/16 14:18 +0200, GMT+02, 19.6, 0
2021/10/16 14:38 +0200, GMT+02, 19.6, 0
2021/10/16 14:58 +0200, GMT+02, 19.8, 0
2021/10/16 15:18 +0200, GMT+02, 19.8, 0
2021/10/16 15:38 +0200, GMT+02, 19.8, 0
2021/10/16 15:58 +0200, GMT+02, 19.8, 0
2021/10/16 16:18 +0200, GMT+02, 19.8, 0
2021/10/16 16:38 +0200, GMT+02, 19.8, 0
2021/10/16 16:58 +0200, GMT+02, 19.8, 0
2021/10/16 17:18 +0200, GMT+02, 19.8, 0
2021/10/16 17:38 +0200, GMT+02, 19.8, 0
2021/10/16 17:58 +0200, GMT+02, 19.8, 0
2021/10/16 18:18 +0200, GMT+02, 19.8, 0
2021/10/16 18:38 +0200, GMT+02, 19.8, 0
2021/10/16 18:58 +0200, GMT+02, 20, 0
2021/10/16 19:18 +0200, GMT+02, 20.1, 0
2021/10/16 19:38 +0200, GMT+02, 20.2, 0
2021/10/16 19:58 +0200, GMT+02, 20.4, 0
2021/10/16 20:18 +0200, GMT+02, 20.6, 0
2021/10/16 20:38 +0200, GMT+02, 20.8, 0
2021/10/16 20:58 +0200, GMT+02, 21, 0
2021/10/16 21:18 +0200, GMT+02, 21.3, 0
2021/10/16 21:38 +0200, GMT+02, 21.5, 0
2021/10/16 21:58 +0200, GMT+02, 21.7, 0
2021/10/16 22:18 +0200, GMT+02, 22, 0
2021/10/16 22:38 +0200, GMT+02, 22.3, 0
2021/10/16 22:58 +0200, GMT+02, 22.6, 0
2021/10/16 23:18 +0200, GMT+02, 23, 0
2021/10/16 23:38 +0200, GMT+02, 23.3, 0
2021/10/16 23:58 +0200, GMT+02, 23.8, 0
2021/10/17 00:18 +0200, GMT+02, 24.3, 0
2021/10/17 00:38 +0200, GMT+02, 24.7, 0
2021/10/17 00:58 +0200, GMT+02, 25.1, 0
2021/10/17 01:18 +0200, GMT+02, 25.3, 0
2021/10/17 01:38 +0200, GMT+02, 25.5, 0
2021/10/17 01:58 +0200, GMT+02, 25.6, 0
2021/10/17 02:18 +0200, GMT+02, 25.8, 0
2021/10/17 02:38 +0200, GMT+02, 25.8, 0
2021/10/17 02:58 +0200, GMT+02, 25.9, 0
2021/10/17 03:18 +0200, GMT+02, 26, 0.42088
2021/10/17 03:38 +0200, GMT+02, 26, 0.96607
2021/10/17 03:58 +0200, GMT+02, 26, 1.49557
2021/10/17 04:18 +0200, GMT+02, 26.1, 2.01146
2021/10/17 04:38 +0200, GMT+02, 26.1, 2.51445
2021/10/17 04:58 +0200, GMT+02, 26.1, 3.00405
2021/10/17 05:18 +0200, GMT+02, 26.1, 3.48096
2021/10/17 05:38 +0200, GMT+02, 26.1, 3.94581
2021/10/17 05:58 +0200, GMT+02, 26.1, 4.3992
2021/10/17 06:18 +0200, GMT+02, 26.1, 4.84168
2021/10/17 06:38 +0200, GMT+02, 26.1, 5.27377
2021/10/17 06:58 +0200, GMT+02, 26.1, 5.69595
2021/10/17 07:18 +0200, GMT+02, 26, 6.10767
2021/10/17 07:38 +0200, GMT+02, 26, 6.50944
2021/10/17 07:58 +0200, GMT+02, 25.9, 6.90169
2021/10/17 08:18 +0200, GMT+02, 25.8, 7.28395
