time, timezone, temperature, strength
2021/10/18 18:40 +0200, GMT+02, 19.4, 0
2021/10/18 18:59 +0200, GMT+02, 19.3, 0
2021/10/18 19:19 +0200, GMT+02, 19.3, 0
2021/10/18 19:39 +0200, GMT+02, 19.2, 0
2021/10/18 19:59 +0200, GMT+02, 19.2, 0
2021/10/18 20:19 +0200, GMT+02, 19.1, 0
2021/10/18 20:39 +0200, GMT+02, 19.1, 0
2021/10/18 20:59 +0200, GMT+02, 19.1, 0
2021/10/18 21:19 +0200, GMT+02, 19.2, 0
2021/10/18 21:39 +0200, GMT+02, 19.2, 0
2021/10/18 21:59 +0200, GMT+02, 19.3, 0
2021/10/18 22:19 +0200, GMT+02, 19.4, 0
2021/10/18 22:39 +0200, GMT+02, 19.5, 0
2021/10/18 22:59 +0200, GMT+02, 19.7, 0
2021/10/18 23:19 +0200, GMT+02, 19.9, 0
2021/10/18 23:39 +0200, GMT+02, 20.1, 0
2021/10/18 23:59 +0200, GMT+02, 20.3, 0
2021/10/19 00:19 +0200, GMT+02, 20.6, 0
2021/10/19 00:39 +0200, GMT+02, 21, 0
2021/10/19 00:59 +0200, GMT+02, 21.3, 0
2021/10/19 01:19 +0200, GMT+02, 21.6, 0
2021/10/19 01:39 +0200, GMT+02, 22, 0
2021/10/19 01:59 +0200, GMT+02, 22.4, 0
2021/10/19 02:19 +0200, GMT+02, 22.8, 0
2021/10/19 02:39 +0200, GMT+02, 23.3, 0
2021/10/19 02:59 +0200, GMT+02, 23.7, 0
2021/10/19 03:19 +0200, GMT+02, 24.3, 0
2021/10/19 03:39 +0200, GMT+02, 24.9, 0
2021/10/19 03:59 +0200, GMT+02, 25.5, 0
2021/10/19 04:19 +0200, GMT+02, 26.2, 0
2021/10/19 04:39 +0200, GMT+02, 26.8, 0
2021/10/19 04:59 +0200, GMT+02, 27.3, 0
2021/10/19 05:19 +0200, GMT+02, 27.6, 0
2021/10/19 05:39 +0200, GMT+02, 27.9, 0
2021/10/19 05:59 +0200, GMT+02, 28.1, 0
2021/10/19 06:19 +0200, GMT+02, 28.3, 0
2021/10/19 06:39 +0200, GMT+02, 28.5, 0
2021/10/19 06:59 +0200, GMT+02, 28.6, 0
2021/10/19 07:19 +0200, GMT+02, 28.7, 0
2021/10/19 07:39 +0200, GMT+02, 28.8, 0.52606
2021/10/19 07:59 +0200, GMT+02, 28.9, 1.14299
2021/10/19 08:19 +0200, GMT+02, 29, 1.74253
2021/10/19 08:39 +0200, GMT+02, 29, 2.32441
2021/10/19 08:59 +0200, GMT+02, 29, 2.88845
2021/10/19 09:19 +0200, GMT+02, 29.1, 3.4369
2021/10/19 09:39 +0200, GMT+02, 29.1, 3.97064
2021/10/19 09:59 +0200, GMT+02, 29.1, 4.48932
2021/10/19 10:19 +0200, GMT+02, 29, 4.99268
2021/10/19 10:39 +0200, GMT+02, 29, 5.48155
2021/10/19 10:59 +0200, GMT+02, 28.8, 5.95568
2021/10/19 11:19 +0200, GMT+02, 28.7, 6.41484
2021/10/19 11:39 +0200, GMT+02, 28.6, 6.86085
2021/10/19 11:59 +0200, GMT+02, 28.5, 7.29437
2021/10/19 12:19 +0200, GMT+02, 28.5, 7.71697
2021/10/19 12:39 +0200, GMT+02, 28.4, 8.10333
2021/10/19 12:59 +0200, GMT+02, 28.4, 8.4254
2021/10/19 13:19 +0200, GMT+02, 28.3, 8.73961
2021/10/19 13:39 +0200, GMT+02, 28.3, 9.04657
2021/10/19 13:59 +0200, GMT+02, 28.3, 9.34725
2021/10/19 14:19 +0200, GMT+02, 28.3, 9.64192
2021/10/19 14:39 +0200, GMT+02, 28.3, 9.93079
2021/10/19 14:59 +0200, GMT+02, 28.2, 10.21347
2021/10/19 15:19 +0200, GMT+02, 28.2, 10.49021
2021/10/19 15:39 +0200, GMT+02, 28.1, 10.76122
2021/10/19 15:59 +0200, GMT+02, 28.1, 11.02674
2021/10/19 16:19 +0200, GMT+02, 28.1, 11.28755
2021/10/19 16:39 +0200, GMT+02, 28, 11.54324
2021/10/19 16:59 +0200, GMT+02, 27.9, 11.79344
2021/10/19 17:19 +0200, GMT+02, 27.8, 12.03834
2021/10/19 17:39 +0200, GMT+02, 27.8, 12.27869
2021/10/19 17:59 +0200, GMT+02, 27.7, 12.51464
2021/10/19 18:19 +0200, GMT+02, 27.6, 12.74581
2021/10/19 18:39 +0200, GMT+02, 27.5, 12.97238
2021/10/19 18:59 +0200, GMT+02, 27.4, 13.19449
2021/10/19 19:19 +0200, GMT+02, 27.3, 13.4123
2021/10/19 19:39 +0200, GMT+02, 27.1, 13.62564
2021/10/19 19:59 +0200, GMT+02, 27.1, 13.83479
2021/10/19 20:19 +0200, GMT+02, 27, 14.04054
2021/10/19 20:39 +0200, GMT+02, 26.8, 14.24204
2021/10/19 20:59 +0200, GMT+02, 26.8, 14.43991
2021/10/19 21:19 +0200, GMT+02, 26.6, 14.63424
2021/10/19 21:39 +0200, GMT+02, 26.5, 14.82471
2021/10/19 21:59 +0200, GMT+02, 26.3, 15.01142
2021/10/19 22:19 +0200, GMT+02, 26.1, 15.19407
2021/10/19 22:39 +0200, GMT+02, 26, 15.37321
2021/10/19 22:59 +0200, GMT+02, 26, 15.54978
2021/10/19 23:19 +0200, GMT+02, 25.8, 15.72342
2021/10/19 23:39 +0200, GMT+02, 25.6, 15.89342
2021/10/19 23:59 +0200, GMT+02, 25.5, 16.06028
2021/10/20 00:19 +0200, GMT+02, 25.3, 16.22408
2021/10/20 00:39 +0200, GMT+02, 25.2, 16.38491
2021/10/20 00:59 +0200, GMT+02, 25.1, 16.54324
2021/10/20 01:19 +0200, GMT+02, 25, 16.69912
2021/10/20 01:39 +0200, GMT+02, 24.8, 16.85226
2021/10/20 01:59 +0200, GMT+02, 24.6, 17.00247
2021/10/20 02:19 +0200, GMT+02, 24.4, 17.14958
2021/10/20 02:39 +0200, GMT+02, 24.2, 17.29382
2021/10/20 02:59 +0200, GMT+02, 24, 17.43524
2021/10/20 03:19 +0200, GMT+02, 23.8, 17.57394
2021/10/20 03:39 +0200, GMT+02, 23.6, 17.70997
2021/10/20 03:59 +0200, GMT+02, 23.5, 17.84374
2021/10/20 04:19 +0200, GMT+02, 23.3, 17.97531
2021/10/20 04:39 +0200, GMT+02, 23.1, 18.10439
2021/10/20 04:59 +0200, GMT+02, 23, 18.23138
2021/10/20 05:19 +0200, GMT+02, 22.8, 18.35633
2021/10/20 05:39 +0200, GMT+02, 22.7, 18.47927
2021/10/20 05:59 +0200, GMT+02, 22.6, 18.60057
2021/10/20 06:19 +0200, GMT+02, 22.4, 18.71994
2021/10/20 06:39 +0200, GMT+02, 22.3, 18.83744
2021/10/20 06:59 +0200, GMT+02, 22.1, 18.9531
2021/10/20 07:19 +0200, GMT+02, 22, 19.06697
2021/10/20 07:39 +0200, GMT+02, 22, 19.17966
2021/10/20 07:59 +0200, GMT+02, 21.8, 19.29091
2021/10/20 08:19 +0200, GMT+02, 21.7, 19.40055
2021/10/20 08:39 +0200, GMT+02, 21.6, 19.50871
2021/10/20 08:59 +0200, GMT+02, 21.5, 19.61552
2021/10/20 09:19 +0200, GMT+02, 21.4, 19.721
2021/10/20 09:39 +0200, GMT+02, 21.3, 19.82516
2021/10/20 09:59 +0200, GMT+02, 21.1, 19.92777
2021/10/20 10:19 +0200, GMT+02, 21, 20.02886
2021/10/20 10:39 +0200, GMT+02, 21, 20.12898
2021/10/20 10:59 +0200, GMT+02, 20.8, 20.22789
2021/10/20 11:19 +0200, GMT+02, 20.6, 20.32508
2021/10/20 11:39 +0200, GMT+02, 20.5, 20.42085
2021/10/20 11:59 +0200, GMT+02, 20.3, 20.51522
2021/10/20 12:19 +0200, GMT+02, 20.1, 20.60797
2021/10/20 12:39 +0200, GMT+02, 20, 20.69937
2021/10/20 12:59 +0200, GMT+02, 20, 20.78996
2021/10/20 13:19 +0200, GMT+02, 20.1, 20.88025
2021/10/20 13:39 +0200, GMT+02, 20.1, 20.97023
2021/10/20 13:59 +0200, GMT+02, 20, 21.05942
2021/10/20 14:19 +0200, GMT+02, 20, 21.14783
2021/10/20 14:39 +0200, GMT+02, 20, 21.23578
2021/10/20 14:59 +0200, GMT+02, 20, 21.32314
2021/10/20 15:19 +0200, GMT+02, 20, 21.40998
2021/10/20 15:39 +0200, GMT+02, 19.8, 21.49584
2021/10/20 15:59 +0200, GMT+02, 19.7, 21.58048
2021/10/20 16:19 +0200, GMT+02, 19.5, 21.66394
2021/10/20 16:39 +0200, GMT+02, 19.3, 21.746
2021/10/20 16:59 +0200, GMT+02, 19.2, 21.82692
2021/10/20 17:19 +0200, GMT+02, 19.1, 21.90694
2021/10/20 17:39 +0200, GMT+02, 19.1, 21.98631
2021/10/20 17:59 +0200, GMT+02, 19, 22.06502
2021/10/20 18:19 +0200, GMT+02, 18.9, 22.14287
2021/10/20 18:39 +0200, GMT+02, 18.8, 22.21987
2021/10/20 18:59 +0200, GMT+02, 18.6, 22.29581
2021/10/20 19:19 +0200, GMT+02, 18.5, 22.37071
2021/10/20 19:39 +0200, GMT+02, 18.4, 22.4448
2021/10/20 19:59 +0200, GMT+02, 18.3, 22.51809
2021/10/20 20:19 +0200, GMT+02, 18.1, 22.59039
2021/10/20 20:39 +0200, GMT+02, 18.1, 22.66192
2021/10/20 20:59 +0200, GMT+02, 18, 22.73295
2021/10/20 21:19 +0200, GMT+02, 18, 22.80337
2021/10/20 21:39 +0200, GMT+02, 17.8, 22.87304
