time, timezone, temperature, strength
2021/06/11 12:28 +0200, GMT+02, 26.3, 
2021/06/11 12:48 +0200, GMT+02, 23.9, 
2021/06/11 13:08 +0200, GMT+02, 25.4, 
2021/06/11 13:28 +0200, GMT+02, 28.5, 
2021/06/11 13:48 +0200, GMT+02, 24.3, 
2021/06/11 14:08 +0200, GMT+02, 24.5, 
2021/06/11 14:28 +0200, GMT+02, 24.6, 
2021/06/11 14:48 +0200, GMT+02, 24.7, 0
2021/06/11 15:08 +0200, GMT+02, 24.8, 0
2021/06/11 15:28 +0200, GMT+02, 25, 0
2021/06/11 15:48 +0200, GMT+02, 25.3, 0
2021/06/11 16:08 +0200, GMT+02, 25.6, 0
2021/06/11 16:28 +0200, GMT+02, 25.8, 0
2021/06/11 16:48 +0200, GMT+02, 26, 0
2021/06/11 17:08 +0200, GMT+02, 26.2, 0
2021/06/11 17:28 +0200, GMT+02, 26.4, 0
2021/06/11 17:48 +0200, GMT+02, 26.5, 0
2021/06/11 18:08 +0200, GMT+02, 26.5, 0
2021/06/11 18:28 +0200, GMT+02, 26.6, 0
2021/06/11 18:48 +0200, GMT+02, 26.9, 0
2021/06/11 19:08 +0200, GMT+02, 27.1, 0
2021/06/11 19:28 +0200, GMT+02, 27.4, 0
2021/06/11 19:47 +0200, GMT+02, 27.7, 0
2021/06/11 20:07 +0200, GMT+02, 28.1, 0
2021/06/11 20:27 +0200, GMT+02, 28.5, 0
2021/06/11 20:47 +0200, GMT+02, 29, 0
2021/06/11 21:07 +0200, GMT+02, 29.5, 0
2021/06/11 21:27 +0200, GMT+02, 30, 0
2021/06/11 21:47 +0200, GMT+02, 30.6, 0
2021/06/11 22:07 +0200, GMT+02, 31.3, 0
2021/06/11 22:27 +0200, GMT+02, 32, 0
2021/06/11 22:47 +0200, GMT+02, 32.4, 0
2021/06/11 23:07 +0200, GMT+02, 32.7, 0
2021/06/11 23:27 +0200, GMT+02, 32.9, 0
2021/06/11 23:47 +0200, GMT+02, 33.1, 0
2021/06/12 00:07 +0200, GMT+02, 33.2, 0
2021/06/12 00:27 +0200, GMT+02, 33.3, 0.07864
2021/06/12 00:47 +0200, GMT+02, 33.5, 0.84246
2021/06/12 01:07 +0200, GMT+02, 33.5, 1.57873
2021/06/12 01:27 +0200, GMT+02, 33.6, 2.28807
2021/06/12 01:47 +0200, GMT+02, 33.6, 2.97241
2021/06/12 02:07 +0200, GMT+02, 33.6, 3.63221
2021/06/12 02:27 +0200, GMT+02, 33.5, 4.26789
2021/06/12 02:47 +0200, GMT+02, 33.4, 4.87989
2021/06/12 03:07 +0200, GMT+02, 33.3, 5.46984
2021/06/12 03:27 +0200, GMT+02, 33.1, 6.03803
2021/06/12 03:47 +0200, GMT+02, 33, 6.58588
2021/06/12 04:07 +0200, GMT+02, 32.8, 7.11469
2021/06/12 04:27 +0200, GMT+02, 32.5, 7.62354
2021/06/12 04:47 +0200, GMT+02, 32.3, 8.09095
2021/06/12 05:07 +0200, GMT+02, 32.1, 8.46978
2021/06/12 05:27 +0200, GMT+02, 31.8, 8.83533
2021/06/12 05:47 +0200, GMT+02, 31.6, 9.18835
2021/06/12 06:07 +0200, GMT+02, 31.3, 9.52953
2021/06/12 06:27 +0200, GMT+02, 31.1, 9.85952
2021/06/12 06:47 +0200, GMT+02, 30.8, 10.1789
2021/06/12 07:07 +0200, GMT+02, 30.5, 10.48755
2021/06/12 07:27 +0200, GMT+02, 30.3, 10.78666
2021/06/12 07:47 +0200, GMT+02, 30.1, 11.07731
2021/06/12 08:07 +0200, GMT+02, 30, 11.3605
2021/06/12 08:27 +0200, GMT+02, 29.9, 11.63716
2021/06/12 08:47 +0200, GMT+02, 29.8, 11.90753
2021/06/12 09:07 +0200, GMT+02, 29.8, 12.17246
2021/06/12 09:27 +0200, GMT+02, 29.8, 12.43291
2021/06/12 09:47 +0200, GMT+02, 29.8, 12.68862
2021/06/12 10:07 +0200, GMT+02, 29.8, 12.93997
2021/06/12 10:27 +0200, GMT+02, 29.9, 13.18762
2021/06/12 10:47 +0200, GMT+02, 29.9, 13.43171
2021/06/12 11:07 +0200, GMT+02, 29.8, 13.67129
2021/06/12 11:27 +0200, GMT+02, 29.8, 13.90653
2021/06/12 11:47 +0200, GMT+02, 30, 14.13907
2021/06/12 12:07 +0200, GMT+02, 30.1, 14.36948
2021/06/12 12:27 +0200, GMT+02, 30.2, 14.59731
2021/06/12 12:47 +0200, GMT+02, 30.5, 14.8236
2021/06/12 13:07 +0200, GMT+02, 30.8, 15.04934
2021/06/12 13:27 +0200, GMT+02, 31.3, 15.27547
2021/06/12 13:47 +0200, GMT+02, 31.8, 15.5029
2021/06/12 14:07 +0200, GMT+02, 32.4, 15.73203
2021/06/12 14:27 +0200, GMT+02, 32.8, 15.96233
2021/06/12 14:47 +0200, GMT+02, 33.2, 16.1928
2021/06/12 15:07 +0200, GMT+02, 33.6, 16.42341
2021/06/12 15:27 +0200, GMT+02, 34.1, 16.65458
2021/06/12 15:47 +0200, GMT+02, 34.7, 16.88719
2021/06/12 16:07 +0200, GMT+02, 35.2, 17.12116
2021/06/12 16:27 +0200, GMT+02, 35.6, 17.35552
2021/06/12 16:47 +0200, GMT+02, 36, 17.58979
2021/06/12 17:07 +0200, GMT+02, 36.3, 17.82348
2021/06/12 17:27 +0200, GMT+02, 36.5, 18.05572
2021/06/12 17:47 +0200, GMT+02, 36.5, 18.28521
2021/06/12 18:07 +0200, GMT+02, 36.6, 18.51161
2021/06/12 18:27 +0200, GMT+02, 36.5, 18.73457
2021/06/12 18:47 +0200, GMT+02, 36.4, 18.95338
2021/06/12 19:07 +0200, GMT+02, 36.4, 19.16858
2021/06/12 19:27 +0200, GMT+02, 36.3, 19.38027
2021/06/12 19:47 +0200, GMT+02, 36.2, 19.58817
2021/06/12 20:07 +0200, GMT+02, 36.1, 19.79256
2021/06/12 20:27 +0200, GMT+02, 36, 19.99322
2021/06/12 20:47 +0200, GMT+02, 35.8, 20.19004
2021/06/12 21:07 +0200, GMT+02, 35.5, 20.38242
2021/06/12 21:27 +0200, GMT+02, 35.2, 20.57012
2021/06/12 21:47 +0200, GMT+02, 34.9, 20.75332
2021/06/12 22:07 +0200, GMT+02, 34.6, 20.93215
2021/06/12 22:27 +0200, GMT+02, 34.2, 21.10643
2021/06/12 22:47 +0200, GMT+02, 33.9, 21.27629
2021/06/12 23:07 +0200, GMT+02, 33.6, 21.44222
2021/06/12 23:27 +0200, GMT+02, 33.3, 21.60434
2021/06/12 23:47 +0200, GMT+02, 33, 21.76276
2021/06/13 00:07 +0200, GMT+02, 32.6, 21.91728
2021/06/13 00:27 +0200, GMT+02, 32.4, 22.06833
2021/06/13 00:47 +0200, GMT+02, 32.1, 22.21631
2021/06/13 01:07 +0200, GMT+02, 31.8, 22.36102
2021/06/13 01:27 +0200, GMT+02, 31.5, 22.50254
2021/06/13 01:47 +0200, GMT+02, 31.3, 22.64124
2021/06/13 02:07 +0200, GMT+02, 31, 22.77722
2021/06/13 02:27 +0200, GMT+02, 30.7, 22.91025
2021/06/13 02:47 +0200, GMT+02, 30.4, 23.04041
2021/06/13 03:07 +0200, GMT+02, 30.1, 23.16778
2021/06/13 03:27 +0200, GMT+02, 29.8, 23.29243
2021/06/13 03:47 +0200, GMT+02, 29.5, 23.41443
2021/06/13 04:07 +0200, GMT+02, 29.1, 23.53358
2021/06/13 04:27 +0200, GMT+02, 28.9, 23.65023
2021/06/13 04:47 +0200, GMT+02, 28.6, 23.76468
2021/06/13 05:07 +0200, GMT+02, 28.3, 23.87673
2021/06/13 05:27 +0200, GMT+02, 28, 23.98654
2021/06/13 05:47 +0200, GMT+02, 27.7, 24.09398
2021/06/13 06:07 +0200, GMT+02, 27.4, 24.19918
2021/06/13 06:27 +0200, GMT+02, 27.1, 24.30222
2021/06/13 06:47 +0200, GMT+02, 26.9, 24.40336
2021/06/13 07:07 +0200, GMT+02, 26.7, 24.50288
2021/06/13 07:27 +0200, GMT+02, 26.5, 24.60081
2021/06/13 07:47 +0200, GMT+02, 26.3, 24.69719
2021/06/13 08:07 +0200, GMT+02, 26.3, 24.79249
2021/06/13 08:27 +0200, GMT+02, 26.2, 24.88695
2021/06/13 08:47 +0200, GMT+02, 26.3, 24.98081
2021/06/13 09:07 +0200, GMT+02, 26.3, 25.0743
2021/06/13 09:27 +0200, GMT+02, 26.4, 25.16741
2021/06/13 09:47 +0200, GMT+02, 26.5, 25.26038
2021/06/13 10:07 +0200, GMT+02, 26.6, 25.3532
2021/06/13 10:27 +0200, GMT+02, 26.6, 25.44565
2021/06/13 10:47 +0200, GMT+02, 26.6, 25.53752
2021/06/13 11:07 +0200, GMT+02, 26.6, 25.62882
2021/06/13 11:27 +0200, GMT+02, 26.8, 25.71999
2021/06/13 11:47 +0200, GMT+02, 27, 25.81144
2021/06/13 12:07 +0200, GMT+02, 27.1, 25.90297
2021/06/13 12:27 +0200, GMT+02, 27.3, 25.99456
2021/06/13 12:47 +0200, GMT+02, 27.6, 26.08663
2021/06/13 13:07 +0200, GMT+02, 28.1, 26.17982
2021/06/13 13:27 +0200, GMT+02, 28.8, 26.27497
2021/06/13 13:47 +0200, GMT+02, 29.5, 26.3725
2021/06/13 14:07 +0200, GMT+02, 30.2, 26.4724
2021/06/13 14:27 +0200, GMT+02, 30.9, 26.57467
2021/06/13 14:47 +0200, GMT+02, 31.5, 26.67908
2021/06/13 15:07 +0200, GMT+02, 32.2, 26.78562
2021/06/13 15:27 +0200, GMT+02, 32.8, 26.89428
2021/06/13 15:47 +0200, GMT+02, 33.3, 27.00459
2021/06/13 16:07 +0200, GMT+02, 33.9, 27.11654
2021/06/13 16:27 +0200, GMT+02, 34.4, 27.23021
2021/06/13 16:47 +0200, GMT+02, 34.9, 27.34517
2021/06/13 17:07 +0200, GMT+02, 35.3, 27.46126
2021/06/13 17:27 +0200, GMT+02, 35.7, 27.57824
2021/06/13 17:47 +0200, GMT+02, 35.9, 27.69565
2021/06/13 18:07 +0200, GMT+02, 36, 27.81281
2021/06/13 18:27 +0200, GMT+02, 36.1, 27.92948
2021/06/13 18:47 +0200, GMT+02, 36.1, 28.04546
2021/06/13 19:07 +0200, GMT+02, 36.3, 28.16097
2021/06/13 19:27 +0200, GMT+02, 36.3, 28.27603
2021/06/13 19:47 +0200, GMT+02, 36.2, 28.38997
2021/06/13 20:07 +0200, GMT+02, 36.1, 28.5026
2021/06/13 20:27 +0200, GMT+02, 36, 28.61395
2021/06/13 20:47 +0200, GMT+02, 35.8, 28.72384
2021/06/13 21:07 +0200, GMT+02, 35.5, 28.83186
2021/06/13 21:27 +0200, GMT+02, 35.3, 28.93807
2021/06/13 21:47 +0200, GMT+02, 35, 29.04249
2021/06/13 22:07 +0200, GMT+02, 34.6, 29.14477
2021/06/13 22:27 +0200, GMT+02, 34.2, 29.24475
2021/06/13 22:47 +0200, GMT+02, 33.8, 29.3425
2021/06/13 23:07 +0200, GMT+02, 33.5, 29.43825
2021/06/13 23:27 +0200, GMT+02, 33.1, 29.53205
2021/06/13 23:47 +0200, GMT+02, 32.8, 29.62394
2021/06/14 00:07 +0200, GMT+02, 32.5, 29.71415
2021/06/14 00:27 +0200, GMT+02, 32.1, 29.80252
2021/06/14 00:47 +0200, GMT+02, 31.8, 29.8891
2021/06/14 01:07 +0200, GMT+02, 31.5, 29.97411
2021/06/14 01:27 +0200, GMT+02, 31.2, 30.05757
2021/06/14 01:47 +0200, GMT+02, 31, 30.13969
2021/06/14 02:07 +0200, GMT+02, 30.6, 30.22032
2021/06/14 02:27 +0200, GMT+02, 30.3, 30.29931
2021/06/14 02:47 +0200, GMT+02, 30.1, 30.37705
2021/06/14 03:07 +0200, GMT+02, 29.8, 30.45354
2021/06/14 03:27 +0200, GMT+02, 29.5, 30.52871
2021/06/14 03:47 +0200, GMT+02, 29.3, 30.60263
2021/06/14 04:07 +0200, GMT+02, 29, 30.67536
2021/06/14 04:27 +0200, GMT+02, 28.6, 30.74663
2021/06/14 04:47 +0200, GMT+02, 28.4, 30.81661
2021/06/14 05:07 +0200, GMT+02, 28.1, 30.88548
2021/06/14 05:27 +0200, GMT+02, 27.9, 30.95325
2021/06/14 05:47 +0200, GMT+02, 27.6, 31.01995
2021/06/14 06:07 +0200, GMT+02, 27.3, 31.08545
2021/06/14 06:27 +0200, GMT+02, 27.1, 31.14991
2021/06/14 06:47 +0200, GMT+02, 26.8, 31.21335
2021/06/14 07:07 +0200, GMT+02, 26.6, 31.27578
2021/06/14 07:27 +0200, GMT+02, 26.4, 31.33738
2021/06/14 07:47 +0200, GMT+02, 26.3, 31.39828
2021/06/14 08:07 +0200, GMT+02, 26.1, 31.4585
2021/06/14 08:27 +0200, GMT+02, 26.1, 31.5182
2021/06/14 08:47 +0200, GMT+02, 26.1, 31.57766
2021/06/14 09:07 +0200, GMT+02, 26.1, 31.63687
2021/06/14 09:27 +0200, GMT+02, 26.2, 31.69599
2021/06/14 09:47 +0200, GMT+02, 26.3, 31.75515
2021/06/14 10:07 +0200, GMT+02, 26.4, 31.81435
2021/06/14 10:27 +0200, GMT+02, 26.5, 31.87359
2021/06/14 10:47 +0200, GMT+02, 26.4, 31.9326
2021/06/14 11:07 +0200, GMT+02, 26.4, 31.99123
2021/06/14 11:27 +0200, GMT+02, 26.5, 32.04977
2021/06/14 11:47 +0200, GMT+02, 26.6, 32.10835
2021/06/14 12:07 +0200, GMT+02, 26.8, 32.16711
2021/06/14 12:27 +0200, GMT+02, 27, 32.22618
2021/06/14 12:47 +0200, GMT+02, 27.3, 32.2857
2021/06/14 13:07 +0200, GMT+02, 27.9, 32.34623
2021/06/14 13:27 +0200, GMT+02, 28.6, 32.40831
2021/06/14 13:47 +0200, GMT+02, 29.3, 32.47215
2021/06/14 14:07 +0200, GMT+02, 29.9, 32.53751
2021/06/14 14:27 +0200, GMT+02, 30.4, 32.60415
2021/06/14 14:47 +0200, GMT+02, 31, 32.67209
2021/06/14 15:07 +0200, GMT+02, 31.6, 32.74145
