time, timezone, temperature, strength
2021/10/07 18:04 +0200, GMT+02, 21.6, 0
2021/10/07 18:24 +0200, GMT+02, 21.6, 0
2021/10/07 18:44 +0200, GMT+02, 21.5, 0
2021/10/07 19:04 +0200, GMT+02, 21.5, 0
2021/10/07 19:24 +0200, GMT+02, 21.5, 0
2021/10/07 19:44 +0200, GMT+02, 21.5, 0
2021/10/07 20:04 +0200, GMT+02, 21.5, 0
2021/10/07 20:24 +0200, GMT+02, 21.5, 0
2021/10/07 20:44 +0200, GMT+02, 21.5, 0
2021/10/07 21:04 +0200, GMT+02, 21.5, 0
2021/10/07 21:24 +0200, GMT+02, 21.6, 0
2021/10/07 21:44 +0200, GMT+02, 21.7, 0
2021/10/07 22:04 +0200, GMT+02, 21.9, 0
2021/10/07 22:24 +0200, GMT+02, 22, 0
2021/10/07 22:44 +0200, GMT+02, 22.2, 0
2021/10/07 23:04 +0200, GMT+02, 22.5, 0
2021/10/07 23:24 +0200, GMT+02, 22.8, 0
2021/10/07 23:44 +0200, GMT+02, 23, 0
2021/10/08 00:04 +0200, GMT+02, 23.4, 0
2021/10/08 00:24 +0200, GMT+02, 23.8, 0
2021/10/08 00:44 +0200, GMT+02, 24.1, 0
2021/10/08 01:04 +0200, GMT+02, 24.6, 0
2021/10/08 01:24 +0200, GMT+02, 25, 0
2021/10/08 01:44 +0200, GMT+02, 25.5, 0
2021/10/08 02:04 +0200, GMT+02, 26, 0
2021/10/08 02:24 +0200, GMT+02, 26.6, 0
2021/10/08 02:44 +0200, GMT+02, 27.3, 0
2021/10/08 03:04 +0200, GMT+02, 28, 0
2021/10/08 03:24 +0200, GMT+02, 28.8, 0
2021/10/08 03:44 +0200, GMT+02, 29.4, 0
2021/10/08 04:04 +0200, GMT+02, 30, 0
2021/10/08 04:24 +0200, GMT+02, 30.3, 0
2021/10/08 04:44 +0200, GMT+02, 30.7, 0
2021/10/08 05:04 +0200, GMT+02, 31, 0
2021/10/08 05:24 +0200, GMT+02, 31.3, 0
2021/10/08 05:44 +0200, GMT+02, 31.6, 0.32509
2021/10/08 06:04 +0200, GMT+02, 31.9, 1.03036
2021/10/08 06:24 +0200, GMT+02, 32.1, 1.71659
2021/10/08 06:44 +0200, GMT+02, 32.3, 2.38356
2021/10/08 07:04 +0200, GMT+02, 32.5, 3.03245
2021/10/08 07:24 +0200, GMT+02, 32.6, 3.66305
2021/10/08 07:44 +0200, GMT+02, 32.8, 4.27645
2021/10/08 08:04 +0200, GMT+02, 33, 4.87486
2021/10/08 08:24 +0200, GMT+02, 33, 5.45675
2021/10/08 08:44 +0200, GMT+02, 33.1, 6.02193
2021/10/08 09:04 +0200, GMT+02, 33.2, 6.57246
2021/10/08 09:24 +0200, GMT+02, 33.3, 7.10958
2021/10/08 09:44 +0200, GMT+02, 33.3, 7.63208
2021/10/08 10:04 +0200, GMT+02, 33.4, 8.11293
2021/10/08 10:24 +0200, GMT+02, 33.4, 8.51001
2021/10/08 10:44 +0200, GMT+02, 33.5, 8.89743
2021/10/08 11:04 +0200, GMT+02, 33.5, 9.27567
2021/10/08 11:24 +0200, GMT+02, 33.5, 9.64443
2021/10/08 11:44 +0200, GMT+02, 33.5, 10.00417
2021/10/08 12:04 +0200, GMT+02, 33.6, 10.35603
2021/10/08 12:24 +0200, GMT+02, 33.6, 10.70036
2021/10/08 12:44 +0200, GMT+02, 33.6, 11.03681
2021/10/08 13:04 +0200, GMT+02, 33.6, 11.36574
2021/10/08 13:24 +0200, GMT+02, 33.7, 11.68812
