time, timezone, temperature, strength
2021/02/15 17:49 +0100, GMT+01, 20, 
2021/02/16 12:47 +0100, GMT+01, 11.1, 
2021/02/16 13:06 +0100, GMT+01, 9.9, 
2021/02/16 13:26 +0100, GMT+01, 10.1, 
2021/02/16 13:46 +0100, GMT+01, 10.4, 0
2021/02/16 14:06 +0100, GMT+01, 11.4, 0
2021/02/16 14:26 +0100, GMT+01, 11.5, 0
2021/02/16 14:46 +0100, GMT+01, 11.6, 0
2021/02/16 15:06 +0100, GMT+01, 11.6, 0
2021/02/16 15:26 +0100, GMT+01, 11.7, 0
2021/02/16 15:46 +0100, GMT+01, 11.7, 0
2021/02/16 16:06 +0100, GMT+01, 11.8, 0
2021/02/16 16:26 +0100, GMT+01, 11.8, 0
2021/02/16 16:46 +0100, GMT+01, 11.9, 0
2021/02/16 17:06 +0100, GMT+01, 11.9, 0
2021/02/16 17:26 +0100, GMT+01, 12, 0
2021/02/16 17:46 +0100, GMT+01, 12, 0
2021/02/16 18:06 +0100, GMT+01, 12.1, 0
2021/02/16 18:26 +0100, GMT+01, 12.1, 0
2021/02/16 18:46 +0100, GMT+01, 12.2, 0
2021/02/16 19:06 +0100, GMT+01, 12.2, 0
2021/02/16 19:26 +0100, GMT+01, 12.3, 0
2021/02/16 19:46 +0100, GMT+01, 12.3, 0
2021/02/16 20:06 +0100, GMT+01, 12.4, 0
2021/02/16 20:26 +0100, GMT+01, 12.5, 0
2021/02/16 20:46 +0100, GMT+01, 12.5, 0
2021/02/16 21:06 +0100, GMT+01, 12.5, 0
2021/02/16 21:26 +0100, GMT+01, 12.6, 0
2021/02/16 21:46 +0100, GMT+01, 12.6, 0
2021/02/16 22:06 +0100, GMT+01, 12.7, 0
2021/02/16 22:26 +0100, GMT+01, 12.8, 0
2021/02/16 22:46 +0100, GMT+01, 12.9, 0
2021/02/16 23:06 +0100, GMT+01, 13, 0
2021/02/16 23:26 +0100, GMT+01, 13.1, 0
2021/02/16 23:46 +0100, GMT+01, 13.2, 0
2021/02/17 00:06 +0100, GMT+01, 13.3, 0
2021/02/17 00:26 +0100, GMT+01, 13.5, 0
2021/02/17 00:46 +0100, GMT+01, 13.6, 0
2021/02/17 01:06 +0100, GMT+01, 13.8, 0
2021/02/17 01:26 +0100, GMT+01, 14, 0
2021/02/17 01:46 +0100, GMT+01, 14.1, 0
2021/02/17 02:06 +0100, GMT+01, 14.3, 0
2021/02/17 02:26 +0100, GMT+01, 14.5, 0
2021/02/17 02:46 +0100, GMT+01, 14.7, 0
2021/02/17 03:06 +0100, GMT+01, 15, 0
2021/02/17 03:26 +0100, GMT+01, 15.1, 0
2021/02/17 03:46 +0100, GMT+01, 15.4, 0
2021/02/17 04:06 +0100, GMT+01, 15.6, 0
2021/02/17 04:26 +0100, GMT+01, 15.9, 0
2021/02/17 04:46 +0100, GMT+01, 16.1, 0
2021/02/17 05:06 +0100, GMT+01, 16.5, 0
2021/02/17 05:26 +0100, GMT+01, 16.7, 0
2021/02/17 05:46 +0100, GMT+01, 17, 0
2021/02/17 06:06 +0100, GMT+01, 17.3, 0
2021/02/17 06:26 +0100, GMT+01, 17.6, 0
2021/02/17 06:46 +0100, GMT+01, 18, 0
2021/02/17 07:06 +0100, GMT+01, 18.3, 0
2021/02/17 07:26 +0100, GMT+01, 18.6, 0
2021/02/17 07:46 +0100, GMT+01, 19, 0
2021/02/17 08:06 +0100, GMT+01, 19.3, 0
2021/02/17 08:26 +0100, GMT+01, 19.6, 0
2021/02/17 08:46 +0100, GMT+01, 19.9, 0
2021/02/17 09:06 +0100, GMT+01, 20.1, 0
2021/02/17 09:26 +0100, GMT+01, 20.4, 0
2021/02/17 09:46 +0100, GMT+01, 20.6, 0
2021/02/17 10:06 +0100, GMT+01, 20.8, 0
2021/02/17 10:26 +0100, GMT+01, 20.9, 0.32521
2021/02/17 10:46 +0100, GMT+01, 21.1, 0.7519
2021/02/17 11:06 +0100, GMT+01, 21.1, 1.17116
2021/02/17 11:26 +0100, GMT+01, 21.3, 1.58326
2021/02/17 11:46 +0100, GMT+01, 21.3, 1.98847
2021/02/17 12:06 +0100, GMT+01, 21.4, 2.38633
2021/02/17 12:26 +0100, GMT+01, 21.4, 2.77647
2021/02/17 12:46 +0100, GMT+01, 21.5, 3.15952
2021/02/17 13:06 +0100, GMT+01, 21.5, 3.53575
2021/02/17 13:26 +0100, GMT+01, 21.5, 3.90444
2021/02/17 13:46 +0100, GMT+01, 21.5, 4.26588
2021/02/17 14:06 +0100, GMT+01, 21.5, 4.62036
2021/02/17 14:26 +0100, GMT+01, 21.5, 4.96813
2021/02/17 14:46 +0100, GMT+01, 21.5, 5.30945
2021/02/17 15:06 +0100, GMT+01, 21.4, 5.64367
2021/02/17 15:26 +0100, GMT+01, 21.4, 5.97105
2021/02/17 15:46 +0100, GMT+01, 21.4, 6.29271
2021/02/17 16:06 +0100, GMT+01, 21.3, 6.608
2021/02/17 16:26 +0100, GMT+01, 21.3, 6.91716
2021/02/17 16:46 +0100, GMT+01, 21.2, 7.22039
2021/02/17 17:06 +0100, GMT+01, 21.1, 7.51713
2021/02/17 17:26 +0100, GMT+01, 21.1, 7.80837
2021/02/17 17:46 +0100, GMT+01, 21, 8.07563
2021/02/17 18:06 +0100, GMT+01, 21, 8.30027
2021/02/17 18:26 +0100, GMT+01, 20.8, 8.52035
2021/02/17 18:46 +0100, GMT+01, 20.7, 8.73544
2021/02/17 19:06 +0100, GMT+01, 20.6, 8.94628
2021/02/17 19:26 +0100, GMT+01, 20.5, 9.15302
2021/02/17 19:46 +0100, GMT+01, 20.4, 9.35579
2021/02/17 20:06 +0100, GMT+01, 20.3, 9.55472
2021/02/17 20:26 +0100, GMT+01, 20.2, 9.74992
2021/02/17 20:46 +0100, GMT+01, 20.1, 9.94151
2021/02/17 21:06 +0100, GMT+01, 20, 10.1296
2021/02/17 21:26 +0100, GMT+01, 19.8, 10.31378
2021/02/17 21:46 +0100, GMT+01, 19.7, 10.49418
2021/02/17 22:06 +0100, GMT+01, 19.6, 10.6714
2021/02/17 22:26 +0100, GMT+01, 19.5, 10.84554
2021/02/17 22:46 +0100, GMT+01, 19.3, 11.0162
2021/02/17 23:06 +0100, GMT+01, 19.1, 11.18302
