time, timezone, temperature, strength
2021/01/25 15:49 +0100, GMT+01, 6.4, 
2021/01/25 16:08 +0100, GMT+01, 5.5, 
2021/01/25 16:28 +0100, GMT+01, 12.6, 0
2021/01/25 16:48 +0100, GMT+01, 12.7, 0
2021/01/25 17:08 +0100, GMT+01, 12.4, 0
2021/01/25 17:28 +0100, GMT+01, 12.4, 0
2021/01/25 17:48 +0100, GMT+01, 12.3, 0
2021/01/25 18:08 +0100, GMT+01, 12.1, 0
2021/01/25 18:28 +0100, GMT+01, 12, 0
2021/01/25 18:48 +0100, GMT+01, 11.8, 0
2021/01/25 19:08 +0100, GMT+01, 11.6, 0
2021/01/25 19:28 +0100, GMT+01, 11.4, 0
2021/01/25 19:48 +0100, GMT+01, 11.2, 0
2021/01/25 20:08 +0100, GMT+01, 11.1, 0
2021/01/25 20:28 +0100, GMT+01, 10.9, 0
2021/01/25 20:48 +0100, GMT+01, 10.8, 0
2021/01/25 21:08 +0100, GMT+01, 10.6, 0
2021/01/25 21:28 +0100, GMT+01, 10.5, 0
2021/01/25 21:48 +0100, GMT+01, 10.3, 0
2021/01/25 22:08 +0100, GMT+01, 10.1, 0
2021/01/25 22:28 +0100, GMT+01, 10, 0
2021/01/25 22:48 +0100, GMT+01, 9.9, 0
2021/01/25 23:08 +0100, GMT+01, 9.8, 0
2021/01/25 23:28 +0100, GMT+01, 9.6, 0
2021/01/25 23:48 +0100, GMT+01, 9.6, 0
2021/01/26 00:08 +0100, GMT+01, 9.5, 0
2021/01/26 00:28 +0100, GMT+01, 9.3, 0
2021/01/26 00:48 +0100, GMT+01, 9.3, 0
2021/01/26 01:08 +0100, GMT+01, 9.2, 0
2021/01/26 01:28 +0100, GMT+01, 9.1, 0
2021/01/26 01:48 +0100, GMT+01, 9, 0
2021/01/26 02:08 +0100, GMT+01, 9, 0
2021/01/26 02:28 +0100, GMT+01, 8.9, 0
2021/01/26 02:48 +0100, GMT+01, 8.8, 0
2021/01/26 03:08 +0100, GMT+01, 8.8, 0
2021/01/26 03:28 +0100, GMT+01, 8.8, 0
2021/01/26 03:48 +0100, GMT+01, 8.8, 0
2021/01/26 04:08 +0100, GMT+01, 8.8, 0
2021/01/26 04:28 +0100, GMT+01, 8.7, 0
2021/01/26 04:48 +0100, GMT+01, 8.8, 0
2021/01/26 05:08 +0100, GMT+01, 8.8, 0
2021/01/26 05:28 +0100, GMT+01, 8.8, 0
2021/01/26 05:48 +0100, GMT+01, 8.9, 0
2021/01/26 06:08 +0100, GMT+01, 8.9, 0
2021/01/26 06:28 +0100, GMT+01, 9, 0
2021/01/26 06:48 +0100, GMT+01, 9.1, 0
2021/01/26 07:08 +0100, GMT+01, 9.1, 0
2021/01/26 07:28 +0100, GMT+01, 9.3, 0
2021/01/26 07:48 +0100, GMT+01, 9.3, 0
2021/01/26 08:08 +0100, GMT+01, 9.5, 0
2021/01/26 08:28 +0100, GMT+01, 9.6, 0
2021/01/26 08:48 +0100, GMT+01, 9.7, 0
2021/01/26 09:08 +0100, GMT+01, 9.9, 0
2021/01/26 09:28 +0100, GMT+01, 10, 0
2021/01/26 09:48 +0100, GMT+01, 10.2, 0
2021/01/26 10:08 +0100, GMT+01, 10.3, 0
2021/01/26 10:28 +0100, GMT+01, 10.5, 0
2021/01/26 10:48 +0100, GMT+01, 10.8, 0
2021/01/26 11:08 +0100, GMT+01, 11, 0
2021/01/26 11:28 +0100, GMT+01, 11.1, 0
2021/01/26 11:48 +0100, GMT+01, 11.4, 0
2021/01/26 12:08 +0100, GMT+01, 11.6, 0
2021/01/26 12:28 +0100, GMT+01, 12, 0
2021/01/26 12:48 +0100, GMT+01, 12.2, 0
2021/01/26 13:08 +0100, GMT+01, 12.5, 0
2021/01/26 13:28 +0100, GMT+01, 12.8, 0
2021/01/26 13:48 +0100, GMT+01, 13.1, 0
2021/01/26 14:08 +0100, GMT+01, 13.3, 0
2021/01/26 14:28 +0100, GMT+01, 13.6, 0
2021/01/26 14:48 +0100, GMT+01, 14, 0
2021/01/26 15:08 +0100, GMT+01, 14.3, 0
2021/01/26 15:28 +0100, GMT+01, 14.6, 0
2021/01/26 15:48 +0100, GMT+01, 14.9, 0
2021/01/26 16:08 +0100, GMT+01, 15.2, 0
2021/01/26 16:28 +0100, GMT+01, 15.5, 0
2021/01/26 16:48 +0100, GMT+01, 15.8, 0
2021/01/26 17:08 +0100, GMT+01, 16, 0
2021/01/26 17:28 +0100, GMT+01, 16.2, 0
2021/01/26 17:48 +0100, GMT+01, 16.5, 0
2021/01/26 18:08 +0100, GMT+01, 16.6, 0
2021/01/26 18:28 +0100, GMT+01, 16.7, 0.16414
2021/01/26 18:48 +0100, GMT+01, 16.9, 0.50323
2021/01/26 19:08 +0100, GMT+01, 17, 0.83919
2021/01/26 19:28 +0100, GMT+01, 17.1, 1.17112
2021/01/26 19:48 +0100, GMT+01, 17.2, 1.49913
2021/01/26 20:08 +0100, GMT+01, 17.3, 1.82331
2021/01/26 20:28 +0100, GMT+01, 17.3, 2.14283
2021/01/26 20:48 +0100, GMT+01, 17.4, 2.45784
2021/01/26 21:08 +0100, GMT+01, 17.5, 2.76938
2021/01/26 21:28 +0100, GMT+01, 17.5, 3.07664
2021/01/26 21:48 +0100, GMT+01, 17.6, 3.37975
2021/01/26 22:08 +0100, GMT+01, 17.6, 3.67883
2021/01/26 22:28 +0100, GMT+01, 17.6, 3.97336
2021/01/26 22:48 +0100, GMT+01, 17.6, 4.26301
2021/01/26 23:08 +0100, GMT+01, 17.6, 4.54818
2021/01/26 23:28 +0100, GMT+01, 17.7, 4.82981
2021/01/26 23:48 +0100, GMT+01, 17.7, 5.10802
2021/01/27 00:08 +0100, GMT+01, 17.8, 5.38289
2021/01/27 00:28 +0100, GMT+01, 17.8, 5.65452
2021/01/27 00:48 +0100, GMT+01, 17.8, 5.92218
2021/01/27 01:08 +0100, GMT+01, 17.8, 6.18601
2021/01/27 01:28 +0100, GMT+01, 17.8, 6.44611
2021/01/27 01:48 +0100, GMT+01, 17.8, 6.70258
2021/01/27 02:08 +0100, GMT+01, 17.9, 6.95627
2021/01/27 02:28 +0100, GMT+01, 17.9, 7.20724
2021/01/27 02:48 +0100, GMT+01, 17.9, 7.45484
2021/01/27 03:08 +0100, GMT+01, 17.9, 7.69914
2021/01/27 03:28 +0100, GMT+01, 17.9, 7.94024
2021/01/27 03:48 +0100, GMT+01, 18, 8.14314
2021/01/27 04:08 +0100, GMT+01, 18, 8.33219
2021/01/27 04:28 +0100, GMT+01, 18, 8.51884
2021/01/27 04:48 +0100, GMT+01, 18, 8.70315
2021/01/27 05:08 +0100, GMT+01, 18, 8.88519
2021/01/27 05:28 +0100, GMT+01, 18, 9.065
2021/01/27 05:48 +0100, GMT+01, 18, 9.24263
2021/01/27 06:08 +0100, GMT+01, 18, 9.41815
2021/01/27 06:28 +0100, GMT+01, 18, 9.59175
2021/01/27 06:48 +0100, GMT+01, 18, 9.76318
2021/01/27 07:08 +0100, GMT+01, 18, 9.93263
2021/01/27 07:28 +0100, GMT+01, 17.9, 10.09966
2021/01/27 07:48 +0100, GMT+01, 18, 10.26482
2021/01/27 08:08 +0100, GMT+01, 17.9, 10.42815
2021/01/27 08:28 +0100, GMT+01, 17.9, 10.58921
2021/01/27 08:48 +0100, GMT+01, 17.8, 10.74806
2021/01/27 09:08 +0100, GMT+01, 17.9, 10.90522
2021/01/27 09:28 +0100, GMT+01, 17.8, 11.06071
2021/01/27 09:48 +0100, GMT+01, 17.8, 11.21412
2021/01/27 10:08 +0100, GMT+01, 17.8, 11.36595
2021/01/27 10:28 +0100, GMT+01, 17.8, 11.51624
2021/01/27 10:48 +0100, GMT+01, 17.8, 11.665
2021/01/27 11:08 +0100, GMT+01, 17.8, 11.81227
2021/01/27 11:28 +0100, GMT+01, 17.8, 11.95808
2021/01/27 11:48 +0100, GMT+01, 17.8, 12.10247
2021/01/27 12:08 +0100, GMT+01, 17.7, 12.24503
2021/01/27 12:28 +0100, GMT+01, 17.7, 12.3858
2021/01/27 12:48 +0100, GMT+01, 17.7, 12.52524
2021/01/27 13:08 +0100, GMT+01, 17.7, 12.66337
2021/01/27 13:28 +0100, GMT+01, 17.7, 12.80022
2021/01/27 13:48 +0100, GMT+01, 17.7, 12.93581
2021/01/27 14:08 +0100, GMT+01, 17.6, 13.06987
2021/01/27 14:28 +0100, GMT+01, 17.7, 13.20261
2021/01/27 14:48 +0100, GMT+01, 17.6, 13.33417
2021/01/27 15:08 +0100, GMT+01, 17.6, 13.46417
2021/01/27 15:28 +0100, GMT+01, 17.6, 13.59304
2021/01/27 15:48 +0100, GMT+01, 17.6, 13.72078
2021/01/27 16:08 +0100, GMT+01, 17.6, 13.84743
2021/01/27 16:28 +0100, GMT+01, 17.6, 13.973
2021/01/27 16:48 +0100, GMT+01, 17.6, 14.0975
2021/01/27 17:08 +0100, GMT+01, 17.6, 14.22096
2021/01/27 17:28 +0100, GMT+01, 17.6, 14.34339
2021/01/27 17:48 +0100, GMT+01, 17.6, 14.46482
2021/01/27 18:08 +0100, GMT+01, 17.6, 14.58524
2021/01/27 18:28 +0100, GMT+01, 17.5, 14.70434
2021/01/27 18:48 +0100, GMT+01, 17.5, 14.82213
2021/01/27 19:08 +0100, GMT+01, 17.5, 14.93899
2021/01/27 19:28 +0100, GMT+01, 17.5, 15.05492
2021/01/27 19:48 +0100, GMT+01, 17.5, 15.16995
2021/01/27 20:08 +0100, GMT+01, 17.4, 15.28374
2021/01/27 20:28 +0100, GMT+01, 17.4, 15.39633
2021/01/27 20:48 +0100, GMT+01, 17.4, 15.50806
2021/01/27 21:08 +0100, GMT+01, 17.4, 15.61895
2021/01/27 21:28 +0100, GMT+01, 17.3, 15.72868
2021/01/27 21:48 +0100, GMT+01, 17.3, 15.83728
2021/01/27 22:08 +0100, GMT+01, 17.3, 15.94517
2021/01/27 22:28 +0100, GMT+01, 17.2, 16.05186
2021/01/27 22:48 +0100, GMT+01, 17.1, 16.15716
2021/01/27 23:08 +0100, GMT+01, 17.1, 16.26139
2021/01/27 23:28 +0100, GMT+01, 17.1, 16.36488
2021/01/27 23:48 +0100, GMT+01, 17.1, 16.46766
2021/01/28 00:08 +0100, GMT+01, 17, 16.56941
2021/01/28 00:28 +0100, GMT+01, 17, 16.67016
2021/01/28 00:48 +0100, GMT+01, 17, 16.77023
2021/01/28 01:08 +0100, GMT+01, 16.9, 16.86932
2021/01/28 01:28 +0100, GMT+01, 16.8, 16.96715
2021/01/28 01:48 +0100, GMT+01, 16.8, 17.06405
2021/01/28 02:08 +0100, GMT+01, 16.8, 17.1603
2021/01/28 02:28 +0100, GMT+01, 16.7, 17.25565
2021/01/28 02:48 +0100, GMT+01, 16.6, 17.3498
2021/01/28 03:08 +0100, GMT+01, 16.6, 17.44307
2021/01/28 03:28 +0100, GMT+01, 16.6, 17.53575
2021/01/28 03:48 +0100, GMT+01, 16.5, 17.62757
2021/01/28 04:08 +0100, GMT+01, 16.4, 17.71826
2021/01/28 04:28 +0100, GMT+01, 16.4, 17.80812
2021/01/28 04:48 +0100, GMT+01, 16.3, 17.89716
2021/01/28 05:08 +0100, GMT+01, 16.3, 17.98539
2021/01/28 05:28 +0100, GMT+01, 16.2, 18.07283
2021/01/28 05:48 +0100, GMT+01, 16.2, 18.15948
2021/01/28 06:08 +0100, GMT+01, 16.1, 18.24543
2021/01/28 06:28 +0100, GMT+01, 16.1, 18.33054
2021/01/28 06:48 +0100, GMT+01, 16.1, 18.41516
2021/01/28 07:08 +0100, GMT+01, 16, 18.49904
2021/01/28 07:28 +0100, GMT+01, 16, 18.58219
2021/01/28 07:48 +0100, GMT+01, 16, 18.66486
2021/01/28 08:08 +0100, GMT+01, 16, 18.74708
2021/01/28 08:28 +0100, GMT+01, 16, 18.82884
2021/01/28 08:48 +0100, GMT+01, 15.9, 18.90989
2021/01/28 09:08 +0100, GMT+01, 15.9, 18.99025
2021/01/28 09:28 +0100, GMT+01, 15.8, 19.06992
2021/01/28 09:48 +0100, GMT+01, 15.8, 19.14891
2021/01/28 10:08 +0100, GMT+01, 15.8, 19.22748
2021/01/28 10:28 +0100, GMT+01, 15.8, 19.30564
2021/01/28 10:48 +0100, GMT+01, 15.7, 19.38314
2021/01/28 11:08 +0100, GMT+01, 15.7, 19.45999
2021/01/28 11:28 +0100, GMT+01, 15.7, 19.53644
2021/01/28 11:48 +0100, GMT+01, 15.6, 19.61226
2021/01/28 12:08 +0100, GMT+01, 15.6, 19.68745
2021/01/28 12:28 +0100, GMT+01, 15.6, 19.76226
2021/01/28 12:48 +0100, GMT+01, 15.6, 19.83669
2021/01/28 13:08 +0100, GMT+01, 15.6, 19.91074
2021/01/28 13:28 +0100, GMT+01, 15.6, 19.98443
2021/01/28 13:48 +0100, GMT+01, 15.6, 20.05781
2021/01/28 14:08 +0100, GMT+01, 15.5, 20.13053
2021/01/28 14:28 +0100, GMT+01, 15.6, 20.2029
2021/01/28 14:48 +0100, GMT+01, 15.5, 20.27491
2021/01/28 15:08 +0100, GMT+01, 15.5, 20.34634
2021/01/28 15:28 +0100, GMT+01, 15.5, 20.41743
2021/01/28 15:48 +0100, GMT+01, 15.5, 20.48818
2021/01/28 16:08 +0100, GMT+01, 15.5, 20.55859
2021/01/28 16:28 +0100, GMT+01, 15.5, 20.62866
2021/01/28 16:48 +0100, GMT+01, 15.5, 20.69841
2021/01/28 17:08 +0100, GMT+01, 15.4, 20.7676
2021/01/28 17:28 +0100, GMT+01, 15.4, 20.83625
2021/01/28 17:48 +0100, GMT+01, 15.4, 20.90458
2021/01/28 18:08 +0100, GMT+01, 15.4, 20.9726
2021/01/28 18:28 +0100, GMT+01, 15.4, 21.0403
2021/01/28 18:48 +0100, GMT+01, 15.4, 21.1077
2021/01/28 19:08 +0100, GMT+01, 15.4, 21.17478
2021/01/28 19:28 +0100, GMT+01, 15.3, 21.24135
2021/01/28 19:48 +0100, GMT+01, 15.3, 21.30741
2021/01/28 20:08 +0100, GMT+01, 15.3, 21.37317
2021/01/28 20:28 +0100, GMT+01, 15.3, 21.43865
2021/01/28 20:48 +0100, GMT+01, 15.2, 21.50362
2021/01/28 21:08 +0100, GMT+01, 15.1, 21.56789
2021/01/28 21:28 +0100, GMT+01, 15.1, 21.63169
2021/01/28 21:48 +0100, GMT+01, 15.1, 21.6952
2021/01/28 22:08 +0100, GMT+01, 15.1, 21.7585
2021/01/28 22:28 +0100, GMT+01, 15.1, 21.82147
2021/01/28 22:48 +0100, GMT+01, 15.1, 21.88417
2021/01/28 23:08 +0100, GMT+01, 15, 21.94641
2021/01/28 23:28 +0100, GMT+01, 15, 22.00819
2021/01/28 23:48 +0100, GMT+01, 15, 22.0697
2021/01/29 00:08 +0100, GMT+01, 15, 22.13097
2021/01/29 00:28 +0100, GMT+01, 15, 22.19197
2021/01/29 00:48 +0100, GMT+01, 14.9, 22.25253
2021/01/29 01:08 +0100, GMT+01, 14.9, 22.31265
2021/01/29 01:28 +0100, GMT+01, 14.8, 22.37233
2021/01/29 01:48 +0100, GMT+01, 14.8, 22.43158
2021/01/29 02:08 +0100, GMT+01, 14.8, 22.49059
2021/01/29 02:28 +0100, GMT+01, 14.7, 22.54917
2021/01/29 02:48 +0100, GMT+01, 14.7, 22.60733
2021/01/29 03:08 +0100, GMT+01, 14.6, 22.66508
2021/01/29 03:28 +0100, GMT+01, 14.6, 22.72241
2021/01/29 03:48 +0100, GMT+01, 14.5, 22.77933
2021/01/29 04:08 +0100, GMT+01, 14.5, 22.83585
2021/01/29 04:28 +0100, GMT+01, 14.3, 22.89178
2021/01/29 04:48 +0100, GMT+01, 14.2, 22.94696
2021/01/29 05:08 +0100, GMT+01, 14.1, 23.00157
2021/01/29 05:28 +0100, GMT+01, 14, 23.05561
2021/01/29 05:48 +0100, GMT+01, 14, 23.10928
2021/01/29 06:08 +0100, GMT+01, 13.8, 23.16244
2021/01/29 06:28 +0100, GMT+01, 13.8, 23.21502
2021/01/29 06:48 +0100, GMT+01, 13.7, 23.26723
2021/01/29 07:08 +0100, GMT+01, 13.6, 23.31891
2021/01/29 07:28 +0100, GMT+01, 13.6, 23.37023
2021/01/29 07:48 +0100, GMT+01, 13.5, 23.42121
2021/01/29 08:08 +0100, GMT+01, 13.5, 23.47183
2021/01/29 08:28 +0100, GMT+01, 13.4, 23.52212
2021/01/29 08:48 +0100, GMT+01, 13.3, 23.57189
2021/01/29 09:08 +0100, GMT+01, 13.3, 23.62132
2021/01/29 09:28 +0100, GMT+01, 13.2, 23.67042
2021/01/29 09:48 +0100, GMT+01, 13.2, 23.7192
2021/01/29 10:08 +0100, GMT+01, 13.1, 23.76764
2021/01/29 10:28 +0100, GMT+01, 13.1, 23.81576
2021/01/29 10:48 +0100, GMT+01, 13.1, 23.86373
2021/01/29 11:08 +0100, GMT+01, 13.1, 23.91153
2021/01/29 11:28 +0100, GMT+01, 13.1, 23.95919
2021/01/29 11:48 +0100, GMT+01, 13.1, 24.00669
2021/01/29 12:08 +0100, GMT+01, 13.1, 24.05403
2021/01/29 12:28 +0100, GMT+01, 13.1, 24.10123
2021/01/29 12:48 +0100, GMT+01, 13.1, 24.14827
2021/01/29 13:08 +0100, GMT+01, 13.1, 24.19516
2021/01/29 13:28 +0100, GMT+01, 13.1, 24.24191
2021/01/29 13:48 +0100, GMT+01, 13.1, 24.28855
2021/01/29 14:08 +0100, GMT+01, 13.2, 24.33515
