time, timezone, temperature, strength
2020/11/10 09:28 +0100, GMT+01, 11.2, 
2020/11/10 09:48 +0100, GMT+01, 11.2, 
2020/11/10 10:08 +0100, GMT+01, 11.4, 
2020/11/10 10:28 +0100, GMT+01, 11.7, 
2020/11/10 10:48 +0100, GMT+01, 12.1, 0
2020/11/10 11:08 +0100, GMT+01, 12.3, 0
2020/11/10 11:28 +0100, GMT+01, 12.6, 0
2020/11/10 11:48 +0100, GMT+01, 13.6, 0
2020/11/10 12:08 +0100, GMT+01, 17.2, 0
2020/11/10 12:28 +0100, GMT+01, 17.4, 0
2020/11/10 12:48 +0100, GMT+01, 17.5, 0
2020/11/10 13:08 +0100, GMT+01, 17.4, 0
2020/11/10 13:28 +0100, GMT+01, 17.4, 0
2020/11/10 13:48 +0100, GMT+01, 17.4, 0
2020/11/10 14:08 +0100, GMT+01, 17.5, 0
2020/11/10 14:28 +0100, GMT+01, 17.6, 0
2020/11/10 14:48 +0100, GMT+01, 17.6, 0
2020/11/10 15:08 +0100, GMT+01, 17.5, 0
2020/11/10 15:28 +0100, GMT+01, 17.5, 0
2020/11/10 15:48 +0100, GMT+01, 17.3, 0
2020/11/10 16:08 +0100, GMT+01, 17.2, 0
2020/11/10 16:28 +0100, GMT+01, 17.1, 0
2020/11/10 16:48 +0100, GMT+01, 17.1, 0
2020/11/10 17:08 +0100, GMT+01, 17, 0
2020/11/10 17:28 +0100, GMT+01, 16.9, 0
2020/11/10 17:48 +0100, GMT+01, 16.8, 0
2020/11/10 18:08 +0100, GMT+01, 16.7, 0
2020/11/10 18:28 +0100, GMT+01, 16.6, 0
2020/11/10 18:48 +0100, GMT+01, 16.5, 0
2020/11/10 19:08 +0100, GMT+01, 16.5, 0
2020/11/10 19:28 +0100, GMT+01, 16.5, 0
2020/11/10 19:48 +0100, GMT+01, 16.3, 0
2020/11/10 20:08 +0100, GMT+01, 16.3, 0
2020/11/10 20:28 +0100, GMT+01, 16.3, 0
2020/11/10 20:48 +0100, GMT+01, 16.3, 0
2020/11/10 21:08 +0100, GMT+01, 16.2, 0
2020/11/10 21:28 +0100, GMT+01, 16.2, 0
2020/11/10 21:48 +0100, GMT+01, 16.3, 0
2020/11/10 22:08 +0100, GMT+01, 16.3, 0
2020/11/10 22:28 +0100, GMT+01, 16.4, 0
2020/11/10 22:48 +0100, GMT+01, 16.5, 0
2020/11/10 23:08 +0100, GMT+01, 16.6, 0
2020/11/10 23:28 +0100, GMT+01, 16.7, 0
2020/11/10 23:48 +0100, GMT+01, 16.8, 0
2020/11/11 00:08 +0100, GMT+01, 17, 0
2020/11/11 00:28 +0100, GMT+01, 17.1, 0
2020/11/11 00:48 +0100, GMT+01, 17.4, 0
2020/11/11 01:08 +0100, GMT+01, 17.5, 0
2020/11/11 01:28 +0100, GMT+01, 17.8, 0
2020/11/11 01:48 +0100, GMT+01, 18, 0
2020/11/11 02:08 +0100, GMT+01, 18.2, 0
2020/11/11 02:28 +0100, GMT+01, 18.5, 0
2020/11/11 02:48 +0100, GMT+01, 18.8, 0
2020/11/11 03:08 +0100, GMT+01, 19, 0
2020/11/11 03:28 +0100, GMT+01, 19.3, 0
2020/11/11 03:48 +0100, GMT+01, 19.6, 0
2020/11/11 04:08 +0100, GMT+01, 20, 0
2020/11/11 04:28 +0100, GMT+01, 20.4, 0.15318
2020/11/11 04:48 +0100, GMT+01, 20.7, 0.57355
2020/11/11 05:08 +0100, GMT+01, 21.1, 0.99234
2020/11/11 05:28 +0100, GMT+01, 21.5, 1.41063
2020/11/11 05:48 +0100, GMT+01, 21.8, 1.82725
2020/11/11 06:08 +0100, GMT+01, 22.1, 2.24108
2020/11/11 06:28 +0100, GMT+01, 22.5, 2.65323
2020/11/11 06:48 +0100, GMT+01, 22.7, 3.06261
2020/11/11 07:08 +0100, GMT+01, 22.9, 3.46719
2020/11/11 07:28 +0100, GMT+01, 23.1, 3.86711
2020/11/11 07:48 +0100, GMT+01, 23.3, 4.2625
2020/11/11 08:08 +0100, GMT+01, 23.5, 4.65349
2020/11/11 08:28 +0100, GMT+01, 23.6, 5.03923
2020/11/11 08:48 +0100, GMT+01, 23.7, 5.41894
2020/11/11 09:08 +0100, GMT+01, 23.8, 5.79283
2020/11/11 09:28 +0100, GMT+01, 24, 6.16201
2020/11/11 09:48 +0100, GMT+01, 24.1, 6.52663
2020/11/11 10:08 +0100, GMT+01, 24.2, 6.88623
2020/11/11 10:28 +0100, GMT+01, 24.3, 7.24038
2020/11/11 10:48 +0100, GMT+01, 24.5, 7.59041
2020/11/11 11:08 +0100, GMT+01, 24.6, 7.93644
2020/11/11 11:28 +0100, GMT+01, 24.7, 8.22219
2020/11/11 11:48 +0100, GMT+01, 24.8, 8.49156
2020/11/11 12:08 +0100, GMT+01, 25, 8.75802
2020/11/11 12:28 +0100, GMT+01, 25.1, 9.02165
2020/11/11 12:48 +0100, GMT+01, 25.2, 9.28189
2020/11/11 13:08 +0100, GMT+01, 25.3, 9.53884
2020/11/11 13:28 +0100, GMT+01, 25.4, 9.7926
2020/11/11 13:48 +0100, GMT+01, 25.4, 10.04266
2020/11/11 14:08 +0100, GMT+01, 25.5, 10.28912
2020/11/11 14:28 +0100, GMT+01, 25.5, 10.5321
2020/11/11 14:48 +0100, GMT+01, 25.5, 10.77114
2020/11/11 15:08 +0100, GMT+01, 25.5, 11.00636
2020/11/11 15:28 +0100, GMT+01, 25.5, 11.23787
2020/11/11 15:48 +0100, GMT+01, 25.5, 11.4658
2020/11/11 16:08 +0100, GMT+01, 25.4, 11.68972
2020/11/11 16:28 +0100, GMT+01, 25.3, 11.9094
2020/11/11 16:48 +0100, GMT+01, 25.2, 12.12464
2020/11/11 17:08 +0100, GMT+01, 25.1, 12.33575
2020/11/11 17:28 +0100, GMT+01, 25, 12.54288
2020/11/11 17:48 +0100, GMT+01, 25, 12.74664
2020/11/11 18:08 +0100, GMT+01, 24.9, 12.94712
2020/11/11 18:28 +0100, GMT+01, 24.8, 13.14396
2020/11/11 18:48 +0100, GMT+01, 24.7, 13.33725
2020/11/11 19:08 +0100, GMT+01, 24.7, 13.52757
2020/11/11 19:28 +0100, GMT+01, 24.6, 13.715
2020/11/11 19:48 +0100, GMT+01, 24.6, 13.89962
2020/11/11 20:08 +0100, GMT+01, 24.5, 14.08151
2020/11/11 20:28 +0100, GMT+01, 24.4, 14.2603
2020/11/11 20:48 +0100, GMT+01, 24.3, 14.43607
2020/11/11 21:08 +0100, GMT+01, 24.2, 14.60892
2020/11/11 21:28 +0100, GMT+01, 24.1, 14.77891
2020/11/11 21:48 +0100, GMT+01, 24.1, 14.94655
2020/11/11 22:08 +0100, GMT+01, 24, 15.11189
2020/11/11 22:28 +0100, GMT+01, 24, 15.27498
2020/11/11 22:48 +0100, GMT+01, 23.8, 15.43562
2020/11/11 23:08 +0100, GMT+01, 23.6, 15.59281
2020/11/11 23:28 +0100, GMT+01, 23.5, 15.74718
2020/11/11 23:48 +0100, GMT+01, 23.3, 15.89879
2020/11/12 00:08 +0100, GMT+01, 23.1, 16.04734
2020/11/12 00:28 +0100, GMT+01, 23, 16.19329
2020/11/12 00:48 +0100, GMT+01, 22.7, 16.33634
2020/11/12 01:08 +0100, GMT+01, 22.5, 16.4762
2020/11/12 01:28 +0100, GMT+01, 22.4, 16.61368
2020/11/12 01:48 +0100, GMT+01, 22.1, 16.74847
2020/11/12 02:08 +0100, GMT+01, 22, 16.88066
2020/11/12 02:28 +0100, GMT+01, 21.8, 17.01064
2020/11/12 02:48 +0100, GMT+01, 21.6, 17.13813
2020/11/12 03:08 +0100, GMT+01, 21.4, 17.2632
2020/11/12 03:28 +0100, GMT+01, 21.3, 17.38623
2020/11/12 03:48 +0100, GMT+01, 21.1, 17.50726
2020/11/12 04:08 +0100, GMT+01, 21, 17.62634
2020/11/12 04:28 +0100, GMT+01, 20.8, 17.74352
2020/11/12 04:48 +0100, GMT+01, 20.7, 17.85883
2020/11/12 05:08 +0100, GMT+01, 20.6, 17.97272
2020/11/12 05:28 +0100, GMT+01, 20.4, 18.08472
2020/11/12 05:48 +0100, GMT+01, 20.3, 18.19497
2020/11/12 06:08 +0100, GMT+01, 20.1, 18.3035
2020/11/12 06:28 +0100, GMT+01, 20, 18.41034
