time, timezone, temperature, strength
2021/01/14 18:04 +0100, GMT+01, 8.1, 0
2021/01/14 18:11 +0100, GMT+01, 8.2, 0
2021/01/14 18:31 +0100, GMT+01, 8.1, 0
2021/01/14 18:51 +0100, GMT+01, 8.1, 0
2021/01/14 19:11 +0100, GMT+01, 7.9, 0
2021/01/14 19:31 +0100, GMT+01, 7.8, 0
2021/01/14 19:51 +0100, GMT+01, 7.7, 0
2021/01/14 20:11 +0100, GMT+01, 7.6, 0
2021/01/14 20:31 +0100, GMT+01, 7.5, 0
2021/01/14 20:51 +0100, GMT+01, 7.5, 0
2021/01/14 21:11 +0100, GMT+01, 7.4, 0
2021/01/14 21:31 +0100, GMT+01, 7.3, 0
2021/01/14 21:51 +0100, GMT+01, 7.2, 0
2021/01/14 22:11 +0100, GMT+01, 7.1, 0
2021/01/14 22:31 +0100, GMT+01, 7.1, 0
2021/01/14 22:51 +0100, GMT+01, 7, 0
2021/01/14 23:11 +0100, GMT+01, 7, 0
2021/01/14 23:31 +0100, GMT+01, 6.9, 0
2021/01/14 23:51 +0100, GMT+01, 6.8, 0
2021/01/15 00:11 +0100, GMT+01, 6.8, 0
2021/01/15 00:31 +0100, GMT+01, 6.7, 0
2021/01/15 00:51 +0100, GMT+01, 6.6, 0
2021/01/15 01:11 +0100, GMT+01, 6.5, 0
2021/01/15 01:31 +0100, GMT+01, 6.3, 0
2021/01/15 01:51 +0100, GMT+01, 6.2, 0
2021/01/15 02:11 +0100, GMT+01, 6.1, 0
2021/01/15 02:31 +0100, GMT+01, 5.9, 0
2021/01/15 02:51 +0100, GMT+01, 5.8, 0
2021/01/15 03:11 +0100, GMT+01, 5.6, 0
2021/01/15 03:31 +0100, GMT+01, 5.6, 0
2021/01/15 03:51 +0100, GMT+01, 5.5, 0
2021/01/15 04:11 +0100, GMT+01, 5.3, 0
2021/01/15 04:31 +0100, GMT+01, 5.3, 0
2021/01/15 04:51 +0100, GMT+01, 5.1, 0
2021/01/15 05:11 +0100, GMT+01, 5.1, 0
2021/01/15 05:31 +0100, GMT+01, 5, 0
2021/01/15 05:51 +0100, GMT+01, 5, 0
2021/01/15 06:11 +0100, GMT+01, 4.9, 0
2021/01/15 06:31 +0100, GMT+01, 4.9, 0
2021/01/15 06:51 +0100, GMT+01, 4.9, 0
2021/01/15 07:11 +0100, GMT+01, 4.9, 0
2021/01/15 07:31 +0100, GMT+01, 4.9, 0
2021/01/15 07:51 +0100, GMT+01, 4.9, 0
2021/01/15 08:11 +0100, GMT+01, 5, 0
2021/01/15 08:31 +0100, GMT+01, 4.9, 0
