time, timezone, temperature, strength
2021/02/09 10:26 +0100, GMT+01, 0.3, 
2021/02/09 10:46 +0100, GMT+01, 0.5, 
2021/02/09 11:06 +0100, GMT+01, 0.6, 
2021/02/09 11:26 +0100, GMT+01, 0.5, 
2021/02/09 11:46 +0100, GMT+01, 0.5, 
2021/02/09 12:06 +0100, GMT+01, 10.8, 
2021/02/09 12:26 +0100, GMT+01, 11.1, 
2021/02/09 12:46 +0100, GMT+01, 11.1, 
2021/02/09 13:06 +0100, GMT+01, 11, 
2021/02/09 13:26 +0100, GMT+01, 10.8, 
2021/02/09 13:46 +0100, GMT+01, 10.7, 
2021/02/09 14:06 +0100, GMT+01, 10.6, 
2021/02/09 14:26 +0100, GMT+01, 10.5, 
2021/02/09 14:46 +0100, GMT+01, 10.3, 
2021/02/09 15:06 +0100, GMT+01, 10.3, 
2021/02/09 15:26 +0100, GMT+01, 10.1, 
2021/02/09 15:46 +0100, GMT+01, 10, 
2021/02/09 16:06 +0100, GMT+01, 10, 
2021/02/09 16:26 +0100, GMT+01, 9.8, 
2021/02/09 16:46 +0100, GMT+01, 9.8, 
2021/02/09 17:06 +0100, GMT+01, 9.7, 
2021/02/09 17:26 +0100, GMT+01, 9.6, 
2021/02/09 17:46 +0100, GMT+01, 9.6, 
2021/02/09 18:06 +0100, GMT+01, 9.5, 
2021/02/09 18:26 +0100, GMT+01, 9.5, 
2021/02/09 18:46 +0100, GMT+01, 9.5, 
2021/02/09 19:06 +0100, GMT+01, 9.4, 
2021/02/09 19:26 +0100, GMT+01, 9.4, 
2021/02/09 19:46 +0100, GMT+01, 9.3, 
2021/02/09 20:06 +0100, GMT+01, 9.3, 
2021/02/09 20:26 +0100, GMT+01, 9.3, 
2021/02/09 20:46 +0100, GMT+01, 9.3, 
2021/02/09 21:06 +0100, GMT+01, 9.3, 
2021/02/09 21:26 +0100, GMT+01, 9.4, 
2021/02/09 21:46 +0100, GMT+01, 9.4, 
2021/02/09 22:06 +0100, GMT+01, 9.5, 
2021/02/09 22:26 +0100, GMT+01, 9.5, 
2021/02/09 22:46 +0100, GMT+01, 9.6, 
2021/02/09 23:06 +0100, GMT+01, 9.6, 
2021/02/09 23:26 +0100, GMT+01, 9.8, 
2021/02/09 23:46 +0100, GMT+01, 9.9, 
2021/02/10 00:06 +0100, GMT+01, 10, 
2021/02/10 00:26 +0100, GMT+01, 10.1, 
2021/02/10 00:46 +0100, GMT+01, 10.3, 
2021/02/10 01:06 +0100, GMT+01, 10.4, 
2021/02/10 01:26 +0100, GMT+01, 10.6, 
2021/02/10 01:46 +0100, GMT+01, 10.8, 
2021/02/10 02:06 +0100, GMT+01, 10.9, 
2021/02/10 02:26 +0100, GMT+01, 11.1, 
2021/02/10 02:46 +0100, GMT+01, 11.3, 
2021/02/10 03:06 +0100, GMT+01, 11.6, 
2021/02/10 03:26 +0100, GMT+01, 11.8, 
2021/02/10 03:46 +0100, GMT+01, 12, 
2021/02/10 04:06 +0100, GMT+01, 12.3, 
2021/02/10 04:26 +0100, GMT+01, 12.6, 
2021/02/10 04:46 +0100, GMT+01, 12.8, 
2021/02/10 05:06 +0100, GMT+01, 13.1, 
2021/02/10 05:26 +0100, GMT+01, 13.5, 
2021/02/10 05:46 +0100, GMT+01, 13.8, 
2021/02/10 06:06 +0100, GMT+01, 14.1, 
2021/02/10 06:27 +0100, GMT+01, 14.5, 
2021/02/10 06:47 +0100, GMT+01, 14.8, 
2021/02/10 07:07 +0100, GMT+01, 15.1, 
