time, timezone, temperature, strength
2020/11/02 09:12 +0100, GMT+01, 16.8, 
2020/11/02 09:24 +0100, GMT+01, 16.6, 
2020/11/03 09:41 +0100, GMT+01, 7.8, 
2020/11/03 10:01 +0100, GMT+01, 7.8, 
2020/11/03 10:21 +0100, GMT+01, 7.8, 
2020/11/03 10:41 +0100, GMT+01, 7.5, 
2020/11/03 11:01 +0100, GMT+01, 7.8, 
2020/11/03 11:21 +0100, GMT+01, 7.6, 
2020/11/03 11:41 +0100, GMT+01, 17.7, 
2020/11/03 12:01 +0100, GMT+01, 17.2, 
2020/11/03 12:21 +0100, GMT+01, 17.5, 
2020/11/03 12:41 +0100, GMT+01, 17.4, 
2020/11/03 13:01 +0100, GMT+01, 17.4, 
2020/11/03 13:21 +0100, GMT+01, 17.3, 
2020/11/03 13:41 +0100, GMT+01, 17.3, 
2020/11/03 14:01 +0100, GMT+01, 17.1, 
2020/11/03 14:21 +0100, GMT+01, 17, 
2020/11/03 14:41 +0100, GMT+01, 17, 
2020/11/03 15:01 +0100, GMT+01, 16.8, 
2020/11/03 15:21 +0100, GMT+01, 16.7, 
2020/11/03 15:41 +0100, GMT+01, 16.6, 
2020/11/03 16:01 +0100, GMT+01, 16.5, 
2020/11/03 16:21 +0100, GMT+01, 16.4, 
2020/11/03 16:41 +0100, GMT+01, 16.3, 
2020/11/03 17:01 +0100, GMT+01, 16.2, 
2020/11/03 17:21 +0100, GMT+01, 16.1, 
2020/11/03 17:41 +0100, GMT+01, 16, 
2020/11/03 18:01 +0100, GMT+01, 15.9, 
2020/11/03 18:21 +0100, GMT+01, 15.8, 
2020/11/03 18:41 +0100, GMT+01, 15.6, 
2020/11/03 19:01 +0100, GMT+01, 15.6, 
2020/11/03 19:21 +0100, GMT+01, 15.5, 
2020/11/03 19:41 +0100, GMT+01, 15.4, 
2020/11/03 20:01 +0100, GMT+01, 15.3, 
2020/11/03 20:21 +0100, GMT+01, 15.3, 
2020/11/03 20:41 +0100, GMT+01, 15.2, 
2020/11/03 21:01 +0100, GMT+01, 15.2, 
