time, timezone, temperature, strength
2021/05/28 15:21 +0200, GMT+02, 20, 0
2021/05/28 15:36 +0200, GMT+02, 22.4, 0
2021/05/28 15:56 +0200, GMT+02, 22.5, 0
2021/05/28 16:16 +0200, GMT+02, 22.5, 0
2021/05/28 16:36 +0200, GMT+02, 22.6, 0
2021/05/28 16:56 +0200, GMT+02, 22.7, 0
2021/05/28 17:16 +0200, GMT+02, 22.8, 0
2021/05/28 17:36 +0200, GMT+02, 22.8, 0
2021/05/28 17:56 +0200, GMT+02, 22.9, 0
2021/05/28 18:16 +0200, GMT+02, 23, 0
2021/05/28 18:36 +0200, GMT+02, 23.3, 0
2021/05/28 18:56 +0200, GMT+02, 23.5, 0
2021/05/28 19:16 +0200, GMT+02, 23.8, 0
2021/05/28 19:36 +0200, GMT+02, 24, 0
2021/05/28 19:56 +0200, GMT+02, 24.4, 0
2021/05/28 20:16 +0200, GMT+02, 24.7, 0
2021/05/28 20:36 +0200, GMT+02, 25.1, 0
2021/05/28 20:56 +0200, GMT+02, 25.5, 0
2021/05/28 21:16 +0200, GMT+02, 25.9, 0
2021/05/28 21:36 +0200, GMT+02, 26.3, 0
2021/05/28 21:56 +0200, GMT+02, 26.8, 0
2021/05/28 22:16 +0200, GMT+02, 27.3, 0
2021/05/28 22:36 +0200, GMT+02, 27.8, 0
2021/05/28 22:56 +0200, GMT+02, 28.3, 0
2021/05/28 23:16 +0200, GMT+02, 28.8, 0
2021/05/28 23:36 +0200, GMT+02, 29.4, 0
2021/05/28 23:56 +0200, GMT+02, 29.9, 0
2021/05/29 00:16 +0200, GMT+02, 30.4, 0
2021/05/29 00:36 +0200, GMT+02, 30.8, 0
2021/05/29 00:56 +0200, GMT+02, 31, 0
2021/05/29 01:16 +0200, GMT+02, 31.3, 0
2021/05/29 01:36 +0200, GMT+02, 31.5, 0
2021/05/29 01:56 +0200, GMT+02, 31.6, 0
2021/05/29 02:16 +0200, GMT+02, 31.7, 0.36783
2021/05/29 02:36 +0200, GMT+02, 31.8, 1.0715
2021/05/29 02:56 +0200, GMT+02, 31.9, 1.75203
2021/05/29 03:16 +0200, GMT+02, 32, 2.41097
2021/05/29 03:36 +0200, GMT+02, 32.1, 3.04973
2021/05/29 03:56 +0200, GMT+02, 32.1, 3.66831
2021/05/29 04:16 +0200, GMT+02, 32.1, 4.26677
2021/05/29 04:36 +0200, GMT+02, 32.1, 4.84637
2021/05/29 04:56 +0200, GMT+02, 32.1, 5.40825
2021/05/29 05:16 +0200, GMT+02, 32.1, 5.95348
2021/05/29 05:36 +0200, GMT+02, 32, 6.48193
2021/05/29 05:56 +0200, GMT+02, 32, 6.99456
2021/05/29 06:16 +0200, GMT+02, 31.9, 7.49268
2021/05/29 06:36 +0200, GMT+02, 31.8, 7.97527
2021/05/29 06:56 +0200, GMT+02, 31.7, 8.35487
2021/05/29 07:16 +0200, GMT+02, 31.6, 8.71871
2021/05/29 07:36 +0200, GMT+02, 31.5, 9.07229
2021/05/29 07:56 +0200, GMT+02, 31.4, 9.41615
2021/05/29 08:16 +0200, GMT+02, 31.3, 9.75075
2021/05/29 08:36 +0200, GMT+02, 31.2, 10.07655
2021/05/29 08:56 +0200, GMT+02, 31.1, 10.39396
2021/05/29 09:16 +0200, GMT+02, 31, 10.70336
2021/05/29 09:36 +0200, GMT+02, 30.9, 11.00512
2021/05/29 09:56 +0200, GMT+02, 30.8, 11.29957
2021/05/29 10:16 +0200, GMT+02, 30.5, 11.5858
2021/05/29 10:36 +0200, GMT+02, 30.2, 11.86301
2021/05/29 10:56 +0200, GMT+02, 30, 12.13219
2021/05/29 11:16 +0200, GMT+02, 29.8, 12.39448
2021/05/29 11:36 +0200, GMT+02, 29.6, 12.64975
