time, timezone, temperature, strength
2021/05/11 09:25 +0200, GMT+02, 14.9, 
2021/05/11 09:44 +0200, GMT+02, 12.6, 
2021/05/11 10:04 +0200, GMT+02, 13, 
2021/05/11 10:24 +0200, GMT+02, 13.1, 
2021/05/11 10:44 +0200, GMT+02, 13.5, 
2021/05/11 11:04 +0200, GMT+02, 14.3, 
2021/05/11 11:24 +0200, GMT+02, 16.8, 
2021/05/11 11:44 +0200, GMT+02, 16.5, 0
2021/05/11 12:04 +0200, GMT+02, 16.6, 0
2021/05/11 12:24 +0200, GMT+02, 16.6, 0
2021/05/11 12:44 +0200, GMT+02, 16.8, 0
2021/05/11 13:04 +0200, GMT+02, 16.8, 0
2021/05/11 13:24 +0200, GMT+02, 17, 0
2021/05/11 13:44 +0200, GMT+02, 17.3, 0
2021/05/11 14:04 +0200, GMT+02, 17.5, 0
2021/05/11 14:24 +0200, GMT+02, 18.1, 0
2021/05/11 14:44 +0200, GMT+02, 18.7, 0
2021/05/11 15:04 +0200, GMT+02, 18.8, 0
2021/05/11 15:24 +0200, GMT+02, 19, 0
2021/05/11 15:44 +0200, GMT+02, 19.6, 0
2021/05/11 16:04 +0200, GMT+02, 19.8, 0
2021/05/11 16:24 +0200, GMT+02, 20.2, 0
2021/05/11 16:44 +0200, GMT+02, 20.4, 0
2021/05/11 17:04 +0200, GMT+02, 20.2, 0
2021/05/11 17:24 +0200, GMT+02, 20, 0
2021/05/11 17:44 +0200, GMT+02, 19.8, 0
2021/05/11 18:04 +0200, GMT+02, 19.7, 0
2021/05/11 18:24 +0200, GMT+02, 19.6, 0
2021/05/11 18:44 +0200, GMT+02, 19.5, 0
2021/05/11 19:04 +0200, GMT+02, 19.5, 0
2021/05/11 19:24 +0200, GMT+02, 19.5, 0
2021/05/11 19:44 +0200, GMT+02, 19.5, 0
2021/05/11 20:04 +0200, GMT+02, 19.6, 0
2021/05/11 20:24 +0200, GMT+02, 19.6, 0
2021/05/11 20:44 +0200, GMT+02, 19.8, 0
2021/05/11 21:04 +0200, GMT+02, 19.8, 0
2021/05/11 21:24 +0200, GMT+02, 19.9, 0
2021/05/11 21:44 +0200, GMT+02, 20, 0
2021/05/11 22:04 +0200, GMT+02, 20.1, 0
2021/05/11 22:24 +0200, GMT+02, 20.3, 0
2021/05/11 22:44 +0200, GMT+02, 20.5, 0
2021/05/11 23:04 +0200, GMT+02, 20.7, 0
2021/05/11 23:24 +0200, GMT+02, 21, 0
2021/05/11 23:44 +0200, GMT+02, 21.2, 0
2021/05/12 00:04 +0200, GMT+02, 21.5, 0
2021/05/12 00:24 +0200, GMT+02, 21.8, 0
2021/05/12 00:44 +0200, GMT+02, 22, 0
2021/05/12 01:04 +0200, GMT+02, 22.1, 0
2021/05/12 01:24 +0200, GMT+02, 22.2, 0
2021/05/12 01:44 +0200, GMT+02, 22.3, 0
2021/05/12 02:04 +0200, GMT+02, 22.4, 0
2021/05/12 02:24 +0200, GMT+02, 22.5, 0
2021/05/12 02:44 +0200, GMT+02, 22.6, 0.11873
2021/05/12 03:04 +0200, GMT+02, 22.7, 0.58903
2021/05/12 03:24 +0200, GMT+02, 22.8, 1.04995
2021/05/12 03:44 +0200, GMT+02, 22.8, 1.50075
2021/05/12 04:04 +0200, GMT+02, 22.8, 1.94076
2021/05/12 04:24 +0200, GMT+02, 22.8, 2.37049
2021/05/12 04:44 +0200, GMT+02, 22.8, 2.79041
2021/05/12 05:04 +0200, GMT+02, 22.8, 3.20096
2021/05/12 05:24 +0200, GMT+02, 22.8, 3.60254
2021/05/12 05:44 +0200, GMT+02, 22.7, 3.99454
2021/05/12 06:04 +0200, GMT+02, 22.6, 4.3764
2021/05/12 06:24 +0200, GMT+02, 22.6, 4.74985
2021/05/12 06:44 +0200, GMT+02, 22.5, 5.11462
2021/05/12 07:04 +0200, GMT+02, 22.5, 5.47138
2021/05/12 07:24 +0200, GMT+02, 22.4, 5.82046
2021/05/12 07:44 +0200, GMT+02, 22.3, 6.16127
2021/05/12 08:04 +0200, GMT+02, 22.3, 6.49501
2021/05/12 08:24 +0200, GMT+02, 22.3, 6.82281
2021/05/12 08:44 +0200, GMT+02, 22.3, 7.14486
2021/05/12 09:04 +0200, GMT+02, 22.2, 7.46056
2021/05/12 09:24 +0200, GMT+02, 22.1, 7.76932
2021/05/12 09:44 +0200, GMT+02, 22.1, 8.05776
2021/05/12 10:04 +0200, GMT+02, 22.1, 8.29613
2021/05/12 10:24 +0200, GMT+02, 22.1, 8.5307
2021/05/12 10:44 +0200, GMT+02, 22.1, 8.7616
2021/05/12 11:04 +0200, GMT+02, 22.2, 8.98952
2021/05/12 11:24 +0200, GMT+02, 22.3, 9.21513
2021/05/12 11:44 +0200, GMT+02, 22.3, 9.43791
2021/05/12 12:04 +0200, GMT+02, 22.4, 9.65793
2021/05/12 12:24 +0200, GMT+02, 22.8, 9.87753
2021/05/12 12:44 +0200, GMT+02, 23.2, 10.09838
2021/05/12 13:04 +0200, GMT+02, 23.3, 10.31874
2021/05/12 13:24 +0200, GMT+02, 23.5, 10.53749
2021/05/12 13:44 +0200, GMT+02, 23.6, 10.75467
2021/05/12 14:04 +0200, GMT+02, 23.5, 10.9687
2021/05/12 14:24 +0200, GMT+02, 23.6, 11.17965
2021/05/12 14:44 +0200, GMT+02, 23.8, 11.3892
2021/05/12 15:04 +0200, GMT+02, 23.8, 11.59683
2021/05/12 15:24 +0200, GMT+02, 24.3, 11.80414
2021/05/12 15:44 +0200, GMT+02, 24.7, 12.01316
2021/05/12 16:04 +0200, GMT+02, 24.7, 12.22127
2021/05/12 16:24 +0200, GMT+02, 24.7, 12.42649
2021/05/12 16:44 +0200, GMT+02, 24.7, 12.62888
2021/05/12 17:04 +0200, GMT+02, 24.8, 12.82901
2021/05/12 17:24 +0200, GMT+02, 24.9, 13.02742
2021/05/12 17:44 +0200, GMT+02, 25, 13.22414
2021/05/12 18:04 +0200, GMT+02, 24.9, 13.41843
2021/05/12 18:24 +0200, GMT+02, 24.8, 13.60909
2021/05/12 18:44 +0200, GMT+02, 24.6, 13.79595
2021/05/12 19:04 +0200, GMT+02, 24.5, 13.97912
2021/05/12 19:24 +0200, GMT+02, 24.4, 14.15915
2021/05/12 19:44 +0200, GMT+02, 24.3, 14.33613
2021/05/12 20:04 +0200, GMT+02, 24.2, 14.51014
2021/05/12 20:24 +0200, GMT+02, 24.1, 14.68127
2021/05/12 20:44 +0200, GMT+02, 24, 14.8496
2021/05/12 21:04 +0200, GMT+02, 24, 15.01561
2021/05/12 21:24 +0200, GMT+02, 23.8, 15.17896
2021/05/12 21:44 +0200, GMT+02, 23.8, 15.33971
2021/05/12 22:04 +0200, GMT+02, 23.7, 15.49832
2021/05/12 22:24 +0200, GMT+02, 23.7, 15.65485
2021/05/12 22:44 +0200, GMT+02, 23.6, 15.80934
2021/05/12 23:04 +0200, GMT+02, 23.6, 15.96184
2021/05/12 23:24 +0200, GMT+02, 23.5, 16.1124
2021/05/12 23:44 +0200, GMT+02, 23.5, 16.26107
2021/05/13 00:04 +0200, GMT+02, 23.5, 16.40824
2021/05/13 00:24 +0200, GMT+02, 23.4, 16.55359
2021/05/13 00:44 +0200, GMT+02, 23.3, 16.69679
