time, timezone, temperature, strength
2020/11/06 09:11 +0100, GMT+01, 5, 
2020/11/06 09:30 +0100, GMT+01, 5.6, 
2020/11/06 09:50 +0100, GMT+01, 6.3, 
2020/11/06 10:10 +0100, GMT+01, 15, 
2020/11/06 10:30 +0100, GMT+01, 15, 
2020/11/06 10:50 +0100, GMT+01, 15, 
2020/11/06 11:10 +0100, GMT+01, 15, 
2020/11/06 11:30 +0100, GMT+01, 15, 
2020/11/06 11:50 +0100, GMT+01, 14.9, 
2020/11/06 12:10 +0100, GMT+01, 14.8, 
2020/11/06 12:30 +0100, GMT+01, 14.8, 
2020/11/06 12:50 +0100, GMT+01, 14.8, 
2020/11/06 13:10 +0100, GMT+01, 14.8, 
2020/11/06 13:30 +0100, GMT+01, 14.8, 
2020/11/06 13:50 +0100, GMT+01, 14.8, 
2020/11/06 14:10 +0100, GMT+01, 14.7, 
2020/11/06 14:30 +0100, GMT+01, 14.7, 
2020/11/06 14:50 +0100, GMT+01, 14.6, 
2020/11/06 15:10 +0100, GMT+01, 14.7, 
2020/11/06 15:30 +0100, GMT+01, 14.6, 
2020/11/06 15:50 +0100, GMT+01, 14.7, 
2020/11/06 16:10 +0100, GMT+01, 14.7, 
2020/11/06 16:30 +0100, GMT+01, 14.8, 
2020/11/06 16:50 +0100, GMT+01, 14.8, 
2020/11/06 17:10 +0100, GMT+01, 14.8, 
2020/11/06 17:30 +0100, GMT+01, 14.8, 
2020/11/06 17:50 +0100, GMT+01, 14.8, 
2020/11/06 18:10 +0100, GMT+01, 14.8, 
2020/11/06 18:30 +0100, GMT+01, 14.8, 
2020/11/06 18:50 +0100, GMT+01, 14.7, 
2020/11/06 19:10 +0100, GMT+01, 14.8, 
2020/11/06 19:30 +0100, GMT+01, 14.7, 
2020/11/06 19:50 +0100, GMT+01, 14.8, 
2020/11/06 20:10 +0100, GMT+01, 14.8, 
2020/11/06 20:30 +0100, GMT+01, 14.9, 
2020/11/06 20:50 +0100, GMT+01, 15, 
2020/11/06 21:10 +0100, GMT+01, 15.1, 
2020/11/06 21:30 +0100, GMT+01, 15.2, 
2020/11/06 21:50 +0100, GMT+01, 15.4, 
2020/11/06 22:10 +0100, GMT+01, 15.5, 
2020/11/06 22:30 +0100, GMT+01, 15.7, 
2020/11/06 22:50 +0100, GMT+01, 16, 
2020/11/06 23:10 +0100, GMT+01, 16.1, 
2020/11/06 23:30 +0100, GMT+01, 16.4, 
2020/11/06 23:50 +0100, GMT+01, 16.7, 
2020/11/07 00:10 +0100, GMT+01, 17, 
2020/11/07 00:30 +0100, GMT+01, 17.2, 
2020/11/07 00:50 +0100, GMT+01, 17.5, 
2020/11/07 01:10 +0100, GMT+01, 17.8, 
2020/11/07 01:30 +0100, GMT+01, 18.1, 
2020/11/07 01:50 +0100, GMT+01, 18.5, 
2020/11/07 02:10 +0100, GMT+01, 18.8, 
2020/11/07 02:30 +0100, GMT+01, 19.2, 
2020/11/07 02:50 +0100, GMT+01, 19.6, 
2020/11/07 03:10 +0100, GMT+01, 20, 
2020/11/07 03:30 +0100, GMT+01, 20.5, 
2020/11/07 03:50 +0100, GMT+01, 20.9, 
2020/11/07 04:10 +0100, GMT+01, 21.4, 
2020/11/07 04:30 +0100, GMT+01, 21.8, 
2020/11/07 04:50 +0100, GMT+01, 22.3, 
2020/11/07 05:10 +0100, GMT+01, 22.6, 
2020/11/07 05:30 +0100, GMT+01, 23, 
2020/11/07 05:50 +0100, GMT+01, 23.2, 
2020/11/07 06:10 +0100, GMT+01, 23.5, 
2020/11/07 06:30 +0100, GMT+01, 23.6, 
2020/11/07 06:50 +0100, GMT+01, 23.8, 
2020/11/07 07:10 +0100, GMT+01, 24, 
2020/11/07 07:30 +0100, GMT+01, 24.1, 
2020/11/07 07:50 +0100, GMT+01, 24.3, 
2020/11/07 08:10 +0100, GMT+01, 24.4, 
2020/11/07 08:30 +0100, GMT+01, 24.5, 
2020/11/07 08:50 +0100, GMT+01, 24.6, 
2020/11/07 09:10 +0100, GMT+01, 24.6, 
2020/11/07 09:30 +0100, GMT+01, 24.8, 
2020/11/07 09:50 +0100, GMT+01, 24.8, 
2020/11/07 10:10 +0100, GMT+01, 24.9, 
2020/11/07 10:30 +0100, GMT+01, 25, 
2020/11/07 10:50 +0100, GMT+01, 25, 
2020/11/07 11:10 +0100, GMT+01, 25.1, 
2020/11/07 11:30 +0100, GMT+01, 25.1, 
