time, timezone, temperature, strength
2020/09/28 18:41 +0200, GMT+02, 17.9, 
2020/09/28 19:01 +0200, GMT+02, 17.5, 
2020/09/28 19:21 +0200, GMT+02, 17, 
2020/09/28 19:41 +0200, GMT+02, 16.5, 
2020/09/28 20:01 +0200, GMT+02, 15.8, 
2020/09/28 20:21 +0200, GMT+02, 15.1, 
2020/09/28 20:41 +0200, GMT+02, 14.3, 
2020/09/28 21:01 +0200, GMT+02, 13.9, 
2020/09/28 21:22 +0200, GMT+02, 13.7, 
2020/09/28 21:42 +0200, GMT+02, 14.1, 
2020/09/28 22:02 +0200, GMT+02, 14.2, 
2020/09/28 22:22 +0200, GMT+02, 14.3, 
2020/09/28 22:42 +0200, GMT+02, 14.6, 
2020/09/28 23:02 +0200, GMT+02, 14.8, 
2020/09/28 23:22 +0200, GMT+02, 15.1, 
2020/09/28 23:42 +0200, GMT+02, 15.2, 
2020/09/29 00:02 +0200, GMT+02, 15.1, 
2020/09/29 00:22 +0200, GMT+02, 15.2, 
2020/09/29 00:42 +0200, GMT+02, 14.8, 
2020/09/29 01:02 +0200, GMT+02, 14.8, 
2020/09/29 01:22 +0200, GMT+02, 14.8, 
2020/09/29 01:42 +0200, GMT+02, 14.8, 
2020/09/29 02:02 +0200, GMT+02, 14.5, 
2020/09/29 02:22 +0200, GMT+02, 14.6, 
2020/09/29 02:42 +0200, GMT+02, 14.7, 
2020/09/29 03:02 +0200, GMT+02, 14.6, 
2020/09/29 03:22 +0200, GMT+02, 14.6, 
2020/09/29 03:42 +0200, GMT+02, 14.7, 
2020/09/29 04:02 +0200, GMT+02, 14.8, 
2020/09/29 04:22 +0200, GMT+02, 14.8, 
2020/09/29 04:42 +0200, GMT+02, 14.8, 
2020/09/29 05:02 +0200, GMT+02, 14.9, 
2020/09/29 05:22 +0200, GMT+02, 15, 
2020/09/29 05:42 +0200, GMT+02, 15, 
2020/09/29 06:02 +0200, GMT+02, 15, 
2020/09/29 06:22 +0200, GMT+02, 15.1, 
2020/09/29 06:42 +0200, GMT+02, 15.1, 
2020/09/29 07:02 +0200, GMT+02, 15.1, 
2020/09/29 07:22 +0200, GMT+02, 15.1, 
2020/09/29 07:42 +0200, GMT+02, 15.1, 
2020/09/29 08:02 +0200, GMT+02, 15.1, 
2020/09/29 08:22 +0200, GMT+02, 15.2, 
2020/09/29 08:42 +0200, GMT+02, 15.3, 
2020/09/29 09:02 +0200, GMT+02, 15.3, 
2020/09/29 09:22 +0200, GMT+02, 15.1, 
2020/09/29 09:42 +0200, GMT+02, 15, 
2020/09/29 10:02 +0200, GMT+02, 15.2, 0
2020/09/29 10:22 +0200, GMT+02, 15.4, 0
2020/09/29 10:42 +0200, GMT+02, 19.7, 0
2020/09/29 11:02 +0200, GMT+02, 19.8, 0
2020/09/29 11:22 +0200, GMT+02, 20, 0
2020/09/29 11:42 +0200, GMT+02, 20.1, 0
2020/09/29 12:02 +0200, GMT+02, 20.3, 0
2020/09/29 12:22 +0200, GMT+02, 20.3, 0
2020/09/29 12:42 +0200, GMT+02, 20.5, 0
2020/09/29 13:02 +0200, GMT+02, 20.5, 0
2020/09/29 13:22 +0200, GMT+02, 20.6, 0
2020/09/29 13:42 +0200, GMT+02, 20.7, 0
2020/09/29 14:02 +0200, GMT+02, 20.8, 0
2020/09/29 14:22 +0200, GMT+02, 21, 0
2020/09/29 14:42 +0200, GMT+02, 21, 0
2020/09/29 15:02 +0200, GMT+02, 21.1, 0
2020/09/29 15:22 +0200, GMT+02, 21.1, 0
2020/09/29 15:42 +0200, GMT+02, 21.3, 0
2020/09/29 16:02 +0200, GMT+02, 21.3, 0
2020/09/29 16:22 +0200, GMT+02, 21.4, 0
2020/09/29 16:42 +0200, GMT+02, 21.5, 0
2020/09/29 17:02 +0200, GMT+02, 21.5, 0
2020/09/29 17:22 +0200, GMT+02, 21.5, 0
2020/09/29 17:42 +0200, GMT+02, 21.6, 0
2020/09/29 18:02 +0200, GMT+02, 21.8, 0
2020/09/29 18:22 +0200, GMT+02, 21.9, 0
2020/09/29 18:42 +0200, GMT+02, 21.9, 0
2020/09/29 19:02 +0200, GMT+02, 21.9, 0
2020/09/29 19:22 +0200, GMT+02, 22, 0
2020/09/29 19:42 +0200, GMT+02, 22, 0
2020/09/29 20:02 +0200, GMT+02, 22.2, 0
2020/09/29 20:22 +0200, GMT+02, 22.4, 0
2020/09/29 20:42 +0200, GMT+02, 22.7, 0
2020/09/29 21:02 +0200, GMT+02, 23.1, 0
2020/09/29 21:22 +0200, GMT+02, 23.5, 0
2020/09/29 21:42 +0200, GMT+02, 24, 0
2020/09/29 22:02 +0200, GMT+02, 24.6, 0
2020/09/29 22:22 +0200, GMT+02, 25.2, 0
2020/09/29 22:42 +0200, GMT+02, 25.8, 0
2020/09/29 23:02 +0200, GMT+02, 26.5, 0
2020/09/29 23:22 +0200, GMT+02, 27.1, 0
2020/09/29 23:42 +0200, GMT+02, 28, 0.45462
2020/09/30 00:02 +0200, GMT+02, 28.8, 1.06176
2020/09/30 00:22 +0200, GMT+02, 29.6, 1.67051
2020/09/30 00:42 +0200, GMT+02, 30.5, 2.28176
2020/09/30 01:02 +0200, GMT+02, 31.3, 2.89503
2020/09/30 01:22 +0200, GMT+02, 31.8, 3.5048
2020/09/30 01:42 +0200, GMT+02, 32.3, 4.10728
2020/09/30 02:02 +0200, GMT+02, 32.7, 4.70145
2020/09/30 02:22 +0200, GMT+02, 33.1, 5.28641
2020/09/30 02:42 +0200, GMT+02, 33.4, 5.86136
