time, timezone, temperature, strength
2021/02/01 11:59 +0100, GMT+01, 9.4, 0
2021/02/01 12:18 +0100, GMT+01, 9.2, 0
2021/02/01 12:38 +0100, GMT+01, 9.2, 0
2021/02/01 12:58 +0100, GMT+01, 9.2, 0
2021/02/01 13:18 +0100, GMT+01, 9.1, 0
2021/02/01 13:38 +0100, GMT+01, 9.1, 0
2021/02/01 13:58 +0100, GMT+01, 9.1, 0
2021/02/01 14:18 +0100, GMT+01, 9.1, 0
2021/02/01 14:38 +0100, GMT+01, 9.1, 0
2021/02/01 14:58 +0100, GMT+01, 9, 0
2021/02/01 15:18 +0100, GMT+01, 9, 0
2021/02/01 15:38 +0100, GMT+01, 9, 0
2021/02/01 15:58 +0100, GMT+01, 9, 0
2021/02/01 16:19 +0100, GMT+01, 8.9, 0
2021/02/01 16:39 +0100, GMT+01, 8.9, 0
2021/02/01 16:59 +0100, GMT+01, 8.8, 0
2021/02/01 17:19 +0100, GMT+01, 8.8, 0
2021/02/01 17:39 +0100, GMT+01, 8.8, 0
2021/02/01 17:59 +0100, GMT+01, 8.8, 0
2021/02/01 18:19 +0100, GMT+01, 8.8, 0
2021/02/01 18:39 +0100, GMT+01, 8.8, 0
2021/02/01 18:59 +0100, GMT+01, 8.7, 0
2021/02/01 19:19 +0100, GMT+01, 8.7, 0
2021/02/01 19:39 +0100, GMT+01, 8.7, 0
2021/02/01 19:59 +0100, GMT+01, 8.7, 0
2021/02/01 20:19 +0100, GMT+01, 8.7, 0
2021/02/01 20:39 +0100, GMT+01, 8.8, 0
2021/02/01 20:59 +0100, GMT+01, 8.8, 0
2021/02/01 21:19 +0100, GMT+01, 8.8, 0
2021/02/01 21:39 +0100, GMT+01, 8.9, 0
2021/02/01 21:59 +0100, GMT+01, 9, 0
2021/02/01 22:19 +0100, GMT+01, 9, 0
2021/02/01 22:39 +0100, GMT+01, 9.1, 0
2021/02/01 22:59 +0100, GMT+01, 9.1, 0
2021/02/01 23:19 +0100, GMT+01, 9.3, 0
2021/02/01 23:39 +0100, GMT+01, 9.3, 0
2021/02/01 23:59 +0100, GMT+01, 9.5, 0
2021/02/02 00:19 +0100, GMT+01, 9.5, 0
2021/02/02 00:39 +0100, GMT+01, 9.6, 0
2021/02/02 00:59 +0100, GMT+01, 9.8, 0
2021/02/02 01:19 +0100, GMT+01, 9.9, 0
2021/02/02 01:39 +0100, GMT+01, 10.1, 0
2021/02/02 01:59 +0100, GMT+01, 10.2, 0
2021/02/02 02:19 +0100, GMT+01, 10.3, 0
2021/02/02 02:39 +0100, GMT+01, 10.5, 0
2021/02/02 02:59 +0100, GMT+01, 10.6, 0
2021/02/02 03:19 +0100, GMT+01, 10.8, 0
2021/02/02 03:39 +0100, GMT+01, 11, 0
2021/02/02 03:59 +0100, GMT+01, 11.2, 0
2021/02/02 04:19 +0100, GMT+01, 11.5, 0
2021/02/02 04:39 +0100, GMT+01, 11.6, 0
2021/02/02 04:59 +0100, GMT+01, 11.9, 0
2021/02/02 05:19 +0100, GMT+01, 12.1, 0
2021/02/02 05:39 +0100, GMT+01, 12.3, 0
2021/02/02 05:59 +0100, GMT+01, 12.6, 0
2021/02/02 06:19 +0100, GMT+01, 12.8, 0
2021/02/02 06:39 +0100, GMT+01, 13.1, 0
2021/02/02 06:59 +0100, GMT+01, 13.4, 0
2021/02/02 07:19 +0100, GMT+01, 13.6, 0
2021/02/02 07:39 +0100, GMT+01, 14, 0
2021/02/02 07:59 +0100, GMT+01, 14.2, 0
2021/02/02 08:19 +0100, GMT+01, 14.5, 0
2021/02/02 08:39 +0100, GMT+01, 14.8, 0
2021/02/02 08:59 +0100, GMT+01, 15.1, 0
2021/02/02 09:19 +0100, GMT+01, 15.5, 0
2021/02/02 09:39 +0100, GMT+01, 15.8, 0
2021/02/02 09:59 +0100, GMT+01, 16, 0
2021/02/02 10:19 +0100, GMT+01, 16.2, 0
2021/02/02 10:39 +0100, GMT+01, 16.5, 0
2021/02/02 10:59 +0100, GMT+01, 16.6, 0
2021/02/02 11:19 +0100, GMT+01, 16.8, 0
2021/02/02 11:39 +0100, GMT+01, 17, 0
2021/02/02 11:59 +0100, GMT+01, 17.2, 0
2021/02/02 12:19 +0100, GMT+01, 17.3, 0
2021/02/02 12:39 +0100, GMT+01, 17.5, 0
2021/02/02 12:59 +0100, GMT+01, 17.7, 0
2021/02/02 13:19 +0100, GMT+01, 17.8, 0
2021/02/02 13:39 +0100, GMT+01, 17.9, 0.33978
2021/02/02 13:59 +0100, GMT+01, 18, 0.6994
2021/02/02 14:19 +0100, GMT+01, 18.1, 1.05419
2021/02/02 14:39 +0100, GMT+01, 18.2, 1.40429
2021/02/02 14:59 +0100, GMT+01, 18.3, 1.74985
2021/02/02 15:19 +0100, GMT+01, 18.3, 2.09001
2021/02/02 15:39 +0100, GMT+01, 18.4, 2.42497
2021/02/02 15:59 +0100, GMT+01, 18.4, 2.75488
2021/02/02 16:19 +0100, GMT+01, 18.5, 3.07991
2021/02/02 16:39 +0100, GMT+01, 18.5, 3.40022
2021/02/02 16:59 +0100, GMT+01, 18.5, 3.71505
2021/02/02 17:19 +0100, GMT+01, 18.5, 4.02458
2021/02/02 17:39 +0100, GMT+01, 18.4, 4.32811
2021/02/02 17:59 +0100, GMT+01, 18.4, 4.62586
2021/02/02 18:19 +0100, GMT+01, 18.3, 4.91801
2021/02/02 18:39 +0100, GMT+01, 18.3, 5.20477
2021/02/02 18:59 +0100, GMT+01, 18.3, 5.48713
2021/02/02 19:19 +0100, GMT+01, 18.3, 5.76522
2021/02/02 19:39 +0100, GMT+01, 18.2, 6.03837
2021/02/02 19:59 +0100, GMT+01, 18.1, 6.30597
2021/02/02 20:19 +0100, GMT+01, 18.1, 6.56896
2021/02/02 20:39 +0100, GMT+01, 18.1, 6.82846
2021/02/02 20:59 +0100, GMT+01, 18, 7.0834
2021/02/02 21:19 +0100, GMT+01, 18, 7.33411
2021/02/02 21:39 +0100, GMT+01, 17.9, 7.58074
2021/02/02 21:59 +0100, GMT+01, 17.8, 7.82268
2021/02/02 22:19 +0100, GMT+01, 17.8, 8.04862
2021/02/02 22:39 +0100, GMT+01, 17.6, 8.23556
2021/02/02 22:59 +0100, GMT+01, 17.6, 8.41906
2021/02/02 23:19 +0100, GMT+01, 17.5, 8.59977
2021/02/02 23:39 +0100, GMT+01, 17.4, 8.77724
2021/02/02 23:59 +0100, GMT+01, 17.3, 8.95154
2021/02/03 00:19 +0100, GMT+01, 17.2, 9.12278
2021/02/03 00:39 +0100, GMT+01, 17.1, 9.29104
2021/02/03 00:59 +0100, GMT+01, 17, 9.4564
2021/02/03 01:19 +0100, GMT+01, 16.8, 9.61845
2021/02/03 01:39 +0100, GMT+01, 16.8, 9.77777
2021/02/03 01:59 +0100, GMT+01, 16.6, 9.93443
2021/02/03 02:19 +0100, GMT+01, 16.5, 10.08802
2021/02/03 02:39 +0100, GMT+01, 16.5, 10.23956
2021/02/03 02:59 +0100, GMT+01, 16.3, 10.38864
2021/02/03 03:19 +0100, GMT+01, 16.3, 10.53533
2021/02/03 03:39 +0100, GMT+01, 16.1, 10.67967
2021/02/03 03:59 +0100, GMT+01, 16.1, 10.82184
2021/02/03 04:19 +0100, GMT+01, 16, 10.9621
2021/02/03 04:39 +0100, GMT+01, 16, 11.1006
2021/02/03 04:59 +0100, GMT+01, 15.9, 11.23739
2021/02/03 05:19 +0100, GMT+01, 15.8, 11.37207
2021/02/03 05:39 +0100, GMT+01, 15.8, 11.50512
2021/02/03 05:59 +0100, GMT+01, 15.7, 11.63656
2021/02/03 06:19 +0100, GMT+01, 15.6, 11.76602
2021/02/03 06:39 +0100, GMT+01, 15.6, 11.89395
2021/02/03 06:59 +0100, GMT+01, 15.5, 12.02038
2021/02/03 07:19 +0100, GMT+01, 15.5, 12.14533
2021/02/03 07:39 +0100, GMT+01, 15.5, 12.26923
2021/02/03 07:59 +0100, GMT+01, 15.4, 12.39171
2021/02/03 08:19 +0100, GMT+01, 15.3, 12.51241
2021/02/03 08:39 +0100, GMT+01, 15.3, 12.63175
2021/02/03 08:59 +0100, GMT+01, 15.2, 12.74975
2021/02/03 09:19 +0100, GMT+01, 15.1, 12.86607
2021/02/03 09:39 +0100, GMT+01, 15.1, 12.98111
2021/02/03 09:59 +0100, GMT+01, 15.1, 13.09525
2021/02/03 10:19 +0100, GMT+01, 15, 13.20815
2021/02/03 10:39 +0100, GMT+01, 14.9, 13.31948
2021/02/03 10:59 +0100, GMT+01, 14.9, 13.42971
2021/02/03 11:19 +0100, GMT+01, 14.8, 13.53867
2021/02/03 11:39 +0100, GMT+01, 14.8, 13.64648
2021/02/03 11:59 +0100, GMT+01, 14.7, 13.75317
2021/02/03 12:19 +0100, GMT+01, 14.6, 13.8584
2021/02/03 12:39 +0100, GMT+01, 14.6, 13.96254
2021/02/03 12:59 +0100, GMT+01, 14.5, 14.06561
2021/02/03 13:19 +0100, GMT+01, 14.5, 14.16764
2021/02/03 13:39 +0100, GMT+01, 14.5, 14.26896
2021/02/03 13:59 +0100, GMT+01, 14.4, 14.36926
2021/02/03 14:19 +0100, GMT+01, 14.5, 14.46888
2021/02/03 14:39 +0100, GMT+01, 14.4, 14.56783
2021/02/03 14:59 +0100, GMT+01, 14.4, 14.6658
2021/02/03 15:19 +0100, GMT+01, 14.3, 14.7628
2021/02/03 15:39 +0100, GMT+01, 14.3, 14.85885
2021/02/03 15:59 +0100, GMT+01, 14.2, 14.95397
2021/02/03 16:19 +0100, GMT+01, 14.1, 15.04785
2021/02/03 16:39 +0100, GMT+01, 14.1, 15.14083
2021/02/03 16:59 +0100, GMT+01, 14.1, 15.23322
2021/02/03 17:19 +0100, GMT+01, 14, 15.32474
2021/02/03 17:39 +0100, GMT+01, 13.8, 15.41478
2021/02/03 17:59 +0100, GMT+01, 13.7, 15.50338
2021/02/03 18:19 +0100, GMT+01, 13.6, 15.59094
2021/02/03 18:39 +0100, GMT+01, 13.5, 15.67733
2021/02/03 18:59 +0100, GMT+01, 13.3, 15.76234
2021/02/03 19:19 +0100, GMT+01, 13.2, 15.846
2021/02/03 19:39 +0100, GMT+01, 13.1, 15.92863
2021/02/03 19:59 +0100, GMT+01, 12.9, 16.00995
2021/02/03 20:19 +0100, GMT+01, 12.8, 16.09
2021/02/03 20:39 +0100, GMT+01, 12.6, 16.16879
2021/02/03 20:59 +0100, GMT+01, 12.5, 16.24634
2021/02/03 21:19 +0100, GMT+01, 12.3, 16.32268
2021/02/03 21:39 +0100, GMT+01, 12.2, 16.39783
2021/02/03 21:59 +0100, GMT+01, 12.1, 16.47207
2021/02/03 22:19 +0100, GMT+01, 11.9, 16.54515
2021/02/03 22:39 +0100, GMT+01, 11.8, 16.6171
2021/02/03 22:59 +0100, GMT+01, 11.6, 16.68793
2021/02/03 23:19 +0100, GMT+01, 11.5, 16.75766
2021/02/03 23:39 +0100, GMT+01, 11.4, 16.82656
2021/02/03 23:59 +0100, GMT+01, 11.2, 16.8944
2021/02/04 00:19 +0100, GMT+01, 11.1, 16.96118
2021/02/04 00:39 +0100, GMT+01, 11, 17.02717
2021/02/04 00:59 +0100, GMT+01, 10.9, 17.09239
2021/02/04 01:19 +0100, GMT+01, 10.8, 17.15689
2021/02/04 01:39 +0100, GMT+01, 10.6, 17.22035
2021/02/04 01:59 +0100, GMT+01, 10.5, 17.28282
2021/02/04 02:19 +0100, GMT+01, 10.5, 17.3448
2021/02/04 02:39 +0100, GMT+01, 10.3, 17.40605
2021/02/04 02:59 +0100, GMT+01, 10.3, 17.46659
2021/02/04 03:19 +0100, GMT+01, 10.1, 17.52643
2021/02/04 03:39 +0100, GMT+01, 10, 17.58534
2021/02/04 03:59 +0100, GMT+01, 9.9, 17.64357
2021/02/04 04:19 +0100, GMT+01, 9.8, 17.70112
2021/02/04 04:39 +0100, GMT+01, 9.8, 17.75823
2021/02/04 04:59 +0100, GMT+01, 9.6, 17.81468
2021/02/04 05:19 +0100, GMT+01, 9.6, 17.87048
2021/02/04 05:39 +0100, GMT+01, 9.5, 17.92585
2021/02/04 05:59 +0100, GMT+01, 9.4, 17.98058
2021/02/04 06:19 +0100, GMT+01, 9.3, 18.03468
2021/02/04 06:39 +0100, GMT+01, 9.2, 18.08816
2021/02/04 06:59 +0100, GMT+01, 9.1, 18.14103
2021/02/04 07:19 +0100, GMT+01, 9, 18.19329
2021/02/04 07:39 +0100, GMT+01, 9, 18.24516
2021/02/04 07:59 +0100, GMT+01, 8.9, 18.29664
2021/02/04 08:19 +0100, GMT+01, 8.8, 18.34757
2021/02/04 08:39 +0100, GMT+01, 8.8, 18.39808
2021/02/04 08:59 +0100, GMT+01, 8.7, 18.44822
2021/02/04 09:19 +0100, GMT+01, 8.6, 18.49778
2021/02/04 09:39 +0100, GMT+01, 8.6, 18.54698
2021/02/04 09:59 +0100, GMT+01, 8.6, 18.59601
2021/02/04 10:19 +0100, GMT+01, 8.6, 18.64488
2021/02/04 10:39 +0100, GMT+01, 8.7, 18.69379
2021/02/04 10:59 +0100, GMT+01, 8.8, 18.74293
2021/02/04 11:19 +0100, GMT+01, 8.8, 18.7921
2021/02/04 11:39 +0100, GMT+01, 8.9, 18.84131
2021/02/04 11:59 +0100, GMT+01, 9, 18.89075
2021/02/04 12:19 +0100, GMT+01, 9, 18.94022
2021/02/04 12:39 +0100, GMT+01, 9.1, 18.98972
2021/02/04 12:59 +0100, GMT+01, 9.2, 19.03945
2021/02/04 13:19 +0100, GMT+01, 9.3, 19.08941
2021/02/04 13:39 +0100, GMT+01, 9.4, 19.13959
2021/02/04 13:59 +0100, GMT+01, 9.5, 19.18999
2021/02/04 14:19 +0100, GMT+01, 9.5, 19.24042
2021/02/04 14:39 +0100, GMT+01, 9.5, 19.29068
2021/02/04 14:59 +0100, GMT+01, 9.6, 19.34097
2021/02/04 15:19 +0100, GMT+01, 9.7, 19.39152
2021/02/04 15:39 +0100, GMT+01, 9.8, 19.44224
2021/02/04 15:59 +0100, GMT+01, 9.8, 19.49299
2021/02/04 16:19 +0100, GMT+01, 9.9, 19.54376
2021/02/04 16:39 +0100, GMT+01, 10, 19.59474
2021/02/04 16:59 +0100, GMT+01, 10, 19.64575
2021/02/04 17:19 +0100, GMT+01, 10, 19.69657
2021/02/04 17:39 +0100, GMT+01, 10.1, 19.74742
2021/02/04 17:59 +0100, GMT+01, 10.1, 19.79829
2021/02/04 18:19 +0100, GMT+01, 10.1, 19.84898
2021/02/04 18:39 +0100, GMT+01, 10.1, 19.8995
2021/02/04 18:59 +0100, GMT+01, 10.1, 19.94985
2021/02/04 19:19 +0100, GMT+01, 10.1, 20.00002
2021/02/04 19:39 +0100, GMT+01, 10.1, 20.05002
2021/02/04 19:59 +0100, GMT+01, 10.1, 20.09986
2021/02/04 20:19 +0100, GMT+01, 10, 20.14934
2021/02/04 20:39 +0100, GMT+01, 10.1, 20.19865
2021/02/04 20:59 +0100, GMT+01, 10.1, 20.24798
2021/02/04 21:19 +0100, GMT+01, 10.1, 20.29715
2021/02/04 21:39 +0100, GMT+01, 10.1, 20.34615
2021/02/04 21:59 +0100, GMT+01, 10.1, 20.395
2021/02/04 22:19 +0100, GMT+01, 10.1, 20.44372
2021/02/04 22:39 +0100, GMT+01, 10.1, 20.49224
2021/02/04 22:59 +0100, GMT+01, 10, 20.54042
2021/02/04 23:19 +0100, GMT+01, 10.1, 20.58843
2021/02/04 23:39 +0100, GMT+01, 10, 20.6363
2021/02/04 23:59 +0100, GMT+01, 10, 20.68382
2021/02/05 00:19 +0100, GMT+01, 10, 20.73119
2021/02/05 00:39 +0100, GMT+01, 10, 20.77841
2021/02/05 00:59 +0100, GMT+01, 10, 20.82548
2021/02/05 01:19 +0100, GMT+01, 10, 20.8724
2021/02/05 01:39 +0100, GMT+01, 9.9, 20.91899
2021/02/05 01:59 +0100, GMT+01, 10, 20.96544
2021/02/05 02:19 +0100, GMT+01, 9.9, 21.01173
2021/02/05 02:39 +0100, GMT+01, 9.8, 21.05753
2021/02/05 02:59 +0100, GMT+01, 9.8, 21.10301
2021/02/05 03:19 +0100, GMT+01, 9.8, 21.14835
2021/02/05 03:39 +0100, GMT+01, 9.8, 21.19355
2021/02/05 03:59 +0100, GMT+01, 9.8, 21.23861
2021/02/05 04:19 +0100, GMT+01, 9.8, 21.28353
2021/02/05 04:39 +0100, GMT+01, 9.7, 21.32815
2021/02/05 04:59 +0100, GMT+01, 9.7, 21.37245
2021/02/05 05:19 +0100, GMT+01, 9.7, 21.41663
2021/02/05 05:39 +0100, GMT+01, 9.7, 21.46071
2021/02/05 05:59 +0100, GMT+01, 9.6, 21.50445
2021/02/05 06:19 +0100, GMT+01, 9.6, 21.54789
2021/02/05 06:39 +0100, GMT+01, 9.6, 21.5912
2021/02/05 06:59 +0100, GMT+01, 9.6, 21.63438
2021/02/05 07:19 +0100, GMT+01, 9.5, 21.67727
2021/02/05 07:39 +0100, GMT+01, 9.5, 21.71987
2021/02/05 07:59 +0100, GMT+01, 9.5, 21.76235
2021/02/05 08:19 +0100, GMT+01, 9.4, 21.80454
2021/02/05 08:39 +0100, GMT+01, 9.3, 21.84628
2021/02/05 08:59 +0100, GMT+01, 9.3, 21.88773
2021/02/05 09:19 +0100, GMT+01, 9.3, 21.92907
2021/02/05 09:39 +0100, GMT+01, 9.2, 21.97014
2021/02/05 09:59 +0100, GMT+01, 9.1, 22.01076
2021/02/05 10:19 +0100, GMT+01, 9.1, 22.05111
2021/02/05 10:39 +0100, GMT+01, 9.1, 22.09135
2021/02/05 10:59 +0100, GMT+01, 9, 22.13132
2021/02/05 11:19 +0100, GMT+01, 9, 22.17103
2021/02/05 11:39 +0100, GMT+01, 8.8, 22.21031
2021/02/05 11:59 +0100, GMT+01, 8.8, 22.24918
2021/02/05 12:19 +0100, GMT+01, 8.9, 22.28809
2021/02/05 12:39 +0100, GMT+01, 9, 22.32726
2021/02/05 12:59 +0100, GMT+01, 9.2, 22.36675
2021/02/05 13:19 +0100, GMT+01, 9.5, 22.40693
2021/02/05 13:39 +0100, GMT+01, 9.7, 22.44778
2021/02/05 13:59 +0100, GMT+01, 9.9, 22.48917
2021/02/05 14:19 +0100, GMT+01, 10.2, 22.53124
2021/02/05 14:39 +0100, GMT+01, 10.5, 22.57416
2021/02/05 14:59 +0100, GMT+01, 10.8, 22.61794
2021/02/05 15:19 +0100, GMT+01, 11.1, 22.66257
2021/02/05 15:39 +0100, GMT+01, 11.4, 22.70806
2021/02/05 15:59 +0100, GMT+01, 11.6, 22.75425
2021/02/05 16:19 +0100, GMT+01, 11.7, 22.80079
2021/02/05 16:39 +0100, GMT+01, 11.8, 22.84753
2021/02/05 16:59 +0100, GMT+01, 11.8, 22.89428
2021/02/05 17:19 +0100, GMT+01, 11.8, 22.94088
2021/02/05 17:39 +0100, GMT+01, 11.7, 22.98718
2021/02/05 17:59 +0100, GMT+01, 11.7, 23.03316
2021/02/05 18:19 +0100, GMT+01, 11.6, 23.07883
2021/02/05 18:39 +0100, GMT+01, 11.6, 23.12419
2021/02/05 18:59 +0100, GMT+01, 11.5, 23.16926
2021/02/05 19:19 +0100, GMT+01, 11.5, 23.21402
2021/02/05 19:39 +0100, GMT+01, 11.3, 23.25833
2021/02/05 19:59 +0100, GMT+01, 11.3, 23.30221
2021/02/05 20:19 +0100, GMT+01, 11.1, 23.34561
2021/02/05 20:38 +0100, GMT+01, 11.1, 23.3876
2021/02/05 20:58 +0100, GMT+01, 11, 23.43028
2021/02/05 21:18 +0100, GMT+01, 10.9, 23.47252
2021/02/05 21:38 +0100, GMT+01, 10.8, 23.51432
2021/02/05 21:58 +0100, GMT+01, 10.8, 23.55585
2021/02/05 22:18 +0100, GMT+01, 10.7, 23.59715
2021/02/05 22:38 +0100, GMT+01, 10.6, 23.63799
2021/02/05 22:58 +0100, GMT+01, 10.5, 23.67841
2021/02/05 23:18 +0100, GMT+01, 10.5, 23.71857
2021/02/05 23:38 +0100, GMT+01, 10.5, 23.75862
