time, timezone, temperature, strength
2020/11/02 09:41 +0100, GMT+01, 16.6, 
2020/11/02 09:59 +0100, GMT+01, 16.8, 
2020/11/02 10:19 +0100, GMT+01, 17.1, 
2020/11/02 10:39 +0100, GMT+01, 12.5, 
2020/11/02 10:59 +0100, GMT+01, 12.1, 
2020/11/02 11:19 +0100, GMT+01, 17.7, 
2020/11/02 11:39 +0100, GMT+01, 17.8, 
2020/11/02 11:59 +0100, GMT+01, 17.8, 0
2020/11/02 12:19 +0100, GMT+01, 17.8, 0
2020/11/02 12:39 +0100, GMT+01, 17.7, 0
2020/11/02 12:59 +0100, GMT+01, 17.7, 0
2020/11/02 13:19 +0100, GMT+01, 17.6, 0
2020/11/02 13:39 +0100, GMT+01, 17.6, 0
2020/11/02 13:59 +0100, GMT+01, 17.6, 0
2020/11/02 14:19 +0100, GMT+01, 17.6, 0
2020/11/02 14:39 +0100, GMT+01, 17.6, 0
2020/11/02 14:59 +0100, GMT+01, 17.6, 0
2020/11/02 15:19 +0100, GMT+01, 17.5, 0
2020/11/02 15:39 +0100, GMT+01, 17.5, 0
2020/11/02 15:59 +0100, GMT+01, 17.4, 0
2020/11/02 16:19 +0100, GMT+01, 17.3, 0
2020/11/02 16:39 +0100, GMT+01, 17.2, 0
2020/11/02 16:59 +0100, GMT+01, 17.1, 0
2020/11/02 17:19 +0100, GMT+01, 17, 0
2020/11/02 17:39 +0100, GMT+01, 16.9, 0
2020/11/02 17:59 +0100, GMT+01, 16.8, 0
2020/11/02 18:19 +0100, GMT+01, 16.7, 0
2020/11/02 18:39 +0100, GMT+01, 16.6, 0
2020/11/02 18:59 +0100, GMT+01, 16.6, 0
2020/11/02 19:19 +0100, GMT+01, 16.5, 0
2020/11/02 19:39 +0100, GMT+01, 16.5, 0
2020/11/02 19:59 +0100, GMT+01, 16.5, 0
2020/11/02 20:19 +0100, GMT+01, 16.5, 0
2020/11/02 20:39 +0100, GMT+01, 16.5, 0
