time, timezone, temperature, strength
2020/12/09 17:40 +0100, GMT+01, 6.3, 0
2020/12/09 17:49 +0100, GMT+01, 11.3, 0
2020/12/09 18:09 +0100, GMT+01, 11.1, 0
2020/12/09 18:29 +0100, GMT+01, 11, 0
2020/12/09 18:49 +0100, GMT+01, 10.9, 0
2020/12/09 19:09 +0100, GMT+01, 10.8, 0
2020/12/09 19:29 +0100, GMT+01, 10.7, 0
2020/12/09 19:49 +0100, GMT+01, 10.5, 0
2020/12/09 20:09 +0100, GMT+01, 10.5, 0
2020/12/09 20:29 +0100, GMT+01, 10.3, 0
2020/12/09 20:49 +0100, GMT+01, 10.2, 0
2020/12/09 21:09 +0100, GMT+01, 10.1, 0
2020/12/09 21:29 +0100, GMT+01, 10, 0
2020/12/09 21:49 +0100, GMT+01, 9.9, 0
2020/12/09 22:09 +0100, GMT+01, 9.8, 0
2020/12/09 22:29 +0100, GMT+01, 9.7, 0
2020/12/09 22:49 +0100, GMT+01, 9.6, 0
2020/12/09 23:09 +0100, GMT+01, 9.5, 0
2020/12/09 23:29 +0100, GMT+01, 9.5, 0
2020/12/09 23:49 +0100, GMT+01, 9.4, 0
2020/12/10 00:09 +0100, GMT+01, 9.3, 0
2020/12/10 00:29 +0100, GMT+01, 9.3, 0
2020/12/10 00:49 +0100, GMT+01, 9.2, 0
2020/12/10 01:09 +0100, GMT+01, 9.1, 0
2020/12/10 01:29 +0100, GMT+01, 9.1, 0
2020/12/10 01:49 +0100, GMT+01, 9.1, 0
2020/12/10 02:09 +0100, GMT+01, 9, 0
2020/12/10 02:29 +0100, GMT+01, 9, 0
2020/12/10 02:49 +0100, GMT+01, 9, 0
2020/12/10 03:09 +0100, GMT+01, 9, 0
2020/12/10 03:29 +0100, GMT+01, 9, 0
2020/12/10 03:49 +0100, GMT+01, 9, 0
2020/12/10 04:09 +0100, GMT+01, 8.9, 0
2020/12/10 04:29 +0100, GMT+01, 8.9, 0
2020/12/10 04:49 +0100, GMT+01, 8.9, 0
2020/12/10 05:09 +0100, GMT+01, 8.9, 0
2020/12/10 05:29 +0100, GMT+01, 8.9, 0
2020/12/10 05:49 +0100, GMT+01, 8.9, 0
2020/12/10 06:09 +0100, GMT+01, 8.9, 0
2020/12/10 06:29 +0100, GMT+01, 8.9, 0
2020/12/10 06:49 +0100, GMT+01, 9, 0
2020/12/10 07:09 +0100, GMT+01, 9, 0
2020/12/10 07:29 +0100, GMT+01, 9, 0
2020/12/10 07:49 +0100, GMT+01, 9, 0
2020/12/10 08:09 +0100, GMT+01, 9.1, 0
2020/12/10 08:29 +0100, GMT+01, 9.1, 0
2020/12/10 08:49 +0100, GMT+01, 9.2, 0
2020/12/10 09:09 +0100, GMT+01, 9.3, 0
2020/12/10 09:29 +0100, GMT+01, 9.4, 0
2020/12/10 09:49 +0100, GMT+01, 9.5, 0
2020/12/10 10:09 +0100, GMT+01, 9.6, 0
2020/12/10 10:29 +0100, GMT+01, 9.7, 0
2020/12/10 10:49 +0100, GMT+01, 9.8, 0
2020/12/10 11:09 +0100, GMT+01, 10, 0
2020/12/10 11:29 +0100, GMT+01, 10.1, 0
2020/12/10 11:49 +0100, GMT+01, 10.3, 0
2020/12/10 12:09 +0100, GMT+01, 10.5, 0
2020/12/10 12:29 +0100, GMT+01, 10.6, 0
2020/12/10 12:49 +0100, GMT+01, 10.8, 0
2020/12/10 13:09 +0100, GMT+01, 11, 0
2020/12/10 13:29 +0100, GMT+01, 11.1, 0
2020/12/10 13:49 +0100, GMT+01, 11.3, 0
2020/12/10 14:09 +0100, GMT+01, 11.6, 0
