time, timezone, temperature, strength
2021/04/01 09:47 +0200, GMT+02, 11.4, 
2021/04/01 10:04 +0200, GMT+02, 10.7, 
2021/04/01 10:24 +0200, GMT+02, 11.3, 
2021/04/01 10:44 +0200, GMT+02, 11, 
2021/04/01 11:04 +0200, GMT+02, 13, 
2021/04/01 11:24 +0200, GMT+02, 13.8, 
2021/04/01 11:44 +0200, GMT+02, 14.3, 
2021/04/01 12:04 +0200, GMT+02, 16.2, 
2021/04/01 12:24 +0200, GMT+02, 15.1, 
2021/04/01 12:44 +0200, GMT+02, 15.8, 
2021/04/01 13:04 +0200, GMT+02, 16.7, 
2021/04/01 13:24 +0200, GMT+02, 15.8, 
2021/04/01 13:44 +0200, GMT+02, 16.8, 
2021/04/01 14:04 +0200, GMT+02, 16, 
2021/04/01 14:24 +0200, GMT+02, 16.6, 
2021/04/01 14:44 +0200, GMT+02, 16.8, 
2021/04/01 15:04 +0200, GMT+02, 16.8, 
2021/04/01 15:24 +0200, GMT+02, 16.3, 
2021/04/01 15:44 +0200, GMT+02, 15.9, 
2021/04/01 16:04 +0200, GMT+02, 16, 0
2021/04/01 16:24 +0200, GMT+02, 16, 0
2021/04/01 16:44 +0200, GMT+02, 16.1, 0
2021/04/01 17:04 +0200, GMT+02, 16.1, 0
2021/04/01 17:24 +0200, GMT+02, 16, 0
2021/04/01 17:44 +0200, GMT+02, 15.8, 0
2021/04/01 18:04 +0200, GMT+02, 15.6, 0
2021/04/01 18:24 +0200, GMT+02, 15.5, 0
2021/04/01 18:44 +0200, GMT+02, 15.3, 0
2021/04/01 19:04 +0200, GMT+02, 15, 0
2021/04/01 19:24 +0200, GMT+02, 14.7, 0
2021/04/01 19:44 +0200, GMT+02, 14.5, 0
2021/04/01 20:04 +0200, GMT+02, 14.1, 0
2021/04/01 20:24 +0200, GMT+02, 13.8, 0
2021/04/01 20:44 +0200, GMT+02, 13.5, 0
2021/04/01 21:04 +0200, GMT+02, 13.2, 0
2021/04/01 21:24 +0200, GMT+02, 13, 0
2021/04/01 21:44 +0200, GMT+02, 12.6, 0
2021/04/01 22:04 +0200, GMT+02, 12.4, 0
2021/04/01 22:24 +0200, GMT+02, 12.1, 0
2021/04/01 22:44 +0200, GMT+02, 11.8, 0
2021/04/01 23:04 +0200, GMT+02, 11.6, 0
2021/04/01 23:24 +0200, GMT+02, 11.3, 0
2021/04/01 23:44 +0200, GMT+02, 11.1, 0
2021/04/02 00:04 +0200, GMT+02, 11, 0
2021/04/02 00:24 +0200, GMT+02, 10.8, 0
2021/04/02 00:44 +0200, GMT+02, 10.6, 0
2021/04/02 01:04 +0200, GMT+02, 10.6, 0
2021/04/02 01:24 +0200, GMT+02, 10.5, 0
2021/04/02 01:44 +0200, GMT+02, 10.4, 0
2021/04/02 02:04 +0200, GMT+02, 10.3, 0
