time, timezone, temperature, strength
2021/05/04 18:31 +0200, GMT+02, 15.2, 0
2021/05/04 18:51 +0200, GMT+02, 16.6, 0
2021/05/04 19:11 +0200, GMT+02, 16.3, 0
2021/05/04 19:31 +0200, GMT+02, 16.1, 0
2021/05/04 19:51 +0200, GMT+02, 15.9, 0
2021/05/04 20:11 +0200, GMT+02, 15.6, 0
2021/05/04 20:31 +0200, GMT+02, 15.3, 0
2021/05/04 20:51 +0200, GMT+02, 15, 0
2021/05/04 21:11 +0200, GMT+02, 14.6, 0
2021/05/04 21:31 +0200, GMT+02, 14.3, 0
2021/05/04 21:51 +0200, GMT+02, 14, 0
2021/05/04 22:11 +0200, GMT+02, 13.7, 0
2021/05/04 22:31 +0200, GMT+02, 13.4, 0
2021/05/04 22:51 +0200, GMT+02, 13.1, 0
2021/05/04 23:11 +0200, GMT+02, 12.9, 0
2021/05/04 23:31 +0200, GMT+02, 12.6, 0
2021/05/04 23:51 +0200, GMT+02, 12.5, 0
2021/05/05 00:11 +0200, GMT+02, 12.4, 0
2021/05/05 00:31 +0200, GMT+02, 12.3, 0
2021/05/05 00:51 +0200, GMT+02, 12.1, 0
2021/05/05 01:11 +0200, GMT+02, 12, 0
2021/05/05 01:31 +0200, GMT+02, 11.9, 0
2021/05/05 01:51 +0200, GMT+02, 11.8, 0
2021/05/05 02:11 +0200, GMT+02, 11.6, 0
2021/05/05 02:31 +0200, GMT+02, 11.5, 0
2021/05/05 02:51 +0200, GMT+02, 11.4, 0
2021/05/05 03:11 +0200, GMT+02, 11.3, 0
2021/05/05 03:31 +0200, GMT+02, 11.1, 0
2021/05/05 03:51 +0200, GMT+02, 11, 0
2021/05/05 04:11 +0200, GMT+02, 11, 0
2021/05/05 04:31 +0200, GMT+02, 10.9, 0
2021/05/05 04:51 +0200, GMT+02, 10.8, 0
2021/05/05 05:11 +0200, GMT+02, 10.7, 0
2021/05/05 05:31 +0200, GMT+02, 10.7, 0
2021/05/05 05:51 +0200, GMT+02, 10.6, 0
2021/05/05 06:11 +0200, GMT+02, 10.6, 0
2021/05/05 06:31 +0200, GMT+02, 10.6, 0
2021/05/05 06:51 +0200, GMT+02, 10.5, 0
2021/05/05 07:11 +0200, GMT+02, 10.5, 0
2021/05/05 07:31 +0200, GMT+02, 10.5, 0
2021/05/05 07:51 +0200, GMT+02, 10.5, 0
2021/05/05 08:11 +0200, GMT+02, 10.4, 0
2021/05/05 08:31 +0200, GMT+02, 10.5, 0
2021/05/05 08:51 +0200, GMT+02, 10.5, 0
2021/05/05 09:11 +0200, GMT+02, 10.6, 0
2021/05/05 09:31 +0200, GMT+02, 10.8, 0
2021/05/05 09:51 +0200, GMT+02, 10.9, 0
2021/05/05 10:11 +0200, GMT+02, 11.1, 0
2021/05/05 10:30 +0200, GMT+02, 11.3, 0
2021/05/05 10:50 +0200, GMT+02, 11.5, 0
2021/05/05 11:10 +0200, GMT+02, 11.7, 0
2021/05/05 11:30 +0200, GMT+02, 12, 0
2021/05/05 11:50 +0200, GMT+02, 12.3, 0
2021/05/05 12:10 +0200, GMT+02, 12.6, 0
2021/05/05 12:30 +0200, GMT+02, 12.9, 0
2021/05/05 12:50 +0200, GMT+02, 13.1, 0
2021/05/05 13:10 +0200, GMT+02, 13.3, 0
2021/05/05 13:30 +0200, GMT+02, 13.6, 0
2021/05/05 13:50 +0200, GMT+02, 14.1, 0
2021/05/05 14:10 +0200, GMT+02, 14.7, 0
2021/05/05 14:30 +0200, GMT+02, 15.3, 0
2021/05/05 14:50 +0200, GMT+02, 15.7, 0
2021/05/05 15:10 +0200, GMT+02, 15.9, 0
2021/05/05 15:30 +0200, GMT+02, 16.1, 0
2021/05/05 15:50 +0200, GMT+02, 16.4, 0
2021/05/05 16:10 +0200, GMT+02, 16.5, 0
2021/05/05 16:30 +0200, GMT+02, 16.6, 0
2021/05/05 16:50 +0200, GMT+02, 16.6, 0
2021/05/05 17:10 +0200, GMT+02, 16.6, 0
2021/05/05 17:30 +0200, GMT+02, 16.5, 0.17744
2021/05/05 17:50 +0200, GMT+02, 16.3, 0.50814
2021/05/05 18:10 +0200, GMT+02, 16, 0.82804
2021/05/05 18:30 +0200, GMT+02, 15.8, 1.13765
2021/05/05 18:50 +0200, GMT+02, 15.8, 1.44024
2021/05/05 19:10 +0200, GMT+02, 15.8, 1.73794
2021/05/05 19:30 +0200, GMT+02, 15.7, 2.02997
2021/05/05 19:50 +0200, GMT+02, 15.6, 2.31566
2021/05/05 20:10 +0200, GMT+02, 15.5, 2.59521
2021/05/05 20:30 +0200, GMT+02, 15.3, 2.86798
2021/05/05 20:50 +0200, GMT+02, 15, 3.13253
2021/05/05 21:10 +0200, GMT+02, 14.8, 3.38919
2021/05/05 21:30 +0200, GMT+02, 14.5, 3.63827
2021/05/05 21:50 +0200, GMT+02, 14.3, 3.88005
2021/05/05 22:10 +0200, GMT+02, 14, 4.11481
2021/05/05 22:30 +0200, GMT+02, 13.8, 4.34281
2021/05/05 22:50 +0200, GMT+02, 13.6, 4.56522
2021/05/05 23:10 +0200, GMT+02, 13.3, 4.78112
2021/05/05 23:30 +0200, GMT+02, 13, 4.99022
2021/05/05 23:50 +0200, GMT+02, 12.8, 5.19346
2021/05/06 00:10 +0200, GMT+02, 12.5, 5.39104
2021/05/06 00:30 +0200, GMT+02, 12.2, 5.58246
2021/05/06 00:50 +0200, GMT+02, 11.9, 5.76794
