time, timezone, temperature, strength
2021/01/11 09:45 +0100, GMT+01, 5.3, 
2021/01/11 10:05 +0100, GMT+01, 5.31, 
2021/01/11 10:25 +0100, GMT+01, 5.5, 
2021/01/11 10:45 +0100, GMT+01, 6, 
2021/01/11 11:05 +0100, GMT+01, 6.6, 
2021/01/11 11:25 +0100, GMT+01, 7.2, 
2021/01/11 11:45 +0100, GMT+01, 10.7, 
2021/01/11 12:05 +0100, GMT+01, 11.1, 
2021/01/11 12:25 +0100, GMT+01, 11.1, 
2021/01/11 12:45 +0100, GMT+01, 11.1, 
2021/01/11 13:05 +0100, GMT+01, 11.1, 
2021/01/11 13:25 +0100, GMT+01, 11.1, 
2021/01/11 13:45 +0100, GMT+01, 11.1, 
2021/01/11 14:05 +0100, GMT+01, 11.1, 
2021/01/11 14:25 +0100, GMT+01, 11.1, 
2021/01/11 14:45 +0100, GMT+01, 11.1, 
2021/01/11 15:05 +0100, GMT+01, 11.1, 
2021/01/11 15:25 +0100, GMT+01, 11.1, 
2021/01/11 15:45 +0100, GMT+01, 11.1, 
2021/01/11 16:05 +0100, GMT+01, 11.1, 
2021/01/11 16:25 +0100, GMT+01, 11.1, 
2021/01/11 16:45 +0100, GMT+01, 11.1, 
2021/01/11 17:05 +0100, GMT+01, 11, 
2021/01/11 17:25 +0100, GMT+01, 11, 
2021/01/11 17:45 +0100, GMT+01, 11, 
2021/01/11 18:05 +0100, GMT+01, 11, 
2021/01/11 18:25 +0100, GMT+01, 10.9, 
2021/01/11 18:45 +0100, GMT+01, 10.9, 
2021/01/11 19:05 +0100, GMT+01, 10.8, 
2021/01/11 19:25 +0100, GMT+01, 10.8, 
2021/01/11 19:45 +0100, GMT+01, 10.8, 
2021/01/11 20:05 +0100, GMT+01, 10.8, 
2021/01/11 20:25 +0100, GMT+01, 10.8, 
2021/01/11 20:45 +0100, GMT+01, 10.8, 
2021/01/11 21:05 +0100, GMT+01, 10.8, 
2021/01/11 21:25 +0100, GMT+01, 10.8, 
2021/01/11 21:45 +0100, GMT+01, 10.8, 
2021/01/11 22:05 +0100, GMT+01, 10.9, 
2021/01/11 22:25 +0100, GMT+01, 10.9, 
2021/01/11 22:45 +0100, GMT+01, 11, 
2021/01/11 23:05 +0100, GMT+01, 11, 
2021/01/11 23:25 +0100, GMT+01, 11, 
2021/01/11 23:45 +0100, GMT+01, 11, 
2021/01/12 00:05 +0100, GMT+01, 11.1, 
2021/01/12 00:25 +0100, GMT+01, 11.1, 
2021/01/12 00:45 +0100, GMT+01, 11.2, 
2021/01/12 01:05 +0100, GMT+01, 11.3, 
2021/01/12 01:25 +0100, GMT+01, 11.3, 
2021/01/12 01:45 +0100, GMT+01, 11.5, 
2021/01/12 02:05 +0100, GMT+01, 11.5, 
2021/01/12 02:25 +0100, GMT+01, 11.6, 
2021/01/12 02:45 +0100, GMT+01, 11.8, 
2021/01/12 03:05 +0100, GMT+01, 11.9, 
2021/01/12 03:25 +0100, GMT+01, 12, 
2021/01/12 03:45 +0100, GMT+01, 12.1, 
2021/01/12 04:05 +0100, GMT+01, 12.3, 
2021/01/12 04:25 +0100, GMT+01, 12.5, 
2021/01/12 04:45 +0100, GMT+01, 12.6, 
2021/01/12 05:05 +0100, GMT+01, 12.8, 
2021/01/12 05:25 +0100, GMT+01, 13, 
2021/01/12 05:45 +0100, GMT+01, 13.2, 
2021/01/12 06:05 +0100, GMT+01, 13.4, 
2021/01/12 06:25 +0100, GMT+01, 13.6, 
2021/01/12 06:45 +0100, GMT+01, 13.8, 
2021/01/12 07:05 +0100, GMT+01, 14.1, 
2021/01/12 07:25 +0100, GMT+01, 14.3, 
2021/01/12 07:45 +0100, GMT+01, 14.5, 
2021/01/12 08:05 +0100, GMT+01, 14.8, 
2021/01/12 08:25 +0100, GMT+01, 15, 
2021/01/12 08:45 +0100, GMT+01, 15.2, 
2021/01/12 09:05 +0100, GMT+01, 15.5, 
2021/01/12 09:25 +0100, GMT+01, 15.7, 
2021/01/12 09:45 +0100, GMT+01, 16, 
2021/01/12 10:05 +0100, GMT+01, 16.1, 
2021/01/12 10:25 +0100, GMT+01, 16.4, 
2021/01/12 10:45 +0100, GMT+01, 16.6, 
2021/01/12 11:05 +0100, GMT+01, 16.8, 
2021/01/12 11:25 +0100, GMT+01, 17, 
2021/01/12 11:45 +0100, GMT+01, 17.3, 
2021/01/12 12:05 +0100, GMT+01, 17.4, 
2021/01/12 12:25 +0100, GMT+01, 17.6, 
2021/01/12 12:45 +0100, GMT+01, 17.8, 
2021/01/12 13:05 +0100, GMT+01, 17.9, 
2021/01/12 13:25 +0100, GMT+01, 18, 
2021/01/12 13:45 +0100, GMT+01, 18.1, 
2021/01/12 14:05 +0100, GMT+01, 18.3, 
2021/01/12 14:25 +0100, GMT+01, 18.4, 
2021/01/12 14:45 +0100, GMT+01, 18.5, 
2021/01/12 15:05 +0100, GMT+01, 18.5, 
2021/01/12 15:25 +0100, GMT+01, 18.6, 
2021/01/12 15:45 +0100, GMT+01, 18.8, 
2021/01/12 16:05 +0100, GMT+01, 18.8, 
2021/01/12 16:25 +0100, GMT+01, 18.9, 
2021/01/12 16:45 +0100, GMT+01, 19, 
2021/01/12 17:05 +0100, GMT+01, 19.1, 
2021/01/12 17:25 +0100, GMT+01, 19.1, 
2021/01/12 17:45 +0100, GMT+01, 19.2, 
2021/01/12 18:05 +0100, GMT+01, 19.2, 
2021/01/12 18:25 +0100, GMT+01, 19.3, 
2021/01/12 18:45 +0100, GMT+01, 19.3, 
2021/01/12 19:05 +0100, GMT+01, 19.3, 
2021/01/12 19:25 +0100, GMT+01, 19.4, 
2021/01/12 19:45 +0100, GMT+01, 19.5, 
2021/01/12 20:05 +0100, GMT+01, 19.5, 
2021/01/12 20:25 +0100, GMT+01, 19.5, 
2021/01/12 20:45 +0100, GMT+01, 19.5, 
2021/01/12 21:05 +0100, GMT+01, 19.6, 
2021/01/12 21:25 +0100, GMT+01, 19.6, 
2021/01/12 21:45 +0100, GMT+01, 19.6, 
2021/01/12 22:05 +0100, GMT+01, 19.6, 
2021/01/12 22:25 +0100, GMT+01, 19.6, 
2021/01/12 22:45 +0100, GMT+01, 19.6, 
2021/01/12 23:05 +0100, GMT+01, 19.6, 
2021/01/12 23:25 +0100, GMT+01, 19.6, 
2021/01/12 23:45 +0100, GMT+01, 19.6, 
2021/01/13 00:05 +0100, GMT+01, 19.6, 
2021/01/13 00:25 +0100, GMT+01, 19.6, 
2021/01/13 00:45 +0100, GMT+01, 19.6, 
2021/01/13 01:05 +0100, GMT+01, 19.6, 
2021/01/13 01:25 +0100, GMT+01, 19.6, 
2021/01/13 01:45 +0100, GMT+01, 19.5, 
2021/01/13 02:05 +0100, GMT+01, 19.5, 
2021/01/13 02:25 +0100, GMT+01, 19.5, 
2021/01/13 02:45 +0100, GMT+01, 19.5, 
2021/01/13 03:05 +0100, GMT+01, 19.5, 
2021/01/13 03:25 +0100, GMT+01, 19.4, 
2021/01/13 03:45 +0100, GMT+01, 19.3, 
2021/01/13 04:05 +0100, GMT+01, 19.3, 
2021/01/13 04:25 +0100, GMT+01, 19.3, 
2021/01/13 04:45 +0100, GMT+01, 19.2, 
2021/01/13 05:05 +0100, GMT+01, 19.1, 
2021/01/13 05:25 +0100, GMT+01, 19.1, 
2021/01/13 05:45 +0100, GMT+01, 19, 
2021/01/13 06:05 +0100, GMT+01, 19, 
2021/01/13 06:25 +0100, GMT+01, 18.9, 
2021/01/13 06:45 +0100, GMT+01, 18.8, 
2021/01/13 07:05 +0100, GMT+01, 18.7, 
2021/01/13 07:25 +0100, GMT+01, 18.6, 
2021/01/13 07:45 +0100, GMT+01, 18.6, 
2021/01/13 08:05 +0100, GMT+01, 18.5, 
2021/01/13 08:25 +0100, GMT+01, 18.5, 
2021/01/13 08:45 +0100, GMT+01, 18.4, 
2021/01/13 09:05 +0100, GMT+01, 18.3, 
2021/01/13 09:25 +0100, GMT+01, 18.3, 
2021/01/13 09:45 +0100, GMT+01, 18.3, 
2021/01/13 10:05 +0100, GMT+01, 18.1, 
2021/01/13 10:25 +0100, GMT+01, 18.1, 
2021/01/13 10:45 +0100, GMT+01, 18.1, 
2021/01/13 11:05 +0100, GMT+01, 18.1, 
2021/01/13 11:25 +0100, GMT+01, 18, 
2021/01/13 11:45 +0100, GMT+01, 18, 
2021/01/13 12:05 +0100, GMT+01, 18, 
2021/01/13 12:25 +0100, GMT+01, 17.8, 
2021/01/13 12:45 +0100, GMT+01, 17.8, 
2021/01/13 13:05 +0100, GMT+01, 17.8, 
2021/01/13 13:25 +0100, GMT+01, 17.8, 
2021/01/13 13:45 +0100, GMT+01, 17.8, 
2021/01/13 14:05 +0100, GMT+01, 17.7, 
2021/01/13 14:25 +0100, GMT+01, 17.7, 
2021/01/13 14:45 +0100, GMT+01, 17.7, 
2021/01/13 15:05 +0100, GMT+01, 17.6, 
2021/01/13 15:25 +0100, GMT+01, 17.6, 
2021/01/13 15:45 +0100, GMT+01, 17.6, 
2021/01/13 16:05 +0100, GMT+01, 17.6, 
2021/01/13 16:25 +0100, GMT+01, 17.6, 
2021/01/13 16:45 +0100, GMT+01, 17.5, 
2021/01/13 17:05 +0100, GMT+01, 17.5, 
2021/01/13 17:25 +0100, GMT+01, 17.5, 
2021/01/13 17:45 +0100, GMT+01, 17.4, 
2021/01/13 18:05 +0100, GMT+01, 17.4, 
2021/01/13 18:25 +0100, GMT+01, 17.3, 
2021/01/13 18:45 +0100, GMT+01, 17.3, 
2021/01/13 19:05 +0100, GMT+01, 17.3, 
2021/01/13 19:25 +0100, GMT+01, 17.3, 
2021/01/13 19:45 +0100, GMT+01, 17.2, 
2021/01/13 20:05 +0100, GMT+01, 17.2, 
2021/01/13 20:25 +0100, GMT+01, 17.1, 
2021/01/13 20:45 +0100, GMT+01, 17.1, 
2021/01/13 21:05 +0100, GMT+01, 17.1, 
2021/01/13 21:25 +0100, GMT+01, 17.1, 
2021/01/13 21:45 +0100, GMT+01, 17, 
2021/01/13 22:05 +0100, GMT+01, 17, 
2021/01/13 22:25 +0100, GMT+01, 17, 
2021/01/13 22:45 +0100, GMT+01, 16.9, 
2021/01/13 23:05 +0100, GMT+01, 16.9, 
2021/01/13 23:25 +0100, GMT+01, 16.8, 
2021/01/13 23:45 +0100, GMT+01, 16.8, 
2021/01/14 00:05 +0100, GMT+01, 16.8, 
