time, timezone, temperature, strength
2020/08/21 09:28 +0200, GMT+02, 19.8, 
2020/08/21 09:48 +0200, GMT+02, 21.1, 
2020/08/21 10:08 +0200, GMT+02, 18.5, 
2020/08/21 10:28 +0200, GMT+02, 20.4, 
2020/08/21 10:48 +0200, GMT+02, 21.4, 
2020/08/21 11:08 +0200, GMT+02, 22.3, 
2020/08/21 11:28 +0200, GMT+02, 22.9, 
2020/08/21 11:48 +0200, GMT+02, 26, 
2020/08/21 12:08 +0200, GMT+02, 25.8, 0
2020/08/21 12:28 +0200, GMT+02, 25.8, 0
2020/08/21 12:48 +0200, GMT+02, 25.8, 0
2020/08/21 13:08 +0200, GMT+02, 25.8, 0
2020/08/21 13:28 +0200, GMT+02, 25.8, 0
2020/08/21 13:48 +0200, GMT+02, 25.8, 0
2020/08/21 14:08 +0200, GMT+02, 25.8, 0
2020/08/21 14:28 +0200, GMT+02, 25.9, 0
2020/08/21 14:48 +0200, GMT+02, 26, 0
2020/08/21 15:08 +0200, GMT+02, 26.2, 0
2020/08/21 15:28 +0200, GMT+02, 26.5, 0
2020/08/21 15:48 +0200, GMT+02, 26.8, 0
2020/08/21 16:08 +0200, GMT+02, 27.1, 0
2020/08/21 16:28 +0200, GMT+02, 27.6, 0
2020/08/21 16:48 +0200, GMT+02, 28.1, 0
2020/08/21 17:08 +0200, GMT+02, 28.8, 0
2020/08/21 17:28 +0200, GMT+02, 29.6, 0
2020/08/21 17:48 +0200, GMT+02, 30.5, 0
2020/08/21 18:08 +0200, GMT+02, 31.5, 0
2020/08/21 18:28 +0200, GMT+02, 32.5, 0
2020/08/21 18:48 +0200, GMT+02, 33.6, 0
2020/08/21 19:08 +0200, GMT+02, 35.1, 0
2020/08/21 19:28 +0200, GMT+02, 36.6, 0
2020/08/21 19:48 +0200, GMT+02, 37.8, 0
2020/08/21 20:08 +0200, GMT+02, 38.6, 0
2020/08/21 20:28 +0200, GMT+02, 39.3, 0
2020/08/21 20:48 +0200, GMT+02, 40, 0
2020/08/21 21:08 +0200, GMT+02, 40.5, 0.33421
2020/08/21 21:28 +0200, GMT+02, 41.1, 1.32392
2020/08/21 21:48 +0200, GMT+02, 41.6, 2.2809
2020/08/21 22:08 +0200, GMT+02, 42, 3.20452
2020/08/21 22:28 +0200, GMT+02, 42.3, 4.09439
2020/08/21 22:48 +0200, GMT+02, 42.6, 4.95177
2020/08/21 23:08 +0200, GMT+02, 43, 5.78058
2020/08/21 23:28 +0200, GMT+02, 43.2, 6.58158
2020/08/21 23:48 +0200, GMT+02, 43.4, 7.35425
2020/08/22 00:08 +0200, GMT+02, 43.6, 8.08103
2020/08/22 00:28 +0200, GMT+02, 43.8, 8.65865
2020/08/22 00:48 +0200, GMT+02, 43.9, 9.21719
2020/08/22 01:08 +0200, GMT+02, 44.1, 9.75796
2020/08/22 01:28 +0200, GMT+02, 44.2, 10.28212
2020/08/22 01:48 +0200, GMT+02, 44.3, 10.7899
2020/08/22 02:08 +0200, GMT+02, 44.4, 11.28235
2020/08/22 02:28 +0200, GMT+02, 44.5, 11.7604
2020/08/22 02:48 +0200, GMT+02, 44.5, 12.22417
2020/08/22 03:08 +0200, GMT+02, 44.5, 12.67376
2020/08/22 03:28 +0200, GMT+02, 44.5, 13.11002
2020/08/22 03:48 +0200, GMT+02, 44.5, 13.53372
2020/08/22 04:08 +0200, GMT+02, 44.5, 13.94556
2020/08/22 04:28 +0200, GMT+02, 44.5, 14.34618
2020/08/22 04:48 +0200, GMT+02, 44.5, 14.73619
2020/08/22 05:08 +0200, GMT+02, 44.4, 15.11551
2020/08/22 05:28 +0200, GMT+02, 44.3, 15.48408
2020/08/22 05:48 +0200, GMT+02, 44.3, 15.84306
2020/08/22 06:08 +0200, GMT+02, 44.3, 16.19349
2020/08/22 06:28 +0200, GMT+02, 44.2, 16.53521
2020/08/22 06:48 +0200, GMT+02, 44.1, 16.86808
2020/08/22 07:08 +0200, GMT+02, 44.1, 17.19331
2020/08/22 07:28 +0200, GMT+02, 44, 17.51073
2020/08/22 07:48 +0200, GMT+02, 44, 17.82093
2020/08/22 08:08 +0200, GMT+02, 43.8, 18.12373
2020/08/22 08:28 +0200, GMT+02, 43.8, 18.41944
2020/08/22 08:48 +0200, GMT+02, 43.6, 18.70836
2020/08/22 09:08 +0200, GMT+02, 43.6, 18.99079
