time, timezone, temperature, strength
2020/11/11 11:29 +0100, GMT+01, 13.6, 
2020/11/11 11:48 +0100, GMT+01, 13.8, 
2020/11/11 12:08 +0100, GMT+01, 14, 
2020/11/11 12:28 +0100, GMT+01, 16.8, 
2020/11/11 12:48 +0100, GMT+01, 16.8, 
2020/11/11 13:08 +0100, GMT+01, 16.8, 0
2020/11/11 13:28 +0100, GMT+01, 16.8, 0
2020/11/11 13:48 +0100, GMT+01, 16.7, 0
2020/11/11 14:08 +0100, GMT+01, 16.6, 0
2020/11/11 14:28 +0100, GMT+01, 16.5, 0
2020/11/11 14:48 +0100, GMT+01, 16.4, 0
2020/11/11 15:08 +0100, GMT+01, 16.2, 0
2020/11/11 15:28 +0100, GMT+01, 16.1, 0
2020/11/11 15:48 +0100, GMT+01, 16, 0
2020/11/11 16:08 +0100, GMT+01, 15.8, 0
2020/11/11 16:28 +0100, GMT+01, 15.7, 0
2020/11/11 16:48 +0100, GMT+01, 15.5, 0
2020/11/11 17:08 +0100, GMT+01, 15.4, 0
2020/11/11 17:28 +0100, GMT+01, 15.3, 0
2020/11/11 17:48 +0100, GMT+01, 15.1, 0
2020/11/11 18:08 +0100, GMT+01, 15, 0
2020/11/11 18:28 +0100, GMT+01, 14.9, 0
2020/11/11 18:48 +0100, GMT+01, 14.8, 0
2020/11/11 19:08 +0100, GMT+01, 14.7, 0
2020/11/11 19:28 +0100, GMT+01, 14.6, 0
2020/11/11 19:48 +0100, GMT+01, 14.5, 0
2020/11/11 20:08 +0100, GMT+01, 14.4, 0
2020/11/11 20:28 +0100, GMT+01, 14.3, 0
2020/11/11 20:48 +0100, GMT+01, 14.2, 0
2020/11/11 21:08 +0100, GMT+01, 14.1, 0
2020/11/11 21:28 +0100, GMT+01, 14.1, 0
2020/11/11 21:48 +0100, GMT+01, 14, 0
2020/11/11 22:08 +0100, GMT+01, 14, 0
2020/11/11 22:28 +0100, GMT+01, 14, 0
2020/11/11 22:48 +0100, GMT+01, 14, 0
2020/11/11 23:08 +0100, GMT+01, 14, 0
2020/11/11 23:28 +0100, GMT+01, 14, 0
2020/11/11 23:48 +0100, GMT+01, 14, 0
2020/11/12 00:08 +0100, GMT+01, 14, 0
2020/11/12 00:28 +0100, GMT+01, 14.1, 0
2020/11/12 00:48 +0100, GMT+01, 14.1, 0
2020/11/12 01:08 +0100, GMT+01, 14.2, 0
2020/11/12 01:28 +0100, GMT+01, 14.3, 0
2020/11/12 01:48 +0100, GMT+01, 14.3, 0
2020/11/12 02:08 +0100, GMT+01, 14.3, 0
2020/11/12 02:28 +0100, GMT+01, 14.3, 0
2020/11/12 02:48 +0100, GMT+01, 14.3, 0
2020/11/12 03:08 +0100, GMT+01, 14.4, 0
2020/11/12 03:28 +0100, GMT+01, 14.3, 0
2020/11/12 03:48 +0100, GMT+01, 14.4, 0
2020/11/12 04:08 +0100, GMT+01, 14.4, 0
2020/11/12 04:28 +0100, GMT+01, 14.4, 0
2020/11/12 04:48 +0100, GMT+01, 14.5, 0
2020/11/12 05:08 +0100, GMT+01, 14.6, 0
2020/11/12 05:28 +0100, GMT+01, 14.7, 0
2020/11/12 05:48 +0100, GMT+01, 14.8, 0
2020/11/12 06:08 +0100, GMT+01, 14.9, 0
2020/11/12 06:28 +0100, GMT+01, 15, 0
2020/11/12 06:48 +0100, GMT+01, 15.1, 0
2020/11/12 07:08 +0100, GMT+01, 15.2, 0
2020/11/12 07:28 +0100, GMT+01, 15.3, 0
2020/11/12 07:48 +0100, GMT+01, 15.5, 0
2020/11/12 08:08 +0100, GMT+01, 15.5, 0
2020/11/12 08:28 +0100, GMT+01, 15.6, 0
2020/11/12 08:48 +0100, GMT+01, 15.7, 0
2020/11/12 09:08 +0100, GMT+01, 15.8, 0.01146
2020/11/12 09:28 +0100, GMT+01, 15.9, 0.334
2020/11/12 09:48 +0100, GMT+01, 16, 0.65295
2020/11/12 10:08 +0100, GMT+01, 16.1, 0.96841
2020/11/12 10:28 +0100, GMT+01, 16.1, 1.27952
2020/11/12 10:48 +0100, GMT+01, 16.3, 1.58734
2020/11/12 11:08 +0100, GMT+01, 16.3, 1.89197
2020/11/12 11:28 +0100, GMT+01, 16.4, 2.19255
2020/11/12 11:48 +0100, GMT+01, 16.5, 2.49012
2020/11/12 12:08 +0100, GMT+01, 16.5, 2.78384
2020/11/12 12:28 +0100, GMT+01, 16.5, 3.07295
2020/11/12 12:48 +0100, GMT+01, 16.7, 3.35956
2020/11/12 13:08 +0100, GMT+01, 16.8, 3.64412
2020/11/12 13:28 +0100, GMT+01, 16.9, 3.92605
2020/11/12 13:48 +0100, GMT+01, 17, 4.2054
2020/11/12 14:08 +0100, GMT+01, 17, 4.4814
2020/11/12 14:28 +0100, GMT+01, 17, 4.75332
2020/11/12 14:48 +0100, GMT+01, 17, 5.02128
2020/11/12 15:08 +0100, GMT+01, 16.9, 5.28459
2020/11/12 15:28 +0100, GMT+01, 16.8, 5.54263
2020/11/12 15:48 +0100, GMT+01, 16.8, 5.79633
2020/11/12 16:08 +0100, GMT+01, 16.8, 6.04658
2020/11/12 16:28 +0100, GMT+01, 16.8, 6.29346
2020/11/12 16:48 +0100, GMT+01, 16.8, 6.53708
2020/11/12 17:08 +0100, GMT+01, 16.8, 6.77752
2020/11/12 17:28 +0100, GMT+01, 16.7, 7.01413
2020/11/12 17:48 +0100, GMT+01, 16.6, 7.24632
2020/11/12 18:08 +0100, GMT+01, 16.6, 7.47492
2020/11/12 18:28 +0100, GMT+01, 16.5, 7.70003
2020/11/12 18:48 +0100, GMT+01, 16.4, 7.92105
2020/11/12 19:08 +0100, GMT+01, 16.3, 8.1105
2020/11/12 19:28 +0100, GMT+01, 16.1, 8.28069
2020/11/12 19:48 +0100, GMT+01, 16, 8.44724
2020/11/12 20:08 +0100, GMT+01, 16, 8.61141
2020/11/12 20:28 +0100, GMT+01, 15.8, 8.77277
2020/11/12 20:48 +0100, GMT+01, 15.7, 8.93089
2020/11/12 21:08 +0100, GMT+01, 15.6, 9.08635
2020/11/12 21:28 +0100, GMT+01, 15.5, 9.23921
2020/11/12 21:48 +0100, GMT+01, 15.4, 9.38956
2020/11/12 22:08 +0100, GMT+01, 15.3, 9.53744
2020/11/12 22:28 +0100, GMT+01, 15.1, 9.68246
2020/11/12 22:48 +0100, GMT+01, 15, 9.82469
2020/11/12 23:08 +0100, GMT+01, 15, 9.96511
2020/11/12 23:28 +0100, GMT+01, 14.9, 10.10376
2020/11/12 23:48 +0100, GMT+01, 14.7, 10.23979
2020/11/13 00:08 +0100, GMT+01, 14.6, 10.37327
2020/11/13 00:28 +0100, GMT+01, 14.5, 10.50469
2020/11/13 00:48 +0100, GMT+01, 14.4, 10.6341
2020/11/13 01:08 +0100, GMT+01, 14.3, 10.76155
2020/11/13 01:28 +0100, GMT+01, 14.1, 10.88666
2020/11/13 01:48 +0100, GMT+01, 14, 11.0096
2020/11/13 02:08 +0100, GMT+01, 14, 11.13101
2020/11/13 02:28 +0100, GMT+01, 13.9, 11.25103
2020/11/13 02:48 +0100, GMT+01, 13.8, 11.36928
2020/11/13 03:08 +0100, GMT+01, 13.7, 11.48581
2020/11/13 03:28 +0100, GMT+01, 13.6, 11.60066
2020/11/13 03:48 +0100, GMT+01, 13.5, 11.71385
2020/11/13 04:08 +0100, GMT+01, 13.5, 11.82579
2020/11/13 04:28 +0100, GMT+01, 13.4, 11.93652
2020/11/13 04:48 +0100, GMT+01, 13.3, 12.04568
2020/11/13 05:08 +0100, GMT+01, 13.2, 12.1533
2020/11/13 05:28 +0100, GMT+01, 13.1, 12.25941
2020/11/13 05:48 +0100, GMT+01, 13.1, 12.3644
2020/11/13 06:08 +0100, GMT+01, 13.1, 12.46865
2020/11/13 06:28 +0100, GMT+01, 13, 12.57181
2020/11/13 06:48 +0100, GMT+01, 13, 12.6739
2020/11/13 07:08 +0100, GMT+01, 13, 12.77529
2020/11/13 07:28 +0100, GMT+01, 13, 12.87598
2020/11/13 07:48 +0100, GMT+01, 13, 12.97599
2020/11/13 08:08 +0100, GMT+01, 13.1, 13.07567
2020/11/13 08:28 +0100, GMT+01, 13.1, 13.1751
2020/11/13 08:48 +0100, GMT+01, 13.1, 13.27378
2020/11/13 09:08 +0100, GMT+01, 13.1, 13.3718
2020/11/13 09:28 +0100, GMT+01, 13.1, 13.46917
2020/11/13 09:48 +0100, GMT+01, 13.1, 13.5659
2020/11/13 10:08 +0100, GMT+01, 13.1, 13.662
2020/11/13 10:28 +0100, GMT+01, 13.1, 13.75748
2020/11/13 10:48 +0100, GMT+01, 13.2, 13.85267
2020/11/13 11:08 +0100, GMT+01, 13.3, 13.94789
2020/11/13 11:28 +0100, GMT+01, 13.3, 14.04282
2020/11/13 11:48 +0100, GMT+01, 13.4, 14.13747
2020/11/13 12:08 +0100, GMT+01, 13.5, 14.23215
2020/11/13 12:28 +0100, GMT+01, 13.5, 14.32654
2020/11/13 12:48 +0100, GMT+01, 13.5, 14.42034
2020/11/13 13:08 +0100, GMT+01, 13.5, 14.51353
2020/11/13 13:28 +0100, GMT+01, 13.5, 14.60615
2020/11/13 13:48 +0100, GMT+01, 13.5, 14.69818
2020/11/13 14:08 +0100, GMT+01, 13.4, 14.78933
2020/11/13 14:28 +0100, GMT+01, 13.3, 14.87931
2020/11/13 14:48 +0100, GMT+01, 13.3, 14.96844
2020/11/13 15:08 +0100, GMT+01, 13.3, 15.0571
2020/11/13 15:28 +0100, GMT+01, 13.2, 15.14486
2020/11/13 15:48 +0100, GMT+01, 13.1, 15.23151
2020/11/13 16:08 +0100, GMT+01, 13.1, 15.31736
2020/11/13 16:28 +0100, GMT+01, 13, 15.40241
2020/11/13 16:48 +0100, GMT+01, 12.9, 15.4864
2020/11/13 17:08 +0100, GMT+01, 12.8, 15.56933
2020/11/13 17:28 +0100, GMT+01, 12.8, 15.65152
2020/11/13 17:48 +0100, GMT+01, 12.6, 15.73268
2020/11/13 18:08 +0100, GMT+01, 12.6, 15.81284
2020/11/13 18:28 +0100, GMT+01, 12.5, 15.89229
2020/11/13 18:48 +0100, GMT+01, 12.5, 15.97104
2020/11/13 19:08 +0100, GMT+01, 12.4, 16.04909
2020/11/13 19:28 +0100, GMT+01, 12.3, 16.12619
2020/11/13 19:48 +0100, GMT+01, 12.2, 16.20234
2020/11/13 20:08 +0100, GMT+01, 12.1, 16.27757
2020/11/13 20:28 +0100, GMT+01, 12.1, 16.35215
2020/11/13 20:48 +0100, GMT+01, 12, 16.4261
2020/11/13 21:08 +0100, GMT+01, 12, 16.49941
2020/11/13 21:28 +0100, GMT+01, 12, 16.57242
2020/11/13 21:48 +0100, GMT+01, 11.9, 16.64475
2020/11/13 22:08 +0100, GMT+01, 11.8, 16.71621
2020/11/13 22:28 +0100, GMT+01, 11.8, 16.78707
2020/11/13 22:48 +0100, GMT+01, 11.7, 16.85735
2020/11/13 23:08 +0100, GMT+01, 11.6, 16.92678
2020/11/13 23:28 +0100, GMT+01, 11.6, 16.99564
2020/11/13 23:48 +0100, GMT+01, 11.6, 17.06418
2020/11/14 00:08 +0100, GMT+01, 11.5, 17.13215
2020/11/14 00:28 +0100, GMT+01, 11.5, 17.19957
2020/11/14 00:48 +0100, GMT+01, 11.5, 17.26668
2020/11/14 01:08 +0100, GMT+01, 11.4, 17.33324
2020/11/14 01:28 +0100, GMT+01, 11.3, 17.39903
2020/11/14 01:48 +0100, GMT+01, 11.3, 17.46428
2020/11/14 02:08 +0100, GMT+01, 11.3, 17.52924
2020/11/14 02:28 +0100, GMT+01, 11.3, 17.59392
2020/11/14 02:48 +0100, GMT+01, 11.3, 17.65831
2020/11/14 03:08 +0100, GMT+01, 11.3, 17.72243
2020/11/14 03:28 +0100, GMT+01, 11.3, 17.78626
2020/11/14 03:48 +0100, GMT+01, 11.3, 17.84982
2020/11/14 04:08 +0100, GMT+01, 11.2, 17.91293
2020/11/14 04:28 +0100, GMT+01, 11.2, 17.97549
2020/11/14 04:48 +0100, GMT+01, 11.2, 18.03778
2020/11/14 05:08 +0100, GMT+01, 11.2, 18.09981
2020/11/14 05:28 +0100, GMT+01, 11.2, 18.16157
2020/11/14 05:48 +0100, GMT+01, 11.2, 18.22308
2020/11/14 06:08 +0100, GMT+01, 11.2, 18.28434
2020/11/14 06:28 +0100, GMT+01, 11.2, 18.34534
2020/11/14 06:48 +0100, GMT+01, 11.2, 18.40609
2020/11/14 07:08 +0100, GMT+01, 11.3, 18.46681
2020/11/14 07:28 +0100, GMT+01, 11.3, 18.5275
2020/11/14 07:48 +0100, GMT+01, 11.4, 18.58817
2020/11/14 08:08 +0100, GMT+01, 11.5, 18.64902
2020/11/14 08:28 +0100, GMT+01, 11.6, 18.71007
2020/11/14 08:48 +0100, GMT+01, 11.7, 18.77131
2020/11/14 09:08 +0100, GMT+01, 11.8, 18.83273
2020/11/14 09:28 +0100, GMT+01, 11.9, 18.89434
2020/11/14 09:48 +0100, GMT+01, 12, 18.95614
2020/11/14 10:08 +0100, GMT+01, 12.1, 19.01811
2020/11/14 10:28 +0100, GMT+01, 12.3, 19.08054
2020/11/14 10:48 +0100, GMT+01, 12.4, 19.14331
2020/11/14 11:08 +0100, GMT+01, 12.5, 19.20626
2020/11/14 11:28 +0100, GMT+01, 12.6, 19.26938
2020/11/14 11:48 +0100, GMT+01, 12.8, 19.33289
2020/11/14 12:08 +0100, GMT+01, 12.8, 19.39657
2020/11/14 12:28 +0100, GMT+01, 13, 19.46041
2020/11/14 12:48 +0100, GMT+01, 13, 19.52442
2020/11/14 13:08 +0100, GMT+01, 13.1, 19.58837
2020/11/14 13:28 +0100, GMT+01, 13.3, 19.6527
2020/11/14 13:48 +0100, GMT+01, 13.3, 19.71719
2020/11/14 14:08 +0100, GMT+01, 13.3, 19.7814
2020/11/14 14:28 +0100, GMT+01, 13.4, 19.84555
2020/11/14 14:48 +0100, GMT+01, 13.5, 19.90985
2020/11/14 15:08 +0100, GMT+01, 13.5, 19.97409
2020/11/14 15:28 +0100, GMT+01, 13.5, 20.03806
2020/11/14 15:48 +0100, GMT+01, 13.5, 20.10174
2020/11/14 16:08 +0100, GMT+01, 13.5, 20.16515
2020/11/14 16:28 +0100, GMT+01, 13.6, 20.2285
2020/11/14 16:48 +0100, GMT+01, 13.6, 20.2918
2020/11/14 17:08 +0100, GMT+01, 13.6, 20.35487
2020/11/14 17:28 +0100, GMT+01, 13.6, 20.41763
2020/11/14 17:48 +0100, GMT+01, 13.6, 20.48011
2020/11/14 18:08 +0100, GMT+01, 13.6, 20.54234
2020/11/14 18:28 +0100, GMT+01, 13.6, 20.6043
2020/11/14 18:48 +0100, GMT+01, 13.6, 20.666
2020/11/14 19:08 +0100, GMT+01, 13.6, 20.72744
2020/11/14 19:28 +0100, GMT+01, 13.6, 20.78863
2020/11/14 19:48 +0100, GMT+01, 13.6, 20.84957
2020/11/14 20:08 +0100, GMT+01, 13.6, 20.91025
2020/11/14 20:28 +0100, GMT+01, 13.7, 20.97089
2020/11/14 20:48 +0100, GMT+01, 13.7, 21.03148
2020/11/14 21:08 +0100, GMT+01, 13.7, 21.09182
2020/11/14 21:28 +0100, GMT+01, 13.7, 21.15192
2020/11/14 21:48 +0100, GMT+01, 13.7, 21.21177
2020/11/14 22:08 +0100, GMT+01, 13.6, 21.27119
2020/11/14 22:28 +0100, GMT+01, 13.5, 21.32996
2020/11/14 22:48 +0100, GMT+01, 13.4, 21.38811
2020/11/14 23:08 +0100, GMT+01, 13.3, 21.44563
2020/11/14 23:28 +0100, GMT+01, 13.2, 21.50254
2020/11/14 23:48 +0100, GMT+01, 13.1, 21.55889
2020/11/15 00:08 +0100, GMT+01, 13, 21.6146
2020/11/15 00:28 +0100, GMT+01, 13, 21.66991
2020/11/15 00:48 +0100, GMT+01, 12.9, 21.72482
2020/11/15 01:08 +0100, GMT+01, 12.9, 21.77934
2020/11/15 01:28 +0100, GMT+01, 12.9, 21.83366
2020/11/15 01:48 +0100, GMT+01, 12.9, 21.88777
2020/11/15 02:08 +0100, GMT+01, 13, 21.94188
2020/11/15 02:28 +0100, GMT+01, 13, 21.99597
2020/11/15 02:48 +0100, GMT+01, 13, 22.04987
2020/11/15 03:08 +0100, GMT+01, 13, 22.10356
2020/11/15 03:28 +0100, GMT+01, 13, 22.15707
2020/11/15 03:48 +0100, GMT+01, 13, 22.21037
2020/11/15 04:08 +0100, GMT+01, 13.1, 22.26367
2020/11/15 04:28 +0100, GMT+01, 13.1, 22.31696
2020/11/15 04:48 +0100, GMT+01, 13.1, 22.37006
2020/11/15 05:08 +0100, GMT+01, 13.2, 22.42315
2020/11/15 05:28 +0100, GMT+01, 13.3, 22.47641
2020/11/15 05:48 +0100, GMT+01, 13.3, 22.52966
2020/11/15 06:08 +0100, GMT+01, 13.3, 22.58272
2020/11/15 06:28 +0100, GMT+01, 13.3, 22.63563
2020/11/15 06:48 +0100, GMT+01, 13.3, 22.68831
2020/11/15 07:08 +0100, GMT+01, 13.3, 22.7408
2020/11/15 07:28 +0100, GMT+01, 13.3, 22.7931
2020/11/15 07:48 +0100, GMT+01, 13.3, 22.84522
2020/11/15 08:08 +0100, GMT+01, 13.3, 22.89715
2020/11/15 08:28 +0100, GMT+01, 13.3, 22.9489
2020/11/15 08:48 +0100, GMT+01, 13.3, 23.00047
2020/11/15 09:08 +0100, GMT+01, 13.2, 23.05169
2020/11/15 09:28 +0100, GMT+01, 13.1, 23.10237
2020/11/15 09:48 +0100, GMT+01, 13.1, 23.15272
2020/11/15 10:08 +0100, GMT+01, 13.1, 23.20289
2020/11/15 10:28 +0100, GMT+01, 13.1, 23.25289
2020/11/15 10:48 +0100, GMT+01, 13.1, 23.30272
2020/11/15 11:08 +0100, GMT+01, 13.1, 23.35238
2020/11/15 11:28 +0100, GMT+01, 13.1, 23.40188
2020/11/15 11:48 +0100, GMT+01, 13.1, 23.45121
2020/11/15 12:08 +0100, GMT+01, 13.1, 23.50037
2020/11/15 12:28 +0100, GMT+01, 13, 23.54921
2020/11/15 12:48 +0100, GMT+01, 12.9, 23.59758
2020/11/15 13:08 +0100, GMT+01, 12.8, 23.64543
2020/11/15 13:28 +0100, GMT+01, 12.6, 23.69263
2020/11/15 13:48 +0100, GMT+01, 12.4, 23.73902
2020/11/15 14:08 +0100, GMT+01, 12.3, 23.78479
2020/11/15 14:28 +0100, GMT+01, 12.1, 23.82993
2020/11/15 14:48 +0100, GMT+01, 12, 23.87446
2020/11/15 15:08 +0100, GMT+01, 12, 23.91869
2020/11/15 15:28 +0100, GMT+01, 11.8, 23.96248
2020/11/15 15:48 +0100, GMT+01, 11.8, 24.00583
2020/11/15 16:08 +0100, GMT+01, 11.7, 24.04889
2020/11/15 16:28 +0100, GMT+01, 11.6, 24.09152
2020/11/15 16:48 +0100, GMT+01, 11.5, 24.13372
2020/11/15 17:08 +0100, GMT+01, 11.3, 24.17535
2020/11/15 17:28 +0100, GMT+01, 11.2, 24.2164
2020/11/15 17:48 +0100, GMT+01, 11.1, 24.25704
2020/11/15 18:08 +0100, GMT+01, 11, 24.29727
2020/11/15 18:28 +0100, GMT+01, 10.8, 24.33695
2020/11/15 18:48 +0100, GMT+01, 10.7, 24.37608
2020/11/15 19:08 +0100, GMT+01, 10.6, 24.41481
2020/11/15 19:28 +0100, GMT+01, 10.5, 24.45319
2020/11/15 19:48 +0100, GMT+01, 10.3, 24.49101
2020/11/15 20:08 +0100, GMT+01, 10.2, 24.5283
2020/11/15 20:28 +0100, GMT+01, 10, 24.56507
2020/11/15 20:48 +0100, GMT+01, 9.8, 24.6012
2020/11/15 21:08 +0100, GMT+01, 9.7, 24.63682
2020/11/15 21:28 +0100, GMT+01, 9.5, 24.67194
2020/11/15 21:48 +0100, GMT+01, 9.4, 24.70657
2020/11/15 22:08 +0100, GMT+01, 9.3, 24.74084
2020/11/15 22:28 +0100, GMT+01, 9.1, 24.77464
2020/11/15 22:48 +0100, GMT+01, 9, 24.80795
2020/11/15 23:08 +0100, GMT+01, 8.9, 24.84093
2020/11/15 23:28 +0100, GMT+01, 8.8, 24.87357
2020/11/15 23:48 +0100, GMT+01, 8.6, 24.90574
2020/11/16 00:08 +0100, GMT+01, 8.5, 24.93746
2020/11/16 00:28 +0100, GMT+01, 8.4, 24.96885
2020/11/16 00:48 +0100, GMT+01, 8.3, 24.99992
2020/11/16 01:08 +0100, GMT+01, 8.2, 25.03067
2020/11/16 01:28 +0100, GMT+01, 8.1, 25.06113
2020/11/16 01:48 +0100, GMT+01, 8, 25.09125
2020/11/16 02:08 +0100, GMT+01, 7.9, 25.12106
2020/11/16 02:28 +0100, GMT+01, 7.8, 25.15057
2020/11/16 02:48 +0100, GMT+01, 7.7, 25.17976
2020/11/16 03:08 +0100, GMT+01, 7.6, 25.20866
2020/11/16 03:28 +0100, GMT+01, 7.6, 25.23737
