time, timezone, temperature, strength
2021/01/12 10:02 +0100, GMT+01, 9.3, 
2021/01/12 10:22 +0100, GMT+01, 9.5, 0
2021/01/12 10:42 +0100, GMT+01, 9.5, 0
2021/01/12 11:02 +0100, GMT+01, 9.5, 0
2021/01/12 11:22 +0100, GMT+01, 9.5, 0
2021/01/12 11:42 +0100, GMT+01, 9.6, 0
2021/01/12 12:02 +0100, GMT+01, 9.6, 0
2021/01/12 12:22 +0100, GMT+01, 9.6, 0
2021/01/12 12:42 +0100, GMT+01, 9.5, 0
2021/01/12 13:02 +0100, GMT+01, 9.5, 0
2021/01/12 13:22 +0100, GMT+01, 9.5, 0
2021/01/12 13:42 +0100, GMT+01, 9.4, 0
2021/01/12 14:02 +0100, GMT+01, 9.4, 0
2021/01/12 14:22 +0100, GMT+01, 9.3, 0
2021/01/12 14:42 +0100, GMT+01, 9.3, 0
2021/01/12 15:02 +0100, GMT+01, 9.2, 0
2021/01/12 15:22 +0100, GMT+01, 9.1, 0
2021/01/12 15:42 +0100, GMT+01, 9.1, 0
2021/01/12 16:02 +0100, GMT+01, 9, 0
2021/01/12 16:22 +0100, GMT+01, 9, 0
2021/01/12 16:42 +0100, GMT+01, 8.9, 0
2021/01/12 17:02 +0100, GMT+01, 8.8, 0
2021/01/12 17:22 +0100, GMT+01, 8.7, 0
2021/01/12 17:42 +0100, GMT+01, 8.6, 0
2021/01/12 18:02 +0100, GMT+01, 8.5, 0
2021/01/12 18:22 +0100, GMT+01, 8.5, 0
2021/01/12 18:42 +0100, GMT+01, 8.3, 0
2021/01/12 19:02 +0100, GMT+01, 8.3, 0
2021/01/12 19:22 +0100, GMT+01, 8.1, 0
2021/01/12 19:42 +0100, GMT+01, 8, 0
2021/01/12 20:02 +0100, GMT+01, 7.9, 0
2021/01/12 20:22 +0100, GMT+01, 7.8, 0
2021/01/12 20:42 +0100, GMT+01, 7.7, 0
2021/01/12 21:02 +0100, GMT+01, 7.6, 0
2021/01/12 21:22 +0100, GMT+01, 7.5, 0
2021/01/12 21:42 +0100, GMT+01, 7.4, 0
2021/01/12 22:02 +0100, GMT+01, 7.3, 0
2021/01/12 22:22 +0100, GMT+01, 7.2, 0
2021/01/12 22:42 +0100, GMT+01, 7.1, 0
2021/01/12 23:02 +0100, GMT+01, 7.1, 0
2021/01/12 23:22 +0100, GMT+01, 7, 0
2021/01/12 23:42 +0100, GMT+01, 7, 0
2021/01/13 00:02 +0100, GMT+01, 6.8, 0
2021/01/13 00:22 +0100, GMT+01, 6.8, 0
2021/01/13 00:42 +0100, GMT+01, 6.7, 0
2021/01/13 01:02 +0100, GMT+01, 6.6, 0
2021/01/13 01:22 +0100, GMT+01, 6.6, 0
2021/01/13 01:42 +0100, GMT+01, 6.5, 0
2021/01/13 02:02 +0100, GMT+01, 6.5, 0
2021/01/13 02:22 +0100, GMT+01, 6.5, 0
2021/01/13 02:42 +0100, GMT+01, 6.4, 0
2021/01/13 03:02 +0100, GMT+01, 6.3, 0
2021/01/13 03:22 +0100, GMT+01, 6.3, 0
2021/01/13 03:42 +0100, GMT+01, 6.2, 0
2021/01/13 04:02 +0100, GMT+01, 6.1, 0
2021/01/13 04:22 +0100, GMT+01, 6.1, 0
2021/01/13 04:42 +0100, GMT+01, 6.1, 0
2021/01/13 05:02 +0100, GMT+01, 6, 0
2021/01/13 05:22 +0100, GMT+01, 6, 0
2021/01/13 05:42 +0100, GMT+01, 6, 0
2021/01/13 06:02 +0100, GMT+01, 6, 0
2021/01/13 06:22 +0100, GMT+01, 6, 0
2021/01/13 06:42 +0100, GMT+01, 6, 0
2021/01/13 07:02 +0100, GMT+01, 6, 0
2021/01/13 07:22 +0100, GMT+01, 6, 0
2021/01/13 07:42 +0100, GMT+01, 6, 0
2021/01/13 08:02 +0100, GMT+01, 6, 0
2021/01/13 08:22 +0100, GMT+01, 6, 0
2021/01/13 08:42 +0100, GMT+01, 6.1, 0
2021/01/13 09:02 +0100, GMT+01, 6.1, 0
2021/01/13 09:22 +0100, GMT+01, 6.1, 0
2021/01/13 09:42 +0100, GMT+01, 6.2, 0
2021/01/13 10:02 +0100, GMT+01, 6.3, 0
2021/01/13 10:22 +0100, GMT+01, 6.3, 0
2021/01/13 10:42 +0100, GMT+01, 6.4, 0
