time, timezone, temperature, strength
2021/08/06 12:28 +0200, GMT+02, 20.9, 
2021/08/06 12:48 +0200, GMT+02, 17.8, 
2021/08/06 13:08 +0200, GMT+02, 20.1, 
2021/08/06 13:28 +0200, GMT+02, 21.1, 
2021/08/06 13:48 +0200, GMT+02, 20.8, 0
2021/08/06 14:08 +0200, GMT+02, 20.7, 0
2021/08/06 14:28 +0200, GMT+02, 20.6, 0
2021/08/06 14:48 +0200, GMT+02, 20.6, 0
2021/08/06 15:08 +0200, GMT+02, 20.7, 0
2021/08/06 15:28 +0200, GMT+02, 20.7, 0
2021/08/06 15:48 +0200, GMT+02, 20.8, 0
2021/08/06 16:08 +0200, GMT+02, 20.8, 0
2021/08/06 16:28 +0200, GMT+02, 21, 0
2021/08/06 16:48 +0200, GMT+02, 21, 0
2021/08/06 17:08 +0200, GMT+02, 21, 0
2021/08/06 17:28 +0200, GMT+02, 21.1, 0
2021/08/06 17:48 +0200, GMT+02, 21.3, 0
2021/08/06 18:08 +0200, GMT+02, 21.3, 0
2021/08/06 18:28 +0200, GMT+02, 21.3, 0
2021/08/06 18:48 +0200, GMT+02, 21.3, 0
2021/08/06 19:08 +0200, GMT+02, 21.3, 0
2021/08/06 19:28 +0200, GMT+02, 21.3, 0
2021/08/06 19:48 +0200, GMT+02, 21.3, 0
2021/08/06 20:08 +0200, GMT+02, 21.3, 0
2021/08/06 20:28 +0200, GMT+02, 21.3, 0
2021/08/06 20:48 +0200, GMT+02, 21.3, 0
2021/08/06 21:08 +0200, GMT+02, 21.3, 0
2021/08/06 21:28 +0200, GMT+02, 21.3, 0
2021/08/06 21:48 +0200, GMT+02, 21.4, 0
2021/08/06 22:08 +0200, GMT+02, 21.4, 0
2021/08/06 22:28 +0200, GMT+02, 21.4, 0
2021/08/06 22:48 +0200, GMT+02, 21.4, 0
2021/08/06 23:08 +0200, GMT+02, 21.4, 0
2021/08/06 23:28 +0200, GMT+02, 21.4, 0
2021/08/06 23:48 +0200, GMT+02, 21.4, 0
2021/08/07 00:08 +0200, GMT+02, 21.5, 0
2021/08/07 00:28 +0200, GMT+02, 21.5, 0
2021/08/07 00:48 +0200, GMT+02, 21.5, 0
2021/08/07 01:08 +0200, GMT+02, 21.5, 0
2021/08/07 01:28 +0200, GMT+02, 21.5, 0
2021/08/07 01:48 +0200, GMT+02, 21.4, 0
2021/08/07 02:08 +0200, GMT+02, 21.3, 0
2021/08/07 02:28 +0200, GMT+02, 21.2, 0
2021/08/07 02:48 +0200, GMT+02, 21.1, 0
2021/08/07 03:08 +0200, GMT+02, 21, 0
2021/08/07 03:28 +0200, GMT+02, 21, 0
2021/08/07 03:48 +0200, GMT+02, 20.9, 0.24539
2021/08/07 04:08 +0200, GMT+02, 20.8, 0.67049
2021/08/07 04:28 +0200, GMT+02, 20.7, 1.08377
2021/08/07 04:48 +0200, GMT+02, 20.6, 1.48578
2021/08/07 05:08 +0200, GMT+02, 20.6, 1.87814
2021/08/07 05:28 +0200, GMT+02, 20.5, 2.26158
2021/08/07 05:48 +0200, GMT+02, 20.5, 2.63586
2021/08/07 06:08 +0200, GMT+02, 20.3, 3.0007
2021/08/07 06:28 +0200, GMT+02, 20.3, 3.35649
2021/08/07 06:48 +0200, GMT+02, 20.2, 3.70458
2021/08/07 07:08 +0200, GMT+02, 20.1, 4.04433
2021/08/07 07:28 +0200, GMT+02, 20.1, 4.37701
2021/08/07 07:48 +0200, GMT+02, 20, 4.70289
2021/08/07 08:08 +0200, GMT+02, 20, 5.02221
2021/08/07 08:28 +0200, GMT+02, 19.9, 5.33522
2021/08/07 08:48 +0200, GMT+02, 19.8, 5.64129
2021/08/07 09:08 +0200, GMT+02, 19.8, 5.94152
2021/08/07 09:28 +0200, GMT+02, 19.7, 6.23612
2021/08/07 09:48 +0200, GMT+02, 19.6, 6.52446
2021/08/07 10:08 +0200, GMT+02, 19.5, 6.80677
2021/08/07 10:28 +0200, GMT+02, 19.5, 7.08404
2021/08/07 10:48 +0200, GMT+02, 19.4, 7.35642
2021/08/07 11:08 +0200, GMT+02, 19.3, 7.62333
2021/08/07 11:28 +0200, GMT+02, 19.3, 7.88569
2021/08/07 11:48 +0200, GMT+02, 19.3, 8.11548
2021/08/07 12:08 +0200, GMT+02, 19.3, 8.31955
2021/08/07 12:28 +0200, GMT+02, 19.2, 8.52025
2021/08/07 12:48 +0200, GMT+02, 19.2, 8.7177
2021/08/07 13:08 +0200, GMT+02, 19.1, 8.91198
2021/08/07 13:28 +0200, GMT+02, 19.1, 9.10319
