time, timezone, temperature, strength
2020/12/04 16:49 +0100, GMT+01, 8.8, 
2020/12/04 17:08 +0100, GMT+01, 5.7, 
2020/12/04 17:28 +0100, GMT+01, 5.81, 
2020/12/04 17:48 +0100, GMT+01, 5.6, 
2020/12/04 18:08 +0100, GMT+01, 5.5, 
2020/12/04 18:28 +0100, GMT+01, 5.4, 
2020/12/04 18:48 +0100, GMT+01, 5.3, 
2020/12/04 19:08 +0100, GMT+01, 5.3, 
2020/12/04 19:28 +0100, GMT+01, 5.3, 
2020/12/04 19:48 +0100, GMT+01, 5.2, 
2020/12/04 20:08 +0100, GMT+01, 5.2, 
2020/12/04 20:28 +0100, GMT+01, 5.3, 
2020/12/04 20:48 +0100, GMT+01, 5.3, 
2020/12/04 21:08 +0100, GMT+01, 5.3, 
2020/12/04 21:28 +0100, GMT+01, 5.1, 
2020/12/04 21:48 +0100, GMT+01, 5.1, 
2020/12/04 22:08 +0100, GMT+01, 5, 
2020/12/04 22:28 +0100, GMT+01, 5, 
2020/12/04 22:48 +0100, GMT+01, 5, 
2020/12/04 23:08 +0100, GMT+01, 4.9, 
2020/12/04 23:28 +0100, GMT+01, 4.9, 
2020/12/04 23:48 +0100, GMT+01, 4.9, 
2020/12/05 00:08 +0100, GMT+01, 4.6, 
2020/12/05 00:28 +0100, GMT+01, 4.6, 
2020/12/05 00:48 +0100, GMT+01, 4.7, 
2020/12/05 01:08 +0100, GMT+01, 4.8, 
2020/12/05 01:28 +0100, GMT+01, 4.9, 
2020/12/05 01:48 +0100, GMT+01, 4.8, 
2020/12/05 02:08 +0100, GMT+01, 4.8, 
2020/12/05 02:28 +0100, GMT+01, 4.8, 
2020/12/05 02:48 +0100, GMT+01, 4.88, 
2020/12/05 03:08 +0100, GMT+01, 4.8, 
2020/12/05 03:28 +0100, GMT+01, 5.1, 
2020/12/05 03:48 +0100, GMT+01, 5.3, 
2020/12/05 04:08 +0100, GMT+01, 5.1, 
2020/12/05 04:28 +0100, GMT+01, 5.2, 
2020/12/05 04:48 +0100, GMT+01, 5.3, 
2020/12/05 05:08 +0100, GMT+01, 5.2, 
2020/12/05 05:28 +0100, GMT+01, 5, 
2020/12/05 05:48 +0100, GMT+01, 5, 
2020/12/05 06:08 +0100, GMT+01, 5, 
2020/12/05 06:28 +0100, GMT+01, 5, 
2020/12/05 06:48 +0100, GMT+01, 4.9, 
2020/12/05 07:08 +0100, GMT+01, 5, 
2020/12/05 07:28 +0100, GMT+01, 5, 
2020/12/05 07:48 +0100, GMT+01, 5, 
2020/12/05 08:08 +0100, GMT+01, 5.1, 
2020/12/05 08:28 +0100, GMT+01, 5.1, 
2020/12/05 08:48 +0100, GMT+01, 5.2, 
2020/12/05 09:08 +0100, GMT+01, 5.3, 
2020/12/05 09:28 +0100, GMT+01, 5.4, 
2020/12/05 09:48 +0100, GMT+01, 5.5, 
2020/12/05 10:08 +0100, GMT+01, 5.5, 
2020/12/05 10:28 +0100, GMT+01, 12.7, 
2020/12/05 10:48 +0100, GMT+01, 13, 
2020/12/05 11:08 +0100, GMT+01, 13, 0
2020/12/05 11:28 +0100, GMT+01, 12.8, 0
2020/12/05 11:48 +0100, GMT+01, 12.8, 0
2020/12/05 12:08 +0100, GMT+01, 12.6, 0
2020/12/05 12:28 +0100, GMT+01, 12.6, 0
2020/12/05 12:48 +0100, GMT+01, 12.5, 0
2020/12/05 13:08 +0100, GMT+01, 12.4, 0
2020/12/05 13:28 +0100, GMT+01, 12.3, 0
2020/12/05 13:48 +0100, GMT+01, 12.2, 0
2020/12/05 14:08 +0100, GMT+01, 12.1, 0
2020/12/05 14:28 +0100, GMT+01, 12, 0
2020/12/05 14:48 +0100, GMT+01, 12, 0
2020/12/05 15:08 +0100, GMT+01, 11.8, 0
2020/12/05 15:28 +0100, GMT+01, 11.8, 0
2020/12/05 15:48 +0100, GMT+01, 11.8, 0
2020/12/05 16:08 +0100, GMT+01, 11.7, 0
2020/12/05 16:28 +0100, GMT+01, 11.6, 0
2020/12/05 16:48 +0100, GMT+01, 11.6, 0
2020/12/05 17:08 +0100, GMT+01, 11.6, 0
2020/12/05 17:28 +0100, GMT+01, 11.5, 0
2020/12/05 17:48 +0100, GMT+01, 11.5, 0
2020/12/05 18:08 +0100, GMT+01, 11.4, 0
2020/12/05 18:28 +0100, GMT+01, 11.3, 0
2020/12/05 18:48 +0100, GMT+01, 11.3, 0
2020/12/05 19:08 +0100, GMT+01, 11.3, 0
2020/12/05 19:28 +0100, GMT+01, 11.2, 0
2020/12/05 19:48 +0100, GMT+01, 11.2, 0
2020/12/05 20:08 +0100, GMT+01, 11.1, 0
2020/12/05 20:28 +0100, GMT+01, 11.1, 0
2020/12/05 20:48 +0100, GMT+01, 11.1, 0
2020/12/05 21:08 +0100, GMT+01, 11.1, 0
2020/12/05 21:28 +0100, GMT+01, 11.1, 0
2020/12/05 21:48 +0100, GMT+01, 11.1, 0
2020/12/05 22:08 +0100, GMT+01, 11.1, 0
2020/12/05 22:28 +0100, GMT+01, 11.1, 0
2020/12/05 22:48 +0100, GMT+01, 11.1, 0
2020/12/05 23:08 +0100, GMT+01, 11.1, 0
2020/12/05 23:28 +0100, GMT+01, 11.1, 0
2020/12/05 23:48 +0100, GMT+01, 11.2, 0
2020/12/06 00:08 +0100, GMT+01, 11.3, 0
