time, timezone, temperature, strength
2021/01/11 09:47 +0100, GMT+01, 5.8, 
2021/01/11 10:04 +0100, GMT+01, 5.3, 
2021/01/11 10:24 +0100, GMT+01, 5.6, 
2021/01/11 10:44 +0100, GMT+01, 6, 
2021/01/11 11:04 +0100, GMT+01, 6.6, 
2021/01/11 11:24 +0100, GMT+01, 7.2, 
2021/01/11 11:44 +0100, GMT+01, 11, 
2021/01/11 12:04 +0100, GMT+01, 11, 
2021/01/11 12:24 +0100, GMT+01, 11, 
2021/01/11 12:44 +0100, GMT+01, 11, 
2021/01/11 13:04 +0100, GMT+01, 11, 
2021/01/11 13:24 +0100, GMT+01, 11, 
2021/01/11 13:44 +0100, GMT+01, 11, 
2021/01/11 14:04 +0100, GMT+01, 11, 
2021/01/11 14:24 +0100, GMT+01, 11, 
2021/01/11 14:44 +0100, GMT+01, 11, 
2021/01/11 15:04 +0100, GMT+01, 11, 
2021/01/11 15:24 +0100, GMT+01, 11, 
2021/01/11 15:44 +0100, GMT+01, 11, 
2021/01/11 16:04 +0100, GMT+01, 11, 
2021/01/11 16:24 +0100, GMT+01, 11, 
2021/01/11 16:44 +0100, GMT+01, 11, 
2021/01/11 17:04 +0100, GMT+01, 11, 
2021/01/11 17:24 +0100, GMT+01, 10.9, 
2021/01/11 17:44 +0100, GMT+01, 10.9, 
2021/01/11 18:04 +0100, GMT+01, 10.9, 
2021/01/11 18:24 +0100, GMT+01, 10.8, 
2021/01/11 18:44 +0100, GMT+01, 10.8, 
2021/01/11 19:04 +0100, GMT+01, 10.8, 
2021/01/11 19:24 +0100, GMT+01, 10.8, 
2021/01/11 19:44 +0100, GMT+01, 10.8, 
2021/01/11 20:04 +0100, GMT+01, 10.8, 
2021/01/11 20:24 +0100, GMT+01, 10.8, 
2021/01/11 20:44 +0100, GMT+01, 10.8, 
2021/01/11 21:04 +0100, GMT+01, 10.8, 
2021/01/11 21:24 +0100, GMT+01, 10.8, 
2021/01/11 21:44 +0100, GMT+01, 10.8, 
2021/01/11 22:04 +0100, GMT+01, 10.8, 
2021/01/11 22:24 +0100, GMT+01, 10.9, 
2021/01/11 22:44 +0100, GMT+01, 10.9, 
2021/01/11 23:04 +0100, GMT+01, 10.9, 
2021/01/11 23:24 +0100, GMT+01, 11, 
2021/01/11 23:44 +0100, GMT+01, 11, 
2021/01/12 00:04 +0100, GMT+01, 11, 
2021/01/12 00:24 +0100, GMT+01, 11.1, 
2021/01/12 00:44 +0100, GMT+01, 11.1, 
2021/01/12 01:04 +0100, GMT+01, 11.2, 
2021/01/12 01:24 +0100, GMT+01, 11.3, 
2021/01/12 01:44 +0100, GMT+01, 11.4, 
2021/01/12 02:04 +0100, GMT+01, 11.5, 
2021/01/12 02:24 +0100, GMT+01, 11.6, 
2021/01/12 02:44 +0100, GMT+01, 11.6, 
2021/01/12 03:04 +0100, GMT+01, 11.8, 
2021/01/12 03:24 +0100, GMT+01, 11.9, 
2021/01/12 03:44 +0100, GMT+01, 12.1, 
2021/01/12 04:04 +0100, GMT+01, 12.2, 
2021/01/12 04:24 +0100, GMT+01, 12.4, 
2021/01/12 04:44 +0100, GMT+01, 12.5, 
2021/01/12 05:04 +0100, GMT+01, 12.7, 
2021/01/12 05:24 +0100, GMT+01, 12.9, 
2021/01/12 05:44 +0100, GMT+01, 13.1, 
2021/01/12 06:04 +0100, GMT+01, 13.3, 
2021/01/12 06:24 +0100, GMT+01, 13.5, 
2021/01/12 06:44 +0100, GMT+01, 13.7, 
2021/01/12 07:04 +0100, GMT+01, 13.9, 
2021/01/12 07:24 +0100, GMT+01, 14.1, 
2021/01/12 07:44 +0100, GMT+01, 14.3, 
2021/01/12 08:04 +0100, GMT+01, 14.6, 
2021/01/12 08:24 +0100, GMT+01, 14.8, 
2021/01/12 08:44 +0100, GMT+01, 15.1, 
2021/01/12 09:04 +0100, GMT+01, 15.3, 
2021/01/12 09:24 +0100, GMT+01, 15.5, 
2021/01/12 09:44 +0100, GMT+01, 15.8, 
2021/01/12 10:04 +0100, GMT+01, 16, 
2021/01/12 10:24 +0100, GMT+01, 16.2, 
2021/01/12 10:44 +0100, GMT+01, 16.5, 
2021/01/12 11:04 +0100, GMT+01, 16.7, 
2021/01/12 11:24 +0100, GMT+01, 16.9, 
2021/01/12 11:44 +0100, GMT+01, 17.1, 
2021/01/12 12:04 +0100, GMT+01, 17.3, 
2021/01/12 12:24 +0100, GMT+01, 17.5, 
2021/01/12 12:44 +0100, GMT+01, 17.7, 
2021/01/12 13:04 +0100, GMT+01, 17.9, 
2021/01/12 13:24 +0100, GMT+01, 18.1, 
2021/01/12 13:44 +0100, GMT+01, 18.2, 
2021/01/12 14:04 +0100, GMT+01, 18.4, 
2021/01/12 14:24 +0100, GMT+01, 18.5, 
2021/01/12 14:44 +0100, GMT+01, 18.6, 
2021/01/12 15:04 +0100, GMT+01, 18.8, 
2021/01/12 15:24 +0100, GMT+01, 19, 
2021/01/12 15:44 +0100, GMT+01, 19.1, 
2021/01/12 16:04 +0100, GMT+01, 19.1, 
2021/01/12 16:24 +0100, GMT+01, 19.3, 
2021/01/12 16:44 +0100, GMT+01, 19.4, 
2021/01/12 17:04 +0100, GMT+01, 19.5, 
2021/01/12 17:24 +0100, GMT+01, 19.6, 
2021/01/12 17:44 +0100, GMT+01, 19.6, 
2021/01/12 18:04 +0100, GMT+01, 19.8, 
2021/01/12 18:24 +0100, GMT+01, 19.8, 
2021/01/12 18:44 +0100, GMT+01, 19.9, 
2021/01/12 19:04 +0100, GMT+01, 20, 
2021/01/12 19:24 +0100, GMT+01, 20, 
2021/01/12 19:44 +0100, GMT+01, 20, 
2021/01/12 20:04 +0100, GMT+01, 20.1, 
2021/01/12 20:24 +0100, GMT+01, 20.1, 
2021/01/12 20:44 +0100, GMT+01, 20.1, 
2021/01/12 21:04 +0100, GMT+01, 20.2, 
2021/01/12 21:24 +0100, GMT+01, 20.2, 
2021/01/12 21:44 +0100, GMT+01, 20.3, 
2021/01/12 22:04 +0100, GMT+01, 20.3, 
2021/01/12 22:24 +0100, GMT+01, 20.3, 
2021/01/12 22:44 +0100, GMT+01, 20.3, 
2021/01/12 23:04 +0100, GMT+01, 20.3, 
2021/01/12 23:24 +0100, GMT+01, 20.3, 
2021/01/12 23:44 +0100, GMT+01, 20.3, 
2021/01/13 00:04 +0100, GMT+01, 20.3, 
2021/01/13 00:25 +0100, GMT+01, 20.3, 
2021/01/13 00:45 +0100, GMT+01, 20.3, 
2021/01/13 01:05 +0100, GMT+01, 20.3, 
2021/01/13 01:25 +0100, GMT+01, 20.3, 
2021/01/13 01:45 +0100, GMT+01, 20.3, 
2021/01/13 02:05 +0100, GMT+01, 20.3, 
2021/01/13 02:25 +0100, GMT+01, 20.3, 
2021/01/13 02:45 +0100, GMT+01, 20.3, 
2021/01/13 03:05 +0100, GMT+01, 20.3, 
2021/01/13 03:25 +0100, GMT+01, 20.3, 
2021/01/13 03:45 +0100, GMT+01, 20.2, 
2021/01/13 04:05 +0100, GMT+01, 20.1, 
2021/01/13 04:25 +0100, GMT+01, 20.1, 
