time, timezone, temperature, strength
2021/01/15 11:14 +0100, GMT+01, 2, 
2021/01/15 11:34 +0100, GMT+01, 2, 
2021/01/15 11:54 +0100, GMT+01, 2.1, 
2021/01/15 12:14 +0100, GMT+01, 2.3, 
2021/01/15 12:34 +0100, GMT+01, 2.3, 
2021/01/15 12:54 +0100, GMT+01, 2.8, 
2021/01/15 13:14 +0100, GMT+01, 3.3, 
2021/01/15 13:34 +0100, GMT+01, 3.4, 
2021/01/15 13:54 +0100, GMT+01, 3.6, 
2021/01/15 14:14 +0100, GMT+01, 3.8, 
2021/01/15 14:34 +0100, GMT+01, 4, 
2021/01/15 14:54 +0100, GMT+01, 4, 
2021/01/15 15:14 +0100, GMT+01, 3.8, 
2021/01/15 15:34 +0100, GMT+01, 3.8, 
2021/01/15 15:54 +0100, GMT+01, 3.8, 
2021/01/15 16:14 +0100, GMT+01, 3.9, 0
2021/01/15 16:34 +0100, GMT+01, 10.3, 0
2021/01/15 16:54 +0100, GMT+01, 10.3, 0
2021/01/15 17:14 +0100, GMT+01, 10.1, 0
2021/01/15 17:34 +0100, GMT+01, 10, 0
2021/01/15 17:54 +0100, GMT+01, 9.8, 0
2021/01/15 18:14 +0100, GMT+01, 9.6, 0
2021/01/15 18:34 +0100, GMT+01, 9.4, 0
2021/01/15 18:54 +0100, GMT+01, 9.2, 0
2021/01/15 19:14 +0100, GMT+01, 9, 0
2021/01/15 19:34 +0100, GMT+01, 8.8, 0
2021/01/15 19:54 +0100, GMT+01, 8.6, 0
2021/01/15 20:14 +0100, GMT+01, 8.4, 0
2021/01/15 20:34 +0100, GMT+01, 8.2, 0
2021/01/15 20:54 +0100, GMT+01, 8, 0
2021/01/15 21:14 +0100, GMT+01, 7.9, 0
2021/01/15 21:34 +0100, GMT+01, 7.7, 0
2021/01/15 21:54 +0100, GMT+01, 7.6, 0
2021/01/15 22:14 +0100, GMT+01, 7.5, 0
2021/01/15 22:34 +0100, GMT+01, 7.3, 0
2021/01/15 22:54 +0100, GMT+01, 7.2, 0
2021/01/15 23:14 +0100, GMT+01, 7.1, 0
2021/01/15 23:34 +0100, GMT+01, 7, 0
2021/01/15 23:54 +0100, GMT+01, 6.9, 0
2021/01/16 00:14 +0100, GMT+01, 6.8, 0
2021/01/16 00:34 +0100, GMT+01, 6.7, 0
2021/01/16 00:54 +0100, GMT+01, 6.6, 0
2021/01/16 01:14 +0100, GMT+01, 6.5, 0
2021/01/16 01:34 +0100, GMT+01, 6.5, 0
2021/01/16 01:54 +0100, GMT+01, 6.4, 0
2021/01/16 02:15 +0100, GMT+01, 6.3, 0
2021/01/16 02:35 +0100, GMT+01, 6.3, 0
2021/01/16 02:55 +0100, GMT+01, 6.2, 0
2021/01/16 03:15 +0100, GMT+01, 6.1, 0
2021/01/16 03:35 +0100, GMT+01, 6.1, 0
2021/01/16 03:55 +0100, GMT+01, 6, 0
2021/01/16 04:15 +0100, GMT+01, 6, 0
2021/01/16 04:35 +0100, GMT+01, 6, 0
2021/01/16 04:55 +0100, GMT+01, 5.9, 0
2021/01/16 05:15 +0100, GMT+01, 5.9, 0
2021/01/16 05:35 +0100, GMT+01, 5.8, 0
