time, timezone, temperature, strength
2020/09/07 10:36 +0200, GMT+02, 17.5, 
2020/09/07 10:56 +0200, GMT+02, 16.2, 
2020/09/07 11:12 +0200, GMT+02, 18.6, 
2020/09/07 11:32 +0200, GMT+02, 18.3, 
2020/09/07 11:52 +0200, GMT+02, 19.6, 
2020/09/07 12:12 +0200, GMT+02, 19.9, 
2020/09/07 12:32 +0200, GMT+02, 21.6, 
2020/09/07 12:52 +0200, GMT+02, 22.3, 
2020/09/07 13:12 +0200, GMT+02, 23, 
2020/09/07 13:32 +0200, GMT+02, 23, 
2020/09/07 13:52 +0200, GMT+02, 22.9, 
2020/09/07 14:12 +0200, GMT+02, 24, 
2020/09/07 14:32 +0200, GMT+02, 25.7, 
2020/09/07 14:52 +0200, GMT+02, 24.8, 
2020/09/07 15:12 +0200, GMT+02, 25.1, 
2020/09/07 15:32 +0200, GMT+02, 25.1, 
2020/09/07 15:52 +0200, GMT+02, 25, 
2020/09/07 16:12 +0200, GMT+02, 24, 
2020/09/07 16:32 +0200, GMT+02, 24.1, 
2020/09/07 16:52 +0200, GMT+02, 24.1, 
2020/09/07 17:12 +0200, GMT+02, 23.7, 0
2020/09/07 17:32 +0200, GMT+02, 23.3, 0
2020/09/07 17:52 +0200, GMT+02, 23.3, 0
2020/09/07 18:12 +0200, GMT+02, 23.3, 0
2020/09/07 18:32 +0200, GMT+02, 23.3, 0
2020/09/07 18:52 +0200, GMT+02, 23.2, 0
2020/09/07 19:12 +0200, GMT+02, 23.2, 0
2020/09/07 19:32 +0200, GMT+02, 23.1, 0
2020/09/07 19:52 +0200, GMT+02, 23, 0
2020/09/07 20:12 +0200, GMT+02, 23, 0
2020/09/07 20:32 +0200, GMT+02, 22.8, 0
2020/09/07 20:52 +0200, GMT+02, 22.8, 0
2020/09/07 21:12 +0200, GMT+02, 22.6, 0
2020/09/07 21:32 +0200, GMT+02, 22.6, 0
2020/09/07 21:52 +0200, GMT+02, 22.5, 0
2020/09/07 22:12 +0200, GMT+02, 22.5, 0
2020/09/07 22:32 +0200, GMT+02, 22.4, 0
2020/09/07 22:52 +0200, GMT+02, 22.4, 0
2020/09/07 23:12 +0200, GMT+02, 22.4, 0
2020/09/07 23:32 +0200, GMT+02, 22.5, 0
2020/09/07 23:52 +0200, GMT+02, 22.5, 0
2020/09/08 00:12 +0200, GMT+02, 22.6, 0
2020/09/08 00:32 +0200, GMT+02, 22.8, 0
2020/09/08 00:52 +0200, GMT+02, 23, 0
2020/09/08 01:12 +0200, GMT+02, 23.2, 0
2020/09/08 01:32 +0200, GMT+02, 23.5, 0
2020/09/08 01:52 +0200, GMT+02, 23.8, 0
2020/09/08 02:12 +0200, GMT+02, 24.3, 0
2020/09/08 02:32 +0200, GMT+02, 24.6, 0
2020/09/08 02:52 +0200, GMT+02, 25.1, 0
2020/09/08 03:12 +0200, GMT+02, 25.6, 0
2020/09/08 03:32 +0200, GMT+02, 26.1, 0
2020/09/08 03:52 +0200, GMT+02, 26.6, 0
2020/09/08 04:12 +0200, GMT+02, 27.3, 0
2020/09/08 04:32 +0200, GMT+02, 28, 0
2020/09/08 04:52 +0200, GMT+02, 28.9, 0
2020/09/08 05:12 +0200, GMT+02, 29.8, 0.0001
2020/09/08 05:32 +0200, GMT+02, 30.6, 0.67271
2020/09/08 05:52 +0200, GMT+02, 31.1, 1.33963
2020/09/08 06:12 +0200, GMT+02, 31.6, 1.99679
2020/09/08 06:32 +0200, GMT+02, 32.1, 2.64451
2020/09/08 06:52 +0200, GMT+02, 32.5, 3.28182
2020/09/08 07:12 +0200, GMT+02, 33, 3.90912
2020/09/08 07:32 +0200, GMT+02, 33.4, 4.52679
2020/09/08 07:52 +0200, GMT+02, 33.8, 5.13399
2020/09/08 08:12 +0200, GMT+02, 34.2, 5.73115
2020/09/08 08:32 +0200, GMT+02, 34.5, 6.31752
2020/09/08 08:52 +0200, GMT+02, 34.8, 6.89247
2020/09/08 09:12 +0200, GMT+02, 35.1, 7.45651
2020/09/08 09:32 +0200, GMT+02, 35.3, 8.00725
2020/09/08 09:52 +0200, GMT+02, 35.5, 8.43972
2020/09/08 10:12 +0200, GMT+02, 35.6, 8.86226
2020/09/08 10:32 +0200, GMT+02, 35.8, 9.27536
2020/09/08 10:52 +0200, GMT+02, 35.9, 9.67948
2020/09/08 11:12 +0200, GMT+02, 36.1, 10.07505
2020/09/08 11:32 +0200, GMT+02, 36.2, 10.46246
2020/09/08 11:52 +0200, GMT+02, 36.3, 10.84136
2020/09/08 12:12 +0200, GMT+02, 36.5, 11.21285
2020/09/08 12:32 +0200, GMT+02, 36.6, 11.57724
2020/09/08 12:52 +0200, GMT+02, 36.8, 11.93483
2020/09/08 13:12 +0200, GMT+02, 37, 12.28685
2020/09/08 13:32 +0200, GMT+02, 37.2, 12.63294
2020/09/08 13:52 +0200, GMT+02, 37.4, 12.97359
2020/09/08 14:12 +0200, GMT+02, 37.6, 13.30901
2020/09/08 14:32 +0200, GMT+02, 37.8, 13.63938
2020/09/08 14:46 +0200, GMT+02, 37.9, 13.86703
2020/09/08 14:46 +0200, GMT+02, 38, 13.86757
2020/09/08 14:46 +0200, GMT+02, 38, 13.86811
2020/09/08 14:49 +0200, GMT+02, 37.9, 13.91404
2020/09/08 14:52 +0200, GMT+02, 38, 13.96465
2020/09/08 15:52 +0200, GMT+02, 38, 14.90345
2020/09/08 16:12 +0200, GMT+02, 38.1, 15.20408
2020/09/08 16:32 +0200, GMT+02, 38, 15.49868
2020/09/08 16:52 +0200, GMT+02, 38, 15.78698
2020/09/08 17:12 +0200, GMT+02, 38, 16.06974
2020/09/08 17:32 +0200, GMT+02, 37.9, 16.34665
2020/09/08 17:52 +0200, GMT+02, 37.8, 16.61746
2020/09/08 18:12 +0200, GMT+02, 37.8, 16.88288
2020/09/08 18:32 +0200, GMT+02, 37.8, 17.1436
2020/09/08 18:52 +0200, GMT+02, 37.8, 17.39977
2020/09/08 19:12 +0200, GMT+02, 37.7, 17.6511
2020/09/08 19:32 +0200, GMT+02, 37.6, 17.8973
2020/09/08 19:52 +0200, GMT+02, 37.6, 18.139
2020/09/08 20:12 +0200, GMT+02, 37.5, 18.37636
2020/09/08 20:32 +0200, GMT+02, 37.5, 18.60951
2020/09/08 20:52 +0200, GMT+02, 37.3, 18.83818
2020/09/08 21:12 +0200, GMT+02, 37.3, 19.06251
2020/09/08 21:32 +0200, GMT+02, 37.1, 19.28265
2020/09/08 21:52 +0200, GMT+02, 37, 19.49833
2020/09/08 22:12 +0200, GMT+02, 36.9, 19.7101
2020/09/08 22:32 +0200, GMT+02, 36.8, 19.91808
2020/09/08 22:52 +0200, GMT+02, 36.6, 20.12201
2020/09/08 23:12 +0200, GMT+02, 36.5, 20.32202
2020/09/08 23:32 +0200, GMT+02, 36.4, 20.5186
2020/09/08 23:52 +0200, GMT+02, 36.3, 20.71186
2020/09/09 00:12 +0200, GMT+02, 36.2, 20.90204
2020/09/09 00:32 +0200, GMT+02, 36.1, 21.08893
2020/09/09 00:52 +0200, GMT+02, 36, 21.27277
2020/09/09 01:12 +0200, GMT+02, 35.8, 21.4533
2020/09/09 01:32 +0200, GMT+02, 35.7, 21.63063
2020/09/09 01:52 +0200, GMT+02, 35.6, 21.80516
2020/09/09 02:12 +0200, GMT+02, 35.4, 21.97666
2020/09/09 02:32 +0200, GMT+02, 35.3, 22.1452
2020/09/09 02:52 +0200, GMT+02, 35.1, 22.31087
2020/09/09 03:12 +0200, GMT+02, 35, 22.47374
2020/09/09 03:32 +0200, GMT+02, 34.8, 22.63388
2020/09/09 03:52 +0200, GMT+02, 34.6, 22.79107
2020/09/09 04:12 +0200, GMT+02, 34.4, 22.94538
2020/09/09 04:32 +0200, GMT+02, 34.3, 23.09718
2020/09/09 04:52 +0200, GMT+02, 34.1, 23.24654
2020/09/09 05:12 +0200, GMT+02, 33.9, 23.39324
2020/09/09 05:32 +0200, GMT+02, 33.7, 23.53733
2020/09/09 05:52 +0200, GMT+02, 33.5, 23.67888
2020/09/09 06:12 +0200, GMT+02, 33.3, 23.81797
2020/09/09 06:32 +0200, GMT+02, 33.1, 23.95464
2020/09/09 06:52 +0200, GMT+02, 33, 24.08923
2020/09/09 07:12 +0200, GMT+02, 32.8, 24.2218
2020/09/09 07:32 +0200, GMT+02, 32.6, 24.35211
2020/09/09 07:52 +0200, GMT+02, 32.5, 24.48049
2020/09/09 08:12 +0200, GMT+02, 32.4, 24.60723
2020/09/09 08:32 +0200, GMT+02, 32.2, 24.73212
2020/09/09 08:52 +0200, GMT+02, 32.1, 24.85519
2020/09/09 09:12 +0200, GMT+02, 32, 24.97674
2020/09/09 09:32 +0200, GMT+02, 31.9, 25.09689
2020/09/09 09:52 +0200, GMT+02, 31.8, 25.21548
2020/09/09 10:12 +0200, GMT+02, 31.7, 25.33263
2020/09/09 10:32 +0200, GMT+02, 31.7, 25.44861
2020/09/09 10:52 +0200, GMT+02, 31.7, 25.56369
2020/09/09 11:12 +0200, GMT+02, 31.7, 25.67787
2020/09/09 11:32 +0200, GMT+02, 31.7, 25.79117
2020/09/09 11:52 +0200, GMT+02, 31.7, 25.90361
2020/09/09 12:12 +0200, GMT+02, 31.8, 26.01542
2020/09/09 12:32 +0200, GMT+02, 31.8, 26.12663
