time, timezone, temperature, strength
2021/01/08 09:30 +0100, GMT+01, 1, 
2021/01/08 09:46 +0100, GMT+01, 0.8, 
2021/01/08 10:06 +0100, GMT+01, 1.1, 
2021/01/08 10:26 +0100, GMT+01, 1.6, 
2021/01/08 10:46 +0100, GMT+01, 2, 
2021/01/08 11:06 +0100, GMT+01, 2.3, 
2021/01/08 11:26 +0100, GMT+01, 2.8, 
2021/01/08 11:46 +0100, GMT+01, 3.1, 
2021/01/08 12:06 +0100, GMT+01, 3, 
2021/01/08 12:26 +0100, GMT+01, 2.2, 
2021/01/08 12:46 +0100, GMT+01, 2.1, 
2021/01/08 13:06 +0100, GMT+01, 2, 0
2021/01/08 13:26 +0100, GMT+01, 2.3, 0
2021/01/08 13:46 +0100, GMT+01, 2.2, 0
2021/01/08 14:06 +0100, GMT+01, 2.3, 0
2021/01/08 14:26 +0100, GMT+01, 2.5, 0
2021/01/08 14:46 +0100, GMT+01, 2.5, 0
2021/01/08 15:06 +0100, GMT+01, 2.6, 0
2021/01/08 15:26 +0100, GMT+01, 2.6, 0
2021/01/08 15:46 +0100, GMT+01, 2.5, 0
2021/01/08 16:06 +0100, GMT+01, 18.2, 0
2021/01/08 16:26 +0100, GMT+01, 17.6, 0
2021/01/08 16:46 +0100, GMT+01, 17, 0
2021/01/08 17:06 +0100, GMT+01, 16.3, 0
2021/01/08 17:26 +0100, GMT+01, 15.6, 0
2021/01/08 17:46 +0100, GMT+01, 15, 0
2021/01/08 18:06 +0100, GMT+01, 14.5, 0
2021/01/08 18:26 +0100, GMT+01, 13.9, 0
2021/01/08 18:46 +0100, GMT+01, 13.4, 0
2021/01/08 19:06 +0100, GMT+01, 13, 0
2021/01/08 19:26 +0100, GMT+01, 12.5, 0
2021/01/08 19:46 +0100, GMT+01, 12.1, 0
2021/01/08 20:06 +0100, GMT+01, 11.8, 0
2021/01/08 20:26 +0100, GMT+01, 11.5, 0
2021/01/08 20:46 +0100, GMT+01, 11.2, 0
2021/01/08 21:06 +0100, GMT+01, 10.8, 0
2021/01/08 21:26 +0100, GMT+01, 10.6, 0
2021/01/08 21:46 +0100, GMT+01, 10.3, 0
