time, timezone, temperature, strength
2021/04/26 09:55 +0200, GMT+02, 10, 
2021/04/26 10:15 +0200, GMT+02, 8.4, 
2021/04/26 10:34 +0200, GMT+02, 9, 
2021/04/26 10:54 +0200, GMT+02, 9.8, 
2021/04/26 11:14 +0200, GMT+02, 9.4, 
2021/04/26 11:34 +0200, GMT+02, 10.3, 
2021/04/26 11:54 +0200, GMT+02, 13.1, 
2021/04/26 12:14 +0200, GMT+02, 13.3, 
2021/04/26 12:34 +0200, GMT+02, 12.1, 
2021/04/26 12:54 +0200, GMT+02, 12.6, 
2021/04/26 13:14 +0200, GMT+02, 13.4, 
2021/04/26 13:34 +0200, GMT+02, 26.7, 
2021/04/26 13:54 +0200, GMT+02, 25.6, 
2021/04/26 14:14 +0200, GMT+02, 16.6, 
2021/04/26 14:34 +0200, GMT+02, 13.7, 
2021/04/26 14:54 +0200, GMT+02, 13.1, 
2021/04/26 15:14 +0200, GMT+02, 13.3, 
2021/04/26 15:34 +0200, GMT+02, 13.7, 
2021/04/26 15:54 +0200, GMT+02, 14, 
2021/04/26 16:14 +0200, GMT+02, 15.1, 
2021/04/26 16:34 +0200, GMT+02, 15, 
2021/04/26 16:54 +0200, GMT+02, 14.7, 
2021/04/26 17:14 +0200, GMT+02, 14.9, 
2021/04/26 17:34 +0200, GMT+02, 15.1, 
2021/04/26 17:54 +0200, GMT+02, 15.1, 
2021/04/26 18:14 +0200, GMT+02, 14.8, 
2021/04/26 18:34 +0200, GMT+02, 14.4, 
2021/04/26 18:54 +0200, GMT+02, 14.1, 
2021/04/26 19:14 +0200, GMT+02, 13.6, 
2021/04/26 19:34 +0200, GMT+02, 13, 
2021/04/26 19:54 +0200, GMT+02, 12.3, 
2021/04/26 20:14 +0200, GMT+02, 11.5, 
2021/04/26 20:34 +0200, GMT+02, 10.7, 
2021/04/26 20:54 +0200, GMT+02, 10.1, 
2021/04/26 21:14 +0200, GMT+02, 9.3, 
2021/04/26 21:34 +0200, GMT+02, 8.8, 
2021/04/26 21:54 +0200, GMT+02, 8.3, 
2021/04/26 22:14 +0200, GMT+02, 7.9, 
2021/04/26 22:34 +0200, GMT+02, 7.5, 
2021/04/26 22:54 +0200, GMT+02, 7.1, 
2021/04/26 23:14 +0200, GMT+02, 6.8, 
2021/04/26 23:34 +0200, GMT+02, 6.5, 
2021/04/26 23:54 +0200, GMT+02, 6.2, 
2021/04/27 00:14 +0200, GMT+02, 6, 
2021/04/27 00:34 +0200, GMT+02, 5.8, 
2021/04/27 00:54 +0200, GMT+02, 5.6, 
2021/04/27 01:14 +0200, GMT+02, 5.5, 
2021/04/27 01:34 +0200, GMT+02, 5.3, 
2021/04/27 01:54 +0200, GMT+02, 5.1, 
2021/04/27 02:14 +0200, GMT+02, 5.1, 
2021/04/27 02:34 +0200, GMT+02, 4.9, 
2021/04/27 02:54 +0200, GMT+02, 4.8, 
2021/04/27 03:14 +0200, GMT+02, 5, 
2021/04/27 03:34 +0200, GMT+02, 4.8, 
2021/04/27 03:54 +0200, GMT+02, 4.7, 
2021/04/27 04:14 +0200, GMT+02, 4.4, 
2021/04/27 04:34 +0200, GMT+02, 4.4, 
2021/04/27 04:54 +0200, GMT+02, 4.3, 
2021/04/27 05:14 +0200, GMT+02, 4.2, 
2021/04/27 05:34 +0200, GMT+02, 4, 
2021/04/27 05:54 +0200, GMT+02, 4, 
2021/04/27 06:14 +0200, GMT+02, 3.8, 
2021/04/27 06:34 +0200, GMT+02, 3.7, 
2021/04/27 06:54 +0200, GMT+02, 3.6, 
2021/04/27 07:14 +0200, GMT+02, 3.7, 
2021/04/27 07:34 +0200, GMT+02, 3.8, 
2021/04/27 07:54 +0200, GMT+02, 4, 
2021/04/27 08:14 +0200, GMT+02, 4.2, 
2021/04/27 08:34 +0200, GMT+02, 4.6, 
2021/04/27 08:54 +0200, GMT+02, 5.1, 
2021/04/27 09:14 +0200, GMT+02, 5.8, 
2021/04/27 09:34 +0200, GMT+02, 7.1, 
2021/04/27 09:54 +0200, GMT+02, 8.6, 
2021/04/27 10:14 +0200, GMT+02, 11, 
2021/04/27 10:34 +0200, GMT+02, 13.5, 
2021/04/27 10:54 +0200, GMT+02, 13.5, 
2021/04/27 11:14 +0200, GMT+02, 15.9, 
2021/04/27 11:34 +0200, GMT+02, 16.6, 
2021/04/27 11:54 +0200, GMT+02, 14.9, 
2021/04/27 12:14 +0200, GMT+02, 15.7, 
2021/04/27 12:34 +0200, GMT+02, 17.3, 
2021/04/27 12:54 +0200, GMT+02, 20.1, 
2021/04/27 13:14 +0200, GMT+02, 19.8, 
2021/04/27 13:34 +0200, GMT+02, 20.5, 
2021/04/27 13:54 +0200, GMT+02, 21.3, 
2021/04/27 14:14 +0200, GMT+02, 21, 
2021/04/27 14:34 +0200, GMT+02, 20.4, 
2021/04/27 14:54 +0200, GMT+02, 19.1, 
2021/04/27 15:14 +0200, GMT+02, 19, 
2021/04/27 15:34 +0200, GMT+02, 19.4, 
2021/04/27 15:54 +0200, GMT+02, 20.3, 
2021/04/27 16:14 +0200, GMT+02, 20.6, 
2021/04/27 16:34 +0200, GMT+02, 20.7, 
2021/04/27 16:54 +0200, GMT+02, 20.7, 
2021/04/27 17:14 +0200, GMT+02, 20.3, 
2021/04/27 17:34 +0200, GMT+02, 20, 
2021/04/27 17:54 +0200, GMT+02, 19.3, 
2021/04/27 18:14 +0200, GMT+02, 18.8, 
2021/04/27 18:34 +0200, GMT+02, 18.3, 
2021/04/27 18:54 +0200, GMT+02, 18, 
2021/04/27 19:14 +0200, GMT+02, 17.3, 
2021/04/27 19:34 +0200, GMT+02, 16.6, 
2021/04/27 19:54 +0200, GMT+02, 16, 
2021/04/27 20:14 +0200, GMT+02, 15, 
2021/04/27 20:34 +0200, GMT+02, 14.5, 
2021/04/27 20:54 +0200, GMT+02, 13.8, 
2021/04/27 21:14 +0200, GMT+02, 13.1, 
2021/04/27 21:34 +0200, GMT+02, 12.6, 
2021/04/27 21:54 +0200, GMT+02, 12, 
2021/04/27 22:14 +0200, GMT+02, 11.4, 
2021/04/27 22:34 +0200, GMT+02, 11.2, 
2021/04/27 22:54 +0200, GMT+02, 11.1, 
2021/04/27 23:14 +0200, GMT+02, 10.9, 
2021/04/27 23:34 +0200, GMT+02, 10.7, 
2021/04/27 23:54 +0200, GMT+02, 10.5, 
2021/04/28 00:14 +0200, GMT+02, 10.4, 
2021/04/28 00:34 +0200, GMT+02, 10.3, 
2021/04/28 00:54 +0200, GMT+02, 10.1, 
2021/04/28 01:14 +0200, GMT+02, 9.9, 
2021/04/28 01:34 +0200, GMT+02, 9.7, 
2021/04/28 01:54 +0200, GMT+02, 9.3, 
2021/04/28 02:14 +0200, GMT+02, 9.3, 
2021/04/28 02:34 +0200, GMT+02, 9, 
2021/04/28 02:54 +0200, GMT+02, 8.7, 
2021/04/28 03:14 +0200, GMT+02, 8.5, 
2021/04/28 03:34 +0200, GMT+02, 8.6, 
2021/04/28 03:54 +0200, GMT+02, 8.6, 
2021/04/28 04:14 +0200, GMT+02, 8.5, 
2021/04/28 04:34 +0200, GMT+02, 8.1, 
2021/04/28 04:54 +0200, GMT+02, 7.6, 
2021/04/28 05:14 +0200, GMT+02, 7.3, 
2021/04/28 05:34 +0200, GMT+02, 7, 
2021/04/28 05:54 +0200, GMT+02, 6.9, 
2021/04/28 06:14 +0200, GMT+02, 6.8, 
2021/04/28 06:34 +0200, GMT+02, 6.9, 
2021/04/28 06:54 +0200, GMT+02, 7.1, 
2021/04/28 07:14 +0200, GMT+02, 7.3, 
2021/04/28 07:34 +0200, GMT+02, 7.6, 
2021/04/28 07:54 +0200, GMT+02, 7.8, 
2021/04/28 08:14 +0200, GMT+02, 8.4, 
2021/04/28 08:34 +0200, GMT+02, 9.1, 
2021/04/28 08:54 +0200, GMT+02, 10, 
2021/04/28 09:14 +0200, GMT+02, 10.6, 
2021/04/28 09:34 +0200, GMT+02, 11.4, 
2021/04/28 09:54 +0200, GMT+02, 12.1, 
2021/04/28 10:14 +0200, GMT+02, 12.6, 
2021/04/28 10:34 +0200, GMT+02, 13.5, 
2021/04/28 10:54 +0200, GMT+02, 13.5, 
2021/04/28 11:14 +0200, GMT+02, 13.5, 
2021/04/28 11:34 +0200, GMT+02, 13.3, 
2021/04/28 11:54 +0200, GMT+02, 13.5, 
2021/04/28 12:14 +0200, GMT+02, 14, 0
2021/04/28 12:34 +0200, GMT+02, 13.5, 0
2021/04/28 12:54 +0200, GMT+02, 14.3, 0
2021/04/28 13:14 +0200, GMT+02, 15.6, 0
2021/04/28 13:34 +0200, GMT+02, 15.3, 0
2021/04/28 13:54 +0200, GMT+02, 14.5, 0
2021/04/28 14:14 +0200, GMT+02, 14, 0
2021/04/28 14:34 +0200, GMT+02, 13.5, 0
