time, timezone, temperature, strength
2021/01/29 16:45 +0100, GMT+01, 11.2, 0
2021/01/29 17:00 +0100, GMT+01, 10.3, 0
2021/01/29 17:20 +0100, GMT+01, 13.3, 0
2021/01/29 17:40 +0100, GMT+01, 13.1, 0
2021/01/29 18:00 +0100, GMT+01, 13, 0
2021/01/29 18:20 +0100, GMT+01, 12.9, 0
2021/01/29 18:40 +0100, GMT+01, 12.7, 0
2021/01/29 19:00 +0100, GMT+01, 12.5, 0
2021/01/29 19:20 +0100, GMT+01, 12.3, 0
2021/01/29 19:40 +0100, GMT+01, 12.2, 0
2021/01/29 20:00 +0100, GMT+01, 12.1, 0
2021/01/29 20:20 +0100, GMT+01, 12, 0
2021/01/29 20:40 +0100, GMT+01, 11.9, 0
2021/01/29 21:00 +0100, GMT+01, 11.9, 0
2021/01/29 21:20 +0100, GMT+01, 11.9, 0
2021/01/29 21:40 +0100, GMT+01, 11.7, 0
2021/01/29 22:00 +0100, GMT+01, 11.6, 0
2021/01/29 22:20 +0100, GMT+01, 11.5, 0
2021/01/29 22:40 +0100, GMT+01, 11.3, 0
2021/01/29 23:00 +0100, GMT+01, 11.3, 0
2021/01/29 23:20 +0100, GMT+01, 11.4, 0
2021/01/29 23:40 +0100, GMT+01, 11.4, 0
2021/01/30 00:00 +0100, GMT+01, 11.5, 0
2021/01/30 00:20 +0100, GMT+01, 11.4, 0
2021/01/30 00:40 +0100, GMT+01, 11.3, 0
2021/01/30 01:00 +0100, GMT+01, 11.3, 0
2021/01/30 01:20 +0100, GMT+01, 11.3, 0
2021/01/30 01:40 +0100, GMT+01, 11.3, 0
2021/01/30 02:00 +0100, GMT+01, 11.5, 0
2021/01/30 02:20 +0100, GMT+01, 11.6, 0
2021/01/30 02:40 +0100, GMT+01, 11.6, 0
2021/01/30 03:00 +0100, GMT+01, 11.6, 0
2021/01/30 03:20 +0100, GMT+01, 11.8, 0
2021/01/30 03:40 +0100, GMT+01, 11.8, 0
2021/01/30 04:00 +0100, GMT+01, 12, 0
2021/01/30 04:20 +0100, GMT+01, 12, 0
2021/01/30 04:40 +0100, GMT+01, 12.1, 0
2021/01/30 05:00 +0100, GMT+01, 12.3, 0
2021/01/30 05:20 +0100, GMT+01, 12.3, 0
2021/01/30 05:40 +0100, GMT+01, 12.3, 0
2021/01/30 06:00 +0100, GMT+01, 12.1, 0
2021/01/30 06:20 +0100, GMT+01, 12.1, 0
2021/01/30 06:40 +0100, GMT+01, 12.1, 0
2021/01/30 07:00 +0100, GMT+01, 12.2, 0
2021/01/30 07:20 +0100, GMT+01, 12.3, 0
2021/01/30 07:40 +0100, GMT+01, 12.3, 0
2021/01/30 08:00 +0100, GMT+01, 12.5, 0
2021/01/30 08:20 +0100, GMT+01, 12.5, 0
2021/01/30 08:40 +0100, GMT+01, 12.5, 0
2021/01/30 09:00 +0100, GMT+01, 12.4, 0
2021/01/30 09:20 +0100, GMT+01, 12.3, 0
2021/01/30 09:40 +0100, GMT+01, 12.3, 0
2021/01/30 10:00 +0100, GMT+01, 12.2, 0
2021/01/30 10:20 +0100, GMT+01, 12.2, 0
2021/01/30 10:40 +0100, GMT+01, 12.3, 0
2021/01/30 11:00 +0100, GMT+01, 12.3, 0
2021/01/30 11:20 +0100, GMT+01, 12.3, 0
2021/01/30 11:40 +0100, GMT+01, 12.3, 0
2021/01/30 12:00 +0100, GMT+01, 12.5, 0
2021/01/30 12:20 +0100, GMT+01, 12.6, 0
2021/01/30 12:40 +0100, GMT+01, 12.6, 0
2021/01/30 13:00 +0100, GMT+01, 12.8, 0
2021/01/30 13:20 +0100, GMT+01, 12.8, 0
2021/01/30 13:40 +0100, GMT+01, 12.9, 0
2021/01/30 14:00 +0100, GMT+01, 13, 0
2021/01/30 14:20 +0100, GMT+01, 13.4, 0
2021/01/30 14:40 +0100, GMT+01, 13.5, 0
2021/01/30 15:00 +0100, GMT+01, 13.5, 0
2021/01/30 15:20 +0100, GMT+01, 13.4, 0
2021/01/30 15:40 +0100, GMT+01, 13.3, 0
2021/01/30 16:00 +0100, GMT+01, 13.1, 0
2021/01/30 16:20 +0100, GMT+01, 13.1, 0
2021/01/30 16:40 +0100, GMT+01, 12.9, 0
2021/01/30 17:00 +0100, GMT+01, 12.8, 0.21519
2021/01/30 17:20 +0100, GMT+01, 12.6, 0.47464
2021/01/30 17:40 +0100, GMT+01, 12.5, 0.72783
2021/01/30 18:00 +0100, GMT+01, 12.3, 0.97499
2021/01/30 18:20 +0100, GMT+01, 12, 1.21462
2021/01/30 18:40 +0100, GMT+01, 11.8, 1.44702
2021/01/30 19:00 +0100, GMT+01, 11.8, 1.67488
2021/01/30 19:20 +0100, GMT+01, 11.6, 1.89835
2021/01/30 19:40 +0100, GMT+01, 11.5, 2.11694
2021/01/30 20:00 +0100, GMT+01, 11.4, 2.33123
2021/01/30 20:20 +0100, GMT+01, 11.2, 2.54076
2021/01/30 20:40 +0100, GMT+01, 11, 2.74493
2021/01/30 21:00 +0100, GMT+01, 10.8, 2.94389
2021/01/30 21:20 +0100, GMT+01, 10.8, 3.13928
2021/01/30 21:40 +0100, GMT+01, 10.6, 3.33118
2021/01/30 22:00 +0100, GMT+01, 10.5, 3.51898
2021/01/30 22:20 +0100, GMT+01, 10.3, 3.7028
2021/01/30 22:40 +0100, GMT+01, 10.3, 3.88343
2021/01/30 23:00 +0100, GMT+01, 10.1, 4.06095
2021/01/30 23:20 +0100, GMT+01, 9.9, 4.23411
2021/01/30 23:40 +0100, GMT+01, 9.8, 4.4037
2021/01/31 00:00 +0100, GMT+01, 9.6, 4.56979
2021/01/31 00:20 +0100, GMT+01, 9.6, 4.73313
2021/01/31 00:40 +0100, GMT+01, 9.5, 4.89441
2021/01/31 01:00 +0100, GMT+01, 9.1, 5.05118
2021/01/31 01:20 +0100, GMT+01, 8.9, 5.20297
2021/01/31 01:40 +0100, GMT+01, 8.6, 5.35054
2021/01/31 02:00 +0100, GMT+01, 8.4, 5.49412
2021/01/31 02:20 +0100, GMT+01, 8.3, 5.63475
2021/01/31 02:40 +0100, GMT+01, 8.1, 5.77259
2021/01/31 03:00 +0100, GMT+01, 7.9, 5.90717
2021/01/31 03:20 +0100, GMT+01, 7.7, 6.03856
2021/01/31 03:40 +0100, GMT+01, 7.5, 6.16684
2021/01/31 04:00 +0100, GMT+01, 7.4, 6.29263
2021/01/31 04:20 +0100, GMT+01, 7.2, 6.41597
2021/01/31 04:40 +0100, GMT+01, 7.1, 6.53693
2021/01/31 05:00 +0100, GMT+01, 7, 6.65606
2021/01/31 05:20 +0100, GMT+01, 6.9, 6.7734
2021/01/31 05:40 +0100, GMT+01, 6.8, 6.88899
2021/01/31 06:00 +0100, GMT+01, 6.6, 7.00236
2021/01/31 06:20 +0100, GMT+01, 6.6, 7.11405
2021/01/31 06:40 +0100, GMT+01, 6.5, 7.22457
2021/01/31 07:00 +0100, GMT+01, 6.3, 7.33298
2021/01/31 07:20 +0100, GMT+01, 6.1, 7.43884
