time, timezone, temperature, strength
2020/08/24 11:26 +0200, GMT+02, 22.3, 
2020/08/24 11:46 +0200, GMT+02, 22, 
2020/08/24 12:06 +0200, GMT+02, 22.1, 
2020/08/24 12:26 +0200, GMT+02, 22.8, 
2020/08/24 12:46 +0200, GMT+02, 23.3, 
2020/08/24 13:06 +0200, GMT+02, 25.3, 
2020/08/24 13:26 +0200, GMT+02, 28.1, 
2020/08/24 13:46 +0200, GMT+02, 26, 
2020/08/24 14:06 +0200, GMT+02, 24.5, 
2020/08/24 14:26 +0200, GMT+02, 23.8, 
2020/08/24 14:46 +0200, GMT+02, 24.4, 
2020/08/24 15:06 +0200, GMT+02, 24.5, 
2020/08/24 15:26 +0200, GMT+02, 24.8, 
2020/08/24 15:46 +0200, GMT+02, 25.1, 
2020/08/24 16:06 +0200, GMT+02, 25.6, 
2020/08/24 16:26 +0200, GMT+02, 26, 
2020/08/24 16:46 +0200, GMT+02, 26, 
2020/08/24 17:06 +0200, GMT+02, 25.8, 
2020/08/24 17:26 +0200, GMT+02, 25.6, 
2020/08/24 17:46 +0200, GMT+02, 25.7, 
2020/08/24 18:06 +0200, GMT+02, 25.6, 
2020/08/24 18:26 +0200, GMT+02, 25.5, 
2020/08/24 18:46 +0200, GMT+02, 25.3, 
2020/08/24 19:06 +0200, GMT+02, 25, 
2020/08/24 19:26 +0200, GMT+02, 24.8, 
2020/08/24 19:46 +0200, GMT+02, 24.5, 
2020/08/24 20:06 +0200, GMT+02, 24.3, 
2020/08/24 20:26 +0200, GMT+02, 24.2, 
2020/08/24 20:46 +0200, GMT+02, 24.1, 
2020/08/24 21:06 +0200, GMT+02, 24, 
2020/08/24 21:26 +0200, GMT+02, 24, 
2020/08/24 21:46 +0200, GMT+02, 23.9, 
2020/08/24 22:06 +0200, GMT+02, 23.9, 
2020/08/24 22:26 +0200, GMT+02, 24, 
2020/08/24 22:46 +0200, GMT+02, 24.2, 
2020/08/24 23:06 +0200, GMT+02, 24.3, 
2020/08/24 23:26 +0200, GMT+02, 24.6, 
2020/08/24 23:46 +0200, GMT+02, 25, 
2020/08/25 00:06 +0200, GMT+02, 25.4, 
2020/08/25 00:26 +0200, GMT+02, 26, 
2020/08/25 00:46 +0200, GMT+02, 26.6, 
2020/08/25 01:06 +0200, GMT+02, 27.3, 
2020/08/25 01:26 +0200, GMT+02, 28.1, 
2020/08/25 01:46 +0200, GMT+02, 29, 
2020/08/25 02:06 +0200, GMT+02, 29.9, 
2020/08/25 02:26 +0200, GMT+02, 30.7, 
2020/08/25 02:46 +0200, GMT+02, 31.4, 
2020/08/25 03:06 +0200, GMT+02, 31.9, 
2020/08/25 03:26 +0200, GMT+02, 32.3, 
2020/08/25 03:46 +0200, GMT+02, 32.6, 
2020/08/25 04:06 +0200, GMT+02, 32.9, 
2020/08/25 04:26 +0200, GMT+02, 33.1, 
2020/08/25 04:46 +0200, GMT+02, 33.3, 
