time, timezone, temperature, strength
2021/03/04 13:34 +0100, GMT+01, 6, 
2021/03/04 13:54 +0100, GMT+01, 5.3, 
2021/03/04 14:14 +0100, GMT+01, 5.4, 
2021/03/04 14:34 +0100, GMT+01, 5.5, 
2021/03/04 14:54 +0100, GMT+01, 5.4, 
2021/03/04 15:14 +0100, GMT+01, 5.4, 
2021/03/04 15:34 +0100, GMT+01, 5.4, 
2021/03/04 15:54 +0100, GMT+01, 5.4, 0
2021/03/04 16:14 +0100, GMT+01, 5.3, 0
2021/03/04 16:34 +0100, GMT+01, 12.8, 0
2021/03/04 16:54 +0100, GMT+01, 12.1, 0
2021/03/04 17:14 +0100, GMT+01, 11.6, 0
2021/03/04 17:34 +0100, GMT+01, 11.2, 0
2021/03/04 17:54 +0100, GMT+01, 10.9, 0
2021/03/04 18:14 +0100, GMT+01, 10.6, 0
2021/03/04 18:34 +0100, GMT+01, 10.5, 0
2021/03/04 18:54 +0100, GMT+01, 10.2, 0
2021/03/04 19:14 +0100, GMT+01, 10.1, 0
2021/03/04 19:34 +0100, GMT+01, 9.9, 0
2021/03/04 19:54 +0100, GMT+01, 9.8, 0
2021/03/04 20:14 +0100, GMT+01, 9.6, 0
2021/03/04 20:34 +0100, GMT+01, 9.5, 0
2021/03/04 20:54 +0100, GMT+01, 9.4, 0
2021/03/04 21:14 +0100, GMT+01, 9.3, 0
2021/03/04 21:34 +0100, GMT+01, 9.2, 0
2021/03/04 21:54 +0100, GMT+01, 9.1, 0
2021/03/04 22:14 +0100, GMT+01, 9, 0
2021/03/04 22:34 +0100, GMT+01, 9, 0
2021/03/04 22:54 +0100, GMT+01, 8.9, 0
2021/03/04 23:14 +0100, GMT+01, 8.8, 0
2021/03/04 23:34 +0100, GMT+01, 8.7, 0
2021/03/04 23:54 +0100, GMT+01, 8.6, 0
2021/03/05 00:14 +0100, GMT+01, 8.6, 0
2021/03/05 00:34 +0100, GMT+01, 8.5, 0
2021/03/05 00:54 +0100, GMT+01, 8.4, 0
2021/03/05 01:14 +0100, GMT+01, 8.3, 0
2021/03/05 01:34 +0100, GMT+01, 8.3, 0
2021/03/05 01:54 +0100, GMT+01, 8.2, 0
2021/03/05 02:14 +0100, GMT+01, 8.1, 0
2021/03/05 02:34 +0100, GMT+01, 8.1, 0
2021/03/05 02:54 +0100, GMT+01, 8, 0
2021/03/05 03:14 +0100, GMT+01, 8, 0
2021/03/05 03:34 +0100, GMT+01, 8, 0
2021/03/05 03:54 +0100, GMT+01, 7.9, 0
2021/03/05 04:14 +0100, GMT+01, 7.8, 0
2021/03/05 04:34 +0100, GMT+01, 7.8, 0
2021/03/05 04:54 +0100, GMT+01, 7.8, 0
2021/03/05 05:14 +0100, GMT+01, 7.7, 0
2021/03/05 05:34 +0100, GMT+01, 7.6, 0
2021/03/05 05:54 +0100, GMT+01, 7.6, 0
2021/03/05 06:14 +0100, GMT+01, 7.6, 0
2021/03/05 06:34 +0100, GMT+01, 7.6, 0
2021/03/05 06:54 +0100, GMT+01, 7.5, 0
2021/03/05 07:14 +0100, GMT+01, 7.5, 0
2021/03/05 07:34 +0100, GMT+01, 7.5, 0
2021/03/05 07:54 +0100, GMT+01, 7.5, 0
2021/03/05 08:14 +0100, GMT+01, 7.4, 0
2021/03/05 08:34 +0100, GMT+01, 7.4, 0
2021/03/05 08:54 +0100, GMT+01, 7.4, 0
