time, timezone, temperature, strength
2021/10/27 09:55 +0200, GMT+02, 14.4, 
2021/10/27 10:12 +0200, GMT+02, 14.3, 
2021/10/27 10:32 +0200, GMT+02, 14.5, 
2021/10/27 10:52 +0200, GMT+02, 14.7, 
2021/10/27 11:12 +0200, GMT+02, 14.9, 
2021/10/27 11:32 +0200, GMT+02, 15.1, 
2021/10/27 11:52 +0200, GMT+02, 15.3, 
2021/10/27 12:12 +0200, GMT+02, 15.5, 
2021/10/27 12:32 +0200, GMT+02, 15.8, 
2021/10/27 12:52 +0200, GMT+02, 17, 
2021/10/27 13:12 +0200, GMT+02, 19, 
2021/10/27 13:32 +0200, GMT+02, 19, 0
2021/10/27 13:52 +0200, GMT+02, 19, 0
2021/10/27 14:12 +0200, GMT+02, 18.9, 0
2021/10/27 14:32 +0200, GMT+02, 18.9, 0
2021/10/27 14:52 +0200, GMT+02, 18.9, 0
2021/10/27 15:12 +0200, GMT+02, 18.9, 0
2021/10/27 15:32 +0200, GMT+02, 18.9, 0
2021/10/27 15:52 +0200, GMT+02, 18.9, 0
2021/10/27 16:12 +0200, GMT+02, 18.8, 0
2021/10/27 16:32 +0200, GMT+02, 18.8, 0
2021/10/27 16:52 +0200, GMT+02, 18.8, 0
2021/10/27 17:12 +0200, GMT+02, 18.8, 0
2021/10/27 17:32 +0200, GMT+02, 18.8, 0
2021/10/27 17:52 +0200, GMT+02, 18.8, 0
2021/10/27 18:12 +0200, GMT+02, 18.8, 0
2021/10/27 18:32 +0200, GMT+02, 18.8, 0
2021/10/27 18:52 +0200, GMT+02, 18.9, 0
2021/10/27 19:12 +0200, GMT+02, 18.9, 0
2021/10/27 19:32 +0200, GMT+02, 19, 0
2021/10/27 19:52 +0200, GMT+02, 19, 0
2021/10/27 20:12 +0200, GMT+02, 19.1, 0
2021/10/27 20:32 +0200, GMT+02, 19.2, 0
2021/10/27 20:52 +0200, GMT+02, 19.3, 0
2021/10/27 21:12 +0200, GMT+02, 19.5, 0
2021/10/27 21:32 +0200, GMT+02, 19.6, 0
2021/10/27 21:52 +0200, GMT+02, 19.8, 0
2021/10/27 22:12 +0200, GMT+02, 20.1, 0
2021/10/27 22:32 +0200, GMT+02, 20.3, 0
2021/10/27 22:52 +0200, GMT+02, 20.5, 0
2021/10/27 23:12 +0200, GMT+02, 20.8, 0
2021/10/27 23:32 +0200, GMT+02, 21.1, 0
2021/10/27 23:52 +0200, GMT+02, 21.3, 0
2021/10/28 00:12 +0200, GMT+02, 21.6, 0
2021/10/28 00:32 +0200, GMT+02, 22, 0
2021/10/28 00:52 +0200, GMT+02, 22.3, 0
2021/10/28 01:12 +0200, GMT+02, 22.6, 0
2021/10/28 01:32 +0200, GMT+02, 23, 0
2021/10/28 01:52 +0200, GMT+02, 23.4, 0
2021/10/28 02:12 +0200, GMT+02, 23.8, 0
2021/10/28 02:32 +0200, GMT+02, 24.1, 0
2021/10/28 02:52 +0200, GMT+02, 24.5, 0
2021/10/28 03:12 +0200, GMT+02, 24.6, 0
2021/10/28 03:32 +0200, GMT+02, 24.8, 0
2021/10/28 03:52 +0200, GMT+02, 25, 0
2021/10/28 04:12 +0200, GMT+02, 25, 0.49762
2021/10/28 04:32 +0200, GMT+02, 25, 1.01539
2021/10/28 04:52 +0200, GMT+02, 25.1, 1.52019
2021/10/28 05:12 +0200, GMT+02, 25.1, 2.01269
2021/10/28 05:32 +0200, GMT+02, 25.1, 2.49234
2021/10/28 05:52 +0200, GMT+02, 25.1, 2.9598
2021/10/28 06:12 +0200, GMT+02, 25, 3.41458
2021/10/28 06:32 +0200, GMT+02, 25, 3.85732
2021/10/28 06:53 +0200, GMT+02, 25, 4.29001
2021/10/28 07:13 +0200, GMT+02, 24.9, 4.71138
2021/10/28 07:33 +0200, GMT+02, 24.9, 5.12233
2021/10/28 07:53 +0200, GMT+02, 24.8, 5.52332
2021/10/28 08:13 +0200, GMT+02, 24.7, 5.91386
2021/10/28 08:33 +0200, GMT+02, 24.6, 6.29442
2021/10/28 08:53 +0200, GMT+02, 24.6, 6.66636
2021/10/28 09:13 +0200, GMT+02, 24.5, 7.03004
2021/10/28 09:33 +0200, GMT+02, 24.5, 7.38579
2021/10/28 09:53 +0200, GMT+02, 24.4, 7.73394
2021/10/28 10:13 +0200, GMT+02, 24.3, 8.05917
2021/10/28 10:33 +0200, GMT+02, 24.2, 8.32493
2021/10/28 10:53 +0200, GMT+02, 24.1, 8.58469
2021/10/28 11:13 +0200, GMT+02, 24, 8.83869
2021/10/28 11:33 +0200, GMT+02, 23.9, 9.08714
2021/10/28 11:53 +0200, GMT+02, 23.8, 9.33046
2021/10/28 12:13 +0200, GMT+02, 23.7, 9.56843
2021/10/28 12:33 +0200, GMT+02, 23.6, 9.80145
2021/10/28 12:53 +0200, GMT+02, 23.5, 10.02969
2021/10/28 13:13 +0200, GMT+02, 23.5, 10.25387
2021/10/28 13:33 +0200, GMT+02, 23.4, 10.47414
2021/10/28 13:53 +0200, GMT+02, 23.3, 10.69007
2021/10/28 14:13 +0200, GMT+02, 23.3, 10.90234
2021/10/28 14:33 +0200, GMT+02, 23.3, 11.11159
2021/10/28 14:53 +0200, GMT+02, 23.2, 11.31739
2021/10/28 15:13 +0200, GMT+02, 23.2, 11.51983
2021/10/28 15:33 +0200, GMT+02, 23.1, 11.71902
2021/10/28 15:53 +0200, GMT+02, 23.1, 11.91506
2021/10/28 16:13 +0200, GMT+02, 23.1, 12.10851
2021/10/28 16:33 +0200, GMT+02, 23, 12.29897
2021/10/28 16:53 +0200, GMT+02, 23, 12.48652
2021/10/28 17:13 +0200, GMT+02, 22.9, 12.67139
2021/10/28 17:33 +0200, GMT+02, 22.8, 12.85288
2021/10/28 17:53 +0200, GMT+02, 22.8, 13.0317
2021/10/28 18:13 +0200, GMT+02, 22.6, 13.20748
2021/10/28 18:33 +0200, GMT+02, 22.6, 13.38028
2021/10/28 18:53 +0200, GMT+02, 22.5, 13.55064
2021/10/28 19:13 +0200, GMT+02, 22.3, 13.71775
2021/10/28 19:33 +0200, GMT+02, 22.2, 13.88171
2021/10/28 19:53 +0200, GMT+02, 22.1, 14.04301
2021/10/28 20:13 +0200, GMT+02, 22, 14.20174
2021/10/28 20:33 +0200, GMT+02, 21.9, 14.35795
2021/10/28 20:53 +0200, GMT+02, 21.8, 14.51171
