time, timezone, temperature, strength
2021/02/04 10:59 +0100, GMT+01, 9.2, 
2021/02/04 11:19 +0100, GMT+01, 8.8, 
2021/02/04 11:39 +0100, GMT+01, 9, 
2021/02/04 11:59 +0100, GMT+01, 8.8, 
2021/02/04 12:19 +0100, GMT+01, 9.1, 
2021/02/04 12:39 +0100, GMT+01, 9.2, 
2021/02/04 12:59 +0100, GMT+01, 9.2, 
2021/02/04 13:19 +0100, GMT+01, 9, 
2021/02/04 13:39 +0100, GMT+01, 8, 
2021/02/04 13:59 +0100, GMT+01, 7.8, 
2021/02/04 14:19 +0100, GMT+01, 13.9, 
2021/02/04 14:39 +0100, GMT+01, 14, 0
2021/02/04 14:59 +0100, GMT+01, 13.8, 0.00001
2021/02/04 15:19 +0100, GMT+01, 13.8, 0.00029
2021/02/04 15:39 +0100, GMT+01, 13.7, 0.0018
2021/02/04 15:59 +0100, GMT+01, 13.6, 0.00568
2021/02/04 16:19 +0100, GMT+01, 13.5, 0.01276
2021/02/04 16:39 +0100, GMT+01, 13.5, 0.02361
2021/02/04 16:59 +0100, GMT+01, 13.4, 0.03851
2021/02/04 17:19 +0100, GMT+01, 13.3, 0.05752
2021/02/04 17:39 +0100, GMT+01, 13.3, 0.08066
2021/02/04 17:59 +0100, GMT+01, 13.2, 0.10785
2021/02/04 18:19 +0100, GMT+01, 13.1, 0.13883
2021/02/04 18:39 +0100, GMT+01, 13.1, 0.17353
2021/02/04 18:59 +0100, GMT+01, 13.1, 0.21188
2021/02/04 19:19 +0100, GMT+01, 13, 0.25359
2021/02/04 19:39 +0100, GMT+01, 13, 0.29845
2021/02/04 19:59 +0100, GMT+01, 13, 0.34645
2021/02/04 20:19 +0100, GMT+01, 13, 0.39741
2021/02/04 20:39 +0100, GMT+01, 13, 0.4512
2021/02/04 20:59 +0100, GMT+01, 13, 0.50769
2021/02/04 21:19 +0100, GMT+01, 13, 0.56667
2021/02/04 21:39 +0100, GMT+01, 13, 0.62802
2021/02/04 21:59 +0100, GMT+01, 13.1, 0.69185
2021/02/04 22:19 +0100, GMT+01, 13.1, 0.75805
2021/02/04 22:39 +0100, GMT+01, 13.2, 0.82652
2021/02/04 22:59 +0100, GMT+01, 13.3, 0.89741
2021/02/04 23:19 +0100, GMT+01, 13.4, 0.97065
2021/02/04 23:39 +0100, GMT+01, 13.5, 1.04617
2021/02/04 23:59 +0100, GMT+01, 13.6, 1.1239
2021/02/05 00:19 +0100, GMT+01, 13.7, 1.20378
2021/02/05 00:39 +0100, GMT+01, 13.8, 1.28575
2021/02/05 00:59 +0100, GMT+01, 13.9, 1.36974
2021/02/05 01:19 +0100, GMT+01, 14, 1.45569
2021/02/05 01:39 +0100, GMT+01, 14, 1.54326
2021/02/05 01:59 +0100, GMT+01, 14.1, 1.63237
2021/02/05 02:19 +0100, GMT+01, 14.2, 1.72327
2021/02/05 02:39 +0100, GMT+01, 14.3, 1.8159
2021/02/05 02:59 +0100, GMT+01, 14.5, 1.91053
2021/02/05 03:19 +0100, GMT+01, 14.6, 2.00712
2021/02/05 03:39 +0100, GMT+01, 14.6, 2.10501
2021/02/05 03:59 +0100, GMT+01, 14.7, 2.20413
