time, timezone, temperature, strength
2021/04/26 13:40 +0200, GMT+02, 11.5, 
2021/04/26 14:00 +0200, GMT+02, 13.3, 
2021/04/26 14:20 +0200, GMT+02, 11.5, 
2021/04/26 14:40 +0200, GMT+02, 12, 
2021/04/26 15:00 +0200, GMT+02, 12.9, 
2021/04/26 15:20 +0200, GMT+02, 13, 
2021/04/26 15:40 +0200, GMT+02, 16.8, 
2021/04/26 16:00 +0200, GMT+02, 17.5, 
2021/04/26 16:20 +0200, GMT+02, 14.9, 
2021/04/26 16:40 +0200, GMT+02, 13.1, 
2021/04/26 17:00 +0200, GMT+02, 14.9, 
2021/04/26 17:20 +0200, GMT+02, 11.8, 
2021/04/26 17:40 +0200, GMT+02, 11.5, 
2021/04/26 18:00 +0200, GMT+02, 10.8, 
2021/04/26 18:20 +0200, GMT+02, 10.5, 
2021/04/26 18:40 +0200, GMT+02, 10.1, 
2021/04/26 19:00 +0200, GMT+02, 10, 
2021/04/26 19:20 +0200, GMT+02, 9.5, 
2021/04/26 19:40 +0200, GMT+02, 7, 
2021/04/26 20:00 +0200, GMT+02, 7.1, 0
2021/04/26 20:20 +0200, GMT+02, 16.5, 0
2021/04/26 20:40 +0200, GMT+02, 15.8, 0.00031
2021/04/26 21:00 +0200, GMT+02, 15.3, 0.00222
2021/04/26 21:20 +0200, GMT+02, 14.7, 0.00711
2021/04/26 21:40 +0200, GMT+02, 14.2, 0.01571
2021/04/26 22:00 +0200, GMT+02, 13.7, 0.02824
2021/04/26 22:20 +0200, GMT+02, 13.3, 0.04466
2021/04/26 22:40 +0200, GMT+02, 12.8, 0.06468
2021/04/26 23:00 +0200, GMT+02, 12.4, 0.08794
2021/04/26 23:20 +0200, GMT+02, 12, 0.11415
2021/04/26 23:40 +0200, GMT+02, 11.6, 0.14293
2021/04/27 00:00 +0200, GMT+02, 11.3, 0.17403
2021/04/27 00:20 +0200, GMT+02, 11, 0.20726
2021/04/27 00:40 +0200, GMT+02, 10.8, 0.24248
2021/04/27 01:00 +0200, GMT+02, 10.5, 0.27948
2021/04/27 01:20 +0200, GMT+02, 10.3, 0.31797
2021/04/27 01:40 +0200, GMT+02, 10.1, 0.35795
2021/04/27 02:00 +0200, GMT+02, 9.8, 0.39906
2021/04/27 02:20 +0200, GMT+02, 9.7, 0.44131
2021/04/27 02:40 +0200, GMT+02, 9.6, 0.48488
2021/04/27 03:00 +0200, GMT+02, 9.4, 0.52949
2021/04/27 03:20 +0200, GMT+02, 9.3, 0.57503
2021/04/27 03:40 +0200, GMT+02, 9.1, 0.62139
2021/04/27 04:00 +0200, GMT+02, 9.1, 0.66866
2021/04/27 04:20 +0200, GMT+02, 9, 0.71695
2021/04/27 04:40 +0200, GMT+02, 8.9, 0.766
2021/04/27 05:00 +0200, GMT+02, 8.8, 0.81573
2021/04/27 05:20 +0200, GMT+02, 8.8, 0.86629
2021/04/27 05:40 +0200, GMT+02, 8.7, 0.91761
2021/04/27 06:00 +0200, GMT+02, 8.6, 0.96944
2021/04/27 06:20 +0200, GMT+02, 8.6, 1.02193
2021/04/27 06:40 +0200, GMT+02, 8.6, 1.07526
2021/04/27 07:00 +0200, GMT+02, 8.5, 1.12917
2021/04/27 07:20 +0200, GMT+02, 8.5, 1.18361
2021/04/27 07:40 +0200, GMT+02, 8.5, 1.23877
2021/04/27 08:00 +0200, GMT+02, 8.6, 1.29487
2021/04/27 08:20 +0200, GMT+02, 8.6, 1.35191
2021/04/27 08:40 +0200, GMT+02, 8.8, 1.41002
2021/04/27 09:00 +0200, GMT+02, 8.97, 1.46966
2021/04/27 09:20 +0200, GMT+02, 9.1, 1.53065
