time, timezone, temperature, strength
2021/05/12 14:26 +0200, GMT+02, 17.2, 
2021/05/12 14:46 +0200, GMT+02, 20.5, 
2021/05/12 15:06 +0200, GMT+02, 16.5, 
2021/05/12 15:26 +0200, GMT+02, 15.7, 
2021/05/12 15:46 +0200, GMT+02, 18.5, 
2021/05/12 16:06 +0200, GMT+02, 21.1, 
2021/05/12 16:26 +0200, GMT+02, 19.1, 
2021/05/12 16:46 +0200, GMT+02, 19, 
2021/05/12 17:06 +0200, GMT+02, 16.6, 
2021/05/12 17:26 +0200, GMT+02, 16.3, 
2021/05/12 17:46 +0200, GMT+02, 16, 
2021/05/12 18:06 +0200, GMT+02, 16.4, 
2021/05/12 18:26 +0200, GMT+02, 16.6, 
2021/05/12 18:46 +0200, GMT+02, 16.7, 
2021/05/12 19:06 +0200, GMT+02, 15.9, 
2021/05/12 19:26 +0200, GMT+02, 15.5, 
2021/05/12 19:46 +0200, GMT+02, 15.1, 
2021/05/12 20:06 +0200, GMT+02, 14.9, 
2021/05/12 20:26 +0200, GMT+02, 14.6, 
2021/05/12 20:46 +0200, GMT+02, 14.1, 
2021/05/12 21:06 +0200, GMT+02, 13.6, 
2021/05/12 21:26 +0200, GMT+02, 13.3, 
2021/05/12 21:46 +0200, GMT+02, 12.7, 
2021/05/12 22:06 +0200, GMT+02, 12.3, 
2021/05/12 22:26 +0200, GMT+02, 12.5, 
2021/05/12 22:46 +0200, GMT+02, 12.7, 
2021/05/12 23:06 +0200, GMT+02, 12.7, 
2021/05/12 23:26 +0200, GMT+02, 12.7, 
2021/05/12 23:46 +0200, GMT+02, 12.7, 
2021/05/13 00:06 +0200, GMT+02, 12.6, 
2021/05/13 00:26 +0200, GMT+02, 12.4, 
2021/05/13 00:46 +0200, GMT+02, 12.1, 
2021/05/13 01:06 +0200, GMT+02, 10.4, 
2021/05/13 01:26 +0200, GMT+02, 10, 
2021/05/13 01:46 +0200, GMT+02, 10, 
2021/05/13 02:06 +0200, GMT+02, 10.2, 
2021/05/13 02:26 +0200, GMT+02, 10.5, 
2021/05/13 02:46 +0200, GMT+02, 10.5, 
2021/05/13 03:06 +0200, GMT+02, 10.6, 
2021/05/13 03:26 +0200, GMT+02, 10.6, 
2021/05/13 03:46 +0200, GMT+02, 10.8, 
2021/05/13 04:06 +0200, GMT+02, 10.8, 
2021/05/13 04:26 +0200, GMT+02, 10.9, 
2021/05/13 04:46 +0200, GMT+02, 10.9, 
2021/05/13 05:06 +0200, GMT+02, 10.5, 
2021/05/13 05:26 +0200, GMT+02, 9.9, 
2021/05/13 05:46 +0200, GMT+02, 10, 
2021/05/13 06:06 +0200, GMT+02, 10.1, 
2021/05/13 06:26 +0200, GMT+02, 10.1, 
2021/05/13 06:46 +0200, GMT+02, 10, 
2021/05/13 07:06 +0200, GMT+02, 10.1, 
2021/05/13 07:26 +0200, GMT+02, 10.4, 
2021/05/13 07:46 +0200, GMT+02, 10.8, 
2021/05/13 08:06 +0200, GMT+02, 10.7, 
2021/05/13 08:26 +0200, GMT+02, 11.2, 
2021/05/13 08:46 +0200, GMT+02, 11.6, 
2021/05/13 08:49 +0200, GMT+02, 11.6, 
2021/05/13 09:09 +0200, GMT+02, 11.6, 
2021/05/13 09:29 +0200, GMT+02, 11.3, 
2021/05/13 09:49 +0200, GMT+02, 12.3, 
2021/05/13 10:09 +0200, GMT+02, 12.8, 
2021/05/13 10:29 +0200, GMT+02, 12.7, 
2021/05/13 10:49 +0200, GMT+02, 11, 
2021/05/13 11:09 +0200, GMT+02, 10.4, 
2021/05/13 11:29 +0200, GMT+02, 11.2, 
2021/05/13 11:49 +0200, GMT+02, 9.8, 
2021/05/13 12:09 +0200, GMT+02, 18.9, 0
2021/05/13 12:29 +0200, GMT+02, 18.8, 0.00004
2021/05/13 12:49 +0200, GMT+02, 18.6, 0.00118
2021/05/13 13:09 +0200, GMT+02, 18.3, 0.00605
2021/05/13 13:29 +0200, GMT+02, 18.2, 0.01672
2021/05/13 13:49 +0200, GMT+02, 18.1, 0.03442
2021/05/13 14:09 +0200, GMT+02, 18.1, 0.05965
2021/05/13 14:29 +0200, GMT+02, 18, 0.09245
2021/05/13 14:49 +0200, GMT+02, 18, 0.13262
2021/05/13 15:09 +0200, GMT+02, 17.8, 0.17963
2021/05/13 15:29 +0200, GMT+02, 17.8, 0.233
2021/05/13 15:49 +0200, GMT+02, 18, 0.29296
2021/05/13 16:09 +0200, GMT+02, 18, 0.35921
2021/05/13 16:29 +0200, GMT+02, 18, 0.431
2021/05/13 16:49 +0200, GMT+02, 18, 0.50793
2021/05/13 17:09 +0200, GMT+02, 18.1, 0.58994
2021/05/13 17:29 +0200, GMT+02, 18.3, 0.6771
2021/05/13 17:49 +0200, GMT+02, 18.4, 0.76925
2021/05/13 18:09 +0200, GMT+02, 18.5, 0.86587
2021/05/13 18:29 +0200, GMT+02, 18.5, 0.96644
2021/05/13 18:49 +0200, GMT+02, 18.7, 1.07099
2021/05/13 19:09 +0200, GMT+02, 18.8, 1.17964
2021/05/13 19:29 +0200, GMT+02, 19, 1.2922
2021/05/13 19:49 +0200, GMT+02, 19.1, 1.40852
2021/05/13 20:09 +0200, GMT+02, 19.3, 1.52843
2021/05/13 20:29 +0200, GMT+02, 19.5, 1.65214
2021/05/13 20:49 +0200, GMT+02, 19.6, 1.77916
2021/05/13 21:09 +0200, GMT+02, 19.6, 1.90864
