time, timezone, temperature, strength
2021/07/05 14:51 +0200, GMT+02, 18.4, 
2021/07/05 15:11 +0200, GMT+02, 20, 
2021/07/05 15:31 +0200, GMT+02, 20.3, 
2021/07/05 15:51 +0200, GMT+02, 19.6, 
2021/07/05 16:11 +0200, GMT+02, 19.3, 
2021/07/05 16:31 +0200, GMT+02, 20.1, 
2021/07/05 16:51 +0200, GMT+02, 20.5, 
2021/07/05 17:11 +0200, GMT+02, 20.6, 
2021/07/05 17:31 +0200, GMT+02, 19.8, 
2021/07/05 17:51 +0200, GMT+02, 19.7, 
2021/07/05 18:11 +0200, GMT+02, 18.8, 
2021/07/05 18:31 +0200, GMT+02, 18.2, 
2021/07/05 18:51 +0200, GMT+02, 17.8, 
2021/07/05 19:11 +0200, GMT+02, 18.1, 
2021/07/05 19:31 +0200, GMT+02, 17.5, 
2021/07/05 19:51 +0200, GMT+02, 17.1, 
2021/07/05 20:11 +0200, GMT+02, 16, 
2021/07/05 20:31 +0200, GMT+02, 15.5, 
2021/07/05 20:51 +0200, GMT+02, 14.7, 
2021/07/05 21:11 +0200, GMT+02, 13.5, 
2021/07/05 21:31 +0200, GMT+02, 13.3, 
2021/07/05 21:51 +0200, GMT+02, 13.1, 
2021/07/05 22:11 +0200, GMT+02, 13.1, 
2021/07/05 22:31 +0200, GMT+02, 13.3, 
2021/07/05 22:51 +0200, GMT+02, 13.4, 
2021/07/05 23:11 +0200, GMT+02, 13.3, 
2021/07/05 23:31 +0200, GMT+02, 13.4, 
2021/07/05 23:51 +0200, GMT+02, 13.4, 
2021/07/06 00:11 +0200, GMT+02, 13.5, 
2021/07/06 00:31 +0200, GMT+02, 13.6, 
2021/07/06 00:51 +0200, GMT+02, 13.7, 
2021/07/06 01:11 +0200, GMT+02, 14, 
2021/07/06 01:31 +0200, GMT+02, 14.2, 
2021/07/06 01:51 +0200, GMT+02, 14.4, 
2021/07/06 02:11 +0200, GMT+02, 14.6, 
2021/07/06 02:31 +0200, GMT+02, 14.5, 
2021/07/06 02:51 +0200, GMT+02, 14.1, 
2021/07/06 03:11 +0200, GMT+02, 14, 
2021/07/06 03:31 +0200, GMT+02, 13.8, 
2021/07/06 03:51 +0200, GMT+02, 13.8, 
2021/07/06 04:11 +0200, GMT+02, 13.7, 
2021/07/06 04:31 +0200, GMT+02, 13.6, 
2021/07/06 04:51 +0200, GMT+02, 13.5, 
2021/07/06 05:11 +0200, GMT+02, 13.5, 
2021/07/06 05:31 +0200, GMT+02, 13.6, 
2021/07/06 05:51 +0200, GMT+02, 13.6, 
2021/07/06 06:11 +0200, GMT+02, 12.8, 
2021/07/06 06:31 +0200, GMT+02, 12.6, 
2021/07/06 06:51 +0200, GMT+02, 12.5, 
2021/07/06 07:11 +0200, GMT+02, 12.6, 
2021/07/06 07:31 +0200, GMT+02, 12.5, 
2021/07/06 07:51 +0200, GMT+02, 12.5, 
2021/07/06 08:11 +0200, GMT+02, 12.6, 
2021/07/06 08:31 +0200, GMT+02, 12.8, 
2021/07/06 08:51 +0200, GMT+02, 13.6, 
2021/07/06 09:11 +0200, GMT+02, 13.3, 
2021/07/06 09:31 +0200, GMT+02, 13.8, 
2021/07/06 09:51 +0200, GMT+02, 14, 
2021/07/06 10:11 +0200, GMT+02, 14.8, 
2021/07/06 10:31 +0200, GMT+02, 14.3, 
2021/07/06 10:51 +0200, GMT+02, 14, 
2021/07/06 11:11 +0200, GMT+02, 14.4, 
2021/07/06 11:31 +0200, GMT+02, 15.8, 
2021/07/06 11:51 +0200, GMT+02, 16, 
2021/07/06 12:11 +0200, GMT+02, 17.6, 
2021/07/06 12:31 +0200, GMT+02, 18, 
2021/07/06 12:51 +0200, GMT+02, 16.8, 
2021/07/06 13:11 +0200, GMT+02, 16.4, 
2021/07/06 13:31 +0200, GMT+02, 19.4, 0
2021/07/06 13:51 +0200, GMT+02, 22.5, 0.00007
2021/07/06 14:11 +0200, GMT+02, 22.3, 0.00234
2021/07/06 14:31 +0200, GMT+02, 22.1, 0.01157
2021/07/06 14:51 +0200, GMT+02, 21.9, 0.03087
2021/07/06 15:11 +0200, GMT+02, 21.5, 0.06115
2021/07/06 15:31 +0200, GMT+02, 21.2, 0.10202
2021/07/06 15:51 +0200, GMT+02, 21.1, 0.15302
2021/07/06 16:11 +0200, GMT+02, 21.3, 0.21414
2021/07/06 16:31 +0200, GMT+02, 21.1, 0.28459
2021/07/06 16:51 +0200, GMT+02, 20.8, 0.36254
2021/07/06 17:11 +0200, GMT+02, 20.7, 0.44723
2021/07/06 17:31 +0200, GMT+02, 20.6, 0.53831
2021/07/06 17:51 +0200, GMT+02, 20.6, 0.63544
2021/07/06 18:11 +0200, GMT+02, 20.6, 0.73817
2021/07/06 18:31 +0200, GMT+02, 20.5, 0.84577
2021/07/06 18:51 +0200, GMT+02, 20.5, 0.95776
2021/07/06 19:11 +0200, GMT+02, 20.6, 1.07433
2021/07/06 19:31 +0200, GMT+02, 20.6, 1.19514
2021/07/06 19:51 +0200, GMT+02, 20.6, 1.31953
2021/07/06 20:11 +0200, GMT+02, 20.8, 1.44788
2021/07/06 20:31 +0200, GMT+02, 20.9, 1.58031
2021/07/06 20:51 +0200, GMT+02, 21, 1.71625
2021/07/06 21:11 +0200, GMT+02, 21.1, 1.85549
2021/07/06 21:31 +0200, GMT+02, 21.2, 1.99782
2021/07/06 21:51 +0200, GMT+02, 21.3, 2.14307
2021/07/06 22:11 +0200, GMT+02, 21.4, 2.29106
2021/07/06 22:31 +0200, GMT+02, 21.5, 2.44163
2021/07/06 22:51 +0200, GMT+02, 21.5, 2.59423
2021/07/06 23:11 +0200, GMT+02, 21.5, 2.74828
2021/07/06 23:31 +0200, GMT+02, 21.4, 2.90321
2021/07/06 23:51 +0200, GMT+02, 21.3, 3.05847
2021/07/07 00:11 +0200, GMT+02, 21.2, 3.21392
2021/07/07 00:31 +0200, GMT+02, 21.1, 3.36942
2021/07/07 00:51 +0200, GMT+02, 21, 3.52487
2021/07/07 01:11 +0200, GMT+02, 20.9, 3.68015
2021/07/07 01:31 +0200, GMT+02, 20.8, 3.83518
2021/07/07 01:51 +0200, GMT+02, 20.6, 3.98959
2021/07/07 02:11 +0200, GMT+02, 20.5, 4.14303
2021/07/07 02:31 +0200, GMT+02, 20.3, 4.29557
2021/07/07 02:51 +0200, GMT+02, 20.2, 4.44715
2021/07/07 03:11 +0200, GMT+02, 20.1, 4.59813
2021/07/07 03:31 +0200, GMT+02, 19.9, 4.74804
2021/07/07 03:51 +0200, GMT+02, 19.8, 4.89686
2021/07/07 04:11 +0200, GMT+02, 19.7, 5.04494
2021/07/07 04:31 +0200, GMT+02, 19.6, 5.19226
2021/07/07 04:51 +0200, GMT+02, 19.5, 5.33879
2021/07/07 05:11 +0200, GMT+02, 19.5, 5.48491
2021/07/07 05:31 +0200, GMT+02, 19.4, 5.63059
2021/07/07 05:51 +0200, GMT+02, 19.3, 5.7754
2021/07/07 06:11 +0200, GMT+02, 19.3, 5.91972
2021/07/07 06:31 +0200, GMT+02, 19.3, 6.06394
2021/07/07 06:51 +0200, GMT+02, 19.2, 6.20763
2021/07/07 07:11 +0200, GMT+02, 19.1, 6.35038
2021/07/07 07:31 +0200, GMT+02, 19.1, 6.49256
2021/07/07 07:51 +0200, GMT+02, 19.1, 6.63458
2021/07/07 08:11 +0200, GMT+02, 19.1, 6.77641
2021/07/07 08:31 +0200, GMT+02, 19.1, 6.91805
2021/07/07 08:51 +0200, GMT+02, 19, 7.05906
2021/07/07 09:11 +0200, GMT+02, 19, 7.19946
2021/07/07 09:31 +0200, GMT+02, 19, 7.33962
2021/07/07 09:51 +0200, GMT+02, 19, 7.47965
2021/07/07 10:11 +0200, GMT+02, 19.1, 7.6197
2021/07/07 10:31 +0200, GMT+02, 19.1, 7.75989
2021/07/07 10:51 +0200, GMT+02, 19.3, 7.9006
2021/07/07 11:11 +0200, GMT+02, 19.5, 8.04262
2021/07/07 11:31 +0200, GMT+02, 19.6, 8.18553
2021/07/07 11:51 +0200, GMT+02, 19.6, 8.32853
2021/07/07 12:11 +0200, GMT+02, 19.6, 8.47121
2021/07/07 12:31 +0200, GMT+02, 19.7, 8.61395
2021/07/07 12:51 +0200, GMT+02, 19.7, 8.75675
2021/07/07 13:11 +0200, GMT+02, 19.8, 8.89959
2021/07/07 13:31 +0200, GMT+02, 20, 9.04328
2021/07/07 13:51 +0200, GMT+02, 20.1, 9.18779
2021/07/07 14:11 +0200, GMT+02, 20.1, 9.33233
2021/07/07 14:31 +0200, GMT+02, 20.3, 9.47728
2021/07/07 14:51 +0200, GMT+02, 20.6, 9.62383
2021/07/07 15:11 +0200, GMT+02, 20.7, 9.77158
2021/07/07 15:31 +0200, GMT+02, 20.8, 9.9197
2021/07/07 15:51 +0200, GMT+02, 20.9, 10.0682
2021/07/07 16:11 +0200, GMT+02, 21, 10.21707
2021/07/07 16:31 +0200, GMT+02, 21.3, 10.36709
2021/07/07 16:51 +0200, GMT+02, 21.4, 10.51826
2021/07/07 17:11 +0200, GMT+02, 21.5, 10.66977
2021/07/07 17:31 +0200, GMT+02, 21.4, 10.82079
2021/07/07 17:51 +0200, GMT+02, 21.3, 10.97054
2021/07/07 18:11 +0200, GMT+02, 21.2, 11.11912
2021/07/07 18:31 +0200, GMT+02, 21.1, 11.26632
