time, timezone, temperature, strength
2020/04/08 17:47 +0200, GMT+02, 21.1, 
2020/04/08 18:07 +0200, GMT+02, 21.1, 
2021/07/23 14:03 +0200, GMT+02, 27.6, 
2021/07/23 14:23 +0200, GMT+02, 29.8, 
2021/07/23 14:43 +0200, GMT+02, 28.5, 
2021/07/23 15:03 +0200, GMT+02, 29.1, 
2021/07/23 15:23 +0200, GMT+02, 29.5, 
2021/07/23 15:43 +0200, GMT+02, 28.2, 
2021/07/23 16:03 +0200, GMT+02, 27.3, 
2021/07/23 16:23 +0200, GMT+02, 27, 
2021/07/23 16:43 +0200, GMT+02, 27.4, 
2021/07/23 17:03 +0200, GMT+02, 23, 
2021/07/23 17:23 +0200, GMT+02, 23.1, 
2021/07/23 17:43 +0200, GMT+02, 21.6, 
2021/07/23 18:03 +0200, GMT+02, 20, 
2021/07/23 18:23 +0200, GMT+02, 20.3, 
2021/07/23 18:43 +0200, GMT+02, 19.8, 
2021/07/23 19:03 +0200, GMT+02, 19, 
2021/07/23 19:23 +0200, GMT+02, 28.1, 0
2021/07/23 19:43 +0200, GMT+02, 28, 0.00043
2021/07/23 20:03 +0200, GMT+02, 27.5, 0.00778
2021/07/23 20:23 +0200, GMT+02, 26.9, 0.03049
2021/07/23 20:43 +0200, GMT+02, 26.3, 0.07095
2021/07/23 21:03 +0200, GMT+02, 25.8, 0.12825
2021/07/23 21:23 +0200, GMT+02, 25.2, 0.20019
2021/07/23 21:43 +0200, GMT+02, 24.8, 0.28458
2021/07/23 22:03 +0200, GMT+02, 24.3, 0.37942
2021/07/23 22:23 +0200, GMT+02, 24, 0.48307
2021/07/23 22:43 +0200, GMT+02, 23.8, 0.59475
2021/07/23 23:03 +0200, GMT+02, 23.6, 0.71351
2021/07/23 23:23 +0200, GMT+02, 23.4, 0.8383
2021/07/23 23:43 +0200, GMT+02, 23.3, 0.96852
2021/07/24 00:03 +0200, GMT+02, 23.1, 1.10339
2021/07/24 00:23 +0200, GMT+02, 23.1, 1.24258
2021/07/24 00:43 +0200, GMT+02, 23.1, 1.38628
2021/07/24 01:03 +0200, GMT+02, 23.1, 1.53413
2021/07/24 01:23 +0200, GMT+02, 23.2, 1.68588
2021/07/24 01:43 +0200, GMT+02, 23.3, 1.8417
