time, timezone, temperature, strength
2021/09/15 11:31 +0200, GMT+02, 16.9, 
2021/09/15 11:51 +0200, GMT+02, 17.2, 
2021/09/15 12:11 +0200, GMT+02, 17.8, 
2021/09/15 12:31 +0200, GMT+02, 17.1, 
2021/09/15 12:51 +0200, GMT+02, 18.2, 
2021/09/15 13:11 +0200, GMT+02, 19.2, 
2021/09/15 13:31 +0200, GMT+02, 19.6, 
2021/09/15 13:51 +0200, GMT+02, 19.6, 
2021/09/15 14:11 +0200, GMT+02, 21.4, 
2021/09/15 14:31 +0200, GMT+02, 19.8, 
2021/09/15 14:51 +0200, GMT+02, 19.3, 
2021/09/15 15:11 +0200, GMT+02, 19.9, 
2021/09/15 15:31 +0200, GMT+02, 20.3, 
2021/09/15 15:51 +0200, GMT+02, 19.3, 
2021/09/15 16:11 +0200, GMT+02, 18.7, 
2021/09/15 16:31 +0200, GMT+02, 18.2, 
2021/09/15 16:51 +0200, GMT+02, 19, 
2021/09/15 17:11 +0200, GMT+02, 20, 
2021/09/15 17:31 +0200, GMT+02, 19.8, 
2021/09/15 17:52 +0200, GMT+02, 21.1, 
2021/09/15 18:12 +0200, GMT+02, 23.1, 
2021/09/15 18:32 +0200, GMT+02, 22.5, 
2021/09/15 18:52 +0200, GMT+02, 20.6, 
2021/09/15 19:12 +0200, GMT+02, 19.3, 
2021/09/15 19:32 +0200, GMT+02, 18.5, 
2021/09/15 19:52 +0200, GMT+02, 17.5, 
2021/09/15 20:12 +0200, GMT+02, 26.3, 0
2021/09/15 20:32 +0200, GMT+02, 25.8, 0.00028
2021/09/15 20:52 +0200, GMT+02, 25.3, 0.00537
2021/09/15 21:12 +0200, GMT+02, 25, 0.02213
2021/09/15 21:32 +0200, GMT+02, 24.7, 0.05362
2021/09/15 21:52 +0200, GMT+02, 24.5, 0.10022
2021/09/15 22:12 +0200, GMT+02, 24.3, 0.16115
2021/09/15 22:32 +0200, GMT+02, 24.3, 0.23546
2021/09/15 22:52 +0200, GMT+02, 24.2, 0.32207
2021/09/15 23:12 +0200, GMT+02, 24.3, 0.42002
2021/09/15 23:32 +0200, GMT+02, 24.3, 0.52845
2021/09/15 23:52 +0200, GMT+02, 24.5, 0.64682
2021/09/16 00:12 +0200, GMT+02, 24.8, 0.77505
2021/09/16 00:32 +0200, GMT+02, 25.1, 0.91298
2021/09/16 00:52 +0200, GMT+02, 25.5, 1.06046
2021/09/16 01:12 +0200, GMT+02, 26, 1.21781
2021/09/16 01:32 +0200, GMT+02, 26.6, 1.38552
2021/09/16 01:52 +0200, GMT+02, 27.2, 1.56379
2021/09/16 02:12 +0200, GMT+02, 27.6, 1.75157
2021/09/16 02:32 +0200, GMT+02, 28, 1.94767
2021/09/16 02:52 +0200, GMT+02, 28.1, 2.15034
2021/09/16 03:12 +0200, GMT+02, 28.3, 2.35823
2021/09/16 03:32 +0200, GMT+02, 28.4, 2.57088
2021/09/16 03:52 +0200, GMT+02, 28.3, 2.78643
2021/09/16 04:12 +0200, GMT+02, 28.3, 3.00397
2021/09/16 04:32 +0200, GMT+02, 28.1, 3.22262
2021/09/16 04:52 +0200, GMT+02, 28.1, 3.44205
2021/09/16 05:12 +0200, GMT+02, 28, 3.66244
2021/09/16 05:32 +0200, GMT+02, 27.8, 3.88253
2021/09/16 05:52 +0200, GMT+02, 27.7, 4.10228
2021/09/16 06:12 +0200, GMT+02, 27.5, 4.32111
2021/09/16 06:32 +0200, GMT+02, 27.4, 4.53902
2021/09/16 06:52 +0200, GMT+02, 27.3, 4.75636
2021/09/16 07:12 +0200, GMT+02, 27.3, 4.97349
2021/09/16 07:32 +0200, GMT+02, 27.3, 5.1908
2021/09/16 07:52 +0200, GMT+02, 27.2, 5.40768
2021/09/16 08:12 +0200, GMT+02, 27.1, 5.62353
2021/09/16 08:32 +0200, GMT+02, 27.1, 5.83877
