time, timezone, temperature, strength
2021/10/07 09:06 +0200, GMT+02, 13.1, 
2021/10/07 09:25 +0200, GMT+02, 13.5, 
2021/10/07 09:45 +0200, GMT+02, 13.9, 
2021/10/07 10:05 +0200, GMT+02, 14.4, 
2021/10/07 10:25 +0200, GMT+02, 14.8, 
2021/10/07 10:45 +0200, GMT+02, 15.6, 
2021/10/07 11:05 +0200, GMT+02, 16.2, 
2021/10/07 11:19 +0200, GMT+02, 16.5, 
2021/10/07 11:39 +0200, GMT+02, 16.3, 
2021/10/07 11:59 +0200, GMT+02, 16.5, 
2021/10/07 12:19 +0200, GMT+02, 16.6, 
2021/10/07 12:39 +0200, GMT+02, 16.8, 
2021/10/07 12:59 +0200, GMT+02, 17.3, 
2021/10/07 13:19 +0200, GMT+02, 17.6, 
2021/10/07 13:39 +0200, GMT+02, 17.7, 
2021/10/07 13:59 +0200, GMT+02, 18.3, 
2021/10/07 14:19 +0200, GMT+02, 18.3, 0
2021/10/07 14:39 +0200, GMT+02, 17.5, 0.00003
2021/10/07 14:59 +0200, GMT+02, 17.8, 0.00091
2021/10/07 15:19 +0200, GMT+02, 17.8, 0.00497
2021/10/07 15:39 +0200, GMT+02, 22.1, 0.01603
2021/10/07 15:59 +0200, GMT+02, 22.1, 0.03874
2021/10/07 16:19 +0200, GMT+02, 22, 0.0732
2021/10/07 16:39 +0200, GMT+02, 21.8, 0.11908
2021/10/07 16:59 +0200, GMT+02, 21.6, 0.17549
2021/10/07 17:19 +0200, GMT+02, 21.5, 0.24162
2021/10/07 17:39 +0200, GMT+02, 21.3, 0.3165
2021/10/07 17:59 +0200, GMT+02, 21.1, 0.39893
2021/10/07 18:19 +0200, GMT+02, 21, 0.48823
2021/10/07 18:39 +0200, GMT+02, 21, 0.58411
2021/10/07 18:59 +0200, GMT+02, 21, 0.6862
2021/10/07 19:19 +0200, GMT+02, 20.9, 0.79365
2021/10/07 19:39 +0200, GMT+02, 20.9, 0.90593
2021/10/07 19:59 +0200, GMT+02, 21, 1.02316
2021/10/07 20:19 +0200, GMT+02, 21, 1.14498
2021/10/07 20:39 +0200, GMT+02, 21.1, 1.27102
2021/10/07 20:59 +0200, GMT+02, 21.3, 1.40167
2021/10/07 21:19 +0200, GMT+02, 21.4, 1.53669
2021/10/07 21:39 +0200, GMT+02, 21.5, 1.67547
2021/10/07 21:59 +0200, GMT+02, 21.7, 1.81815
2021/10/07 22:19 +0200, GMT+02, 21.9, 1.96493
2021/10/07 22:39 +0200, GMT+02, 22.1, 2.11564
2021/10/07 22:59 +0200, GMT+02, 22.3, 2.27012
2021/10/07 23:19 +0200, GMT+02, 22.6, 2.42877
2021/10/07 23:39 +0200, GMT+02, 23, 2.59204
2021/10/07 23:59 +0200, GMT+02, 23.3, 2.75999
2021/10/08 00:19 +0200, GMT+02, 23.6, 2.93209
2021/10/08 00:39 +0200, GMT+02, 23.8, 3.10781
2021/10/08 00:59 +0200, GMT+02, 23.9, 3.28612
2021/10/08 01:19 +0200, GMT+02, 24, 3.46645
2021/10/08 01:39 +0200, GMT+02, 24, 3.64821
2021/10/08 01:59 +0200, GMT+02, 24.1, 3.83126
2021/10/08 02:19 +0200, GMT+02, 24.1, 4.01548
2021/10/08 02:39 +0200, GMT+02, 24.1, 4.2003
2021/10/08 02:59 +0200, GMT+02, 24.1, 4.38561
2021/10/08 03:19 +0200, GMT+02, 24.1, 4.57131
2021/10/08 03:39 +0200, GMT+02, 24.1, 4.7573
2021/10/08 03:59 +0200, GMT+02, 24.1, 4.94352
2021/10/08 04:19 +0200, GMT+02, 24.1, 5.12987
2021/10/08 04:39 +0200, GMT+02, 24.1, 5.3163
2021/10/08 04:59 +0200, GMT+02, 24.1, 5.50274
2021/10/08 05:19 +0200, GMT+02, 24.2, 5.68959
2021/10/08 05:39 +0200, GMT+02, 24.1, 5.87634
2021/10/08 05:59 +0200, GMT+02, 24.1, 6.06247
2021/10/08 06:19 +0200, GMT+02, 24.1, 6.24841
2021/10/08 06:39 +0200, GMT+02, 24.1, 6.4341
2021/10/08 06:59 +0200, GMT+02, 24, 6.61906
2021/10/08 07:19 +0200, GMT+02, 23.9, 6.80278
2021/10/08 07:39 +0200, GMT+02, 23.8, 6.98541
2021/10/08 07:59 +0200, GMT+02, 23.8, 7.16706
2021/10/08 08:19 +0200, GMT+02, 23.7, 7.34787
2021/10/08 08:39 +0200, GMT+02, 23.6, 7.52736
2021/10/08 08:59 +0200, GMT+02, 23.5, 7.70553
2021/10/08 09:19 +0200, GMT+02, 23.5, 7.88281
2021/10/08 09:39 +0200, GMT+02, 23.5, 8.05963
2021/10/08 09:59 +0200, GMT+02, 23.5, 8.23597
2021/10/08 10:19 +0200, GMT+02, 23.5, 8.41183
2021/10/11 16:30 +0200, GMT+02, 12.3, 31.12667
2021/10/11 16:50 +0200, GMT+02, 12.3, 31.17701
2021/10/11 17:10 +0200, GMT+02, 12.5, 31.22764
2021/10/11 17:30 +0200, GMT+02, 12.5, 31.27855
2021/10/11 17:50 +0200, GMT+02, 12.6, 31.32957
2021/10/11 18:10 +0200, GMT+02, 12.6, 31.3807
2021/10/11 18:30 +0200, GMT+02, 12.6, 31.43175
2021/10/11 18:50 +0200, GMT+02, 12.7, 31.4829
2021/10/11 19:10 +0200, GMT+02, 12.8, 31.53434
2021/10/11 19:30 +0200, GMT+02, 12.8, 31.58588
2021/10/11 19:50 +0200, GMT+02, 12.9, 31.63753
2021/10/11 20:10 +0200, GMT+02, 12.9, 31.68928
2021/10/11 20:30 +0200, GMT+02, 12.9, 31.74096
2021/10/11 20:50 +0200, GMT+02, 13, 31.79278
2021/10/11 21:10 +0200, GMT+02, 13, 31.84466
2021/10/11 21:30 +0200, GMT+02, 13, 31.89647
2021/10/11 21:50 +0200, GMT+02, 13, 31.9482
2021/10/11 22:10 +0200, GMT+02, 13, 31.99985
2021/10/11 22:30 +0200, GMT+02, 13, 32.05143
2021/10/11 22:50 +0200, GMT+02, 13, 32.10294
2021/10/11 23:10 +0200, GMT+02, 13, 32.15437
2021/10/11 23:30 +0200, GMT+02, 13, 32.20573
2021/10/11 23:50 +0200, GMT+02, 13, 32.25701
2021/10/12 00:10 +0200, GMT+02, 13, 32.30822
2021/10/12 00:30 +0200, GMT+02, 13, 32.35936
2021/10/12 00:50 +0200, GMT+02, 12.9, 32.41024
2021/10/12 01:10 +0200, GMT+02, 12.9, 32.46088
2021/10/12 01:30 +0200, GMT+02, 12.9, 32.51145
2021/10/12 01:50 +0200, GMT+02, 12.8, 32.56177
2021/10/12 02:10 +0200, GMT+02, 12.8, 32.61184
2021/10/12 02:30 +0200, GMT+02, 12.8, 32.66184
2021/10/12 02:50 +0200, GMT+02, 12.7, 32.7116
2021/10/12 03:10 +0200, GMT+02, 12.6, 32.76095
2021/10/12 03:30 +0200, GMT+02, 12.6, 32.81005
2021/10/12 03:50 +0200, GMT+02, 12.5, 32.85892
2021/10/12 04:10 +0200, GMT+02, 12.5, 32.90755
2021/10/12 04:30 +0200, GMT+02, 12.4, 32.95594
2021/10/12 04:50 +0200, GMT+02, 12.4, 33.0041
2021/10/12 05:10 +0200, GMT+02, 12.4, 33.05219
2021/10/12 05:30 +0200, GMT+02, 12.3, 33.10008
2021/10/12 05:50 +0200, GMT+02, 12.3, 33.14771
2021/10/12 06:10 +0200, GMT+02, 12.2, 33.1951
2021/10/12 06:30 +0200, GMT+02, 12.1, 33.24209
2021/10/12 06:50 +0200, GMT+02, 12.1, 33.28886
2021/10/12 07:10 +0200, GMT+02, 12, 33.3354
2021/10/12 07:30 +0200, GMT+02, 12, 33.38171
2021/10/12 07:50 +0200, GMT+02, 12, 33.42796
2021/10/12 08:10 +0200, GMT+02, 11.9, 33.47399
2021/10/12 08:30 +0200, GMT+02, 11.8, 33.51963
2021/10/12 08:50 +0200, GMT+02, 11.8, 33.56504
2021/10/12 09:10 +0200, GMT+02, 11.7, 33.61024
2021/10/12 09:30 +0200, GMT+02, 11.7, 33.65521
2021/10/12 09:50 +0200, GMT+02, 11.6, 33.69997
2021/10/12 10:10 +0200, GMT+02, 11.6, 33.74451
2021/10/12 10:30 +0200, GMT+02, 11.6, 33.78899
2021/10/12 10:50 +0200, GMT+02, 11.6, 33.83341
2021/10/12 11:10 +0200, GMT+02, 11.5, 33.87763
2021/10/12 11:30 +0200, GMT+02, 11.6, 33.92178
2021/10/12 11:50 +0200, GMT+02, 11.6, 33.96604
2021/10/12 12:10 +0200, GMT+02, 11.6, 34.01025
2021/10/12 12:30 +0200, GMT+02, 11.6, 34.0544
2021/10/12 12:50 +0200, GMT+02, 11.6, 34.09849
2021/10/12 13:10 +0200, GMT+02, 11.7, 34.14269
2021/10/12 13:30 +0200, GMT+02, 11.8, 34.18715
2021/10/12 13:50 +0200, GMT+02, 11.9, 34.23188
2021/10/12 14:04 +0200, GMT+02, 12, 34.2632
2021/10/12 14:24 +0200, GMT+02, 12, 34.30831
2021/10/12 14:44 +0200, GMT+02, 12.1, 34.35353
2021/10/12 15:04 +0200, GMT+02, 12.2, 34.39901
2021/10/12 15:24 +0200, GMT+02, 12.3, 34.44476
2021/10/12 15:44 +0200, GMT+02, 12.4, 34.49077
2021/10/12 16:04 +0200, GMT+02, 12.5, 34.53705
2021/10/12 16:24 +0200, GMT+02, 12.5, 34.58343
2021/10/12 16:44 +0200, GMT+02, 12.6, 34.62991
2021/10/12 17:04 +0200, GMT+02, 12.7, 34.67665
2021/10/12 17:24 +0200, GMT+02, 12.8, 34.72366
2021/10/12 17:44 +0200, GMT+02, 12.8, 34.77077
2021/10/12 18:04 +0200, GMT+02, 12.9, 34.81802
2021/10/12 18:24 +0200, GMT+02, 12.9, 34.86533
2021/10/12 18:44 +0200, GMT+02, 13, 34.91274
2021/10/12 19:04 +0200, GMT+02, 13, 34.96026
2021/10/12 19:24 +0200, GMT+02, 13, 35.0077
2021/10/12 19:44 +0200, GMT+02, 13, 35.05509
2021/10/12 20:04 +0200, GMT+02, 13, 35.10241
2021/10/12 20:24 +0200, GMT+02, 13, 35.14967
2021/10/12 20:44 +0200, GMT+02, 13.1, 35.19702
2021/10/12 21:04 +0200, GMT+02, 13.1, 35.24448
2021/10/12 21:24 +0200, GMT+02, 13.1, 35.29187
2021/10/12 21:44 +0200, GMT+02, 13.1, 35.3392
2021/10/12 22:04 +0200, GMT+02, 13.1, 35.38647
2021/10/12 22:24 +0200, GMT+02, 13.1, 35.43367
2021/10/12 22:44 +0200, GMT+02, 13.1, 35.48081
2021/10/12 23:04 +0200, GMT+02, 13.1, 35.52789
2021/10/12 23:24 +0200, GMT+02, 13, 35.57474
2021/10/12 23:44 +0200, GMT+02, 13.1, 35.62153
