time, timezone, temperature, strength
2021/10/11 10:17 +0200, GMT+02, 10.1, 
2021/10/11 10:37 +0200, GMT+02, 9.76, 
2021/10/11 10:40 +0200, GMT+02, 9.9, 
2021/10/11 10:59 +0200, GMT+02, 10.6, 
2021/10/11 11:19 +0200, GMT+02, 10.7, 
2021/10/11 11:39 +0200, GMT+02, 11.5, 
2021/10/11 11:59 +0200, GMT+02, 11.8, 
2021/10/11 12:19 +0200, GMT+02, 11.8, 
2021/10/11 12:39 +0200, GMT+02, 11.6, 
2021/10/11 12:59 +0200, GMT+02, 12.2, 
2021/10/11 13:19 +0200, GMT+02, 11.7, 
2021/10/11 13:39 +0200, GMT+02, 13.2, 
2021/10/11 13:59 +0200, GMT+02, 12.6, 
2021/10/11 14:19 +0200, GMT+02, 13, 
2021/10/11 14:39 +0200, GMT+02, 13.5, 0
2021/10/11 14:59 +0200, GMT+02, 13.6, 0.00001
2021/10/11 15:19 +0200, GMT+02, 13.7, 0.00026
2021/10/11 15:39 +0200, GMT+02, 14.1, 0.00174
2021/10/11 15:59 +0200, GMT+02, 14, 0.0057
2021/10/11 16:19 +0200, GMT+02, 14.3, 0.01316
2021/10/11 16:39 +0200, GMT+02, 14.4, 0.02495
2021/10/11 16:59 +0200, GMT+02, 14.5, 0.04151
2021/10/11 17:19 +0200, GMT+02, 14.4, 0.06293
2021/10/11 17:39 +0200, GMT+02, 14.9, 0.08964
2021/10/11 17:59 +0200, GMT+02, 21.1, 0.12923
2021/10/11 18:19 +0200, GMT+02, 20.6, 0.18488
2021/10/11 18:39 +0200, GMT+02, 20.1, 0.24794
2021/10/11 18:59 +0200, GMT+02, 19.6, 0.31714
2021/10/11 19:19 +0200, GMT+02, 19.2, 0.39151
2021/10/11 19:39 +0200, GMT+02, 18.8, 0.4703
2021/10/11 19:59 +0200, GMT+02, 18.6, 0.55316
2021/10/11 20:19 +0200, GMT+02, 18.4, 0.63993
2021/10/11 20:39 +0200, GMT+02, 18.2, 0.73008
2021/10/11 20:59 +0200, GMT+02, 18, 0.82313
2021/10/11 21:19 +0200, GMT+02, 17.8, 0.91866
2021/10/11 21:39 +0200, GMT+02, 17.6, 1.01628
