time, timezone, temperature, strength
2021/11/01 12:56 +0100, GMT+01, 13.4, 
2021/11/01 13:16 +0100, GMT+01, 14.1, 
2021/11/01 13:36 +0100, GMT+01, 13.7, 
2021/11/01 13:56 +0100, GMT+01, 14.6, 
2021/11/01 14:16 +0100, GMT+01, 13.9, 
2021/11/01 14:36 +0100, GMT+01, 10.6, 
2021/11/01 14:56 +0100, GMT+01, 12.6, 
2021/11/01 15:16 +0100, GMT+01, 13.3, 
2021/11/01 15:36 +0100, GMT+01, 14.6, 
2021/11/01 15:56 +0100, GMT+01, 15.1, 
2021/11/01 16:16 +0100, GMT+01, 14.3, 
2021/11/01 16:36 +0100, GMT+01, 13.1, 
2021/11/01 16:56 +0100, GMT+01, 12.4, 
2021/11/01 17:16 +0100, GMT+01, 18.6, 0
2021/11/01 17:36 +0100, GMT+01, 18.3, 0.00003
2021/11/01 17:56 +0100, GMT+01, 17.8, 0.00103
2021/11/01 18:16 +0100, GMT+01, 17.4, 0.00525
2021/11/01 18:36 +0100, GMT+01, 17, 0.01444
2021/11/01 18:56 +0100, GMT+01, 16.7, 0.0294
2021/11/01 19:16 +0100, GMT+01, 16.4, 0.05036
2021/11/01 19:36 +0100, GMT+01, 16.1, 0.07715
2021/11/01 19:56 +0100, GMT+01, 15.8, 0.10937
2021/11/01 20:16 +0100, GMT+01, 15.6, 0.14667
2021/11/01 20:36 +0100, GMT+01, 15.3, 0.18858
2021/11/01 20:56 +0100, GMT+01, 15.1, 0.23466
2021/11/01 21:16 +0100, GMT+01, 15, 0.2847
2021/11/01 21:36 +0100, GMT+01, 14.8, 0.33838
2021/11/01 21:56 +0100, GMT+01, 14.6, 0.39516
2021/11/01 22:16 +0100, GMT+01, 14.5, 0.45488
2021/11/01 22:36 +0100, GMT+01, 14.3, 0.51724
2021/11/01 22:56 +0100, GMT+01, 14.3, 0.58218
2021/11/01 23:16 +0100, GMT+01, 14.1, 0.64946
2021/11/01 23:36 +0100, GMT+01, 14.1, 0.71887
2021/11/01 23:56 +0100, GMT+01, 14, 0.79044
2021/11/02 00:16 +0100, GMT+01, 13.9, 0.86376
2021/11/02 00:36 +0100, GMT+01, 13.8, 0.93866
2021/11/02 00:56 +0100, GMT+01, 13.8, 1.01523
2021/11/02 01:16 +0100, GMT+01, 13.8, 1.09361
2021/11/02 01:36 +0100, GMT+01, 13.7, 1.17342
2021/11/02 01:56 +0100, GMT+01, 13.8, 1.25481
2021/11/02 02:16 +0100, GMT+01, 13.7, 1.3377
2021/11/02 02:36 +0100, GMT+01, 13.7, 1.42177
2021/11/02 02:56 +0100, GMT+01, 13.7, 1.50708
2021/11/02 03:16 +0100, GMT+01, 13.6, 1.59333
2021/11/02 03:36 +0100, GMT+01, 13.7, 1.68073
2021/11/02 03:56 +0100, GMT+01, 13.7, 1.7695
2021/11/02 04:15 +0100, GMT+01, 13.7, 1.85734
2021/11/02 04:35 +0100, GMT+01, 13.7, 1.94808
2021/11/02 04:55 +0100, GMT+01, 13.7, 2.03971
2021/11/02 05:15 +0100, GMT+01, 13.7, 2.13219
2021/11/02 05:35 +0100, GMT+01, 13.8, 2.22578
2021/11/02 05:55 +0100, GMT+01, 13.7, 2.32011
2021/11/02 06:15 +0100, GMT+01, 13.6, 2.4145
2021/11/02 06:35 +0100, GMT+01, 13.6, 2.50922
2021/11/02 06:55 +0100, GMT+01, 13.5, 2.60421
2021/11/02 07:15 +0100, GMT+01, 13.5, 2.69944
2021/11/02 07:35 +0100, GMT+01, 13.4, 2.79486
2021/11/02 07:55 +0100, GMT+01, 13.3, 2.89011
2021/11/02 08:15 +0100, GMT+01, 13.1, 2.98482
2021/11/02 08:35 +0100, GMT+01, 13, 3.07895
2021/11/02 08:55 +0100, GMT+01, 12.9, 3.17281
2021/11/02 09:15 +0100, GMT+01, 12.8, 3.26643
2021/11/02 09:35 +0100, GMT+01, 12.6, 3.3593
2021/11/02 09:55 +0100, GMT+01, 12.6, 3.45181
2021/11/02 10:15 +0100, GMT+01, 12.5, 3.54426
2021/11/02 10:35 +0100, GMT+01, 12.5, 3.63661
2021/11/02 10:55 +0100, GMT+01, 12.5, 3.72918
2021/11/02 11:15 +0100, GMT+01, 12.5, 3.82195
2021/11/02 11:35 +0100, GMT+01, 12.6, 3.91524
2021/11/02 11:55 +0100, GMT+01, 12.6, 4.00902
2021/11/02 12:15 +0100, GMT+01, 12.8, 4.10361
2021/11/02 12:35 +0100, GMT+01, 12.8, 4.19901
2021/11/02 12:55 +0100, GMT+01, 12.9, 4.29487
2021/11/02 13:15 +0100, GMT+01, 13, 4.39151
2021/11/02 13:35 +0100, GMT+01, 13.1, 4.48893
2021/11/02 13:55 +0100, GMT+01, 13.1, 4.58678
2021/11/02 14:15 +0100, GMT+01, 13.1, 4.68471
2021/11/02 14:35 +0100, GMT+01, 13.1, 4.78271
2021/11/02 14:56 +0100, GMT+01, 13.1, 4.88085
2021/11/02 15:16 +0100, GMT+01, 13, 4.97861
2021/11/02 15:36 +0100, GMT+01, 13, 5.07608
2021/11/02 15:56 +0100, GMT+01, 13, 5.17357
2021/11/02 16:16 +0100, GMT+01, 13.1, 5.27141
2021/11/02 16:36 +0100, GMT+01, 13.1, 5.36959
2021/11/02 16:56 +0100, GMT+01, 13, 5.46744
2021/11/02 17:16 +0100, GMT+01, 13, 5.56493
2021/11/02 17:36 +0100, GMT+01, 12.8, 5.66174
2021/11/02 17:56 +0100, GMT+01, 12.7, 5.75752
2021/11/02 18:16 +0100, GMT+01, 12.6, 5.8526
2021/11/02 18:36 +0100, GMT+01, 12.4, 5.94666
2021/11/02 18:56 +0100, GMT+01, 12.2, 6.03935
2021/11/02 19:16 +0100, GMT+01, 12.1, 6.13102
2021/11/02 19:36 +0100, GMT+01, 12, 6.22198
2021/11/02 19:56 +0100, GMT+01, 11.8, 6.31193
2021/11/02 20:16 +0100, GMT+01, 11.6, 6.40052
2021/11/02 20:36 +0100, GMT+01, 11.5, 6.4881
2021/11/02 20:56 +0100, GMT+01, 11.3, 6.57474
2021/11/02 21:16 +0100, GMT+01, 11.2, 6.6603
2021/11/02 21:36 +0100, GMT+01, 11, 6.74485
2021/11/02 21:56 +0100, GMT+01, 10.9, 6.8284
2021/11/02 22:16 +0100, GMT+01, 10.8, 6.91125
2021/11/02 22:36 +0100, GMT+01, 10.6, 6.99312
2021/11/02 22:56 +0100, GMT+01, 10.5, 7.07399
2021/11/02 23:16 +0100, GMT+01, 10.3, 7.15388
2021/11/02 23:36 +0100, GMT+01, 10.2, 7.2328
2021/11/02 23:56 +0100, GMT+01, 10.1, 7.31103
2021/11/03 00:16 +0100, GMT+01, 9.9, 7.3883
2021/11/03 00:36 +0100, GMT+01, 9.8, 7.46461
2021/11/03 00:56 +0100, GMT+01, 9.7, 7.54025
2021/11/03 01:16 +0100, GMT+01, 9.5, 7.61493
2021/11/03 01:36 +0100, GMT+01, 9.4, 7.68867
2021/11/03 01:56 +0100, GMT+01, 9.3, 7.76176
2021/11/03 02:16 +0100, GMT+01, 9.1, 7.83391
2021/11/03 02:36 +0100, GMT+01, 9, 7.90519
2021/11/03 02:56 +0100, GMT+01, 8.9, 7.97577
2021/11/03 03:16 +0100, GMT+01, 8.8, 8.04571
2021/11/03 03:36 +0100, GMT+01, 8.6, 8.11474
2021/11/03 03:56 +0100, GMT+01, 8.5, 8.18286
2021/11/03 04:16 +0100, GMT+01, 8.4, 8.25035
2021/11/03 04:36 +0100, GMT+01, 8.3, 8.31723
