time, timezone, temperature, strength
2021/03/12 14:57 +0100, GMT+01, 10.1, 
2021/03/12 15:16 +0100, GMT+01, 10.7, 
2021/03/12 15:36 +0100, GMT+01, 10.8, 
2021/03/12 15:56 +0100, GMT+01, 11, 
2021/03/12 16:16 +0100, GMT+01, 11.2, 
2021/03/12 16:36 +0100, GMT+01, 16, 0
2021/03/12 16:56 +0100, GMT+01, 16, 0.00001
2021/03/12 17:16 +0100, GMT+01, 15.5, 0.00054
2021/03/12 17:36 +0100, GMT+01, 15.1, 0.00298
2021/03/12 17:56 +0100, GMT+01, 14.6, 0.00862
2021/03/12 18:16 +0100, GMT+01, 14.3, 0.01814
2021/03/12 18:36 +0100, GMT+01, 14, 0.03186
2021/03/12 18:56 +0100, GMT+01, 13.7, 0.04979
2021/03/12 19:16 +0100, GMT+01, 13.5, 0.07182
2021/03/12 19:36 +0100, GMT+01, 13.3, 0.09781
2021/03/12 19:56 +0100, GMT+01, 13.2, 0.12762
2021/03/12 20:16 +0100, GMT+01, 13.1, 0.16112
2021/03/12 20:36 +0100, GMT+01, 13.1, 0.19823
2021/03/12 20:56 +0100, GMT+01, 13.1, 0.2389
2021/03/12 21:16 +0100, GMT+01, 13.1, 0.28296
2021/03/12 21:36 +0100, GMT+01, 13.1, 0.33025
2021/03/12 21:56 +0100, GMT+01, 13.1, 0.38061
2021/03/12 22:16 +0100, GMT+01, 13.3, 0.43429
2021/03/12 22:36 +0100, GMT+01, 13.4, 0.49132
2021/03/12 22:56 +0100, GMT+01, 13.6, 0.55166
2021/03/12 23:16 +0100, GMT+01, 13.7, 0.61524
2021/03/12 23:36 +0100, GMT+01, 13.8, 0.68176
2021/03/12 23:56 +0100, GMT+01, 13.9, 0.75113
2021/03/13 00:16 +0100, GMT+01, 14, 0.82325
2021/03/13 00:36 +0100, GMT+01, 14.2, 0.89829
2021/03/13 00:56 +0100, GMT+01, 14.4, 0.97643
2021/03/13 01:16 +0100, GMT+01, 14.6, 1.05764
2021/03/13 01:36 +0100, GMT+01, 14.8, 1.14187
2021/03/13 01:56 +0100, GMT+01, 15.1, 1.22937
2021/03/13 02:16 +0100, GMT+01, 15.2, 1.31982
2021/03/13 02:36 +0100, GMT+01, 15.3, 1.41258
2021/03/13 02:56 +0100, GMT+01, 15.3, 1.50725
2021/03/13 03:16 +0100, GMT+01, 15.1, 1.60283
2021/03/13 03:36 +0100, GMT+01, 15, 1.69886
2021/03/13 03:56 +0100, GMT+01, 14.8, 1.79524
2021/03/13 04:16 +0100, GMT+01, 14.5, 1.8912
2021/03/13 04:36 +0100, GMT+01, 14.2, 1.98633
2021/03/13 04:56 +0100, GMT+01, 14, 2.08083
2021/03/13 05:16 +0100, GMT+01, 13.7, 2.17462
2021/03/13 05:36 +0100, GMT+01, 13.5, 2.26768
2021/03/13 05:56 +0100, GMT+01, 13.3, 2.3601
2021/03/13 06:16 +0100, GMT+01, 13, 2.4516
2021/03/13 06:36 +0100, GMT+01, 12.8, 2.54211
2021/03/13 06:56 +0100, GMT+01, 12.6, 2.63188
2021/03/13 07:16 +0100, GMT+01, 12.4, 2.72089
2021/03/13 07:36 +0100, GMT+01, 12.2, 2.80909
2021/03/13 07:56 +0100, GMT+01, 12, 2.89644
2021/03/13 08:16 +0100, GMT+01, 11.9, 2.98323
2021/03/13 08:36 +0100, GMT+01, 11.8, 3.06973
2021/03/13 08:56 +0100, GMT+01, 11.7, 3.15592
2021/03/13 09:16 +0100, GMT+01, 11.6, 3.24177
2021/03/13 09:36 +0100, GMT+01, 11.6, 3.32758
2021/03/13 09:56 +0100, GMT+01, 11.8, 3.41427
2021/03/13 10:16 +0100, GMT+01, 11.8, 3.50181
