time, timezone, temperature, strength
2021/03/25 09:50 +0100, GMT+01, 10.5, 
2021/03/25 09:50 +0100, GMT+01, 17.1, 
2021/03/25 10:10 +0100, GMT+01, 10.4, 
2021/03/25 10:30 +0100, GMT+01, 15.5, 
2021/03/25 10:50 +0100, GMT+01, 15.4, 
2021/03/25 11:10 +0100, GMT+01, 15.4, 
2021/03/25 11:30 +0100, GMT+01, 15.4, 0
2021/03/25 11:50 +0100, GMT+01, 15.5, 0.00001
2021/03/25 12:10 +0100, GMT+01, 15.5, 0.00048
2021/03/25 12:30 +0100, GMT+01, 15.5, 0.00283
2021/03/25 12:50 +0100, GMT+01, 15.5, 0.00864
2021/03/25 13:10 +0100, GMT+01, 15.4, 0.01896
2021/03/25 13:30 +0100, GMT+01, 15.3, 0.03434
2021/03/25 13:50 +0100, GMT+01, 15.2, 0.05499
2021/03/25 14:10 +0100, GMT+01, 15.1, 0.08089
2021/03/25 14:30 +0100, GMT+01, 15.1, 0.11196
2021/03/25 14:50 +0100, GMT+01, 15.1, 0.14816
2021/03/25 15:10 +0100, GMT+01, 15.1, 0.18927
2021/03/25 15:30 +0100, GMT+01, 15.4, 0.23554
2021/03/25 15:50 +0100, GMT+01, 15.7, 0.28736
2021/03/25 16:10 +0100, GMT+01, 15.8, 0.34437
2021/03/25 16:30 +0100, GMT+01, 15.8, 0.40585
2021/03/25 16:50 +0100, GMT+01, 15.8, 0.47138
2021/03/25 17:10 +0100, GMT+01, 15.8, 0.54068
2021/03/25 17:30 +0100, GMT+01, 15.9, 0.61374
2021/03/25 17:50 +0100, GMT+01, 16, 0.69062
2021/03/25 18:10 +0100, GMT+01, 16, 0.77095
2021/03/25 18:30 +0100, GMT+01, 16, 0.85416
2021/03/25 18:50 +0100, GMT+01, 15.9, 0.93983
2021/03/25 19:10 +0100, GMT+01, 15.9, 1.02776
2021/03/25 19:30 +0100, GMT+01, 15.8, 1.11776
2021/03/25 19:50 +0100, GMT+01, 15.8, 1.20963
2021/03/25 20:10 +0100, GMT+01, 15.8, 1.30353
2021/03/25 20:30 +0100, GMT+01, 15.8, 1.3993
2021/03/25 20:50 +0100, GMT+01, 15.8, 1.49682
2021/03/25 21:10 +0100, GMT+01, 15.8, 1.59597
2021/03/25 21:30 +0100, GMT+01, 15.8, 1.69663
2021/03/25 21:50 +0100, GMT+01, 15.8, 1.79871
2021/03/25 22:10 +0100, GMT+01, 15.8, 1.9021
2021/03/25 22:30 +0100, GMT+01, 15.9, 2.00704
2021/03/25 22:50 +0100, GMT+01, 15.9, 2.11346
2021/03/25 23:10 +0100, GMT+01, 15.9, 2.22095
2021/03/25 23:30 +0100, GMT+01, 15.9, 2.32943
2021/03/25 23:50 +0100, GMT+01, 15.9, 2.43883
2021/03/26 00:10 +0100, GMT+01, 15.9, 2.54907
2021/03/26 00:30 +0100, GMT+01, 15.8, 2.65976
2021/03/26 00:50 +0100, GMT+01, 15.8, 2.77082
2021/03/26 01:10 +0100, GMT+01, 15.7, 2.88219
2021/03/26 01:30 +0100, GMT+01, 15.6, 2.99346
2021/03/26 01:50 +0100, GMT+01, 15.5, 3.10467
2021/03/26 02:10 +0100, GMT+01, 15.5, 3.21594
