time, timezone, temperature, strength
2020/10/19 18:52 +0200, GMT+02, 13.6, 0
2020/10/19 19:08 +0200, GMT+02, 18.2, 0
2020/10/19 19:28 +0200, GMT+02, 17.8, 0.00044
2020/10/19 19:48 +0200, GMT+02, 17.2, 0.00323
2020/10/19 20:08 +0200, GMT+02, 16.7, 0.01024
2020/10/19 20:28 +0200, GMT+02, 16.3, 0.02248
2020/10/19 20:48 +0200, GMT+02, 15.9, 0.04021
2020/10/19 21:08 +0200, GMT+02, 15.5, 0.06328
2020/10/19 21:28 +0200, GMT+02, 15.2, 0.0914
2020/10/19 21:48 +0200, GMT+02, 15, 0.12432
2020/10/19 22:08 +0200, GMT+02, 14.7, 0.16165
2020/10/19 22:28 +0200, GMT+02, 14.5, 0.20296
2020/10/19 22:48 +0200, GMT+02, 14.3, 0.24801
2020/10/19 23:08 +0200, GMT+02, 14.1, 0.29635
2020/10/19 23:28 +0200, GMT+02, 14, 0.34786
2020/10/19 23:48 +0200, GMT+02, 13.9, 0.40241
2020/10/20 00:08 +0200, GMT+02, 13.8, 0.45975
2020/10/20 00:28 +0200, GMT+02, 13.8, 0.51985
2020/10/20 00:48 +0200, GMT+02, 13.7, 0.58252
2020/10/20 01:08 +0200, GMT+02, 13.7, 0.64756
2020/10/20 01:28 +0200, GMT+02, 13.6, 0.7148
2020/10/20 01:48 +0200, GMT+02, 13.6, 0.78408
2020/10/20 02:08 +0200, GMT+02, 13.6, 0.85549
2020/10/20 02:28 +0200, GMT+02, 13.6, 0.92891
2020/10/20 02:48 +0200, GMT+02, 13.7, 1.00446
2020/10/20 03:08 +0200, GMT+02, 13.7, 1.08207
2020/10/20 03:28 +0200, GMT+02, 13.8, 1.16163
2020/10/20 03:48 +0200, GMT+02, 13.8, 1.24307
2020/10/20 04:08 +0200, GMT+02, 13.9, 1.32631
2020/10/20 04:28 +0200, GMT+02, 14, 1.41156
2020/10/20 04:48 +0200, GMT+02, 14.1, 1.49875
2020/10/20 05:08 +0200, GMT+02, 14.2, 1.58783
2020/10/20 05:28 +0200, GMT+02, 14.3, 1.67875
2020/10/20 05:48 +0200, GMT+02, 14.5, 1.77177
2020/10/20 06:08 +0200, GMT+02, 14.5, 1.86652
2020/10/20 06:28 +0200, GMT+02, 14.7, 1.96297
2020/10/20 06:48 +0200, GMT+02, 14.8, 2.06138
2020/10/20 07:08 +0200, GMT+02, 15, 2.16172
2020/10/20 07:28 +0200, GMT+02, 15.2, 2.26438
2020/10/20 07:48 +0200, GMT+02, 15.4, 2.36917
2020/10/20 08:08 +0200, GMT+02, 15.5, 2.4758
2020/10/20 08:28 +0200, GMT+02, 15.6, 2.5839
2020/10/20 08:48 +0200, GMT+02, 15.7, 2.69342
2020/10/20 09:08 +0200, GMT+02, 15.8, 2.80434
2020/10/20 09:28 +0200, GMT+02, 15.9, 2.9166
2020/10/20 09:48 +0200, GMT+02, 16, 3.03018
2020/10/20 10:08 +0200, GMT+02, 16.1, 3.14503
2020/10/20 10:28 +0200, GMT+02, 16.1, 3.26076
2020/10/20 10:48 +0200, GMT+02, 16.3, 3.3777
2020/10/20 11:08 +0200, GMT+02, 16.4, 3.49617
2020/10/20 11:28 +0200, GMT+02, 16.5, 3.61579
2020/10/20 11:48 +0200, GMT+02, 16.5, 3.73615
2020/10/20 12:08 +0200, GMT+02, 16.8, 3.85796
2020/10/20 12:28 +0200, GMT+02, 17, 3.98196
2020/10/20 12:48 +0200, GMT+02, 17.1, 4.10738
2020/10/20 13:08 +0200, GMT+02, 17.4, 4.23457
2020/10/20 13:28 +0200, GMT+02, 17.6, 4.36391
2020/10/20 13:48 +0200, GMT+02, 17.7, 4.49461
2020/10/20 14:08 +0200, GMT+02, 17.8, 4.62625
2020/10/20 14:28 +0200, GMT+02, 17.8, 4.75843
2020/10/20 14:48 +0200, GMT+02, 18, 4.89149
2020/10/20 15:08 +0200, GMT+02, 18, 5.02543
2020/10/20 15:28 +0200, GMT+02, 18.1, 5.15982
2020/10/20 15:48 +0200, GMT+02, 18.1, 5.29463
2020/10/20 16:08 +0200, GMT+02, 18.3, 5.43025
2020/10/20 16:28 +0200, GMT+02, 18.5, 5.56744
2020/10/20 16:48 +0200, GMT+02, 18.7, 5.7063
2020/10/20 17:08 +0200, GMT+02, 18.7, 5.8458
2020/10/20 17:28 +0200, GMT+02, 18.7, 5.98521
2020/10/20 17:48 +0200, GMT+02, 18.6, 6.12413
2020/10/20 18:08 +0200, GMT+02, 18.6, 6.26252
2020/10/20 18:28 +0200, GMT+02, 18.5, 6.40038
2020/10/20 18:48 +0200, GMT+02, 18.5, 6.53769
2020/10/20 19:08 +0200, GMT+02, 18.5, 6.67484
2020/10/20 19:28 +0200, GMT+02, 18.5, 6.81182
2020/10/20 19:48 +0200, GMT+02, 18.4, 6.94821
2020/10/20 20:08 +0200, GMT+02, 18.3, 7.08361
2020/10/20 20:28 +0200, GMT+02, 18.3, 7.21841
2020/10/20 20:48 +0200, GMT+02, 18.3, 7.35299
2020/10/20 21:08 +0200, GMT+02, 18.2, 7.48695
2020/10/20 21:28 +0200, GMT+02, 18.1, 7.6199
2020/10/20 21:48 +0200, GMT+02, 18.1, 7.75222
2020/10/20 22:08 +0200, GMT+02, 18.1, 7.8843
2020/10/20 22:28 +0200, GMT+02, 18.1, 8.01612
2020/10/20 22:48 +0200, GMT+02, 18, 8.14729
2020/10/20 23:08 +0200, GMT+02, 18, 8.27782
2020/10/20 23:28 +0200, GMT+02, 18, 8.40808
2020/10/20 23:48 +0200, GMT+02, 18, 8.53806
2020/10/21 00:08 +0200, GMT+02, 17.9, 8.66738
2020/10/21 00:28 +0200, GMT+02, 17.9, 8.79604
2020/10/21 00:48 +0200, GMT+02, 17.9, 8.92441
2020/10/21 01:08 +0200, GMT+02, 17.9, 9.0525
2020/10/21 01:28 +0200, GMT+02, 17.8, 9.17991
2020/10/21 01:48 +0200, GMT+02, 17.8, 9.30676
2020/10/21 02:08 +0200, GMT+02, 17.8, 9.43321
2020/10/21 02:28 +0200, GMT+02, 17.8, 9.55936
2020/10/21 02:48 +0200, GMT+02, 17.8, 9.6852
2020/10/21 03:08 +0200, GMT+02, 17.8, 9.81074
2020/10/21 03:28 +0200, GMT+02, 17.8, 9.93598
2020/10/21 03:48 +0200, GMT+02, 17.8, 10.0609
2020/10/21 04:08 +0200, GMT+02, 17.8, 10.18551
