time, timezone, temperature, strength
2021/11/17 08:48 +0100, GMT+01, 8.8, 
2021/11/17 09:08 +0100, GMT+01, 6.9, 
2021/11/17 09:28 +0100, GMT+01, 7.1, 
2021/11/17 09:33 +0100, GMT+01, 7.3, 
2021/11/17 09:53 +0100, GMT+01, 7.6, 
2021/11/17 10:13 +0100, GMT+01, 8.4, 
2021/11/17 10:33 +0100, GMT+01, 9, 
2021/11/17 10:53 +0100, GMT+01, 8.6, 
2021/11/17 11:12 +0100, GMT+01, 7.6, 
2021/11/17 11:32 +0100, GMT+01, 8.2, 
2021/11/17 11:52 +0100, GMT+01, 9, 
2021/11/17 12:12 +0100, GMT+01, 9.2, 
2021/11/17 12:32 +0100, GMT+01, 9.3, 
2021/11/17 12:52 +0100, GMT+01, 9.8, 
2021/11/17 13:12 +0100, GMT+01, 8.8, 
2021/11/17 13:32 +0100, GMT+01, 15.1, 0
2021/11/17 13:52 +0100, GMT+01, 16.1, 0.00001
2021/11/17 14:12 +0100, GMT+01, 15.9, 0.00053
2021/11/17 14:32 +0100, GMT+01, 15.8, 0.00309
2021/11/17 14:52 +0100, GMT+01, 15.6, 0.00926
2021/11/17 15:12 +0100, GMT+01, 15.4, 0.02
2021/11/17 15:32 +0100, GMT+01, 15.3, 0.03582
2021/11/17 15:52 +0100, GMT+01, 15.1, 0.05683
2021/11/17 16:12 +0100, GMT+01, 15, 0.08298
2021/11/17 16:32 +0100, GMT+01, 14.8, 0.114
2021/11/17 16:52 +0100, GMT+01, 14.7, 0.14963
2021/11/17 17:12 +0100, GMT+01, 14.6, 0.18967
2021/11/17 17:32 +0100, GMT+01, 14.5, 0.23383
2021/11/17 17:52 +0100, GMT+01, 14.3, 0.28164
2021/11/17 18:12 +0100, GMT+01, 14.2, 0.33278
2021/11/17 18:32 +0100, GMT+01, 14.1, 0.38712
2021/11/17 18:52 +0100, GMT+01, 14, 0.44439
2021/11/17 19:12 +0100, GMT+01, 14, 0.50456
2021/11/17 19:32 +0100, GMT+01, 13.8, 0.56719
2021/11/17 19:52 +0100, GMT+01, 13.8, 0.63206
2021/11/17 20:12 +0100, GMT+01, 13.6, 0.69898
2021/11/17 20:32 +0100, GMT+01, 13.6, 0.76774
2021/11/17 20:52 +0100, GMT+01, 13.5, 0.83842
2021/11/17 21:12 +0100, GMT+01, 13.5, 0.91088
2021/11/17 21:32 +0100, GMT+01, 13.5, 0.98521
2021/11/17 21:52 +0100, GMT+01, 13.5, 1.06133
2021/11/17 22:12 +0100, GMT+01, 13.6, 1.13945
2021/11/17 22:32 +0100, GMT+01, 13.5, 1.21909
2021/11/17 22:52 +0100, GMT+01, 13.5, 1.29995
2021/11/17 23:12 +0100, GMT+01, 13.6, 1.38248
2021/11/17 23:32 +0100, GMT+01, 13.6, 1.46662
2021/11/17 23:52 +0100, GMT+01, 13.6, 1.55201
2021/11/18 00:12 +0100, GMT+01, 13.7, 1.63887
2021/11/18 00:32 +0100, GMT+01, 13.8, 1.72743
2021/11/18 00:52 +0100, GMT+01, 13.8, 1.81736
2021/11/18 01:12 +0100, GMT+01, 14, 1.90891
2021/11/18 01:32 +0100, GMT+01, 14.1, 2.00233
2021/11/18 01:52 +0100, GMT+01, 14.2, 2.0973
2021/11/18 02:12 +0100, GMT+01, 14.3, 2.19377
2021/11/18 02:32 +0100, GMT+01, 14.4, 2.2917
2021/11/18 02:52 +0100, GMT+01, 14.5, 2.39106
2021/11/18 03:12 +0100, GMT+01, 14.5, 2.49148
2021/11/18 03:32 +0100, GMT+01, 14.6, 2.59292
2021/11/18 03:52 +0100, GMT+01, 14.6, 2.69542
2021/11/18 04:12 +0100, GMT+01, 14.5, 2.79809
2021/11/18 04:32 +0100, GMT+01, 14.5, 2.90099
2021/11/18 04:52 +0100, GMT+01, 14.4, 3.00405
2021/11/18 05:12 +0100, GMT+01, 14.3, 3.10691
2021/11/18 05:32 +0100, GMT+01, 14.3, 3.20985
2021/11/18 05:52 +0100, GMT+01, 14.2, 3.31284
2021/11/18 06:12 +0100, GMT+01, 14.1, 3.41552
2021/11/18 06:32 +0100, GMT+01, 14.1, 3.51818
2021/11/18 06:52 +0100, GMT+01, 14, 3.62079
2021/11/18 07:12 +0100, GMT+01, 14, 3.72334
2021/11/18 07:32 +0100, GMT+01, 14, 3.82613
2021/11/18 07:52 +0100, GMT+01, 14, 3.92915
2021/11/18 08:12 +0100, GMT+01, 13.9, 4.03202
2021/11/18 08:32 +0100, GMT+01, 13.8, 4.1344
2021/11/18 08:52 +0100, GMT+01, 13.8, 4.23658
2021/11/18 09:12 +0100, GMT+01, 13.7, 4.33857
2021/11/18 09:32 +0100, GMT+01, 13.6, 4.44
2021/11/18 09:52 +0100, GMT+01, 13.6, 4.54128
2021/11/18 10:12 +0100, GMT+01, 13.6, 4.64257
2021/11/18 10:32 +0100, GMT+01, 13.5, 4.74359
2021/11/18 10:52 +0100, GMT+01, 13.5, 4.84434
2021/11/18 11:12 +0100, GMT+01, 13.5, 4.94515
2021/11/18 11:32 +0100, GMT+01, 13.5, 5.04599
2021/11/18 11:52 +0100, GMT+01, 13.5, 5.14686
2021/11/18 12:12 +0100, GMT+01, 13.5, 5.24775
2021/11/18 12:32 +0100, GMT+01, 13.5, 5.34865
2021/11/18 12:52 +0100, GMT+01, 13.6, 5.4499
2021/11/18 13:12 +0100, GMT+01, 13.6, 5.55147
2021/11/18 13:32 +0100, GMT+01, 13.6, 5.65303
2021/11/18 13:52 +0100, GMT+01, 13.7, 5.7549
2021/11/18 14:12 +0100, GMT+01, 13.8, 5.85743
2021/11/18 14:32 +0100, GMT+01, 14, 5.96094
2021/11/18 14:52 +0100, GMT+01, 14.1, 6.06544
2021/11/18 15:12 +0100, GMT+01, 14.1, 6.17023
2021/11/18 15:32 +0100, GMT+01, 14.3, 6.27573
2021/11/18 15:52 +0100, GMT+01, 14.4, 6.38211
2021/11/18 16:12 +0100, GMT+01, 14.5, 6.48911
2021/11/18 16:32 +0100, GMT+01, 14.5, 6.59636
2021/11/18 16:52 +0100, GMT+01, 14.6, 6.70386
2021/11/18 17:12 +0100, GMT+01, 14.6, 6.8116
2021/11/18 17:32 +0100, GMT+01, 14.7, 6.91958
2021/11/18 17:52 +0100, GMT+01, 14.8, 7.02814
2021/11/18 18:12 +0100, GMT+01, 14.8, 7.13692
2021/11/18 18:32 +0100, GMT+01, 14.8, 7.24556
2021/11/18 18:52 +0100, GMT+01, 14.9, 7.35441
2021/11/18 19:12 +0100, GMT+01, 15, 7.46382
2021/11/18 19:32 +0100, GMT+01, 15, 7.57342
2021/11/18 19:52 +0100, GMT+01, 15, 7.68287
2021/11/18 20:12 +0100, GMT+01, 15, 7.79214
2021/11/18 20:32 +0100, GMT+01, 15.1, 7.9016
2021/11/18 20:52 +0100, GMT+01, 15.1, 8.01124
2021/11/18 21:12 +0100, GMT+01, 15.1, 8.1207
2021/11/18 21:32 +0100, GMT+01, 15.1, 8.23006
2021/11/18 21:52 +0100, GMT+01, 15.1, 8.33915
2021/11/18 22:12 +0100, GMT+01, 15.1, 8.44804
2021/11/18 22:32 +0100, GMT+01, 15.1, 8.55674
2021/11/18 22:52 +0100, GMT+01, 15.1, 8.66525
2021/11/18 23:12 +0100, GMT+01, 15.1, 8.77356
2021/11/18 23:32 +0100, GMT+01, 15, 8.88131
2021/11/18 23:52 +0100, GMT+01, 15, 8.98852
2021/11/19 00:12 +0100, GMT+01, 15, 9.09553
2021/11/19 00:32 +0100, GMT+01, 15, 9.20233
2021/11/19 00:52 +0100, GMT+01, 15, 9.30892
2021/11/19 01:12 +0100, GMT+01, 15, 9.4153
2021/11/19 01:32 +0100, GMT+01, 14.9, 9.52113
2021/11/19 01:52 +0100, GMT+01, 14.9, 9.6264
2021/11/19 02:12 +0100, GMT+01, 14.9, 9.73146
2021/11/19 02:32 +0100, GMT+01, 14.9, 9.83631
2021/11/19 02:52 +0100, GMT+01, 14.9, 9.94094
2021/11/19 03:12 +0100, GMT+01, 14.8, 10.04511
2021/11/19 03:32 +0100, GMT+01, 14.8, 10.14864
2021/11/19 03:52 +0100, GMT+01, 14.8, 10.25195
2021/11/19 04:12 +0100, GMT+01, 14.8, 10.35505
2021/11/19 04:32 +0100, GMT+01, 14.8, 10.45792
2021/11/19 04:52 +0100, GMT+01, 14.8, 10.56058
2021/11/19 05:12 +0100, GMT+01, 14.8, 10.66302
2021/11/19 05:32 +0100, GMT+01, 14.8, 10.76524
2021/11/19 05:52 +0100, GMT+01, 14.7, 10.86691
2021/11/19 06:12 +0100, GMT+01, 14.8, 10.96836
2021/11/19 06:32 +0100, GMT+01, 14.7, 11.06959
2021/11/19 06:52 +0100, GMT+01, 14.8, 11.1706
2021/11/19 07:12 +0100, GMT+01, 14.8, 11.27171
2021/11/19 07:32 +0100, GMT+01, 14.8, 11.3726
2021/11/19 07:52 +0100, GMT+01, 14.8, 11.47327
2021/11/19 08:12 +0100, GMT+01, 14.7, 11.57339
2021/11/19 08:32 +0100, GMT+01, 14.8, 11.67329
2021/11/19 08:52 +0100, GMT+01, 14.7, 11.77296
2021/11/19 09:12 +0100, GMT+01, 14.8, 11.8725
2021/11/19 09:32 +0100, GMT+01, 14.8, 11.97205
2021/11/19 09:52 +0100, GMT+01, 14.8, 12.07137
2021/11/19 10:12 +0100, GMT+01, 14.8, 12.17047
2021/11/19 10:32 +0100, GMT+01, 14.8, 12.26935
2021/11/19 10:52 +0100, GMT+01, 14.8, 12.36801
2021/11/19 11:12 +0100, GMT+01, 14.8, 12.46643
2021/11/19 11:32 +0100, GMT+01, 14.8, 12.56464
2021/11/19 11:52 +0100, GMT+01, 14.8, 12.66262
2021/11/19 12:12 +0100, GMT+01, 14.8, 12.76038
2021/11/19 12:32 +0100, GMT+01, 14.8, 12.85791
2021/11/19 12:52 +0100, GMT+01, 14.8, 12.95522
2021/11/19 13:12 +0100, GMT+01, 14.8, 13.0523
