time, timezone, temperature, strength
2020/11/20 16:40 +0100, GMT+01, 10, 
2020/11/20 16:58 +0100, GMT+01, 9, 
2020/11/20 17:18 +0100, GMT+01, 9, 
2020/11/20 17:38 +0100, GMT+01, 15.6, 
2020/11/20 17:58 +0100, GMT+01, 15.8, 
2020/11/20 18:18 +0100, GMT+01, 15.7, 
2020/11/20 18:38 +0100, GMT+01, 15.6, 
2020/11/20 18:58 +0100, GMT+01, 15.5, 
2020/11/20 19:18 +0100, GMT+01, 15.3, 
2020/11/20 19:38 +0100, GMT+01, 15.2, 
2020/11/20 19:58 +0100, GMT+01, 15.1, 
2020/11/20 20:18 +0100, GMT+01, 15, 
2020/11/20 20:38 +0100, GMT+01, 15, 
2020/11/20 20:58 +0100, GMT+01, 14.9, 
2020/11/20 21:18 +0100, GMT+01, 14.8, 
2020/11/20 21:38 +0100, GMT+01, 14.8, 
2020/11/20 21:58 +0100, GMT+01, 14.8, 
2020/11/20 22:18 +0100, GMT+01, 14.8, 
2020/11/20 22:38 +0100, GMT+01, 14.8, 
2020/11/20 22:58 +0100, GMT+01, 14.9, 
2020/11/20 23:18 +0100, GMT+01, 15, 
2020/11/20 23:38 +0100, GMT+01, 15, 
2020/11/20 23:58 +0100, GMT+01, 15.1, 
2020/11/21 00:18 +0100, GMT+01, 15.2, 
2020/11/21 00:38 +0100, GMT+01, 15.3, 
2020/11/21 00:58 +0100, GMT+01, 15.5, 
2020/11/21 01:18 +0100, GMT+01, 15.6, 
2020/11/21 01:38 +0100, GMT+01, 15.7, 
2020/11/21 01:58 +0100, GMT+01, 15.8, 
2020/11/21 02:18 +0100, GMT+01, 16, 
2020/11/21 02:38 +0100, GMT+01, 16.1, 
2020/11/21 02:58 +0100, GMT+01, 16.3, 
2020/11/21 03:18 +0100, GMT+01, 16.5, 
2020/11/21 03:38 +0100, GMT+01, 16.6, 
2020/11/21 03:58 +0100, GMT+01, 16.8, 
2020/11/21 04:18 +0100, GMT+01, 17, 
2020/11/21 04:38 +0100, GMT+01, 17.1, 
2020/11/21 04:58 +0100, GMT+01, 17.3, 
2020/11/21 05:18 +0100, GMT+01, 17.3, 
2020/11/21 05:38 +0100, GMT+01, 17.3, 
2020/11/21 05:58 +0100, GMT+01, 17.3, 
2020/11/21 06:18 +0100, GMT+01, 17.3, 
2020/11/21 06:38 +0100, GMT+01, 17.3, 
2020/11/21 06:58 +0100, GMT+01, 17.3, 
2020/11/21 07:18 +0100, GMT+01, 17.3, 
2020/11/21 07:38 +0100, GMT+01, 17.2, 
2020/11/21 07:58 +0100, GMT+01, 17.1, 
2020/11/21 08:18 +0100, GMT+01, 17, 
2020/11/21 08:38 +0100, GMT+01, 17, 
2020/11/21 08:58 +0100, GMT+01, 16.9, 
2020/11/21 09:18 +0100, GMT+01, 16.8, 
