time, timezone, temperature, strength
2021/08/16 13:39 +0200, GMT+02, 21.8, 
2021/08/16 13:59 +0200, GMT+02, 17.9, 
2021/08/16 14:19 +0200, GMT+02, 20.3, 
2021/08/16 14:39 +0200, GMT+02, 18, 
2021/08/16 14:59 +0200, GMT+02, 17.6, 
2021/08/16 15:19 +0200, GMT+02, 17.6, 
2021/08/16 15:39 +0200, GMT+02, 18.4, 
2021/08/16 15:59 +0200, GMT+02, 19.3, 
2021/08/16 16:19 +0200, GMT+02, 24.5, 
2021/08/16 16:39 +0200, GMT+02, 24.5, 0
2021/08/16 16:59 +0200, GMT+02, 24.4, 0.00019
2021/08/16 17:19 +0200, GMT+02, 24.3, 0.00412
2021/08/16 17:39 +0200, GMT+02, 24.1, 0.01801
2021/08/16 17:59 +0200, GMT+02, 24, 0.04523
2021/08/16 18:19 +0200, GMT+02, 23.8, 0.08663
2021/08/16 18:39 +0200, GMT+02, 23.6, 0.14157
2021/08/16 18:59 +0200, GMT+02, 23.5, 0.20909
2021/08/16 19:19 +0200, GMT+02, 23.3, 0.28795
2021/08/16 19:39 +0200, GMT+02, 23.2, 0.37688
2021/08/16 19:59 +0200, GMT+02, 23.1, 0.47495
2021/08/16 20:19 +0200, GMT+02, 22.9, 0.58082
2021/08/16 20:39 +0200, GMT+02, 22.8, 0.69359
2021/08/16 20:59 +0200, GMT+02, 22.8, 0.81279
2021/08/16 21:19 +0200, GMT+02, 22.8, 0.93811
2021/08/16 21:39 +0200, GMT+02, 22.8, 1.06897
2021/08/16 21:59 +0200, GMT+02, 22.8, 1.20481
2021/08/16 22:19 +0200, GMT+02, 22.9, 1.3455
2021/08/16 22:39 +0200, GMT+02, 23, 1.491
2021/08/16 22:59 +0200, GMT+02, 23.1, 1.64096
2021/08/16 23:19 +0200, GMT+02, 23.2, 1.79506
2021/08/16 23:39 +0200, GMT+02, 23.4, 1.9534
2021/08/16 23:59 +0200, GMT+02, 23.5, 2.11573
2021/08/17 00:19 +0200, GMT+02, 23.7, 2.28182
2021/08/17 00:39 +0200, GMT+02, 23.8, 2.45146
2021/08/17 00:59 +0200, GMT+02, 23.8, 2.62356
2021/08/17 01:19 +0200, GMT+02, 23.8, 2.79747
2021/08/17 01:39 +0200, GMT+02, 23.8, 2.97298
2021/08/17 01:59 +0200, GMT+02, 23.7, 3.14945
2021/08/17 02:19 +0200, GMT+02, 23.6, 3.32625
2021/08/17 02:39 +0200, GMT+02, 23.5, 3.50335
2021/08/17 02:59 +0200, GMT+02, 23.4, 3.68031
2021/08/17 03:19 +0200, GMT+02, 23.3, 3.85713
2021/08/17 03:39 +0200, GMT+02, 23.1, 4.03325
2021/08/17 03:59 +0200, GMT+02, 23, 4.20855
2021/08/17 04:19 +0200, GMT+02, 22.9, 4.38339
2021/08/17 04:39 +0200, GMT+02, 22.7, 4.55723
2021/08/17 04:59 +0200, GMT+02, 22.6, 4.72999
2021/08/17 05:19 +0200, GMT+02, 22.4, 4.90161
2021/08/17 05:39 +0200, GMT+02, 22.3, 5.07203
2021/08/17 05:59 +0200, GMT+02, 22.1, 5.24119
2021/08/17 06:19 +0200, GMT+02, 22, 5.40906
2021/08/17 06:39 +0200, GMT+02, 21.9, 5.57603
2021/08/17 06:59 +0200, GMT+02, 21.8, 5.74206
2021/08/17 07:19 +0200, GMT+02, 21.6, 5.90669
2021/08/17 07:39 +0200, GMT+02, 21.5, 6.06988
2021/08/17 07:59 +0200, GMT+02, 21.4, 6.23206
2021/08/17 08:19 +0200, GMT+02, 21.3, 6.39333
2021/08/17 08:39 +0200, GMT+02, 21.2, 6.5534
2021/08/17 08:59 +0200, GMT+02, 21.1, 6.71239
2021/08/17 09:19 +0200, GMT+02, 21, 6.87028
2021/08/17 09:39 +0200, GMT+02, 20.9, 7.02707
2021/08/17 09:59 +0200, GMT+02, 20.8, 7.18274
2021/08/17 10:19 +0200, GMT+02, 20.8, 7.33771
2021/08/17 10:39 +0200, GMT+02, 20.7, 7.49195
2021/08/17 10:59 +0200, GMT+02, 20.6, 7.64505
2021/08/17 11:19 +0200, GMT+02, 20.6, 7.79741
2021/08/17 11:39 +0200, GMT+02, 20.5, 7.94902
2021/08/17 11:59 +0200, GMT+02, 20.5, 8.09988
2021/08/17 12:19 +0200, GMT+02, 20.5, 8.2504
2021/08/17 12:39 +0200, GMT+02, 20.5, 8.40056
2021/08/17 12:59 +0200, GMT+02, 20.5, 8.55035
2021/08/17 13:19 +0200, GMT+02, 20.5, 8.69977
2021/08/17 13:39 +0200, GMT+02, 20.5, 8.84881
2021/08/17 13:59 +0200, GMT+02, 20.5, 8.99747
2021/08/17 14:19 +0200, GMT+02, 20.5, 9.14586
2021/08/17 14:39 +0200, GMT+02, 20.5, 9.29372
2021/08/17 14:59 +0200, GMT+02, 20.5, 9.44119
2021/08/17 15:19 +0200, GMT+02, 20.5, 9.58824
2021/08/17 15:39 +0200, GMT+02, 20.5, 9.73488
2021/08/17 15:59 +0200, GMT+02, 20.5, 9.88111
2021/08/17 16:19 +0200, GMT+02, 20.5, 10.02692
2021/08/17 16:39 +0200, GMT+02, 20.5, 10.1723
2021/08/17 16:59 +0200, GMT+02, 20.5, 10.31726
2021/08/17 17:19 +0200, GMT+02, 20.5, 10.46179
2021/08/17 17:39 +0200, GMT+02, 20.5, 10.60589
2021/08/17 17:59 +0200, GMT+02, 20.5, 10.74955
2021/08/17 18:19 +0200, GMT+02, 20.5, 10.89278
2021/08/17 18:39 +0200, GMT+02, 20.6, 11.03597
2021/08/17 18:59 +0200, GMT+02, 20.6, 11.1791
2021/08/17 19:19 +0200, GMT+02, 20.6, 11.32179
2021/08/17 19:39 +0200, GMT+02, 20.6, 11.46404
2021/08/17 19:59 +0200, GMT+02, 20.6, 11.60584
2021/08/17 20:19 +0200, GMT+02, 20.7, 11.74758
2021/08/17 20:39 +0200, GMT+02, 20.7, 11.88937
2021/08/17 20:59 +0200, GMT+02, 20.7, 12.0306
2021/08/17 21:19 +0200, GMT+02, 20.7, 12.17137
2021/08/17 21:39 +0200, GMT+02, 20.7, 12.31168
2021/08/17 21:59 +0200, GMT+02, 20.7, 12.45155
2021/08/17 22:19 +0200, GMT+02, 20.7, 12.59096
2021/08/17 22:39 +0200, GMT+02, 20.7, 12.72992
2021/08/17 22:59 +0200, GMT+02, 20.6, 12.86806
2021/08/17 23:19 +0200, GMT+02, 20.6, 13.00537
2021/08/17 23:39 +0200, GMT+02, 20.6, 13.14223
2021/08/17 23:59 +0200, GMT+02, 20.6, 13.27865
2021/08/18 00:19 +0200, GMT+02, 20.6, 13.41463
2021/08/18 00:39 +0200, GMT+02, 20.5, 13.54979
2021/08/18 00:59 +0200, GMT+02, 20.5, 13.68415
2021/08/18 01:19 +0200, GMT+02, 20.5, 13.81807
2021/08/18 01:39 +0200, GMT+02, 20.5, 13.95156
2021/08/18 01:59 +0200, GMT+02, 20.4, 14.08425
2021/08/18 02:19 +0200, GMT+02, 20.4, 14.21614
2021/08/18 02:39 +0200, GMT+02, 20.4, 14.34772
2021/08/18 02:59 +0200, GMT+02, 20.3, 14.47841
2021/08/18 03:19 +0200, GMT+02, 20.3, 14.60831
2021/08/18 03:39 +0200, GMT+02, 20.2, 14.73744
2021/08/18 03:59 +0200, GMT+02, 20.1, 14.86545
2021/08/18 04:19 +0200, GMT+02, 20.1, 14.9927
2021/08/18 04:39 +0200, GMT+02, 20, 15.11919
2021/08/18 04:59 +0200, GMT+02, 20, 15.24494
2021/08/18 05:19 +0200, GMT+02, 19.9, 15.36994
2021/08/18 05:39 +0200, GMT+02, 19.8, 15.49385
2021/08/18 05:59 +0200, GMT+02, 19.7, 15.61669
2021/08/18 06:19 +0200, GMT+02, 19.7, 15.7388
2021/08/18 06:39 +0200, GMT+02, 19.6, 15.8602
2021/08/18 06:59 +0200, GMT+02, 19.5, 15.98054
2021/08/18 07:19 +0200, GMT+02, 19.5, 16.10018
2021/08/18 07:39 +0200, GMT+02, 19.3, 16.21878
2021/08/18 07:59 +0200, GMT+02, 19.3, 16.33636
2021/08/18 08:19 +0200, GMT+02, 19.3, 16.45358
2021/08/18 08:39 +0200, GMT+02, 19.2, 16.57022
2021/08/18 08:59 +0200, GMT+02, 19.1, 16.68575
2021/08/18 09:19 +0200, GMT+02, 19.1, 16.80061
2021/08/18 09:39 +0200, GMT+02, 19.1, 16.91513
2021/08/18 09:59 +0200, GMT+02, 19.1, 17.02931
2021/08/18 10:19 +0200, GMT+02, 19.1, 17.14315
2021/08/18 10:39 +0200, GMT+02, 19.1, 17.25665
2021/08/18 10:59 +0200, GMT+02, 19.1, 17.36982
2021/08/18 11:19 +0200, GMT+02, 19.1, 17.48266
2021/08/18 11:39 +0200, GMT+02, 19.2, 17.59548
2021/08/18 11:59 +0200, GMT+02, 19.2, 17.70829
2021/08/18 12:19 +0200, GMT+02, 19.3, 17.82109
2021/08/18 12:39 +0200, GMT+02, 19.4, 17.93419
2021/08/18 12:59 +0200, GMT+02, 19.5, 18.0476
2021/08/18 13:19 +0200, GMT+02, 19.6, 18.1613
2021/08/18 13:39 +0200, GMT+02, 19.8, 18.27562
2021/08/18 13:59 +0200, GMT+02, 20, 18.39088
2021/08/18 14:19 +0200, GMT+02, 20.2, 18.50707
2021/08/18 14:39 +0200, GMT+02, 20.3, 18.62386
2021/08/18 14:59 +0200, GMT+02, 20.5, 18.74135
2021/08/18 15:19 +0200, GMT+02, 20.6, 18.85935
2021/08/18 15:39 +0200, GMT+02, 20.8, 18.97795
2021/08/18 15:59 +0200, GMT+02, 21, 19.09746
2021/08/18 16:19 +0200, GMT+02, 21.1, 19.21756
2021/08/18 16:39 +0200, GMT+02, 21.2, 19.33792
2021/08/18 16:59 +0200, GMT+02, 21.3, 19.45854
2021/08/18 17:19 +0200, GMT+02, 21.5, 19.57975
2021/08/18 17:39 +0200, GMT+02, 21.5, 19.7012
2021/08/18 17:59 +0200, GMT+02, 21.6, 19.82259
2021/08/18 18:19 +0200, GMT+02, 21.8, 19.94455
2021/08/18 18:39 +0200, GMT+02, 21.8, 20.06675
2021/08/18 18:59 +0200, GMT+02, 21.9, 20.18888
2021/08/18 19:19 +0200, GMT+02, 22, 20.31125
2021/08/18 19:39 +0200, GMT+02, 22, 20.43354
2021/08/18 19:59 +0200, GMT+02, 22.1, 20.55575
2021/08/18 20:19 +0200, GMT+02, 22.1, 20.67788
2021/08/18 20:39 +0200, GMT+02, 22.1, 20.7996
2021/08/18 20:59 +0200, GMT+02, 22.1, 20.92093
2021/08/18 21:19 +0200, GMT+02, 22.1, 21.04196
2021/08/18 21:39 +0200, GMT+02, 22.1, 21.16249
2021/08/18 21:59 +0200, GMT+02, 22.1, 21.28263
2021/08/18 22:19 +0200, GMT+02, 22, 21.40207
2021/08/18 22:39 +0200, GMT+02, 22, 21.52081
2021/08/18 22:59 +0200, GMT+02, 21.9, 21.63885
2021/08/18 23:19 +0200, GMT+02, 21.8, 21.75591
2021/08/18 23:39 +0200, GMT+02, 21.7, 21.87197
2021/08/18 23:59 +0200, GMT+02, 21.6, 21.98706
2021/08/19 00:19 +0200, GMT+02, 21.5, 22.10118
2021/08/19 00:39 +0200, GMT+02, 21.3, 22.21404
2021/08/19 00:59 +0200, GMT+02, 21.2, 22.32565
2021/08/19 01:19 +0200, GMT+02, 21.1, 22.43633
2021/08/19 01:39 +0200, GMT+02, 21, 22.54609
2021/08/19 01:59 +0200, GMT+02, 20.9, 22.65493
2021/08/19 02:19 +0200, GMT+02, 20.8, 22.76285
2021/08/19 02:39 +0200, GMT+02, 20.8, 22.87017
2021/08/19 02:59 +0200, GMT+02, 20.6, 22.9766
2021/08/19 03:19 +0200, GMT+02, 20.6, 23.08223
2021/08/19 03:39 +0200, GMT+02, 20.5, 23.18717
2021/08/19 03:59 +0200, GMT+02, 20.4, 23.29125
2021/08/19 04:19 +0200, GMT+02, 20.3, 23.39446
2021/08/19 04:39 +0200, GMT+02, 20.2, 23.49682
2021/08/19 04:59 +0200, GMT+02, 20.1, 23.59832
2021/08/19 05:19 +0200, GMT+02, 20, 23.69899
2021/08/19 05:39 +0200, GMT+02, 19.9, 23.79882
2021/08/19 05:59 +0200, GMT+02, 19.8, 23.89783
2021/08/19 06:19 +0200, GMT+02, 19.8, 23.99629
2021/08/19 06:39 +0200, GMT+02, 19.6, 24.09394
2021/08/19 06:59 +0200, GMT+02, 19.6, 24.19079
2021/08/19 07:19 +0200, GMT+02, 19.5, 24.2871
2021/08/19 07:39 +0200, GMT+02, 19.4, 24.38262
2021/08/19 07:59 +0200, GMT+02, 19.3, 24.47736
2021/08/19 08:19 +0200, GMT+02, 19.3, 24.57158
2021/08/19 08:39 +0200, GMT+02, 19.1, 24.66503
2021/08/19 08:59 +0200, GMT+02, 19.1, 24.7577
2021/08/19 09:19 +0200, GMT+02, 19, 24.84996
2021/08/19 09:39 +0200, GMT+02, 19, 24.94164
2021/08/19 09:59 +0200, GMT+02, 19, 25.03309
