time, timezone, temperature, strength
2021/09/04 09:52 +0200, GMT+02, 17, 
2021/09/04 10:11 +0200, GMT+02, 17, 
2021/09/04 10:31 +0200, GMT+02, 23.6, 
2021/09/04 10:51 +0200, GMT+02, 23.8, 
2021/09/04 11:11 +0200, GMT+02, 23.7, 
2021/09/04 11:31 +0200, GMT+02, 23.6, 
2021/09/04 11:51 +0200, GMT+02, 23.4, 
2021/09/04 12:11 +0200, GMT+02, 23.2, 
2021/09/04 12:31 +0200, GMT+02, 23.1, 
2021/09/04 12:51 +0200, GMT+02, 23, 
2021/09/04 13:11 +0200, GMT+02, 22.8, 0
2021/09/04 13:31 +0200, GMT+02, 22.8, 0.00012
2021/09/04 13:51 +0200, GMT+02, 22.7, 0.00296
2021/09/04 14:11 +0200, GMT+02, 22.7, 0.01365
2021/09/04 14:31 +0200, GMT+02, 22.8, 0.03562
2021/09/04 14:51 +0200, GMT+02, 22.8, 0.0703
2021/09/04 15:11 +0200, GMT+02, 23, 0.11807
2021/09/04 15:31 +0200, GMT+02, 23.1, 0.17878
2021/09/04 15:51 +0200, GMT+02, 23.3, 0.25188
2021/09/04 16:11 +0200, GMT+02, 23.5, 0.33691
2021/09/04 16:31 +0200, GMT+02, 23.8, 0.43345
2021/09/04 16:51 +0200, GMT+02, 24.1, 0.54116
2021/09/04 17:11 +0200, GMT+02, 24.5, 0.65979
2021/09/04 17:31 +0200, GMT+02, 24.8, 0.78896
2021/09/04 17:51 +0200, GMT+02, 25.1, 0.92766
2021/09/04 18:11 +0200, GMT+02, 25.4, 1.07546
2021/09/04 18:31 +0200, GMT+02, 25.6, 1.2315
2021/09/04 18:51 +0200, GMT+02, 25.6, 1.39408
2021/09/04 19:11 +0200, GMT+02, 25.7, 1.56223
2021/09/04 19:31 +0200, GMT+02, 25.7, 1.73536
2021/09/04 19:51 +0200, GMT+02, 25.7, 1.91257
2021/09/04 20:11 +0200, GMT+02, 25.6, 2.09292
2021/09/04 20:31 +0200, GMT+02, 25.6, 2.27598
2021/09/04 20:51 +0200, GMT+02, 25.5, 2.46135
2021/09/04 21:11 +0200, GMT+02, 25.3, 2.64777
2021/09/04 21:31 +0200, GMT+02, 25.1, 2.83445
2021/09/04 21:51 +0200, GMT+02, 25, 3.02154
2021/09/04 22:11 +0200, GMT+02, 24.8, 3.20878
2021/09/04 22:31 +0200, GMT+02, 24.7, 3.39595
2021/09/04 22:51 +0200, GMT+02, 24.5, 3.58284
2021/09/04 23:11 +0200, GMT+02, 24.4, 3.76928
2021/09/04 23:31 +0200, GMT+02, 24.2, 3.95512
2021/09/04 23:51 +0200, GMT+02, 24.1, 4.14021
2021/09/05 00:11 +0200, GMT+02, 24, 4.32491
2021/09/05 00:31 +0200, GMT+02, 23.8, 4.50864
2021/09/05 00:51 +0200, GMT+02, 23.6, 4.69086
2021/09/05 01:11 +0200, GMT+02, 23.5, 4.87193
2021/09/05 01:31 +0200, GMT+02, 23.3, 5.05179
2021/09/05 01:51 +0200, GMT+02, 23.1, 5.22992
2021/09/05 02:11 +0200, GMT+02, 22.9, 5.40642
2021/09/05 02:31 +0200, GMT+02, 22.7, 5.58095
2021/09/05 02:51 +0200, GMT+02, 22.6, 5.75407
2021/09/05 03:11 +0200, GMT+02, 22.5, 5.92619
2021/09/05 03:31 +0200, GMT+02, 22.3, 6.09684
2021/09/05 03:51 +0200, GMT+02, 22.1, 6.26555
2021/09/05 04:11 +0200, GMT+02, 22, 6.43273
2021/09/05 04:31 +0200, GMT+02, 21.8, 6.59838
2021/09/05 04:51 +0200, GMT+02, 21.7, 6.76247
2021/09/05 05:11 +0200, GMT+02, 21.5, 6.925
2021/09/05 05:31 +0200, GMT+02, 21.3, 7.08554
2021/09/05 05:51 +0200, GMT+02, 21.2, 7.24449
