time, timezone, temperature, strength
2021/09/14 08:57 +0200, GMT+02, 15.6, 
2021/09/14 09:17 +0200, GMT+02, 15.5, 
2021/09/14 09:37 +0200, GMT+02, 15.6, 
2021/09/14 09:57 +0200, GMT+02, 15.8, 
2021/09/14 10:17 +0200, GMT+02, 15.7, 
2021/09/14 10:37 +0200, GMT+02, 16.2, 
2021/09/14 10:57 +0200, GMT+02, 16.1, 
2021/09/14 11:17 +0200, GMT+02, 16.3, 
2021/09/14 11:37 +0200, GMT+02, 16.6, 
2021/09/14 11:57 +0200, GMT+02, 16.6, 
2021/09/14 12:17 +0200, GMT+02, 16.5, 
2021/09/14 12:37 +0200, GMT+02, 24, 
2021/09/14 12:57 +0200, GMT+02, 23.7, 
2021/09/14 13:17 +0200, GMT+02, 23.8, 
2021/09/14 13:37 +0200, GMT+02, 23.8, 0
2021/09/14 13:57 +0200, GMT+02, 23.6, 0.00015
2021/09/14 14:17 +0200, GMT+02, 23.5, 0.00353
2021/09/14 14:37 +0200, GMT+02, 23.3, 0.01574
2021/09/14 14:57 +0200, GMT+02, 23.3, 0.0401
2021/09/14 15:17 +0200, GMT+02, 23.3, 0.07788
2021/09/14 15:37 +0200, GMT+02, 23.3, 0.12908
2021/09/14 15:57 +0200, GMT+02, 23.4, 0.19326
2021/09/14 16:17 +0200, GMT+02, 23.5, 0.26981
2021/09/14 16:37 +0200, GMT+02, 23.6, 0.35791
2021/09/14 16:57 +0200, GMT+02, 23.8, 0.45694
2021/09/14 17:17 +0200, GMT+02, 24.1, 0.56672
2021/09/14 17:37 +0200, GMT+02, 24.3, 0.68662
2021/09/14 17:57 +0200, GMT+02, 24.7, 0.81637
2021/09/14 18:17 +0200, GMT+02, 25.1, 0.95618
2021/09/14 18:37 +0200, GMT+02, 25.6, 1.10602
2021/09/14 18:57 +0200, GMT+02, 26.1, 1.26598
2021/09/14 19:17 +0200, GMT+02, 26.8, 1.43659
2021/09/14 19:37 +0200, GMT+02, 27.1, 1.61685
2021/09/14 19:57 +0200, GMT+02, 27.3, 1.80428
2021/09/14 20:17 +0200, GMT+02, 27.5, 1.99813
2021/09/14 20:37 +0200, GMT+02, 27.5, 2.1967
2021/09/14 20:57 +0200, GMT+02, 27.6, 2.39924
2021/09/14 21:17 +0200, GMT+02, 27.6, 2.60529
2021/09/14 21:37 +0200, GMT+02, 27.6, 2.81398
2021/09/14 21:57 +0200, GMT+02, 27.6, 3.02494
2021/09/14 22:17 +0200, GMT+02, 27.6, 3.23785
2021/09/14 22:37 +0200, GMT+02, 27.5, 3.45193
2021/09/14 22:57 +0200, GMT+02, 27.3, 3.6659
2021/09/14 23:17 +0200, GMT+02, 27.3, 3.88003
2021/09/14 23:37 +0200, GMT+02, 27.2, 4.09458
2021/09/14 23:57 +0200, GMT+02, 27.1, 4.30888
2021/09/15 00:17 +0200, GMT+02, 27.1, 4.52326
2021/09/15 00:37 +0200, GMT+02, 27, 4.73758
2021/09/15 00:57 +0200, GMT+02, 26.9, 4.95119
2021/09/15 01:17 +0200, GMT+02, 26.9, 5.1645
2021/09/15 01:37 +0200, GMT+02, 26.8, 5.37738
2021/09/15 01:57 +0200, GMT+02, 26.8, 5.58975
2021/09/15 02:17 +0200, GMT+02, 26.8, 5.80203
2021/09/15 02:37 +0200, GMT+02, 26.6, 6.01314
2021/09/15 02:57 +0200, GMT+02, 26.5, 6.22254
2021/09/15 03:17 +0200, GMT+02, 26.3, 6.43017
2021/09/15 03:37 +0200, GMT+02, 26.1, 6.6355
2021/09/15 03:57 +0200, GMT+02, 26, 6.839
2021/09/15 04:17 +0200, GMT+02, 25.7, 7.04015
2021/09/15 04:37 +0200, GMT+02, 25.5, 7.23862
2021/09/15 04:57 +0200, GMT+02, 25.2, 7.43409
2021/09/15 05:17 +0200, GMT+02, 25, 7.62672
2021/09/15 05:37 +0200, GMT+02, 24.8, 7.81698
2021/09/15 05:57 +0200, GMT+02, 24.6, 8.00487
2021/09/15 06:17 +0200, GMT+02, 24.3, 8.18995
2021/09/15 06:37 +0200, GMT+02, 24.2, 8.37268
2021/09/15 06:57 +0200, GMT+02, 24, 8.55351
2021/09/15 07:17 +0200, GMT+02, 23.8, 8.73201
2021/09/15 07:37 +0200, GMT+02, 23.6, 8.9082
2021/09/15 07:57 +0200, GMT+02, 23.5, 9.08251
2021/09/15 08:17 +0200, GMT+02, 23.3, 9.25497
2021/09/15 08:37 +0200, GMT+02, 23.1, 9.42514
2021/09/15 08:57 +0200, GMT+02, 23, 9.59348
2021/09/15 09:17 +0200, GMT+02, 22.8, 9.75999
2021/09/15 09:36 +0200, GMT+02, 22.7, 9.92291
2021/09/15 09:56 +0200, GMT+02, 22.6, 10.08623
2021/09/15 10:16 +0200, GMT+02, 22.5, 10.24819
2021/09/15 10:36 +0200, GMT+02, 22.4, 10.40877
2021/09/15 10:56 +0200, GMT+02, 22.3, 10.568
2021/09/15 11:16 +0200, GMT+02, 22.3, 10.72628
2021/09/15 11:36 +0200, GMT+02, 22.2, 10.88363
2021/09/15 11:56 +0200, GMT+02, 22.1, 11.03964
2021/09/15 12:16 +0200, GMT+02, 22.1, 11.19471
2021/09/15 12:36 +0200, GMT+02, 22.1, 11.34927
2021/09/15 12:56 +0200, GMT+02, 22.1, 11.5033
2021/09/15 13:16 +0200, GMT+02, 22.1, 11.6568
2021/09/15 13:36 +0200, GMT+02, 22.1, 11.80979
2021/09/15 13:56 +0200, GMT+02, 22.1, 11.96225
2021/09/15 14:16 +0200, GMT+02, 22.1, 12.11418
2021/09/15 14:36 +0200, GMT+02, 22, 12.26519
2021/09/15 14:56 +0200, GMT+02, 22, 12.41528
2021/09/15 15:16 +0200, GMT+02, 21.9, 12.56446
2021/09/15 15:36 +0200, GMT+02, 21.9, 12.71273
2021/09/15 15:56 +0200, GMT+02, 21.9, 12.86049
