time, timezone, temperature, strength
2021/10/14 15:33 +0200, GMT+02, 16.6, 
2021/10/14 15:53 +0200, GMT+02, 18.5, 
2021/10/14 16:13 +0200, GMT+02, 18.4, 
2021/10/14 16:33 +0200, GMT+02, 17.8, 
2021/10/14 16:53 +0200, GMT+02, 17.5, 
2021/10/14 17:13 +0200, GMT+02, 20.3, 0
2021/10/14 17:33 +0200, GMT+02, 20.1, 0.00006
2021/10/14 17:53 +0200, GMT+02, 19.3, 0.00158
2021/10/14 18:13 +0200, GMT+02, 18.9, 0.0075
2021/10/14 18:33 +0200, GMT+02, 18.5, 0.01983
2021/10/14 18:53 +0200, GMT+02, 18.2, 0.03938
2021/10/14 19:13 +0200, GMT+02, 18, 0.06632
2021/10/14 19:33 +0200, GMT+02, 17.7, 0.10037
2021/10/14 19:53 +0200, GMT+02, 17.5, 0.14102
2021/10/14 20:13 +0200, GMT+02, 17.5, 0.18813
2021/10/14 20:33 +0200, GMT+02, 17.5, 0.24155
2021/10/14 20:53 +0200, GMT+02, 17.5, 0.30092
2021/10/14 21:13 +0200, GMT+02, 17.6, 0.36605
2021/10/14 21:33 +0200, GMT+02, 17.8, 0.43705
2021/10/14 21:53 +0200, GMT+02, 18.1, 0.51415
2021/10/14 22:13 +0200, GMT+02, 18.3, 0.5972
2021/10/14 22:33 +0200, GMT+02, 18.6, 0.68604
2021/10/14 22:53 +0200, GMT+02, 18.9, 0.7808
2021/10/14 23:13 +0200, GMT+02, 19.1, 0.88107
2021/10/14 23:33 +0200, GMT+02, 19.3, 0.98639
2021/10/14 23:53 +0200, GMT+02, 19.6, 1.09689
2021/10/15 00:13 +0200, GMT+02, 20.1, 1.2135
2021/10/15 00:33 +0200, GMT+02, 20.6, 1.33667
2021/10/15 00:53 +0200, GMT+02, 21.2, 1.46686
2021/10/15 01:13 +0200, GMT+02, 21.7, 1.60412
2021/10/15 01:33 +0200, GMT+02, 22.3, 1.74847
2021/10/15 01:53 +0200, GMT+02, 23, 1.90072
2021/10/15 02:13 +0200, GMT+02, 23.6, 2.06094
2021/10/15 02:33 +0200, GMT+02, 24.1, 2.22833
2021/10/15 02:53 +0200, GMT+02, 24.5, 2.402
2021/10/15 03:13 +0200, GMT+02, 24.8, 2.58098
2021/10/15 03:33 +0200, GMT+02, 25, 2.76424
2021/10/15 03:53 +0200, GMT+02, 25, 2.95024
2021/10/15 04:13 +0200, GMT+02, 25, 3.13784
2021/10/15 04:33 +0200, GMT+02, 24.9, 3.32638
2021/10/15 04:53 +0200, GMT+02, 24.9, 3.51566
2021/10/15 05:13 +0200, GMT+02, 24.8, 3.70549
2021/10/15 05:33 +0200, GMT+02, 24.8, 3.89572
2021/10/15 05:53 +0200, GMT+02, 24.8, 4.08667
2021/10/15 06:13 +0200, GMT+02, 24.8, 4.27822
