time, timezone, temperature, strength
2021/10/22 08:59 +0200, GMT+02, 11.5, 
2021/10/22 09:19 +0200, GMT+02, 7.4, 
2021/10/22 09:39 +0200, GMT+02, 7.7, 
2021/10/22 09:59 +0200, GMT+02, 7.8, 
2021/10/22 10:19 +0200, GMT+02, 8, 
2021/10/22 10:39 +0200, GMT+02, 8.4, 
2021/10/22 10:59 +0200, GMT+02, 9, 
2021/10/22 11:19 +0200, GMT+02, 11.5, 
2021/10/22 11:39 +0200, GMT+02, 11.3, 
2021/10/22 11:59 +0200, GMT+02, 17.9, 0
2021/10/22 12:19 +0200, GMT+02, 17.8, 0.00003
2021/10/22 12:39 +0200, GMT+02, 17.5, 0.00091
2021/10/22 12:59 +0200, GMT+02, 17.1, 0.00476
2021/10/22 13:19 +0200, GMT+02, 16.7, 0.01328
2021/10/22 13:39 +0200, GMT+02, 16.5, 0.02735
2021/10/22 13:59 +0200, GMT+02, 16.3, 0.04736
2021/10/22 14:19 +0200, GMT+02, 16.1, 0.07326
2021/10/22 14:39 +0200, GMT+02, 16.1, 0.10502
2021/10/22 14:59 +0200, GMT+02, 15.9, 0.14238
2021/10/22 15:19 +0200, GMT+02, 15.8, 0.1849
2021/10/22 15:39 +0200, GMT+02, 15.6, 0.23209
2021/10/22 15:59 +0200, GMT+02, 15.5, 0.2836
2021/10/22 16:19 +0200, GMT+02, 15.4, 0.33919
2021/10/22 16:39 +0200, GMT+02, 15.3, 0.39854
2021/10/22 16:59 +0200, GMT+02, 15.1, 0.4611
2021/10/22 17:19 +0200, GMT+02, 15.1, 0.52677
2021/10/22 17:39 +0200, GMT+02, 15, 0.59549
2021/10/22 17:59 +0200, GMT+02, 14.9, 0.66678
2021/10/22 18:19 +0200, GMT+02, 14.8, 0.74041
2021/10/22 18:39 +0200, GMT+02, 14.8, 0.8164
2021/10/22 18:59 +0200, GMT+02, 14.8, 0.89481
2021/10/22 19:19 +0200, GMT+02, 14.8, 0.97549
2021/10/22 19:39 +0200, GMT+02, 14.8, 1.0583
2021/10/22 19:59 +0200, GMT+02, 14.8, 1.14311
2021/10/22 20:19 +0200, GMT+02, 14.9, 1.23006
2021/10/22 20:39 +0200, GMT+02, 15, 1.31936
2021/10/22 20:59 +0200, GMT+02, 15.1, 1.41091
2021/10/22 21:19 +0200, GMT+02, 15.1, 1.50434
2021/10/22 21:39 +0200, GMT+02, 15.3, 1.59987
2021/10/22 21:59 +0200, GMT+02, 15.3, 1.69743
2021/10/22 22:19 +0200, GMT+02, 15.5, 1.79703
2021/10/22 22:39 +0200, GMT+02, 15.6, 1.89877
2021/10/22 22:59 +0200, GMT+02, 15.8, 2.00269
2021/10/22 23:19 +0200, GMT+02, 16, 2.10906
2021/10/22 23:39 +0200, GMT+02, 16.2, 2.21786
2021/10/22 23:59 +0200, GMT+02, 16.3, 2.32872
2021/10/23 00:19 +0200, GMT+02, 16.5, 2.44158
2021/10/23 00:39 +0200, GMT+02, 16.6, 2.55641
2021/10/23 00:59 +0200, GMT+02, 16.7, 2.67279
2021/10/23 01:19 +0200, GMT+02, 16.7, 2.79033
2021/10/23 01:39 +0200, GMT+02, 16.8, 2.90897
2021/10/23 01:59 +0200, GMT+02, 16.8, 3.02864
2021/10/23 02:19 +0200, GMT+02, 16.7, 3.14857
2021/10/23 02:39 +0200, GMT+02, 16.8, 3.26906
2021/10/23 02:59 +0200, GMT+02, 16.8, 3.39044
2021/10/23 03:19 +0200, GMT+02, 16.8, 3.51228
2021/10/23 03:39 +0200, GMT+02, 16.8, 3.63455
2021/10/23 03:59 +0200, GMT+02, 16.7, 3.75683
2021/10/23 04:19 +0200, GMT+02, 16.6, 3.8787
2021/10/23 04:39 +0200, GMT+02, 16.6, 4.00049
2021/10/23 04:59 +0200, GMT+02, 16.5, 4.12218
2021/10/23 05:19 +0200, GMT+02, 16.5, 4.24382
2021/10/23 05:39 +0200, GMT+02, 16.4, 4.36519
2021/10/23 05:59 +0200, GMT+02, 16.3, 4.48598
2021/10/23 06:19 +0200, GMT+02, 16.3, 4.60654
2021/10/23 06:39 +0200, GMT+02, 16.2, 4.72604
2021/10/23 06:59 +0200, GMT+02, 16.1, 4.8457
2021/10/23 07:19 +0200, GMT+02, 16, 4.96479
2021/10/23 07:39 +0200, GMT+02, 16, 5.08346
2021/10/23 07:59 +0200, GMT+02, 15.9, 5.20179
2021/10/23 08:19 +0200, GMT+02, 15.8, 5.31941
2021/10/23 08:39 +0200, GMT+02, 15.8, 5.43666
