time, timezone, temperature, strength
2021/11/08 14:56 +0100, GMT+01, 12.2, 
2021/11/08 15:16 +0100, GMT+01, 12.2, 
2021/11/08 15:36 +0100, GMT+01, 12.2, 
2021/11/08 15:56 +0100, GMT+01, 11.6, 
2021/11/08 16:16 +0100, GMT+01, 11.4, 
2021/11/08 16:36 +0100, GMT+01, 11.3, 
2021/11/08 16:56 +0100, GMT+01, 11.6, 
2021/11/08 17:16 +0100, GMT+01, 16.8, 0
2021/11/08 17:36 +0100, GMT+01, 16.6, 0.00001
2021/11/08 17:56 +0100, GMT+01, 16.5, 0.00062
2021/11/08 18:16 +0100, GMT+01, 16.2, 0.00352
2021/11/08 18:36 +0100, GMT+01, 16, 0.01036
2021/11/08 18:56 +0100, GMT+01, 15.8, 0.02211
2021/11/08 19:16 +0100, GMT+01, 15.7, 0.03926
2021/11/08 19:36 +0100, GMT+01, 15.6, 0.06197
2021/11/08 19:56 +0100, GMT+01, 15.5, 0.0902
2021/11/08 20:16 +0100, GMT+01, 15.4, 0.12375
2021/11/08 20:36 +0100, GMT+01, 15.3, 0.1623
2021/11/08 20:56 +0100, GMT+01, 15.3, 0.2057
2021/11/08 21:16 +0100, GMT+01, 15.3, 0.25382
2021/11/08 21:36 +0100, GMT+01, 15.3, 0.3064
2021/11/08 21:56 +0100, GMT+01, 15.4, 0.36339
2021/11/08 22:16 +0100, GMT+01, 15.5, 0.42476
2021/11/08 22:36 +0100, GMT+01, 15.6, 0.49035
2021/11/08 22:56 +0100, GMT+01, 15.6, 0.55976
2021/11/08 23:16 +0100, GMT+01, 15.8, 0.63302
2021/11/08 23:36 +0100, GMT+01, 16, 0.71047
2021/11/08 23:56 +0100, GMT+01, 16.2, 0.79201
2021/11/09 00:16 +0100, GMT+01, 16.4, 0.87754
2021/11/09 00:36 +0100, GMT+01, 16.6, 0.96698
2021/11/09 00:56 +0100, GMT+01, 16.9, 1.06052
2021/11/09 01:16 +0100, GMT+01, 17.1, 1.15809
2021/11/09 01:36 +0100, GMT+01, 17.5, 1.25994
2021/11/09 01:56 +0100, GMT+01, 17.8, 1.36635
2021/11/09 02:16 +0100, GMT+01, 18.2, 1.4773
2021/11/09 02:36 +0100, GMT+01, 18.6, 1.59311
2021/11/09 02:56 +0100, GMT+01, 19, 1.71379
2021/11/09 03:16 +0100, GMT+01, 19.5, 1.83979
2021/11/09 03:36 +0100, GMT+01, 20, 1.97129
2021/11/09 03:56 +0100, GMT+01, 20.5, 2.10843
2021/11/09 04:16 +0100, GMT+01, 20.8, 2.25046
2021/11/09 04:36 +0100, GMT+01, 21, 2.39616
2021/11/09 04:56 +0100, GMT+01, 21.1, 2.54464
2021/11/09 05:16 +0100, GMT+01, 21.3, 2.69578
2021/11/09 05:36 +0100, GMT+01, 21.3, 2.84905
2021/11/09 05:56 +0100, GMT+01, 21.3, 3.00351
2021/11/09 06:16 +0100, GMT+01, 21.4, 3.15944
2021/11/09 06:36 +0100, GMT+01, 21.3, 3.31633
2021/11/09 06:56 +0100, GMT+01, 21.4, 3.47404
2021/11/09 07:16 +0100, GMT+01, 21.4, 3.63293
2021/11/09 07:36 +0100, GMT+01, 21.4, 3.79245
2021/11/09 07:56 +0100, GMT+01, 21.3, 3.95211
2021/11/09 08:16 +0100, GMT+01, 21.3, 4.11182
2021/11/09 08:36 +0100, GMT+01, 21.3, 4.27194
2021/11/09 08:56 +0100, GMT+01, 21.2, 4.43196
2021/11/09 09:16 +0100, GMT+01, 21.1, 4.59139
2021/11/09 09:36 +0100, GMT+01, 21, 4.75018
2021/11/09 09:56 +0100, GMT+01, 20.8, 4.90784
2021/11/09 10:16 +0100, GMT+01, 20.8, 5.06489
2021/11/09 10:36 +0100, GMT+01, 20.8, 5.22188
2021/11/09 10:56 +0100, GMT+01, 20.8, 5.3789
2021/11/09 11:16 +0100, GMT+01, 20.9, 5.53633
2021/11/09 11:36 +0100, GMT+01, 21, 5.69458
2021/11/09 11:56 +0100, GMT+01, 21.1, 5.85361
2021/11/09 12:16 +0100, GMT+01, 21.2, 6.01339
2021/11/09 12:36 +0100, GMT+01, 21.2, 6.17347
2021/11/09 12:56 +0100, GMT+01, 21.1, 6.33295
2021/11/09 13:16 +0100, GMT+01, 21, 6.49138
2021/11/09 13:36 +0100, GMT+01, 20.9, 6.64875
2021/11/09 13:56 +0100, GMT+01, 20.8, 6.80453
2021/11/09 14:16 +0100, GMT+01, 20.6, 6.95931
2021/11/09 14:36 +0100, GMT+01, 20.5, 7.11258
2021/11/09 14:56 +0100, GMT+01, 20.5, 7.26516
2021/11/09 15:16 +0100, GMT+01, 20.4, 7.41703
2021/11/09 15:36 +0100, GMT+01, 20.3, 7.56779
2021/11/09 15:56 +0100, GMT+01, 20.2, 7.71741
2021/11/09 16:16 +0100, GMT+01, 20.1, 7.8659
2021/11/09 16:36 +0100, GMT+01, 20, 8.01325
2021/11/09 16:56 +0100, GMT+01, 19.8, 8.15905
2021/11/09 17:16 +0100, GMT+01, 19.7, 8.30332
2021/11/09 17:36 +0100, GMT+01, 19.6, 8.44645
2021/11/09 17:56 +0100, GMT+01, 19.5, 8.58845
2021/11/09 18:16 +0100, GMT+01, 19.4, 8.72932
2021/11/09 18:36 +0100, GMT+01, 19.3, 8.86906
2021/11/09 18:56 +0100, GMT+01, 19.1, 9.00728
2021/11/09 19:16 +0100, GMT+01, 19, 9.14399
2021/11/09 19:36 +0100, GMT+01, 18.8, 9.27919
2021/11/09 19:56 +0100, GMT+01, 18.8, 9.41329
2021/11/09 20:16 +0100, GMT+01, 18.6, 9.5464
2021/11/09 20:36 +0100, GMT+01, 18.5, 9.67792
2021/11/09 20:56 +0100, GMT+01, 18.4, 9.80834
2021/11/09 21:16 +0100, GMT+01, 18.2, 9.93731
2021/11/09 21:36 +0100, GMT+01, 18.1, 10.06483
2021/11/09 21:56 +0100, GMT+01, 18, 10.19128
2021/11/09 22:16 +0100, GMT+01, 17.8, 10.3163
2021/11/09 22:36 +0100, GMT+01, 17.6, 10.43953
2021/11/09 22:56 +0100, GMT+01, 17.5, 10.56136
2021/11/09 23:16 +0100, GMT+01, 17.3, 10.6818
2021/11/09 23:36 +0100, GMT+01, 17.1, 10.80051
2021/11/09 23:56 +0100, GMT+01, 16.9, 10.91749
2021/11/10 00:16 +0100, GMT+01, 16.7, 11.03278
2021/11/10 00:36 +0100, GMT+01, 16.5, 11.14638
2021/11/10 00:56 +0100, GMT+01, 16.4, 11.25866
2021/11/10 01:16 +0100, GMT+01, 16.2, 11.36964
2021/11/10 01:36 +0100, GMT+01, 16, 11.47898
2021/11/10 01:56 +0100, GMT+01, 15.9, 11.58704
2021/11/10 02:16 +0100, GMT+01, 15.7, 11.69384
2021/11/10 02:36 +0100, GMT+01, 15.6, 11.79938
2021/11/10 02:56 +0100, GMT+01, 15.5, 11.904
2021/11/10 03:16 +0100, GMT+01, 15.4, 12.00781
2021/11/10 03:36 +0100, GMT+01, 15.3, 12.11062
2021/11/10 03:56 +0100, GMT+01, 15.3, 12.21287
2021/11/10 04:16 +0100, GMT+01, 15.2, 12.31456
2021/11/10 04:36 +0100, GMT+01, 15.2, 12.41568
2021/11/10 04:56 +0100, GMT+01, 15.1, 12.51625
2021/11/10 05:16 +0100, GMT+01, 15.1, 12.61626
2021/11/10 05:36 +0100, GMT+01, 15, 12.71571
2021/11/10 05:56 +0100, GMT+01, 15, 12.81462
2021/11/10 06:16 +0100, GMT+01, 14.9, 12.91298
2021/11/10 06:36 +0100, GMT+01, 14.8, 13.01047
2021/11/10 06:56 +0100, GMT+01, 14.7, 13.10712
2021/11/10 07:16 +0100, GMT+01, 14.6, 13.20292
2021/11/10 07:36 +0100, GMT+01, 14.6, 13.29818
2021/11/10 07:56 +0100, GMT+01, 14.6, 13.39323
2021/11/10 08:16 +0100, GMT+01, 14.6, 13.48807
2021/11/10 08:36 +0100, GMT+01, 14.6, 13.58269
2021/11/10 08:56 +0100, GMT+01, 14.5, 13.67678
2021/11/10 09:16 +0100, GMT+01, 14.5, 13.77035
2021/11/10 09:36 +0100, GMT+01, 14.5, 13.86371
2021/11/10 09:56 +0100, GMT+01, 14.5, 13.95694
2021/11/10 10:16 +0100, GMT+01, 14.5, 14.04988
2021/11/10 10:36 +0100, GMT+01, 14.5, 14.14261
2021/11/10 10:56 +0100, GMT+01, 14.5, 14.23512
2021/11/10 11:16 +0100, GMT+01, 14.5, 14.32743
2021/11/10 11:36 +0100, GMT+01, 14.5, 14.41952
2021/11/10 11:56 +0100, GMT+01, 14.5, 14.51141
2021/11/10 12:16 +0100, GMT+01, 14.5, 14.60309
2021/11/10 12:36 +0100, GMT+01, 14.6, 14.69486
2021/11/10 12:56 +0100, GMT+01, 14.6, 14.78672
2021/11/10 13:16 +0100, GMT+01, 14.6, 14.87837
2021/11/10 13:36 +0100, GMT+01, 14.7, 14.97011
2021/11/10 13:56 +0100, GMT+01, 14.8, 15.06223
2021/11/10 14:16 +0100, GMT+01, 14.8, 15.15444
2021/11/10 14:36 +0100, GMT+01, 14.8, 15.24644
2021/11/10 14:56 +0100, GMT+01, 14.8, 15.33823
2021/11/10 15:16 +0100, GMT+01, 14.8, 15.4298
2021/11/10 15:36 +0100, GMT+01, 14.8, 15.52116
2021/11/10 15:56 +0100, GMT+01, 14.8, 15.61231
2021/11/10 16:16 +0100, GMT+01, 14.8, 15.70325
2021/11/10 16:36 +0100, GMT+01, 14.8, 15.79398
2021/11/10 16:56 +0100, GMT+01, 14.8, 15.8845
2021/11/10 17:16 +0100, GMT+01, 14.8, 15.97489
2021/11/10 17:36 +0100, GMT+01, 14.8, 16.06499
2021/11/10 17:56 +0100, GMT+01, 14.8, 16.15489
2021/11/10 18:16 +0100, GMT+01, 14.8, 16.24458
2021/11/10 18:36 +0100, GMT+01, 14.8, 16.33406
2021/11/10 18:56 +0100, GMT+01, 14.8, 16.42334
2021/11/10 19:16 +0100, GMT+01, 14.8, 16.51241
2021/11/10 19:36 +0100, GMT+01, 14.8, 16.60128
2021/11/10 19:56 +0100, GMT+01, 14.8, 16.68995
2021/11/10 20:16 +0100, GMT+01, 14.8, 16.77841
2021/11/10 20:36 +0100, GMT+01, 14.8, 16.86667
2021/11/10 20:56 +0100, GMT+01, 14.8, 16.95473
2021/11/10 21:16 +0100, GMT+01, 14.8, 17.04258
