time, timezone, temperature, strength
2021/11/17 15:22 +0100, GMT+01, 11.3, 
2021/11/17 15:42 +0100, GMT+01, 11.1, 
2021/11/17 16:02 +0100, GMT+01, 11, 
2021/11/17 16:22 +0100, GMT+01, 10.5, 
2021/11/17 16:42 +0100, GMT+01, 10.5, 
2021/11/17 17:02 +0100, GMT+01, 10.5, 
2021/11/17 17:22 +0100, GMT+01, 15, 
2021/11/17 17:42 +0100, GMT+01, 16.1, 0
2021/11/17 18:02 +0100, GMT+01, 16, 0.00001
2021/11/17 18:22 +0100, GMT+01, 15.7, 0.00055
2021/11/17 18:42 +0100, GMT+01, 15.3, 0.00307
2021/11/17 19:02 +0100, GMT+01, 15.1, 0.00897
2021/11/17 19:22 +0100, GMT+01, 14.9, 0.01913
2021/11/17 19:42 +0100, GMT+01, 14.7, 0.03396
2021/11/17 20:02 +0100, GMT+01, 14.5, 0.05355
2021/11/17 20:22 +0100, GMT+01, 14.4, 0.07785
2021/11/17 20:42 +0100, GMT+01, 14.3, 0.1068
2021/11/17 21:02 +0100, GMT+01, 14.3, 0.14029
2021/11/17 21:22 +0100, GMT+01, 14.3, 0.17825
2021/11/17 21:42 +0100, GMT+01, 14.3, 0.2205
2021/11/17 22:02 +0100, GMT+01, 14.3, 0.26685
2021/11/17 22:22 +0100, GMT+01, 14.4, 0.31721
2021/11/17 22:42 +0100, GMT+01, 14.5, 0.37162
2021/11/17 23:02 +0100, GMT+01, 14.5, 0.42974
2021/11/17 23:22 +0100, GMT+01, 14.6, 0.49141
2021/11/17 23:42 +0100, GMT+01, 14.8, 0.55687
2021/11/18 00:02 +0100, GMT+01, 15, 0.62628
2021/11/18 00:22 +0100, GMT+01, 15.1, 0.69931
2021/11/18 00:42 +0100, GMT+01, 15.4, 0.77611
2021/11/18 01:02 +0100, GMT+01, 15.6, 0.85686
2021/11/18 01:22 +0100, GMT+01, 15.9, 0.94154
2021/11/18 01:42 +0100, GMT+01, 16.2, 1.03036
2021/11/18 02:02 +0100, GMT+01, 16.5, 1.1233
2021/11/18 02:22 +0100, GMT+01, 16.8, 1.22035
2021/11/18 02:42 +0100, GMT+01, 17, 1.32116
2021/11/18 03:02 +0100, GMT+01, 17.4, 1.426
2021/11/18 03:22 +0100, GMT+01, 17.8, 1.53549
2021/11/18 03:42 +0100, GMT+01, 18.2, 1.64965
2021/11/18 04:02 +0100, GMT+01, 18.6, 1.76859
2021/11/18 04:22 +0100, GMT+01, 18.8, 1.89139
2021/11/18 04:42 +0100, GMT+01, 19, 2.01739
2021/11/18 05:02 +0100, GMT+01, 19.1, 2.14613
2021/11/18 05:22 +0100, GMT+01, 19.1, 2.27677
2021/11/18 05:42 +0100, GMT+01, 19.1, 2.4088
2021/11/18 06:02 +0100, GMT+01, 19.2, 2.54249
2021/11/18 06:22 +0100, GMT+01, 19.2, 2.67773
2021/11/18 06:42 +0100, GMT+01, 19.2, 2.81403
2021/11/18 07:02 +0100, GMT+01, 19.3, 2.95169
2021/11/18 07:22 +0100, GMT+01, 19.3, 3.09063
2021/11/18 07:42 +0100, GMT+01, 19.2, 3.22996
2021/11/18 08:02 +0100, GMT+01, 19, 3.36881
2021/11/18 08:22 +0100, GMT+01, 18.9, 3.5071
2021/11/18 08:42 +0100, GMT+01, 18.8, 3.64514
