time, timezone, temperature, strength
2021/03/01 15:16 +0100, GMT+01, 10.8, 
2021/03/01 15:36 +0100, GMT+01, 9, 
2021/03/01 15:56 +0100, GMT+01, 9.8, 
2021/03/01 16:16 +0100, GMT+01, 8.6, 
2021/03/01 16:36 +0100, GMT+01, 7.5, 
2021/03/01 16:56 +0100, GMT+01, 7.5, 
2021/03/01 17:16 +0100, GMT+01, 7, 
2021/03/01 17:36 +0100, GMT+01, 6.4, 
2021/03/01 17:56 +0100, GMT+01, 6, 
2021/03/01 18:16 +0100, GMT+01, 5.8, 
2021/03/01 18:36 +0100, GMT+01, 5.6, 
2021/03/01 18:56 +0100, GMT+01, 5.3, 
2021/03/01 19:16 +0100, GMT+01, 5, 
2021/03/01 19:36 +0100, GMT+01, 4.9, 
2021/03/01 19:56 +0100, GMT+01, 4.6, 
2021/03/01 20:16 +0100, GMT+01, 4.3, 
2021/03/01 20:36 +0100, GMT+01, 4.4, 
2021/03/01 20:56 +0100, GMT+01, 4.3, 
2021/03/01 21:16 +0100, GMT+01, 4.3, 
2021/03/01 21:36 +0100, GMT+01, 4.3, 
2021/03/01 21:56 +0100, GMT+01, 4.3, 
2021/03/01 22:16 +0100, GMT+01, 4.3, 
2021/03/01 22:36 +0100, GMT+01, 4.3, 
2021/03/01 22:56 +0100, GMT+01, 4.4, 
2021/03/01 23:16 +0100, GMT+01, 4.5, 
2021/03/01 23:36 +0100, GMT+01, 4.4, 
2021/03/01 23:56 +0100, GMT+01, 4.3, 
2021/03/02 00:16 +0100, GMT+01, 4.3, 
2021/03/02 00:36 +0100, GMT+01, 4.1, 
2021/03/02 00:56 +0100, GMT+01, 4.1, 
2021/03/02 01:16 +0100, GMT+01, 4.1, 
2021/03/02 01:36 +0100, GMT+01, 4.1, 
2021/03/02 01:56 +0100, GMT+01, 4.2, 
2021/03/02 02:16 +0100, GMT+01, 4.3, 
2021/03/02 02:36 +0100, GMT+01, 4.4, 
2021/03/02 02:56 +0100, GMT+01, 4.5, 
2021/03/02 03:16 +0100, GMT+01, 4.5, 
2021/03/02 03:36 +0100, GMT+01, 4.5, 
2021/03/02 03:56 +0100, GMT+01, 4.5, 
2021/03/02 04:16 +0100, GMT+01, 4.6, 
2021/03/02 04:36 +0100, GMT+01, 4.6, 
2021/03/02 04:56 +0100, GMT+01, 4.5, 
2021/03/02 05:16 +0100, GMT+01, 4.5, 
2021/03/02 05:36 +0100, GMT+01, 4.4, 
2021/03/02 05:56 +0100, GMT+01, 4.3, 
2021/03/02 06:16 +0100, GMT+01, 4.3, 
2021/03/02 06:36 +0100, GMT+01, 4.3, 
2021/03/02 06:56 +0100, GMT+01, 4.3, 
2021/03/02 07:16 +0100, GMT+01, 4.3, 
2021/03/02 07:36 +0100, GMT+01, 4.3, 
2021/03/02 07:56 +0100, GMT+01, 4.5, 
2021/03/02 08:16 +0100, GMT+01, 4.5, 
