time, timezone, temperature, strength
2021/03/03 13:16 +0100, GMT+01, 7.3, 
2021/03/03 13:32 +0100, GMT+01, 6.5, 
2021/03/03 13:52 +0100, GMT+01, 6.5, 
2021/03/03 14:12 +0100, GMT+01, 6.6, 
2021/03/03 14:32 +0100, GMT+01, 6.9, 
2021/03/03 14:52 +0100, GMT+01, 6.8, 
2021/03/03 15:12 +0100, GMT+01, 6.6, 
2021/03/03 15:32 +0100, GMT+01, 6.6, 
2021/03/03 15:52 +0100, GMT+01, 6.3, 
2021/03/03 16:12 +0100, GMT+01, 6.2, 
2021/03/03 16:32 +0100, GMT+01, 6.1, 
2021/03/03 16:52 +0100, GMT+01, 6, 
2021/03/03 17:12 +0100, GMT+01, 6.1, 
2021/03/03 17:32 +0100, GMT+01, 6, 
2021/03/03 17:52 +0100, GMT+01, 6, 
2021/03/03 18:12 +0100, GMT+01, 6, 
2021/03/03 18:32 +0100, GMT+01, 5.9, 
2021/03/03 18:52 +0100, GMT+01, 5.9, 
2021/03/03 19:12 +0100, GMT+01, 5.8, 
2021/03/03 19:32 +0100, GMT+01, 5.8, 
2021/03/03 19:52 +0100, GMT+01, 5.8, 
2021/03/03 20:12 +0100, GMT+01, 5.6, 
2021/03/03 20:32 +0100, GMT+01, 5.7, 
2021/03/03 20:52 +0100, GMT+01, 5.6, 
2021/03/03 21:12 +0100, GMT+01, 5.6, 
2021/03/03 21:32 +0100, GMT+01, 5.5, 
2021/03/03 21:52 +0100, GMT+01, 5.5, 
2021/03/03 22:12 +0100, GMT+01, 5.5, 
2021/03/03 22:32 +0100, GMT+01, 5.4, 
2021/03/03 22:52 +0100, GMT+01, 5.3, 
2021/03/03 23:12 +0100, GMT+01, 5.3, 
2021/03/03 23:32 +0100, GMT+01, 5.2, 
2021/03/03 23:52 +0100, GMT+01, 5.2, 
2021/03/04 00:12 +0100, GMT+01, 5.1, 
2021/03/04 00:32 +0100, GMT+01, 5.1, 
2021/03/04 00:52 +0100, GMT+01, 5.1, 
2021/03/04 01:12 +0100, GMT+01, 5.1, 
2021/03/04 01:32 +0100, GMT+01, 5.1, 
2021/03/04 01:52 +0100, GMT+01, 5, 
2021/03/04 02:12 +0100, GMT+01, 4.9, 
2021/03/04 02:32 +0100, GMT+01, 4.8, 
2021/03/04 02:52 +0100, GMT+01, 4.9, 
2021/03/04 03:12 +0100, GMT+01, 4.8, 
2021/03/04 03:32 +0100, GMT+01, 4.8, 
2021/03/04 03:52 +0100, GMT+01, 4.6, 
2021/03/04 04:12 +0100, GMT+01, 4.6, 
2021/03/04 04:32 +0100, GMT+01, 4.6, 
2021/03/04 04:52 +0100, GMT+01, 4.6, 
2021/03/04 05:12 +0100, GMT+01, 4.5, 
2021/03/04 05:32 +0100, GMT+01, 4.5, 
2021/03/04 05:52 +0100, GMT+01, 4.6, 
2021/03/04 06:12 +0100, GMT+01, 4.6, 
2021/03/04 06:32 +0100, GMT+01, 4.6, 
2021/03/04 06:52 +0100, GMT+01, 4.3, 
2021/03/04 07:12 +0100, GMT+01, 4.3, 
2021/03/04 07:32 +0100, GMT+01, 4.2, 
2021/03/04 07:52 +0100, GMT+01, 4.2, 
2021/03/04 08:12 +0100, GMT+01, 4.1, 
2021/03/04 08:32 +0100, GMT+01, 4.1, 
2021/03/04 08:52 +0100, GMT+01, 3.9, 
2021/03/04 09:12 +0100, GMT+01, 3.8, 
2021/03/04 09:32 +0100, GMT+01, 3.8, 
2021/03/04 09:52 +0100, GMT+01, 3.8, 
2021/03/04 10:12 +0100, GMT+01, 4, 
2021/03/04 10:32 +0100, GMT+01, 3.8, 
2021/03/04 10:52 +0100, GMT+01, 4.5, 
2021/03/04 11:12 +0100, GMT+01, 4.9, 
2021/03/04 11:32 +0100, GMT+01, 5.3, 
2021/03/04 11:52 +0100, GMT+01, 5.1, 
2021/03/04 12:12 +0100, GMT+01, 5.5, 
2021/03/04 12:32 +0100, GMT+01, 5.7, 
2021/03/04 12:52 +0100, GMT+01, 5.2, 
2021/03/04 13:12 +0100, GMT+01, 5.6, 0
2021/03/04 13:32 +0100, GMT+01, 6.5, 0
2021/03/04 13:52 +0100, GMT+01, 12.9, 0.00003
2021/03/04 14:12 +0100, GMT+01, 13, 0.00048
2021/03/04 14:32 +0100, GMT+01, 12.9, 0.00229
2021/03/04 14:52 +0100, GMT+01, 12.8, 0.00637
2021/03/04 15:12 +0100, GMT+01, 12.5, 0.01335
2021/03/04 15:32 +0100, GMT+01, 12.4, 0.02354
2021/03/04 15:52 +0100, GMT+01, 12.2, 0.03715
2021/03/04 16:12 +0100, GMT+01, 12, 0.0541
2021/03/04 16:32 +0100, GMT+01, 11.8, 0.07428
2021/03/04 16:52 +0100, GMT+01, 11.6, 0.09752
2021/03/04 17:12 +0100, GMT+01, 11.4, 0.12363
2021/03/04 17:32 +0100, GMT+01, 11.2, 0.15238
2021/03/04 17:52 +0100, GMT+01, 11, 0.18355
2021/03/04 18:12 +0100, GMT+01, 10.8, 0.21693
2021/03/04 18:32 +0100, GMT+01, 10.7, 0.25244
2021/03/04 18:52 +0100, GMT+01, 10.6, 0.29005
2021/03/04 19:12 +0100, GMT+01, 10.5, 0.3296
2021/03/04 19:32 +0100, GMT+01, 10.3, 0.3708
2021/03/04 19:52 +0100, GMT+01, 10.2, 0.41349
2021/03/04 20:12 +0100, GMT+01, 10.1, 0.45769
2021/03/04 20:32 +0100, GMT+01, 10, 0.50328
2021/03/04 20:52 +0100, GMT+01, 9.9, 0.55016
2021/03/04 21:12 +0100, GMT+01, 9.8, 0.5982
2021/03/04 21:32 +0100, GMT+01, 9.7, 0.64736
2021/03/04 21:52 +0100, GMT+01, 9.6, 0.69746
2021/03/04 22:12 +0100, GMT+01, 9.5, 0.74845
2021/03/04 22:32 +0100, GMT+01, 9.4, 0.80025
2021/03/04 22:52 +0100, GMT+01, 9.3, 0.85277
2021/03/04 23:12 +0100, GMT+01, 9.1, 0.90573
2021/03/04 23:32 +0100, GMT+01, 9, 0.95906
2021/03/04 23:52 +0100, GMT+01, 9, 1.01311
2021/03/05 00:12 +0100, GMT+01, 8.8, 1.06761
2021/03/05 00:32 +0100, GMT+01, 8.8, 1.12251
2021/03/05 00:52 +0100, GMT+01, 8.7, 1.17799
2021/03/05 01:12 +0100, GMT+01, 8.6, 1.23376
2021/03/05 01:32 +0100, GMT+01, 8.5, 1.28979
2021/03/05 01:52 +0100, GMT+01, 8.5, 1.34626
2021/03/05 02:12 +0100, GMT+01, 8.5, 1.40337
2021/03/05 02:32 +0100, GMT+01, 8.4, 1.46086
2021/03/05 02:52 +0100, GMT+01, 8.3, 1.5185
2021/03/05 03:12 +0100, GMT+01, 8.3, 1.57641
2021/03/05 03:32 +0100, GMT+01, 8.3, 1.63485
2021/03/05 03:52 +0100, GMT+01, 8.3, 1.69378
2021/03/05 04:12 +0100, GMT+01, 8.2, 1.75295
2021/03/05 04:32 +0100, GMT+01, 8.2, 1.81234
2021/03/05 04:52 +0100, GMT+01, 8.2, 1.87216
2021/03/05 05:12 +0100, GMT+01, 8.1, 1.93215
2021/03/05 05:32 +0100, GMT+01, 8.1, 1.99229
2021/03/05 05:52 +0100, GMT+01, 8, 2.05255
2021/03/05 06:12 +0100, GMT+01, 8, 2.11292
2021/03/05 06:32 +0100, GMT+01, 7.9, 2.17338
2021/03/05 06:52 +0100, GMT+01, 7.9, 2.23391
2021/03/05 07:12 +0100, GMT+01, 7.8, 2.29449
2021/03/05 07:32 +0100, GMT+01, 7.7, 2.35486
2021/03/05 07:52 +0100, GMT+01, 7.6, 2.415
2021/03/05 08:12 +0100, GMT+01, 7.6, 2.47519
2021/03/05 08:32 +0100, GMT+01, 7.5, 2.53532
2021/03/05 08:52 +0100, GMT+01, 7.5, 2.59543
2021/03/05 09:12 +0100, GMT+01, 7.5, 2.65577
2021/03/05 09:32 +0100, GMT+01, 7.5, 2.71632
2021/03/05 09:52 +0100, GMT+01, 7.5, 2.77707
2021/03/05 10:12 +0100, GMT+01, 7.5, 2.83803
2021/03/05 10:32 +0100, GMT+01, 7.5, 2.89917
2021/03/05 10:52 +0100, GMT+01, 7.5, 2.96049
2021/03/05 11:12 +0100, GMT+01, 7.5, 3.02199
2021/03/05 11:32 +0100, GMT+01, 7.5, 3.08365
2021/03/05 11:52 +0100, GMT+01, 7.5, 3.14546
2021/03/05 12:12 +0100, GMT+01, 7.6, 3.20769
2021/03/05 12:32 +0100, GMT+01, 7.5, 3.27006
2021/03/05 12:52 +0100, GMT+01, 7.6, 3.33258
2021/03/05 13:12 +0100, GMT+01, 7.5, 3.39522
2021/03/05 13:32 +0100, GMT+01, 7.5, 3.45777
2021/03/05 13:52 +0100, GMT+01, 7.5, 3.52038
2021/03/05 14:12 +0100, GMT+01, 7.5, 3.58311
2021/03/05 14:32 +0100, GMT+01, 7.5, 3.64594
2021/03/05 14:52 +0100, GMT+01, 7.6, 3.70914
2021/03/05 15:12 +0100, GMT+01, 7.6, 3.77271
2021/03/05 15:32 +0100, GMT+01, 7.5, 3.83609
2021/03/05 15:52 +0100, GMT+01, 7.5, 3.89929
2021/03/05 16:12 +0100, GMT+01, 7.5, 3.96257
2021/03/05 16:32 +0100, GMT+01, 7.5, 4.02593
2021/03/05 16:52 +0100, GMT+01, 7.5, 4.08935
2021/03/05 17:12 +0100, GMT+01, 7.5, 4.15284
2021/03/05 17:32 +0100, GMT+01, 7.5, 4.21638
2021/03/05 17:52 +0100, GMT+01, 7.5, 4.27999
