time, timezone, temperature, strength
2021/05/06 14:21 +0200, GMT+02, 10.3, 
2021/05/06 14:41 +0200, GMT+02, 7.9, 
2021/05/06 15:01 +0200, GMT+02, 10.8, 
2021/05/06 15:21 +0200, GMT+02, 10.3, 
2021/05/06 15:41 +0200, GMT+02, 13, 
2021/05/06 16:01 +0200, GMT+02, 17.7, 
2021/05/06 16:21 +0200, GMT+02, 13.9, 
2021/05/06 16:41 +0200, GMT+02, 11.3, 
2021/05/06 17:01 +0200, GMT+02, 11.1, 
2021/05/06 17:21 +0200, GMT+02, 10.6, 
2021/05/06 17:41 +0200, GMT+02, 9.7, 
2021/05/06 18:01 +0200, GMT+02, 11, 
2021/05/06 18:21 +0200, GMT+02, 13.3, 
2021/05/06 18:41 +0200, GMT+02, 10, 
2021/05/06 19:01 +0200, GMT+02, 15.8, 0
2021/05/06 19:21 +0200, GMT+02, 16.1, 0.00001
2021/05/06 19:41 +0200, GMT+02, 16, 0.00056
2021/05/06 20:01 +0200, GMT+02, 15.8, 0.00321
2021/05/06 20:21 +0200, GMT+02, 15.7, 0.00954
2021/05/06 20:41 +0200, GMT+02, 15.6, 0.02057
2021/05/06 21:01 +0200, GMT+02, 15.4, 0.0368
2021/05/06 21:21 +0200, GMT+02, 15.2, 0.05825
2021/05/06 21:41 +0200, GMT+02, 15.1, 0.08485
2021/05/06 22:01 +0200, GMT+02, 15, 0.11653
2021/05/06 22:21 +0200, GMT+02, 14.8, 0.1529
2021/05/06 22:41 +0200, GMT+02, 14.7, 0.19361
2021/05/06 23:01 +0200, GMT+02, 14.5, 0.23831
2021/05/06 23:21 +0200, GMT+02, 14.5, 0.28685
2021/05/06 23:41 +0200, GMT+02, 14.3, 0.3389
2021/05/07 00:01 +0200, GMT+02, 14.3, 0.3942
2021/05/07 00:21 +0200, GMT+02, 14.1, 0.45247
2021/05/07 00:41 +0200, GMT+02, 14.1, 0.51345
2021/05/07 01:01 +0200, GMT+02, 14, 0.57713
2021/05/07 01:21 +0200, GMT+02, 14, 0.6433
2021/05/07 01:41 +0200, GMT+02, 13.9, 0.71178
2021/05/07 02:01 +0200, GMT+02, 13.9, 0.7824
2021/05/07 02:21 +0200, GMT+02, 13.8, 0.85498
2021/05/07 02:41 +0200, GMT+02, 13.8, 0.92945
2021/05/07 03:01 +0200, GMT+02, 13.8, 1.0058
2021/05/07 03:21 +0200, GMT+02, 13.8, 1.08396
2021/05/07 03:41 +0200, GMT+02, 13.9, 1.16411
2021/05/07 04:01 +0200, GMT+02, 13.9, 1.24615
2021/05/07 04:21 +0200, GMT+02, 14, 1.33001
2021/05/07 04:41 +0200, GMT+02, 14, 1.41561
2021/05/07 05:01 +0200, GMT+02, 14, 1.50257
2021/05/07 05:21 +0200, GMT+02, 14, 1.59082
2021/05/07 05:41 +0200, GMT+02, 14.1, 1.68057
2021/05/07 06:01 +0200, GMT+02, 14.1, 1.77177
2021/05/07 06:21 +0200, GMT+02, 14.2, 1.86435
2021/05/07 06:41 +0200, GMT+02, 14.3, 1.95856
2021/05/07 07:01 +0200, GMT+02, 14.3, 2.05406
2021/05/07 07:21 +0200, GMT+02, 14.5, 2.1511
2021/05/07 07:41 +0200, GMT+02, 14.5, 2.24965
2021/05/07 08:01 +0200, GMT+02, 14.6, 2.34934
2021/05/07 08:21 +0200, GMT+02, 14.6, 2.4502
2021/05/07 08:41 +0200, GMT+02, 14.7, 2.55203
2021/05/07 09:01 +0200, GMT+02, 14.8, 2.65519
2021/05/07 09:21 +0200, GMT+02, 14.9, 2.75967
2021/05/07 09:41 +0200, GMT+02, 15, 2.86542
2021/05/07 10:01 +0200, GMT+02, 15.2, 2.97277
2021/05/07 10:21 +0200, GMT+02, 15.3, 3.08168
2021/05/07 10:41 +0200, GMT+02, 15.5, 3.19214
2021/05/07 11:01 +0200, GMT+02, 15.6, 3.30412
2021/05/07 11:21 +0200, GMT+02, 15.8, 3.41761
2021/05/07 11:41 +0200, GMT+02, 16, 3.53294
2021/05/07 12:01 +0200, GMT+02, 16.1, 3.64974
2021/05/07 12:21 +0200, GMT+02, 16.3, 3.76798
2021/05/07 12:41 +0200, GMT+02, 16.4, 3.88765
2021/05/07 13:01 +0200, GMT+02, 16.5, 4.00834
2021/05/07 13:21 +0200, GMT+02, 16.6, 4.13004
2021/05/07 13:41 +0200, GMT+02, 16.9, 4.25348
2021/05/07 14:01 +0200, GMT+02, 17.1, 4.37912
2021/05/07 14:21 +0200, GMT+02, 17.3, 4.50636
2021/05/07 14:41 +0200, GMT+02, 17.5, 4.6353
2021/05/07 15:01 +0200, GMT+02, 17.6, 4.76553
2021/05/07 15:21 +0200, GMT+02, 17.8, 4.89704
2021/05/07 15:41 +0200, GMT+02, 18, 5.03019
2021/05/07 16:01 +0200, GMT+02, 18, 5.16419
2021/05/07 16:21 +0200, GMT+02, 18.1, 5.29861
2021/05/07 16:41 +0200, GMT+02, 18.1, 5.43343
2021/05/07 17:01 +0200, GMT+02, 18.2, 5.56863
2021/05/07 17:21 +0200, GMT+02, 18.3, 5.70459
2021/05/07 17:41 +0200, GMT+02, 18.3, 5.84089
2021/05/07 18:01 +0200, GMT+02, 18.3, 5.97711
2021/05/07 18:21 +0200, GMT+02, 18.3, 6.11324
2021/05/07 18:41 +0200, GMT+02, 18.3, 6.24926
2021/05/07 19:01 +0200, GMT+02, 18.2, 6.38475
2021/05/07 19:21 +0200, GMT+02, 18.2, 6.5197
