time, timezone, temperature, strength
2020/12/04 12:24 +0100, GMT+01, 10.1, 0
2020/12/04 12:44 +0100, GMT+01, 10.1, 0
2020/12/04 13:04 +0100, GMT+01, 10.1, 0.00007
2020/12/04 13:24 +0100, GMT+01, 10.2, 0.00053
2020/12/04 13:44 +0100, GMT+01, 10.3, 0.00195
2020/12/04 14:04 +0100, GMT+01, 10.3, 0.00487
2020/12/04 14:24 +0100, GMT+01, 10.2, 0.00973
2020/12/04 14:44 +0100, GMT+01, 10.3, 0.01684
2020/12/04 15:04 +0100, GMT+01, 10.3, 0.02648
2020/12/04 15:24 +0100, GMT+01, 10.3, 0.03875
2020/12/04 15:44 +0100, GMT+01, 10.2, 0.05366
2020/12/04 16:04 +0100, GMT+01, 10.1, 0.07113
2020/12/04 16:24 +0100, GMT+01, 10.1, 0.09117
2020/12/04 16:44 +0100, GMT+01, 10, 0.11371
2020/12/04 17:04 +0100, GMT+01, 10, 0.13866
2020/12/04 17:24 +0100, GMT+01, 9.8, 0.16583
2020/12/04 17:44 +0100, GMT+01, 9.8, 0.19507
2020/12/04 18:04 +0100, GMT+01, 9.6, 0.22627
2020/12/04 18:24 +0100, GMT+01, 9.5, 0.25917
2020/12/04 18:44 +0100, GMT+01, 9.3, 0.29361
2020/12/04 19:04 +0100, GMT+01, 9.2, 0.32948
2020/12/04 19:24 +0100, GMT+01, 9, 0.36662
2020/12/04 19:44 +0100, GMT+01, 9, 0.40512
2020/12/04 20:04 +0100, GMT+01, 8.8, 0.4448
2020/12/04 20:24 +0100, GMT+01, 8.6, 0.48527
2020/12/04 20:44 +0100, GMT+01, 8.5, 0.52659
2020/12/04 21:04 +0100, GMT+01, 8.4, 0.56882
2020/12/04 21:24 +0100, GMT+01, 8.3, 0.6119
2020/12/04 21:44 +0100, GMT+01, 8.2, 0.65574
2020/12/04 22:04 +0100, GMT+01, 8.1, 0.70028
2020/12/04 22:24 +0100, GMT+01, 8, 0.74546
2020/12/04 22:44 +0100, GMT+01, 7.8, 0.79102
2020/12/04 23:04 +0100, GMT+01, 7.7, 0.83688
2020/12/04 23:24 +0100, GMT+01, 7.6, 0.8832
2020/12/04 23:44 +0100, GMT+01, 7.4, 0.92971
2020/12/05 00:04 +0100, GMT+01, 7.3, 0.97637
