time, timezone, temperature, strength
2020/12/15 14:35 +0100, GMT+01, 10.8, 
2020/12/15 14:54 +0100, GMT+01, 11.5, 
2020/12/15 15:14 +0100, GMT+01, 12.2, 
2020/12/15 15:34 +0100, GMT+01, 12.3, 
2020/12/15 15:54 +0100, GMT+01, 9.6, 
2020/12/15 16:14 +0100, GMT+01, 10.5, 0
2020/12/15 16:34 +0100, GMT+01, 10.3, 0
2020/12/15 16:54 +0100, GMT+01, 10.5, 0.00008
2020/12/15 17:14 +0100, GMT+01, 16.5, 0.00088
2020/12/15 17:34 +0100, GMT+01, 16.5, 0.0044
2020/12/15 17:54 +0100, GMT+01, 16.2, 0.01223
2020/12/15 18:14 +0100, GMT+01, 15.9, 0.02518
2020/12/15 18:34 +0100, GMT+01, 15.7, 0.04356
2020/12/15 18:54 +0100, GMT+01, 15.5, 0.06739
2020/12/15 19:14 +0100, GMT+01, 15.3, 0.09647
2020/12/15 19:34 +0100, GMT+01, 15.1, 0.13048
2020/12/15 19:54 +0100, GMT+01, 15, 0.16917
2020/12/15 20:14 +0100, GMT+01, 14.9, 0.21233
2020/12/15 20:34 +0100, GMT+01, 14.8, 0.25966
2020/12/15 20:54 +0100, GMT+01, 14.8, 0.31099
2020/12/15 21:14 +0100, GMT+01, 14.6, 0.36589
2020/12/15 21:34 +0100, GMT+01, 14.6, 0.42405
2020/12/15 21:54 +0100, GMT+01, 14.6, 0.48566
2020/12/15 22:14 +0100, GMT+01, 14.6, 0.55041
2020/12/15 22:34 +0100, GMT+01, 14.6, 0.61817
2020/12/15 22:54 +0100, GMT+01, 14.6, 0.68874
2020/12/15 23:14 +0100, GMT+01, 14.6, 0.76195
2020/12/15 23:34 +0100, GMT+01, 14.6, 0.83763
2020/12/15 23:54 +0100, GMT+01, 14.7, 0.9159
2020/12/16 00:14 +0100, GMT+01, 14.8, 0.99689
2020/12/16 00:34 +0100, GMT+01, 14.8, 1.08024
2020/12/16 00:54 +0100, GMT+01, 14.9, 1.16582
2020/12/16 01:14 +0100, GMT+01, 15, 1.25383
2020/12/16 01:34 +0100, GMT+01, 15.1, 1.34416
2020/12/16 01:54 +0100, GMT+01, 15.2, 1.43676
2020/12/16 02:14 +0100, GMT+01, 15.3, 1.53152
2020/12/16 02:34 +0100, GMT+01, 15.5, 1.62871
2020/12/16 02:54 +0100, GMT+01, 15.6, 1.72825
2020/12/16 03:14 +0100, GMT+01, 15.7, 1.82978
2020/12/16 03:34 +0100, GMT+01, 15.9, 1.93355
2020/12/16 03:54 +0100, GMT+01, 16, 2.03951
2020/12/16 04:14 +0100, GMT+01, 16.1, 2.14727
2020/12/16 04:34 +0100, GMT+01, 16.2, 2.25679
2020/12/16 04:54 +0100, GMT+01, 16.2, 2.36764
2020/12/16 05:14 +0100, GMT+01, 16.3, 2.47978
2020/12/16 05:34 +0100, GMT+01, 16.3, 2.59312
2020/12/16 05:54 +0100, GMT+01, 16.3, 2.70727
2020/12/16 06:14 +0100, GMT+01, 16.2, 2.82181
2020/12/16 06:34 +0100, GMT+01, 16.1, 2.9364
2020/12/16 06:54 +0100, GMT+01, 16.1, 3.05115
2020/12/16 07:14 +0100, GMT+01, 16.1, 3.16646
2020/12/16 07:34 +0100, GMT+01, 16, 3.28192
2020/12/16 07:54 +0100, GMT+01, 16, 3.39748
2020/12/16 08:14 +0100, GMT+01, 15.8, 3.51275
2020/12/16 08:34 +0100, GMT+01, 15.7, 3.6273
2020/12/16 08:54 +0100, GMT+01, 15.6, 3.74147
